през	keresztül	през	keresztül	ADP	ADP
като	mint	като	mint	CONJ	CONJ
година	évjárat	година	évjárat	N;INDF;FEM;SG	N;NOM;SG
година	éve	година	év	N;INDF;FEM;SG	N;NOM;SG
година	év	година	év	N;INDF;FEM;SG	N;NOM;SG
след	után	след	után	ADP	ADP
това	ez	този	ez	PRO;NOM;NEUT;SG	PRO;NOM;SG;3
част	rész	част	rész	N;INDF;FEM;SG	N;NOM;SG
част	része	част	rész	N;INDF;FEM;SG	N;NOM;SG
години	évek	година	év	N;INDF;FEM;PL	N;NOM;PL
време	ideje	време	idő	N;INDF;NEUT;SG	N;NOM;SG
време	időpont	време	időpont	N;INDF;NEUT;SG	N;NOM;SG
време	idő	време	idő	N;INDF;NEUT;SG	N;NOM;SG
която	ami	който	ami	PRO;NOM;FEM;SG	PRO;NOM;SG;3
която	amely	който	amely	PRO;NOM;FEM;SG	PRO;NOM;SG;3
което	ami	който	ami	PRO;NOM;NEUT;SG	PRO;NOM;SG;3
което	amely	който	amely	PRO;NOM;NEUT;SG	PRO;NOM;SG;3
препратки	hivatkozásokat	препратка	hivatkozás	N;INDF;FEM;PL	N;ACC;PL
препратки	hivatkozások	препратка	hivatkozás	N;INDF;FEM;PL	N;NOM;PL
град	városban	град	város	N;INDF;MASC;SG	N;IN+ESS;SG
град	város	град	város	N;INDF;MASC;SG	N;NOM;SG
град	város	град	város	N;INDF;MASC;SG	N;NOM;SG
много	nagyon	много	nagyon	ADV;INDF;PL	ADV
много	sokan	много	sokan	ADV;INDF;PL	ADV
също	egyben	също	egyben	ADV	ADV
век	évszázad	век	évszázad	N;INDF;MASC;SG	N;NOM;SG
век	század	век	század	N;INDF;MASC;SG	N;NOM;SG
село	település	село	település	N;INDF;NEUT;SG	N;NOM;SG
село	falu	село	falu	N;INDF;NEUT;SG	N;NOM;SG
между	között	между	között	ADP	ADP
около	körül	около	körül	ADP	ADP
още	még	още	még	ADV	ADV
война	háború	война	háború	N;INDF;FEM;SG	N;NOM;SG
само	csak	само	csak	ADV	ADV
само	csak	само	csak	ADV	ADV
област	régió	област	régió	N;INDF;FEM;SG	N;NOM;SG
област	körzet	област	körzet	N;INDF;FEM;SG	N;NOM;SG
област	járás	област	járás	N;INDF;FEM;SG	N;NOM;SG
област	terület	област	terület	N;INDF;FEM;SG	N;NOM;SG
област	környék	област	környék	N;INDF;FEM;SG	N;NOM;SG
под	alatt	под	alatt	ADP	ADP
под	alá	под	alá	ADP	ADP
община	község	община	község	N;INDF;FEM;SG	N;NOM;SG
община	település	община	település	N;INDF;FEM;SG	N;NOM;SG
община	önkormányzat	община	önkormányzat	N;INDF;FEM;SG	N;NOM;SG
място	hely	място	hely	N;INDF;NEUT;SG	N;NOM;SG
място	helyszín	място	helyszín	N;INDF;NEUT;SG	N;NOM;SG
място	hely	място	hely	N;INDF;NEUT;SG	N;NOM;SG
място	elhelyezkedés	място	elhelyezkedés	N;INDF;NEUT;SG	N;NOM;SG
когато	amikor	когато	amikor	ADV	ADV
вид	típus	вид	típus	N;INDF;MASC;SG	N;NOM;SG
вид	típusa	вид	típus	N;INDF;MASC;SG	N;NOM;SG
вид	faj	вид	faj	N;INDF;MASC;SG	N;NOM;SG
вид	állatfaj	вид	állatfaj	N;INDF;MASC;SG	N;NOM;SG
семейство	családi	семейство	családi	N;INDF;NEUT;SG	N;NOM;SG
семейство	családtag	семейство	családtag	N;INDF;NEUT;SG	N;NOM;SG
семейство	család	семейство	család	N;INDF;NEUT;SG	N;NOM;SG
започва	kezdődik	започвам-(се)	kezdődik	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
започва	kezdődik	започвам-(се)	kezdődik	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
над	felett	над	felett	ADP	ADP
над	fölött	над	fölött	ADP	ADP
него	őt	аз	ő	PRO;ACC;MASC;SG;3	PRO;ACC;SG;3
срещу	ellen	срещу	ellen	ADP	ADP
мини	aknák	мина	ak	N;INDF;FEM;PL	N;NOM;PL
намира	talál	намирам-(се)	talál	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
намира	megtalálja	намирам-(се)	meg+talál	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
република	köztársaság	република	köztársaság	N;INDF;FEM;SG	N;NOM;SG
път	utat	път	út	N;INDF;MASC;SG	N;ACC;SG
път	ösvény	път	ösvény	N;INDF;MASC;SG	N;NOM;SG
път	útvonal	път	útvonal	N;INDF;MASC;SG	N;NOM;SG
път	út	път	út	N;INDF;MASC;SG	N;NOM;SG
път	útvonal	път	útvonal	N;INDF;MASC;SG	N;NOM;SG
път	útvonalon	път	útvonal	N;INDF;MASC;SG	N;ON+ESS;SG
път	út	път	út	N;INDF;MASC;SG	N;NOM;SG
път	közúti	път	közúti	N;INDF;MASC;SG	N;NOM;SG
отбор	csapat	отбор	csapat	N;INDF;MASC;SG	N;NOM;SG
август	augusztusban	август	augusztus	N;INDF;MASC;SG	N;IN+ESS;SG
август	augusztus	август	augusztus	N;INDF;MASC;SG	N;NOM;SG
август	aug	август	aug	N;INDF;MASC;SG	N;NOM;SG
беседа	társalgás	бесед	társalgás	N;INDF;FEM;SG	N;NOM;SG
беседа	beszélgetés	бесед	beszélgetés	N;INDF;FEM;SG	N;NOM;SG
беседа	beszélgetést	бесед	beszélgetés	N;INDF;FEM;SG	N;ACC;SG
беседа	diskurzus	бесед	diskurzus	N;INDF;FEM;SG	N;NOM;SG
септември	szeptemberben	септември	szeptember	N;INDF;MASC;SG	N;IN+ESS;SG
септември	szeptember	септември	szeptember	N;INDF;MASC;SG	N;NOM;SG
преди	előtt	преди	előtt	ADP	ADP
името	neve	име	név	N;DEF;NEUT;SG	N;NOM;SG
името	név	име	név	N;DEF;NEUT;SG	N;NOM;SG
група	zenekar	група	zenekar	N;INDF;FEM;SG	N;NOM;SG
група	csoport	група	csoport	N;INDF;FEM;SG	N;NOM;SG
група	csoportban	група	csoport	N;INDF;FEM;SG	N;IN+ESS;SG
език	nyelve	език	nyelve	N;INDF;MASC;SG	N;NOM;SG
език	nyelv	език	nyelv	N;INDF;MASC;SG	N;NOM;SG
език	nyelv	език	nyelv	N;INDF;MASC;SG	N;NOM;SG
юли	júliusban	юли	július	N;INDF;MASC;SG	N;IN+ESS;SG
юли	július	юли	július	N;INDF;MASC;SG	N;NOM;SG
тях	őket	аз	ők	PRO;ACC;PL;3	PRO;ACC;PL;3
река	folyami	река	folyami	N;INDF;FEM;SG	N;NOM;SG
януари	január	януари	január	N;INDF;MASC;SG	N;NOM;SG
