من	de	مِن	de	ADP	ADP
تصنيف	classificação	تَصنِيف	classificação	N;NOM;INDF;SG	N;FEM;SG
تصنيف	notação	تَصنِيف	notação	N;NOM;INDF;SG	N;FEM;SG
تصنيف	classificação	تَصنِيف	classificação	N;NOM;INDF;SG	N;FEM;SG
عن	sobre	عَن	sobre	ADP	ADP
عام	ano	عَام	ano	N;NOM;INDF;SG	N;MASC;SG
عام	público	عَام	público	N;NOM;INDF;SG	N;MASC;SG
عام	pública	عَام	público	N;NOM;INDF;SG	N;FEM;SG
عام	publico	عَام	publico	N;NOM;INDF;SG	N;MASC;SG
عام	geral	عَام	geral	N;NOM;INDF;SG	N;MASC;SG
عام	general	عَام	general	N;NOM;INDF;SG	N;MASC;SG
اسم	nome	اِسم	nome	N;NOM;INDF;SG	N;MASC;SG
مع	com	مَعَ	com	ADP;ACC	ADP
المنطقة	região	مِنطَقَة	região	N;NOM;DEF;SG	N;FEM;SG
المنطقة	distrito	مِنطَقَة	distrito	N;NOM;DEF;SG	N;MASC;SG
المنطقة	zona	مِنطَقَة	zona	N;NOM;DEF;SG	N;FEM;SG
المنطقة	zone	مِنطَقَة	zone	N;NOM;DEF;SG	N;MASC;SG
المنطقة	area	مِنطَقَة	area	N;NOM;DEF;SG	N;FEM;SG
المنطقة	área	مِنطَقَة	área	N;NOM;DEF;SG	N;FEM;SG
هو	ele	هُوَ	ele	PRO;NOM;MASC;SG;3	PRO;NOM;MASC;SG;3
هي	ela	هُوَ	ela	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
هي	ela	هُوَ	ela	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
سنة	ano	سَنَة	ano	N;NOM;INDF;SG	N;MASC;SG
كان	era	كَان	ser	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;IPFV;FIN
اختياري	facultativa	اِختِيَارِيّ	facultativo	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
اختياري	opcional	اِختِيَارِيّ	opcional	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
اختياري	facultativo	اِختِيَارِيّ	facultativo	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
هذه	este	هٰذَا	este	DET;NOM;FEM;SG	DET;MASC;SG
هذه	esse	هٰذَا	esse	DET;NOM;FEM;SG	DET;MASC;SG
عدد	número	عَدَد	número	N;NOM;INDF;SG	N;MASC;SG
عدد	numero	عَدَد	numero	N;NOM;INDF;SG	N;MASC;SG
بعد	após	بَعدَ	após	ADP;NOM	ADP
هذا	este	هٰذَا	este	DET;NOM;MASC;SG	DET;MASC;SG
هذا	esse	هٰذَا	esse	DET;NOM;MASC;SG	DET;MASC;SG
بين	entre	بَينَ	entre	ADP;ACC	ADP
تعليق	comentário	تَعلِيق	comentário	N;NOM;INDF;SG	N;MASC;SG
تاريخ	data	تَارِيخ	data	N;NOM;INDF;SG	N;FEM;SG
تاريخ	historia	تَارِيخ	historia	N;NOM;INDF;SG	N;FEM;SG
تاريخ	história	تَارِيخ	história	N;NOM;INDF;SG	N;FEM;SG
نوع	tipo	نَوع	tipo	N;NOM;INDF;SG	N;MASC;SG
نوع	type	نَوع	type	N;NOM;INDF;SG	N;MASC;SG
نوع	tipo	نَوع	tipo	N;NOM;INDF;SG	N;MASC;SG
سطر	line	سِطر	line	N;NOM;INDF;SG	N;MASC;SG
سطر	linha	سِطر	linha	N;NOM;INDF;SG	N;FEM;SG
خط	line	خَطّ	line	N;NOM;INDF;SG	N;MASC;SG
خط	linha	خَطّ	linha	N;NOM;INDF;SG	N;FEM;SG
خط	fonte	خَطّ	fonte	N;NOM;INDF;SG	N;FEM;SG
التوقيت	timing	تَوقِيت	timing	N;NOM;DEF;SG	N;MASC;SG
كانت	era	كَان	ser	V;PFV;FEM;SG;3;ACT	V;IND;SG;3;IPFV;FIN
التعداد	recenseamento	تَعدَاد	recenseamento	N;NOM;DEF;SG	N;MASC;SG
التعداد	censo	تَعدَاد	censo	N;NOM;DEF;SG	N;MASC;SG
التعداد	enumeração	تَعدَاد	enumeração	N;NOM;DEF;SG	N;FEM;SG
المسؤول	administrador	مَسؤُول	administrador	N;NOM;DEF;SG	N;MASC;SG
المسؤول	administradora	مَسؤُول	administradora	N;NOM;DEF;SG	N;FEM;SG
مدينة	cidade	مَدِينَة	cidade	N;NOM;INDF;SG	N;FEM;SG
المدينة	vila	مَدِينَة	vila	N;NOM;DEF;SG	N;FEM;SG
المدينة	cidade	مَدِينَة	cidade	N;NOM;DEF;SG	N;FEM;SG
المدينة	cidade	مَدِينَة	cidade	N;NOM;DEF;SG	N;FEM;SG
تم	feito	تَمّ	fazer	V;PFV;MASC;SG;3;ACT	V;MASC;SG;V.PTCP
كرة	bola	كُرَة	bola	N;NOM;INDF;SG	N;FEM;SG
كرة	ball	كُرَة	ball	N;NOM;INDF;SG	N;MASC;SG
كل	coma	كُلّ	coma	N;NOM;INDF;SG	N;MASC;SG
الله	deus	اَللّٰه	deu	N;NOM;DEF;SG	N;MASC;SG
الله	allah	اَللّٰه	allah	N;NOM;DEF;SG	N;MASC;SG
الله	alá	اَللّٰه	alá	N;NOM;DEF;SG	N;MASC;SG
غير	mudança	غَير	mudança	N;ACC;PSSD;SG	N;FEM;SG
غير	troco	غَير	troco	N;ACC;PSSD;SG	N;MASC;SG
حتى	até	حَتَّى	até	ADV	ADV
مساحة	area	مِسَاحَة	area	N;NOM;INDF;SG	N;FEM;SG
مساحة	área	مِسَاحَة	área	N;NOM;INDF;SG	N;FEM;SG
مساحة	espaço	مِسَاحَة	espaço	N;NOM;INDF;SG	N;MASC;SG
مساحة	space	مِسَاحَة	space	N;NOM;INDF;SG	N;MASC;SG
محافظة	província	مُحَافَظَة	província	N;NOM;INDF;SG	N;FEM;SG
خلال	durante	خِلَالَ	durante	ADP;ACC	ADP
الولايات	estados	وِلَايَة	estado	N;NOM;DEF;PL	N;MASC;PL
الولايات	mandatos	وِلَايَة	mandato	N;NOM;DEF;PL	N;MASC;PL
اليمن	iêmen	يَمَن	iêmen	N;NOM;DEF;SG	N;MASC;SG
اليمن	iémen	يَمَن	iémen	N;NOM;DEF;SG	N;MASC;SG
خارجية	externa	خَارِجِيَّة	externo	N;NOM;INDF;SG	N;FEM;SG
خارجية	exterior	خَارِجِيَّة	exterior	N;NOM;INDF;SG	N;MASC;SG
توقيت	timing	تَوقِيت	timing	N;NOM;INDF;SG	N;MASC;SG
الصورة	foto	صُورَة	foto	N;NOM;DEF;SG	N;FEM;SG
الصورة	fotografia	صُورَة	fotografia	N;NOM;DEF;SG	N;FEM;SG
الصورة	image	صُورَة	image	N;NOM;DEF;SG	N;MASC;SG
الصورة	imagem	صُورَة	imagem	N;NOM;DEF;SG	N;FEM;SG
الصورة	foto	صُورَة	foto	N;NOM;DEF;SG	N;FEM;SG
الصورة	fotografia	صُورَة	fotografia	N;NOM;DEF;SG	N;FEM;SG
الصورة	imagem	صُورَة	imagem	N;NOM;DEF;SG	N;FEM;SG
علم	copiar	عَلِم	copiar	V;PFV;MASC;SG;3;ACT	V;NFIN
علم	copie	عَلِم	copie	V;PFV;MASC;SG;3;ACT	V;SBJV;SG;3;PRS;FIN
خريطة	mapa	خَرِيطَة	mapa	N;NOM;INDF;SG	N;MASC;SG
فرق	diferenças	فِرقَة	diferença	N;NOM;INDF;PL	N;FEM;PL
فرق	equipas	فِرقَة	equipa	N;NOM;INDF;PL	N;FEM;PL
فرق	equipes	فِرقَة	equipe	N;NOM;INDF;PL	N;FEM;PL
فرق	times	فِرقَة	time	N;NOM;INDF;PL	N;MASC;PL
قائمة	menu	قَائِمَة	menu	N;NOM;INDF;SG	N;MASC;SG
قائمة	ementa	قَائِمَة	emento	N;NOM;INDF;SG	N;MASC;SG
قائمة	cardápio	قَائِمَة	cardápio	N;NOM;INDF;SG	N;MASC;SG
قائمة	lista	قَائِمَة	lista	N;NOM;INDF;SG	N;FEM;SG
مقاطعة	condado	مُقَاطَعَة	condar	N;NOM;INDF;SG	N;MASC;SG
مقاطعة	província	مُقَاطَعَة	província	N;NOM;INDF;SG	N;FEM;SG
مقاطعة	boicote	مُقَاطَعَة	boicote	N;NOM;INDF;SG	N;MASC;SG
تقسيم	partição	تَقسِيم	partição	N;NOM;INDF;SG	N;FEM;SG
تقسيم	divisória	تَقسِيم	divisório	N;NOM;INDF;SG	N;FEM;SG
تقسيم	split	تَقسِيم	split	N;NOM;INDF;SG	N;MASC;SG
العالم	world	عَالَم	world	N;NOM;DEF;SG	N;MASC;SG
العالم	mundo	عَالَم	mundo	N;NOM;DEF;SG	N;MASC;SG
العالم	cientista	عَالَم	cientista	N;NOM;DEF;SG	N;MASC;SG
القرن	corno	قَرن	corno	N;NOM;DEF;SG	N;MASC;SG
القرن	horn	قَرن	horn	N;NOM;DEF;SG	N;MASC;SG
القرن	chifre	قَرن	chifre	N;NOM;DEF;SG	N;MASC;SG
القرن	buzina	قَرن	buzina	N;NOM;DEF;SG	N;FEM;SG
القرن	século	قَرن	século	N;NOM;DEF;SG	N;MASC;SG
القرن	century	قَرن	century	N;NOM;DEF;SG	N;MASC;SG
الموقع	localização	مَوقِع	localização	N;NOM;DEF;SG	N;FEM;SG
الثاني	segunda	ثَانِي	segundo	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
القدم	foot	قَدَم	foot	N;NOM;DEF;SG	N;MASC;SG
القدم	pé	قَدَم	pé	N;NOM;DEF;SG	N;MASC;SG
القدم	perna	قَدَم	perna	N;NOM;DEF;SG	N;FEM;SG
منطقة	região	مِنطَقَة	região	N;NOM;INDF;SG	N;FEM;SG
منطقة	distrito	مِنطَقَة	distrito	N;NOM;INDF;SG	N;MASC;SG
منطقة	zona	مِنطَقَة	zona	N;NOM;INDF;SG	N;FEM;SG
