for	za	for	za		
with	so	with	s	ADP	ADP;INS
not	nie	not	nie	PART	PART
talk	hovoriť	talk	hovoriť	V;IMP;FIN	V;IPFV;POS;NFIN
talk	porozprávať	talk	porozprávať	V;IMP;FIN	V;PFV;POS;NFIN
also	takisto	also	takisto	ADV	ADV
also	taktiež	also	taktiež	ADV	ADV
but	ale	but	ale	CONJ	CONJ
have	maj	have	mať	V;IMP;FIN	V;IPFV;IMP;SG;2;POS;FIN
have	mať	have	mať	V;IMP;FIN	V;IPFV;POS;NFIN
one	jedno	one	jeden	NUM	NUM;NOM;NEUT;SG
one	jedným	one	jeden	NUM	NUM;INS;MASC;SG
one	jeden	one	jeden	NUM	NUM;ANIM;NOM;MASC;SG
one	jedna	one	jeden	NUM	NUM;NOM;FEM;SG
new	nová	new	nový	ADJ	ADJ;NOM;FEM;SG
new	nový	new	nový	ADJ	ADJ;ANIM;NOM;MASC;SG
new	nové	new	nový	ADJ	ADJ;NOM;NEUT;SG
first	najprv	first	najprv	ADV	ADV
page	stránke	page	stránka	N;SG	N;DAT;FEM;SG
page	strana	page	strana	N;SG	N;NOM;FEM;SG
page	stránka	page	stránka	N;SG	N;NOM;FEM;SG
page	stránku	page	stránka	N;SG	N;ACC;FEM;SG
you	teba	you	ty	PRO;ACC;2	PRO;ACC;SG;2
they	oni	they	on	PRO;NOM;PL;3	PRO;ANIM;NOM;MASC;PL;3
had	malo	have	mať	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
had	nemal	have	mať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
had	mali	have	mať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
had	mal	have	mať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
had	mala	have	mať	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
article	článku	article	článok	N;SG	N;INAN;GEN;MASC;SG
article	článok	article	článok	N;SG	N;INAN;NOM;MASC;SG
all	všetky	all	všetok	DET	DET;INAN;NOM;MASC;PL
all	všetkých	all	všetok	DET	DET;ANIM;ACC;MASC;PL
all	všetci	all	všetok	DET	DET;ANIM;NOM;MASC;PL
all	všetko	all	všetok	DET	DET;NOM;NEUT;SG
their	ich	they	on	PRO;PL;3	PRO;NOM;MASC;PL;3
there	tam	there	tam	ADV	ADV
its	jej	its	ona	PRO;NEUT;SG;3	PRO;DAT;FEM;SG;3
people	ludia	people	ludia	N;PL	N;ANIM;NOM;MASC;PL
people	ľudia	people	človek	N;PL	N;ANIM;NOM;MASC;PL
people	ľudí	people	človek	N;PL	N;ANIM;ACC;MASC;PL
other	ďalšie	other	ďalší	ADJ	ADJ;NOM;NEUT;SG
other	ostatné	other	ostatný	ADJ	ADJ;NOM;NEUT;SG
two	dve	two	dva	NUM	NUM;NOM;FEM;PL
two	dvaja	two	dva	NUM	NUM;ANIM;NOM;MASC;PL
two	dva	two	dva	NUM	NUM;INAN;NOM;MASC;PL
her	ju	she	ona	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
her	ňu	she	ona	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
would	by	would	by	V;FIN	V;COND
she	ona	she	ona	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
about	približne	about	približne	ADV	ADV
time	dobe	time	dobe	N;SG	N;DAT;FEM;SG
time	čas	time	čas	N;SG	N;INAN;NOM;MASC;SG
time	doba	time	doba	N;SG	N;NOM;FEM;SG
team	mužstvo	team	mužstvo	N;SG	N;NOM;NEUT;SG
team	tím	team	tím	N;SG	N;INAN;NOM;MASC;SG
american	americké	american	americký	ADJ	ADJ;NOM;NEUT;SG
american	americká	american	americký	ADJ	ADJ;NOM;FEM;SG
american	americký	american	americký	ADJ	ADJ;ANIM;NOM;MASC;SG
discussion	diskusia	discussion	diskusi	N;SG	N;NOM;FEM;SG
discussion	diskusiu	discussion	diskusia	N;SG	N;ACC;FEM;SG
links	spojenia	link	spojenie	N;PL	N;NOM;NEUT;PL
links	väzby	link	väzba	N;PL	N;NOM;FEM;PL
links	prepojenia	link	prepojenie	N;PL	N;NOM;NEUT;PL
links	odkazy	link	odkaz	N;PL	N;INAN;NOM;MASC;PL
links	linky	link	linka	N;PL	N;NOM;FEM;PL
only	jedine	only	jedine	ADV	ADV
some	niektorých	some	niektorý	DET	DET;GEN;MASC;PL
some	niektore	some	niektore	DET	DET;NOM;MASC;SG
some	niektoré	some	niektorý	DET	DET;NOM;NEUT;SG
some	niektorý	some	niektorý	DET	DET;ANIM;NOM;MASC;SG
some	niektorí	some	niektorý	DET	DET;ANIM;NOM;MASC;PL
see	pozri	see	pozrieť	V;IMP;FIN	V;PFV;IMP;SG;2;POS;FIN
see	vidieť	see	vidieť	V;IMP;FIN	V;IPFV;POS;NFIN
years	roky	year	rok	N;PL	N;INAN;NOM;MASC;PL
years	rokov	year	rok	N;PL	N;INAN;GEN;MASC;PL
school	skola	school	skola	N;SG	N;NOM;FEM;SG
school	školu	school	škola	N;SG	N;ACC;FEM;SG
school	škola	school	škola	N;SG	N;NOM;FEM;SG
world	sveta	world	svet	N;SG	N;INAN;GEN;MASC;SG
world	svete	world	svet	N;SG	N;INAN;ESS;MASC;SG
