categoría	kategooria	categoría	kategooria	N;FEM;SG	N;NOM;SG
como	nagu	como	nagu	CONJ	CONJ
más	rohkem	más	rohkem	ADV	ADV
también	samuti	también	samuti	ADV	ADV
también	ka	también	ka	ADV	ADV
también	liiga	también	liiga	ADV	ADV
este	see	este	see	PRO;MASC;SG	PRO;NOM;SG
este	selle	este	see	PRO;MASC;SG	PRO;GEN;SG
este	seda	este	see	PRO;MASC;SG	PRO;PRT;SG
pero	aga	pero	aga	CONJ	CONJ
pero	kuid	pero	kuid	CONJ	CONJ
años	aastad	año	aasta	N;MASC;PL	N;NOM;PL
año	aasta	año	aasta	N;MASC;SG	N;NOM;SG
esta	see	este	see	PRO;FEM;SG	PRO;NOM;SG
esta	selle	este	see	PRO;FEM;SG	PRO;GEN;SG
esta	seda	este	see	PRO;FEM;SG	PRO;PRT;SG
enlaces	lingid	enlace	ling	N;MASC;PL	N;NOM;PL
externos	välised	externo	väline	ADJ;MASC;PL	ADJ;NOM;PL
ciudad	linn	ciudad	linn	N;FEM;SG	N;NOM;SG
ciudad	linna	ciudad	linn	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
ciudad	linn	ciudad	linn	N;FEM;SG	N;NOM;SG
ciudad	linna	ciudad	linn	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
ciudad	city	ciudad	city	N;FEM;SG	N;NOM;SG
ciudad	ciudad	ciudad	ciuda	N;FEM;SG	N;NOM;SG
parte	party	parte	party	N;FEM;SG	N;NOM;SG
parte	pidu	parte	pidu	N;FEM;SG	N;NOM;SG
parte	erakond	parte	erakond	N;FEM;SG	N;NOM;SG
parte	peole	parte	pidu	N;FEM;SG	N;AT+ALL;SG
parte	osas	parte	osa	N;FEM;SG	N;IN+ESS;SG
san	san	san	san	N;MASC;SG	N;NOM;SG
san	pühak	san	pühak	N;MASC;SG	N;NOM;SG
san	saint	san	saint	N;MASC;SG	N;NOM;SG
nacional	riiklik	nacional	riiklik	ADJ;SG	ADJ;NOM;SG
nacional	siseriiklik	nacional	sise_riiklik	ADJ;SG	ADJ;NOM;SG
primera	esimene	primero	esimene	ADJ;FEM;SG	ADJ;NOM;SG
team	tiim	team	tiim	N	N;NOM;SG
team	meeskond	team	meeskond	N	N;NOM;SG
cuando	kui	cuando	kui	CONJ	CONJ
nombre	nimi	nombre	nimi	N;MASC;SG	N;NOM;SG
nombre	nimetus	nombre	nimetus	N;MASC;SG	N;NOM;SG
nombre	name	nombre	name	N;MASC;SG	N;NOM;SG
nombre	nime	nombre	nimi	N;MASC;SG	N;PRT;SG
estados	riigid	estado	riik	N;MASC;PL	N;NOM;PL
siglo	sajandi	siglo	sajand	N;MASC;SG	N;GEN;SG
siglo	sajand	siglo	sajand	N;MASC;SG	N;NOM;SG
después	pärast	después	pärast	ADV	ADV
después	hiljem	después	hiljem	ADV	ADV
gran	suure	gran	suur	ADJ;SG	ADJ;GEN;SG
gran	suur	gran	suur	ADJ;SG	ADJ;NOM;SG
gran	suure	gran	suur	ADJ;SG	ADJ;GEN;SG
puede	oskab	poder	oskama	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
puede	saab	poder	saama	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
estado	staatus	estado	staatus	N;MASC;SG	N;NOM;SG
estado	seisund	estado	seisund	N;MASC;SG	N;NOM;SG
estado	oleku	estado	olek	N;MASC;SG	N;GEN;SG
estado	olek	estado	olek	N;MASC;SG	N;NOM;SG
estado	riik	estado	riik	N;MASC;SG	N;NOM;SG
estado	olek	estado	olek	N;MASC;SG	N;NOM;SG
estado	osariik	estado	osa_riik	N;MASC;SG	N;NOM;SG
estado	seisukord	estado	seisu_kord	N;MASC;SG	N;NOM;SG
estado	tingimus	estado	tingimus	N;MASC;SG	N;NOM;SG
estado	seisund	estado	seisund	N;MASC;SG	N;NOM;SG
uno	üks	uno	üks	PRO;MASC;SG	PRO;NOM;SG
lugar	toimumiskoht	lugar	toimumis_koht	N;MASC;SG	N;NOM;SG
lugar	koht	lugar	koht	N;MASC;SG	N;NOM;SG
lugar	asukoht	lugar	asu_koht	N;MASC;SG	N;NOM;SG
primer	esimene	primero	esimene	ADJ;MASC;SG	ADJ;NOM;SG
población	populatsioon	población	populatsioon	N;FEM;SG	N;NOM;SG
población	populatsiooni	población	populatsioon	N;FEM;SG	N;PRT;SG
población	rahvastik	población	rahvastik	N;FEM;SG	N;NOM;SG
población	elanikkond	población	elanikkond	N;FEM;SG	N;NOM;SG
población	rahvaarv	población	rahva_arv	N;FEM;SG	N;NOM;SG
muy	väga	mucho	väga	ADV	ADV
nueva	uus	nuevo	uus	ADJ;FEM;SG	ADJ;NOM;SG
historia	jutt	historia	jutt	N;FEM;SG	N;NOM;SG
historia	ajalugu	historia	aja_lugu	N;FEM;SG	N;NOM;SG
historia	ajaloo	historia	aja_lugu	N;FEM;SG	N;GEN;SG
club	klubi	club	klubi	N;MASC;SG	N;NOM;SG
club	club	club	club	N;MASC;SG	N;NOM;SG
universidad	ülikool	universidad	üli_kool	N;FEM;SG	N;NOM;SG
universidad	kolleegium	universidad	kolleegium	N;FEM;SG	N;NOM;SG
universidad	kolledž	universidad	kolledž	N;FEM;SG	N;NOM;SG
forma	kujund	forma	kujund	N;FEM;SG	N;NOM;SG
forma	kuju	forma	kuju	N;FEM;SG	N;NOM;SG
forma	kujuga	forma	kuju	N;FEM;SG	N;COM;SG
forma	vormi	forma	vorm	N;FEM;SG	N;PRT;SG
forma	vorm	forma	vorm	N;FEM;SG	N;NOM;SG
grupo	grupo	grupo	grupo	N;MASC;SG	N;NOM;SG
