ben	بِن	ben	بِن		
volt	بود	van	بود#باش	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
első	اول	első	اول	ADJ;NOM;SG	ADJ
első	نخستین	első	نخستین	ADJ;NOM;SG	ADJ;RL
csak	تنها	csak	تنها	ADV	ADV
csak	فقط	csak	فقط	ADV	ADV
még	حتی	még	حتی	ADV	ADV
még	همچنان	még	همچنان	ADV	ADV
még	هنوزم	még	هنوزم	ADV	ADV
még	هنوز	még	هنوز	ADV	ADV
település	روستای	település	روستا	N;NOM;SG	N;SG
település	دهکده	település	دهکده	N;NOM;SG	N;SG
település	ویلیج	település	ویلیج	N;NOM;SG	N;SG
település	روستا	település	روستا	N;NOM;SG	N;SG
település	سازش	település	سازش	N;NOM;SG	N;SG
település	قرارگاه	település	قرارگاه	N;NOM;SG	N;SG
település	توافق	település	توافق	N;NOM;SG	N;SG
már	قبلا	már	None	ADV	ADV
között	میان	között	میان	ADP	ADP
között	بین	között	بین	ADP	ADP
további	اضافی	további	None	N;NOM;SG	N;SG
nagy	بزرگ	nagy	بزرگ	ADJ;NOM;SG	ADJ
nagy	درشت	nagy	درشت	ADJ;NOM;SG	ADJ
nagy	بزرگ	nagy	بزرگ	ADJ;NOM;SG	ADJ
személyek	اشخاص	személy	شخص	N;NOM;PL	N;PL
ország	کانتری	ország	کان	N;NOM;SG	N;SG
ország	کشوری	ország	کشوری	N;NOM;SG	N;SG
ország	کشور	ország	کشور	N;NOM;SG	N;SG
ország	مملکت	ország	مملکت	N;NOM;SG	N;SG
ország	ییلاق	ország	ییلاق	N;NOM;SG	N;SG
évek	سالهای	év	سال	N;NOM;PL	N;PL
évek	سالها	év	سال	N;NOM;PL	N;PL
klub	باشگاه	klub	باشگاه	N;NOM;SG	N;SG
klub	چماق	klub	چماق	N;NOM;SG	N;SG
klub	کلاب	klub	کلاب	N;NOM;SG	N;SG
klub	کلوب	klub	کلوب	N;NOM;SG	N;SG
klub	کلوپ	klub	کلوپ	N;NOM;SG	N;SG
információk	اطلاعات	információ	اطلاع	N;NOM;PL	N;PL
információk	اطلاعات	információ	اطلاع	N;NOM;PL	N;PL
információk	معلومات	információ	معلوم	N;NOM;PL	N;PL
vita	بحثش	vita	بحثش	N;NOM;SG	N;SG
vita	بحث	vita	بحث	N;NOM;SG	N;SG
vita	vita	vita	vita	N;NOM;SG	N;SG
vita	مناظره	vita	مناظره	N;NOM;SG	N;SG
vita	نزاع	vita	نزاع	N;NOM;SG	N;SG
vita	جدال	vita	None	N;NOM;SG	N;SG
vita	ستیزه	vita	ستیزه	N;NOM;SG	N;SG
vita	پرخاش	vita	پرخاش	N;NOM;SG	N;SG
itt	اینجا	itt	اینجا	ADV	ADV;ESS
akkor	پس	akkor	پس	ADV	ADV
fájl	پرونده	fájl	پرونده	N;NOM;SG	N;SG
amerikai	آمریکایی	amerikai	آمریکایی	ADJ;NOM;SG	ADJ
január	ژانویه	január	ژانویه	N;NOM;SG	N;SG
május	مه	május	مه	N;NOM;SG	N;SG
csapat	تیم	csapat	تیم	N;NOM;SG	N;SG
csapat	تیمی	csapat	تیم	N;NOM;SG	N;SG
március	مارس	március	مارس	N;NOM;SG	N;SG
március	پیشروی	március	پیشروی	N;NOM;SG	N;SG
március	راهپیمایی	március	راهپیمایی	N;NOM;SG	N;SG
augusztus	آگوست	augusztus	آگوست	N;NOM;SG	N;SG
augusztus	آگست	augusztus	آگست	N;NOM;SG	N;SG
augusztus	اوت	augusztus	اوت	N;NOM;SG	N;SG
minden	همه	minden	همه	PRO;NOM;SG;3	PRO
július	ژوئیه	július	ژوئیه	N;NOM;SG	N;SG
július	جولای	július	جولا	N;NOM;SG	N;SG
szeptember	september	szeptember	september	N;NOM;SG	N;SG
szeptember	سپتامبر	szeptember	سپتامبر	N;NOM;SG	N;SG
június	ژوئن	június	None	N;NOM;SG	N;SG
alatt	زیر	alatt	زیر	ADP	ADP
alatt	تحت	alatt	تحت	ADP	ADP
alatt	زیر	alatt	زیر	ADP	ADP
október	اکتبر	október	اکتبر	N;NOM;SG	N;SG
október	october	október	None	N;NOM;SG	N;SG
február	فوریه	február	فوریه	N;NOM;SG	N;SG
mert	چون	mert	چون	CONJ	CONJ
később	بعدها	későn	بعد	ADV	ADV
később	بعداً	későn	بعداً	ADV	ADV
december	دسامبر	december	دسامبر	N;NOM;SG	N;SG
november	نوامبر	november	نوامبر	N;NOM;SG	N;SG
cikkek	مقالات	cikk	مقاله	N;NOM;PL	N;PL
április	اپریل	április	اپریل	N;NOM;SG	N;SG
április	آوریل	április	None	N;NOM;SG	N;SG
város	قریه	város	قریه	N;NOM;SG	N;SG
város	شهر	város	شهر	N;NOM;SG	N;SG
város	شهرک	város	شهرک	N;NOM;SG	N;SG
város	شهری	város	شهر	N;NOM;SG	N;SG
város	شهر	város	شهر	N;NOM;SG	N;SG
város	سیتی	város	سیتی	N;NOM;SG	N;SG
három	سه	három	سه	NUM;NOM;SG	NUM
díj	اجرت	díj	اجرت	N;NOM;SG	N;SG
díj	مزد	díj	مزد	N;NOM;SG	N;SG
díj	دستمزد	díj	دستمزد	N;NOM;SG	N;SG
díj	جایزه	díj	جایزه	N;NOM;SG	N;SG
díj	جایزه	díj	جایزه	N;NOM;SG	N;SG
kép	عکسه	kép	عکسه	N;NOM;SG	N;SG
kép	عکس	kép	عکس	N;NOM;SG	N;SG
kép	تصویر	kép	تصویر	N;NOM;SG	N;SG
kép	نگاره	kép	نگاره	N;NOM;SG	N;SG
kép	فتو	kép	فتو	N;NOM;SG	N;SG
kép	photo	kép	photo	N;NOM;SG	N;SG
kép	عکس	kép	عکس	N;NOM;SG	N;SG
jános	جان	jános	جان	N;NOM;SG	N;SG
jános	یوحنا	jános	یوحنا	N;NOM;SG	N;SG
jános	یانوش	jános	یانوش	N;NOM;SG	N;SG
istván	ایستوان	istván	ایستوان		
lásd	see	lásd	see		
ezek	اینها	ez	این	PRO;NOM;PL;3	PRO;PL
előtt	پیش	előtt	پیش	ADP	ADP
nemzeti	ملی	nemzeti	ملی	ADJ;NOM;SG	ADJ
józsef	یوژف	józsef	یوژف		
voltak	بودند	van	بود	V;INDF;IND;PL;3;PST;FIN;ACT	V;PL;3;PST
század	شرکت	század	شرکت	N;NOM;SG	N;SG
század	company	század	None	N;NOM;SG	N;SG
század	کمپانی	század	کمپانی	N;NOM;SG	N;SG
század	اسکادران	század	اسکادر	N;NOM;SG	N;SG
század	قرن	század	قرن	N;NOM;SG	N;SG
század	قرنه	század	قرنه	N;NOM;SG	N;SG
század	سده	század	سده	N;NOM;SG	N;SG
hivatalos	رسمی	hivatalos	رسمی	ADJ;NOM;SG	ADJ
svg	svg	svg	svg	N;NOM;SG	N;SG
végeredmény	عاقبت	végeredmény	None	N;NOM;SG	N;SG
végeredmény	نتیجه	végeredmény	نتیجه	N;NOM;SG	N;SG
szövetség	عهد	szövetség	عهد	N;NOM;SG	N;SG
szövetség	پیمان	szövetség	پیمان	N;NOM;SG	N;SG
szövetség	ائتلاف	szövetség	ائتلاف	N;NOM;SG	N;SG
szövetség	وصلت	szövetség	وصلت	N;NOM;SG	N;SG
szövetség	اتحاد	szövetség	اتحاد	N;NOM;SG	N;SG
szövetség	فدراسیون	szövetség	فدراسیون	N;NOM;SG	N;SG
szövetség	انجمن	szövetség	انجمن	N;NOM;SG	N;SG
része	جزء	rész	جزء	N;NOM;SG	N;SG
része	قسمت	rész	قسمت	N;NOM;SG	N;SG
része	پارت	rész	پارت	N;NOM;SG	N;SG
nagyon	خیلی	nagyon	خیلی	ADV	ADV
nagyon	بسیار	nagyon	بسیار	ADV	ADV
kis	کوچک	kis	کوچک	ADJ;NOM;SG	ADJ
kis	اندکی	kis	اندکی	ADJ;NOM;SG	ADJ
kis	کوچک	kis	کوچک	ADJ;NOM;SG	ADJ
kis	کم	kis	کم	ADJ;NOM;SG	ADJ
ott	آنجا	ott	آنجا	ADV	ADV;ESS
templom	پرستشگاه	templom	پرستشگاه	N;NOM;SG	N;SG
templom	عبادتگاه	templom	عبادتگاه	N;NOM;SG	N;SG
templom	معبد	templom	None	N;NOM;SG	N;SG
templom	تمپل	templom	تمپل	N;NOM;SG	N;SG
templom	کلیسا	templom	None	N;NOM;SG	N;SG
templom	چرچ	templom	چرچ	N;NOM;SG	N;SG
templom	کلیسای	templom	None	N;NOM;SG	N;SG
magyarország	مجارستان	magyarország	مجارستان	N;NOM;SG	N;SG
hivatkozások	مراجع	hivatkozás	مراجع	N;NOM;PL	N;PL
hivatkozások	پیوندها	hivatkozás	پیوند	N;NOM;PL	N;PL
hivatkozások	پیوندهای	hivatkozás	پیوند	N;NOM;PL	N;PL
teljes	کلا	teljes	None		
legnagyobb	بزرگترین	nagy	بزرگ	ADJ;NOM;RL;SG	ADJ;RL
legnagyobb	بزرگترین	nagy	بزرگ	ADJ;NOM;RL;SG	ADJ;RL
család	فامیل	család	فامیل	N;NOM;SG	N;SG
család	خانوادگی	család	خانوادگی	N;NOM;SG	N;SG
család	خانواده	család	خانواده	N;NOM;SG	N;SG
falu	روستای	falu	روستا	N;NOM;SG	N;SG
falu	دهکده	falu	دهکده	N;NOM;SG	N;SG
falu	ویلیج	falu	ویلیج	N;NOM;SG	N;SG
falu	روستا	falu	روستا	N;NOM;SG	N;SG
neve	نام	név	نام	N;NOM;SG	N;SG
halál	مرگ	halál	مرگ	N;NOM;SG	N;SG
bár	هرچند	bár	هرچند	CONJ	CONJ
bár	اگرچه	bár	اگرچه	CONJ	CONJ
bár	گرچه	bár	گرچه	CONJ	CONJ
bár	هرچند	bár	هرچند	CONJ	CONJ
bár	اگرچه	bár	اگرچه	CONJ	CONJ
bár	گرچه	bár	گرچه	CONJ	CONJ
szett	تنظیم	szett	تنظیم	N;NOM;SG	N;SG
film	فیلمی	film	فیلم	N;NOM;SG	N;SG
film	فیلم	film	فیلم	N;NOM;SG	N;SG
film	فیلم	film	فیلم	N;NOM;SG	N;SG
kapcsolódó	وابسته	kapcsolódó	وابسته	ADJ;NOM;SG	ADJ
kapcsolódó	مربوط	kapcsolódó	مربوط	ADJ;NOM;SG	ADJ
eredeti	اصیل	eredeti	None	N;NOM;SG	N;SG
eredeti	اوریجینال	eredeti	اوریجینال	N;NOM;SG	N;SG
éve	سال	év	سال	N;NOM;SG	N;SG
áll	ایستاده	áll	None	V;INDF;IND;SG;3;PRS;FIN;ACT	V;SG;3;V.PTCP
györgy	جرج	györgy	جرج	N;NOM;SG	N;SG
györgy	گئورگ	györgy	گئورگ	N;NOM;SG	N;SG
györgy	جورج	györgy	None	N;NOM;SG	N;SG
nagyobb	بزرگتر	nagy	بزرگ	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	بزرگتر	nagy	بزرگ	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	بزرگتری	nagy	بزرگ	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	بالاتری	nagy	بالا	ADJ;NOM;CMPR;SG	ADJ;CMPR
