que	que	que	que	CONJ	CONJ
con	avec	con	avec	ADP	ADP
una	une	uno	un	DET;INDF;FEM;SG	DET;INDF;FEM;SG
categoría	catégorie	categoría	catégorie	N;FEM;SG	N;FEM;SG
para	pour	para	pour	ADP	ADP
fue	fut	ser	être	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
más	davantage	más	davantage	ADV	ADV
más	plus	más	plus	ADV	ADV
sus	leurs	su	son	DET;PL;3	DET;MASC;PL
sus	ses	su	son	DET;PL;3	DET;MASC;PL
sus	vos	su	son	DET;PL;3	DET;MASC;PL
sus	ses	su	son	DET;PL;3	DET;MASC;PL
también	également	también	également	ADV	ADV
también	aussi	también	aussi	ADV	ADV
también	egalement	también	egalement	ADV	ADV
también	trop	también	trop	ADV	ADV
entre	parmi	entre	parmi	ADP	ADP
entre	entre	entre	entre	ADP	ADP
este	ceci	este	ceci	PRO;MASC;SG	PRO;SG
este	cet	este	ce	PRO;MASC;SG	PRO;SG;3
este	cela	este	cela	PRO;MASC;SG	PRO;SG
este	ce	este	ce	PRO;MASC;SG	PRO;SG;3
pero	mais	pero	mais	CONJ	CONJ
años	années	año	année	N;MASC;PL	N;FEM;PL
años	ans	año	an	N;MASC;PL	N;MASC;PL
dos	deux	dos	deux	NUM;PL	NUM
son	sont	ser	être	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
año	annee	año	annee	N;MASC;SG	N;FEM;SG
año	an	año	an	N;MASC;SG	N;MASC;SG
año	année	año	année	N;MASC;SG	N;FEM;SG
desde	depuis	desde	depuis	ADP	ADP
desde	de	desde	de	ADP	ADP
desde	depuis	desde	depuis	ADP	ADP
esta	ceci	este	ceci	PRO;FEM;SG	PRO;SG
esta	cet	este	ce	PRO;FEM;SG	PRO;SG;3
esta	cela	este	cela	PRO;FEM;SG	PRO;SG
esta	ce	este	ce	PRO;FEM;SG	PRO;SG;3
enlaces	liens	enlace	lien	N;MASC;PL	N;MASC;PL
externos	extérieurs	externo	extérieur	ADJ;MASC;PL	ADJ;MASC;PL
externos	externes	externo	externe	ADJ;MASC;PL	ADJ;MASC;PL
ciudad	ville	ciudad	ville	N;FEM;SG	N;FEM;SG
ciudad	ville	ciudad	ville	N;FEM;SG	N;FEM;SG
ser	être	ser	être	V;NFIN	V;NFIN
parte	partie	parte	partie	N;FEM;SG	N;FEM;SG
parte	fete	parte	fete	N;FEM;SG	N;FEM;SG
parte	soirée	parte	soirée	N;FEM;SG	N;FEM;SG
parte	fête	parte	fête	N;FEM;SG	N;FEM;SG
parte	partie	parte	partie	N;FEM;SG	N;FEM;SG
durante	durant	durante	durant	ADP	ADP
durante	pendant	durante	pendant	ADP	ADP
sin	sans	sin	sans	ADP	ADP
donde	où	donde	où	PRO	PRO
era	était	ser	être	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
nacional	national	nacional	national	ADJ;SG	ADJ;MASC;SG
nacional	nationale	nacional	national	ADJ;SG	ADJ;FEM;SG
primera	première	primero	premier	ADJ;FEM;SG	ADJ;FEM;SG
primera	premier	primero	premier	ADJ;FEM;SG	ADJ;MASC;SG
team	équipe	team	équipe	N	N;FEM;SG
team	equipe	team	equipe	N	N;FEM;SG
cuando	lorsque	cuando	lorsque	CONJ	CONJ
cuando	quand	cuando	quand	CONJ	CONJ
nombre	nom	nombre	nom	N;MASC;SG	N;MASC;SG
nombre	dénomination	nombre	dénomination	N;MASC;SG	N;FEM;SG
estados	etats	estado	etat	N;MASC;PL	N;MASC;PL
estados	états	estado	état	N;MASC;PL	N;MASC;PL
utc	utc	utc	utc	N	N;MASC;SG
siglo	siecle	siglo	siecle	N;MASC;SG	N;MASC;SG
siglo	siècle	siglo	siècle	N;MASC;SG	N;MASC;SG
siglo	century	siglo	century	N;MASC;SG	N;MASC;SG
españa	espagne	españa	espagner	N;FEM;SG	N;MASC;SG
otros	autres	otro	autre	PRO;MASC;PL	PRO;PL
otros	autres	otro	autre	PRO;MASC;PL	PRO;PL
gran	gros	gran	gros	ADJ;SG	ADJ;MASC;SG
gran	grosse	gran	gros	ADJ;SG	ADJ;FEM;SG
gran	grande	gran	grand	ADJ;SG	ADJ;FEM;SG
gran	grand	gran	grand	ADJ;SG	ADJ;MASC;SG
gran	grande	gran	grand	ADJ;SG	ADJ;FEM;SG
gran	génial	gran	génial	ADJ;SG	ADJ;MASC;SG
gran	grand	gran	grand	ADJ;SG	ADJ;MASC;SG
gran	grandiose	gran	grandiose	ADJ;SG	ADJ;MASC;SG
gran	grand	gran	grand	ADJ;SG	ADJ;MASC;SG
unidos	unies	unido	uni	ADJ;MASC;PL;V.PTCP	ADJ;FEM;PL
puede	peut	poder	pouvoir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
estado	état	estado	état	N;MASC;SG	N;MASC;SG
estado	statut	estado	statut	N;MASC;SG	N;MASC;SG
estado	etat	estado	etat	N;MASC;SG	N;MASC;SG
estado	état	estado	état	N;MASC;SG	N;MASC;SG
estado	état	estado	état	N;MASC;SG	N;MASC;SG
estado	condition	estado	condition	N;MASC;SG	N;FEM;SG
uno	un	uno	un	PRO;MASC;SG	PRO;MASC;SG
lugar	lieu	lugar	lieu	N;MASC;SG	N;MASC;SG
lugar	place	lugar	place	N;MASC;SG	N;FEM;SG
lugar	endroit	lugar	endroit	N;MASC;SG	N;MASC;SG
lugar	lieu	lugar	lieu	N;MASC;SG	N;MASC;SG
lugar	localisation	lugar	localisation	N;MASC;SG	N;FEM;SG
lugar	emplacement	lugar	emplacement	N;MASC;SG	N;MASC;SG
lugar	localité	lugar	localité	N;MASC;SG	N;FEM;SG
lugar	lieu	lugar	lieu	N;MASC;SG	N;MASC;SG
primer	première	primero	premier	ADJ;MASC;SG	ADJ;FEM;SG
primer	premier	primero	premier	ADJ;MASC;SG	ADJ;MASC;SG
población	population	población	population	N;FEM;SG	N;FEM;SG
muy	très	mucho	très	ADV	ADV
muy	trés	mucho	trés	ADV	ADV
había	avait	haber	avoir	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
mismo	identique	mismo	identique	ADJ;MASC;SG	ADJ;MASC;SG
nueva	nouveau	nuevo	nouveau	ADJ;FEM;SG	ADJ;MASC;SG
nueva	nouvelle	nuevo	nouveau	ADJ;FEM;SG	ADJ;FEM;SG
historia	récit	historia	récit	N;FEM;SG	N;MASC;SG
historia	histoire	historia	histoire	N;FEM;SG	N;FEM;SG
club	club	club	club	N;MASC;SG	N;MASC;SG
eran	étaient	ser	être	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
cual	laquelle	cual	lequel	PRO;SG	PRO;FEM;SG
cual	lequel	cual	lequel	PRO;SG	PRO;MASC;SG
universidad	université	universidad	université	N;FEM;SG	N;FEM;SG
universidad	collège	universidad	collège	N;FEM;SG	N;MASC;SG
universidad	université	universidad	université	N;FEM;SG	N;FEM;SG
forma	shape	forma	shape	N;FEM;SG	N;MASC;SG
forma	forme	forma	forme	N;FEM;SG	N;FEM;SG
forma	forme	forma	forme	N;FEM;SG	N;FEM;SG
forma	formulaire	forma	formulaire	N;FEM;SG	N;MASC;SG
tres	trois	tres	trois	NUM;PL	NUM
grupo	groupe	grupo	groupe	N;MASC;SG	N;MASC;SG
general	général	general	général	N;SG	N;MASC;SG
guerra	guerre	guerra	guerre	N;FEM;SG	N;FEM;SG
guerra	war	guerra	war	N;FEM;SG	N;SG
tras	après	tras	après	ADP	ADP
familia	famille	familia	famille	N;FEM;SG	N;FEM;SG
además	également	además	également	ADV	ADV
además	aussi	además	aussi	ADV	ADV
además	egalement	además	egalement	ADV	ADV
además	plus	además	plus	ADV	ADV
todo	tout	todo	tout	PRO;MASC;SG	PRO;MASC;SG
todo	tout	todo	tout	PRO;MASC;SG	PRO;MASC;SG
sur	sud	sur	sud	N;MASC;SG	N;MASC;SG
mayor	majeur	mayor	majeur	ADJ;SG	ADJ;MASC;SG
tiempo	temps	tiempo	temps	N;MASC;SG	N;MASC;SG
tiempo	météorologie	tiempo	météorologie	N;MASC;SG	N;FEM;SG
tiempo	météo	tiempo	météo	N;MASC;SG	N;FEM;SG
tiempo	climat	tiempo	climat	N;MASC;SG	N;MASC;SG
tiempo	temps	tiempo	temps	N;MASC;SG	N;MASC;SG
tiempo	heure	tiempo	heure	N;MASC;SG	N;FEM;SG
provincia	province	provincia	province	N;FEM;SG	N;FEM;SG
partido	partie	partido	partie	N;MASC;SG	N;FEM;SG
partido	fete	partido	fete	N;MASC;SG	N;FEM;SG
partido	soirée	partido	soirée	N;MASC;SG	N;FEM;SG
partido	fête	partido	fête	N;MASC;SG	N;FEM;SG
partido	correspondance	partido	correspondance	N;MASC;SG	N;FEM;SG
partido	allumette	partido	allumette	N;MASC;SG	N;FEM;SG
partido	match	partido	match	N;MASC;SG	N;MASC;SG
contra	contre	contra	contre	ADP	ADP
encuentra	trouver	encontrar	trouver	V;IND;SG;3;PRS;FIN	V;NFIN
encuentra	trouve	encontrar	trouver	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
municipio	municipalité	municipio	municipalité	N;MASC;SG	N;FEM;SG
otras	autres	otro	autre	PRO;FEM;PL	PRO;PL
otras	autres	otro	autre	PRO;FEM;PL	PRO;PL
todos	toutes	todo	tout	PRO;MASC;PL	PRO;FEM;PL
todos	tous	todo	tout	PRO;MASC;PL	PRO;MASC;PL
bajo	sous	bajo	sous	ADP	ADP
serie	série	serie	série	N;FEM;SG	N;FEM;SG
serie	serial	serie	serial	N;FEM;SG	N;MASC;SG
serie	série	serie	série	N;FEM;SG	N;FEM;SG
serie	serie	serie	serie	N;FEM;SG	N;FEM;SG
cada	chaque	cada	chaque	DET;SG	DET;FEM;SG
cada	chaque	cada	chaque	DET;SG	DET;FEM;SG
fútbol	football	fútbol	football	N;MASC;SG	N;MASC;SG
fútbol	foot	fútbol	foot	N;MASC;SG	N;MASC;SG
fútbol	soccer	fútbol	soccer	N;MASC;SG	N;MASC;SG
fútbol	football	fútbol	football	N;MASC;SG	N;MASC;SG
equipo	équipement	equipo	équipement	N;MASC;SG	N;MASC;SG
equipo	matériel	equipo	matériel	N;MASC;SG	N;MASC;SG
equipo	equipement	equipo	equipement	N;MASC;SG	N;MASC;SG
equipo	équipe	equipo	équipe	N;MASC;SG	N;FEM;SG
equipo	equipe	equipo	equipe	N;MASC;SG	N;FEM;SG
norte	norte	norte	nort	N;MASC;SG	N;FEM;SG
norte	nord	norte	nord	N;MASC;SG	N;MASC;SG
norte	nord	norte	nord	N;MASC;SG	N;MASC;SG
norte	nord	norte	nord	N;MASC;SG	N;MASC;SG
río	río	río	río	N;MASC;SG	N;MASC;SG
río	fleuve	río	fleuve	N;MASC;SG	N;MASC;SG
río	rivière	río	rivière	N;MASC;SG	N;FEM;SG
han	ont	haber	avoir	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
argentina	argentine	argentino	argentin	ADJ;FEM;SG	ADJ;FEM;SG
argentina	argentin	argentino	argentin	ADJ;FEM;SG	ADJ;MASC;SG
argentina	argentine	argentino	argentin	ADJ;FEM;SG	ADJ;FEM;SG
inglés	anglais	inglés	anglais	N;MASC;SG	N;MASC;SG
nuevo	nouveau	nuevo	nouveau	ADJ;MASC;SG	ADJ;MASC;SG
nuevo	nouvelle	nuevo	nouveau	ADJ;MASC;SG	ADJ;FEM;SG
véase	voir	véase	voir	V;SBJV;SG;3;PRS;FIN	V;NFIN
septiembre	septembre	septiembre	septembre	N	N;MASC;SG
octubre	octobre	octubre	octobre	N	N;MASC;SG
segunda	second	segundo	second	ADJ;FEM;SG	ADJ;MASC;SG
segunda	deuxième	segundo	deuxième	ADJ;FEM;SG	ADJ;MASC;SG
segunda	deuxieme	segundo	deuxieme	ADJ;FEM;SG	ADJ;MASC;SG
segunda	seconde	segundo	second	ADJ;FEM;SG	ADJ;FEM;SG
discusión	discussion	discusión	discussion	N;FEM;SG	N;FEM;SG
discusión	débat	discusión	débat	N;FEM;SG	N;MASC;SG
gobierno	gouvernance	gobierno	gouvernance	N;MASC;SG	N;FEM;SG
gobierno	gouvernement	gobierno	gouvernement	N;MASC;SG	N;MASC;SG
condado	comté	condado	comté	N;MASC;SG	N;MASC;SG
final	end	final	end	N;MASC;SG	N;MASC;SG
final	fin	final	fin	N;MASC;SG	N;FEM;SG
final	finale	final	finale	N;MASC;SG	N;FEM;SG
final	finale	final	finale	N;MASC;SG	N;FEM;SG
final	finale	final	finale	N;MASC;SG	N;FEM;SG
vida	vie	vida	vie	N;FEM;SG	N;FEM;SG
personas	personnes	persona	personne	N;FEM;PL	N;FEM;PL
personas	gens	persona	gens	N;FEM;PL	N;MASC;PL
personas	personnes	persona	personne	N;FEM;PL	N;FEM;PL
centro	downtown	centro	downtown	N;MASC;SG	N;MASC;SG
centro	center	centro	center	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
julio	jules	julio	jule	N	N;MASC;SG
julio	juillet	julio	juillet	N	N;MASC;SG
país	pays	país	pays	N;MASC;SG	N;MASC;SG
web	site	web	site	N;FEM;SG	N;MASC;SG
web	web	web	web	N;FEM;SG	N;MASC;SG
web	enchaînement	web	enchaînement	N;FEM;SG	N;MASC;SG
internacional	international	internacional	international	ADJ;SG	ADJ;MASC;SG
internacional	internationale	internacional	international	ADJ;SG	ADJ;FEM;SG
santa	sainte	santo	saint	ADJ;FEM;SG	ADJ;FEM;SG
santa	sainte	santo	saint	ADJ;FEM;SG	ADJ;FEM;SG
antes	auparavant	antes	auparavant	ADV	ADV
oficial	officielle	oficial	officiel	ADJ;SG	ADJ;FEM;SG
oficial	officiel	oficial	officiel	ADJ;SG	ADJ;MASC;SG
quien	qui	quien	qui	PRO;SG	PRO
mundo	monde	mundo	monde	N;MASC;SG	N;MASC;SG
embargo	embargo	embargo	embargo	N;MASC;SG	N;MASC;SG
embargo	blocus	embargo	blocus	N;MASC;SG	N;MASC;SG
mayo	mai	mayo	mai	N	N;MASC;SG
mayo	mayonnaise	mayo	mayonnaise	N	N;FEM;SG
algunos	certains	alguno	certain	PRO;MASC;PL	PRO;MASC;PL
algunos	certaines	alguno	certain	PRO;MASC;PL	PRO;FEM;PL
algunos	quelques	alguno	quelque	PRO;MASC;PL	PRO;PL
temporada	saison	temporada	saison	N;FEM;SG	N;FEM;SG
hacia	vers	hacia	vers	ADP	ADP
mejor	mieux	mejor	mieux	ADV	ADV
luego	ensuite	luego	ensuite	ADV	ADV
luego	alors	luego	alors	ADV	ADV
marzo	marche	marzo	marche	N	N;FEM;SG
marzo	mars	marzo	mars	N	N;MASC;SG
día	journée	día	journée	N;MASC;SG	N;FEM;SG
día	jour	día	jour	N;MASC;SG	N;MASC;SG
día	journee	día	journee	N;MASC;SG	N;FEM;SG
siendo	être	ser	être	V;V.MSDR	V;NFIN
enero	jan	enero	jan	N	N;MASC;SG
enero	janvier	enero	janvier	N	N;MASC;SG
número	nombre	número	nombre	N;MASC;SG	N;MASC;SG
número	numéro	número	numéro	N;MASC;SG	N;MASC;SG
agosto	aout	agosto	août	N	N;MASC;SG
agosto	août	agosto	août	N	N;MASC;SG
agosto	aout	agosto	août	N	N;MASC;SG
agosto	août	agosto	août	N	N;MASC;SG
diciembre	décembre	diciembre	décembre	N	N;MASC;SG
diciembre	decembre	diciembre	decembre	N	N;MASC;SG
artículo	article	artículo	article	N;MASC;SG	N;MASC;SG
artículo	élément	artículo	élément	N;MASC;SG	N;MASC;SG
noviembre	novembre	noviembre	novembre	N	N;MASC;SG
noviembre	novembre	noviembre	novembre	N	N;MASC;SG
noviembre	nov	noviembre	novembre	N	N;MASC;SG
otro	autre	otro	autre	PRO;MASC;SG	PRO;SG
estaba	etait	estar	etever	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
estos	ces	este	ce	PRO;MASC;PL	PRO;PL;3
abril	avril	abril	avril	N	N;MASC;SG
total	totale	total	total	ADJ;SG	ADJ;FEM;SG
región	région	región	région	N;FEM;SG	N;FEM;SG
sistema	système	sistema	système	N;MASC;SG	N;MASC;SG
habitantes	habitants	habitante	habitant	N;PL	N;MASC;PL
habitantes	habitants	habitante	habitant	N;PL	N;MASC;PL
habitantes	résidents	habitante	résident	N;PL	N;MASC;PL
maría	marie	maría	marier	N;FEM;SG	N;FEM;SG
maría	marie	maría	marier	N;FEM;SG	N;FEM;SG
maría	marie	maría	marier	N;FEM;SG	N;FEM;SG
real	réel	real	réel	ADJ;SG	ADJ;MASC;SG
real	réelle	real	réel	ADJ;SG	ADJ;FEM;SG
real	véritable	real	véritable	ADJ;SG	ADJ;MASC;SG
real	vrai	real	vrai	ADJ;SG	ADJ;MASC;SG
real	vraie	real	vrai	ADJ;SG	ADJ;FEM;SG
real	royale	real	royal	ADJ;SG	ADJ;FEM;SG
real	royal	real	royal	ADJ;SG	ADJ;MASC;SG
página	page	página	page	N;FEM;SG	N;FEM;SG
esto	ceci	este	ceci	PRO;SG	PRO;SG
esto	cet	este	ce	PRO;SG	PRO;SG;3
esto	cela	este	cela	PRO;SG	PRO;SG
esto	ce	este	ce	PRO;SG	PRO;SG;3
mundial	mondiale	mundial	mondial	ADJ;SG	ADJ;FEM;SG
mundial	mondial	mundial	mondial	ADJ;SG	ADJ;MASC;SG
mundial	mondial	mundial	mondial	ADJ;SG	ADJ;MASC;SG
mundial	mondiale	mundial	mondial	ADJ;SG	ADJ;FEM;SG
mundial	global	mundial	global	ADJ;SG	ADJ;MASC;SG
mundial	mondiale	mundial	mondial	ADJ;SG	ADJ;FEM;SG
mundial	mondial	mundial	mondial	ADJ;SG	ADJ;MASC;SG
música	musique	música	musique	N;FEM;SG	N;FEM;SG
