agir	konať	agir	konať	V;NFIN	V;IPFV;POS;NFIN
jersey	dres	jersey	dres	N;MASC;SG	N;INAN;NOM;MASC;SG
jersey	drese	jersey	dres	N;MASC;SG	N;INAN;NOM;MASC;SG
atlântica	atlantiku	atlântico	atlantika	N;FEM;SG	N;INAN;GEN;MASC;SG
atlântica	atlantic	atlântico	atlantica	N;FEM;SG	N;INAN;NOM;MASC;SG
atlântica	atlantik	atlântico	atlantik	N;FEM;SG	N;INAN;NOM;MASC;SG
hell	peklo	hell	peklo	N;MASC;SG	N;NOM;NEUT;SG
hell	čert	hell	čert	N;MASC;SG	N;ANIM;NOM;MASC;SG
chineses	číňania	chinês	číňanie	N;MASC;PL	N;ANIM;NOM;NEUT;PL
renascimento	znovuzrodenie	renascimento	znovuzrodenie	N;MASC;SG	N;NOM;NEUT;SG
colonos	kolonistov	colono	kolonista	N;MASC;PL	N;ANIM;GEN;MASC;PL
colonos	osadníkov	colono	osadník	N;MASC;PL	N;ANIM;ACC;MASC;PL
cultivo	pestovanie	cultivo	pestovanie	N;MASC;SG	N;NOM;NEUT;SG
galo	vtáka	galo	vták	N;MASC;SG	N;ANIM;ACC;MASC;SG
galo	kohút	galo	kohút	N;MASC;SG	N;ANIM;NOM;MASC;SG
galo	kokot	galo	kokot	N;MASC;SG	N;ANIM;NOM;MASC;SG
galo	kohút	galo	kohút	N;MASC;SG	N;ANIM;NOM;MASC;SG
reuniões	stretnutí	reunião	stretnutie	N;FEM;PL	N;NOM;NEUT;PL
reuniões	zasadnutia	reunião	zasadnutie	N;FEM;PL	N;NOM;NEUT;PL
reuniões	stretnutia	reunião	stretnutie	N;FEM;PL	N;NOM;NEUT;PL
reuniões	schôdze	reunião	schôdza	N;FEM;PL	N;NOM;FEM;PL
reuniões	zasadania	reunião	zasadanie	N;FEM;PL	N;NOM;NEUT;PL
gerações	generácie	geração	generácia	N;FEM;PL	N;NOM;FEM;PL
gerações	generáciami	geração	generácia	N;FEM;PL	N;INS;FEM;PL
gerações	generácií	geração	generácia	N;FEM;PL	N;GEN;FEM;PL
piso	podlaha	piso	podlaha	N;MASC;SG	N;NOM;FEM;SG
piso	poschodie	piso	poschodie	N;MASC;SG	N;NOM;NEUT;SG
pagina	stránke	pagina	stránka	N;FEM;SG	N;DAT;FEM;SG
pagina	strana	pagina	strana	N;FEM;SG	N;NOM;FEM;SG
pagina	stránka	pagina	stránka	N;FEM;SG	N;NOM;FEM;SG
pagina	stránku	pagina	stránka	N;FEM;SG	N;ACC;FEM;SG
leme	kormidlo	leme	kormidlo	N;MASC;SG	N;NOM;NEUT;SG
leme	kormidle	leme	kormidlo	N;MASC;SG	N;NOM;NEUT;SG
leme	kormidlo	leme	kormidlo	N;MASC;SG	N;NOM;NEUT;SG
liberais	liberáli	liberal	liberál	N;MASC;PL	N;ANIM;NOM;MASC;PL
liberais	liberálov	liberal	liberál	N;MASC;PL	N;ANIM;ACC;MASC;PL
selvagem	divé	selvagem	divý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
selvagem	divá	selvagem	divý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
selvagem	divoký	selvagem	divoký	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
selvagem	divoký	selvagem	divoký	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
formatos	formátov	formato	formát	N;MASC;PL	N;INAN;GEN;MASC;PL
formatos	formáty	formato	formát	N;MASC;PL	N;INAN;NOM;MASC;PL
aceitação	akceptovanie	aceitação	akceptovanie	N;FEM;SG	N;NOM;NEUT;SG
aceitação	prijatie	aceitação	prijatie	N;FEM;SG	N;NOM;NEUT;SG
recebem	prijímať	receber	prijímať	V;IND;PL;3;PRS;FIN	V;IPFV;POS;NFIN
recebem	prijímajú	receber	prijímať	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
recebem	dostávať	receber	dostávať	V;IND;PL;3;PRS;FIN	V;IPFV;POS;NFIN
recebem	prijať	receber	prijať	V;IND;PL;3;PRS;FIN	V;PFV;POS;NFIN
sítios	lokality	sítio	lokalita	N;MASC;PL	N;NOM;FEM;PL
sítios	stránky	sítio	stránka	N;MASC;PL	N;NOM;FEM;PL
sítios	stránok	sítio	stránka	N;MASC;PL	N;GEN;FEM;PL
sítios	reštaurácie	sítio	reštaurácia	N;MASC;PL	N;NOM;FEM;PL
sítios	miest	sítio	mesto	N;MASC;PL	N;GEN;NEUT;PL
sítios	miesta	sítio	miesto	N;MASC;PL	N;NOM;NEUT;PL
bandeiras	vlajky	bandeira	vlajka	N;FEM;PL	N;NOM;FEM;PL
bandeiras	zástavy	bandeira	zástava	N;FEM;PL	N;NOM;FEM;PL
bandeiras	zástavy	bandeira	zástava	N;FEM;PL	N;NOM;FEM;PL
túmulo	hrobke	túmulo	hrobka	N;MASC;SG	N;DAT;FEM;SG
túmulo	hrobka	túmulo	hrobka	N;MASC;SG	N;NOM;FEM;SG
túmulo	hrob	túmulo	hrob	N;MASC;SG	N;INAN;NOM;MASC;SG
