kategória	kategori	kategória	kategori	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
roku	aars	rok	aars	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
roku	året	rok	år	N;INAN;GEN;MASC;SG	N;DEF;NEUT;SG
roku	år	rok	år	N;INAN;GEN;MASC;SG	N;INDF;NEUT;SG
ako	hvordan	ako	hvordan	ADV	ADV
ako	gerne	ako	gerne	ADV	ADV
bol	var	byť	være	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
bol	blev	byť	blive	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
bol	været	byť	være	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
pozri	se	pozrieť	se	V;PFV;IMP;SG;2;POS;FIN	V;NFIN;ACT
pozri	se	pozrieť	se	V;PFV;IMP;SG;2;POS;FIN	V;NFIN;ACT
obce	kommuner	obec	kommune	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
obce	kommunerne	obec	kommune	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
obce	kommuner	obec	kommune	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
obce	kommunerne	obec	kommune	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
obce	landsbyer	obec	landsby	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
obce	landsbyerne	obec	landsby	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
obyvateľov	indbyggerne	obyvateľ	indbygger	N;ANIM;ACC;MASC;PL	N;DEF;MASC+FEM;PL
obyvateľov	indbyggere	obyvateľ	indbygger	N;ANIM;ACC;MASC;PL	N;INDF;MASC+FEM;PL
obyvateľov	beboere	obyvateľ	beboer	N;ANIM;ACC;MASC;PL	N;INDF;MASC+FEM;PL
obyvateľov	residenter	obyvateľ	resident	N;ANIM;ACC;MASC;PL	N;INDF;MASC+FEM;PL
obyvateľov	indbyggere	obyvateľ	indbygger	N;ANIM;ACC;MASC;PL	N;INDF;MASC+FEM;PL
obyvateľov	beboere	obyvateľ	beboer	N;ANIM;ACC;MASC;PL	N;INDF;MASC+FEM;PL
obec	kommune	obec	kommune	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
