kot	como	kot	como	CONJ	CONJ
team	equipo	teama	equipo	N;NOM;MASC;SG	N;MASC;SG
team	team	teama	team	N;NOM;MASC;SG	N
bil	estaba	biti	estar	V;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
med	durante	med	durante	ADP;INS	ADP
med	entre	med	entre	ADP;INS	ADP
seznam	lista	seznam	lista	N;NOM;MASC;SG	N;FEM;SG
glej	ver	gledati	ver	V;IPFV;IMP;SG;2;FIN	V;NFIN
glej	mirar	gledati	mirar	V;IPFV;IMP;SG;2;FIN	V;NFIN
glej	mira	gledati	mirar	V;IPFV;IMP;SG;2;FIN	V;IMP;SG;2;FIN
bila	estaba	biti	estar	V;FEM;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
nova	nuevo	nov	nuevo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
nova	nueva	nov	nuevo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
povezave	conexiones	povezava	conexión	N;NOM;FEM;PL	N;FEM;PL
povezave	acoplamientos	povezava	acoplamiento	N;NOM;FEM;PL	N;MASC;PL
povezave	vínculos	povezava	vínculo	N;NOM;FEM;PL	N;MASC;PL
povezave	enlaces	povezava	enlace	N;NOM;FEM;PL	N;MASC;PL
povezave	links	povezava	link	N;NOM;FEM;PL	N;MASC;PL
zunanje	externos	zunanji	externo	ADJ;NOM;FEM;PL	ADJ;MASC;PL
del	part	del	part	N;NOM;MASC;SG	N
del	parte	del	parte	N;NOM;MASC;SG	N;FEM;SG
jih	ellas	on	él	PRO;ACC;MASC;PL;3	PRO;FEM;PL;3
jih	ellos	on	él	PRO;ACC;MASC;PL;3	PRO;MASC;PL;3
mesto	pueblo	mesto	pueblo	N;NOM;NEUT;SG	N;MASC;SG
mesto	ciudad	mesto	ciudad	N;NOM;NEUT;SG	N;FEM;SG
mesto	ciudad	mesto	ciudad	N;NOM;NEUT;SG	N;FEM;SG
ima	tiene	imeti	tener	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
september	setiembre	september	setiembre	N;NOM;MASC;SG	N
september	septiembre	september	septiembre	N;NOM;MASC;SG	N
opombe	apuntes	opomba	apunte	N;NOM;FEM;PL	N;MASC;PL
opombe	notas	opomba	nota	N;NOM;FEM;PL	N;FEM;PL
opombe	notes	opomba	note	N;NOM;FEM;PL	N
opombe	observaciones	opomba	observación	N;NOM;FEM;PL	N;FEM;PL
opombe	comentarios	opomba	comentario	N;NOM;FEM;PL	N;MASC;PL
opombe	observaciones	opomba	observación	N;NOM;FEM;PL	N;FEM;PL
ime	nombre	ime	nombre	N;NOM;NEUT;SG	N;MASC;SG
ime	name	ime	name	N;NOM;NEUT;SG	N
ime	denominación	ime	denominación	N;NOM;NEUT;SG	N;FEM;SG
center	centro	center	centro	N;NOM;MASC;SG	N;MASC;SG
center	center	center	center	N;NOM;MASC;SG	N;MASC;SG
center	centro	center	centro	N;NOM;MASC;SG	N;MASC;SG
center	centre	center	centre	N;NOM;MASC;SG	N;MASC;SG
viri	fuentes	vir	fuente	N;NOM;MASC;PL	N;FEM;PL
viri	recursos	vir	recurso	N;NOM;MASC;PL	N;MASC;PL
prvi	primeras	prvi	primero	ADJ;NOM;MASC;PL	ADJ;FEM;PL
prvi	primeros	prvi	primero	ADJ;NOM;MASC;PL	ADJ;MASC;PL
proti	contra	proti	contra	ADP;DAT	ADP
oktober	octubre	oktober	octubre	N;NOM;MASC;SG	N
