som	wie	som	wie	ADP	ADP
for	für	for	für	ADP	ADP
med	mit	med	mit	ADP	ADP
var	war	vere	sein	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
var	wurde	vere	werden	V;IND;PST;FIN	V;IND;SG;3;PST;FIN;PASS
var	wurden	vere	werden	V;IND;PST;FIN	V;IND;PL;3;PST;FIN;PASS
var	waren	vere	sein	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
har	verfügt	ha	verfügen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
har	hat	ha	haben	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
har	haben	ha	haben	V;IND;PRS;FIN	V;IND;PL;3;FIN
også	ausserdem	også	ausserdem	ADV	ADV
også	ebenso	også	ebenso	ADV	ADV
også	außerdem	også	außerdem	ADV	ADV
også	ebenfalls	også	ebenfalls	ADV	ADV
også	auch	også	auch	ADV	ADV
også	ebenfalls	også	ebenfalls	ADV	ADV
også	auch	også	auch	ADV	ADV
men	aber	men	aber	CONJ	CONJ
etter	nach	etter	nach	ADP	ADP
under	unterhalb	under	unterhalb	ADP	ADP
under	unterhalb	under	unterhalb	ADP	ADP
under	unter	under	unter	ADP	ADP
eksterne	externen	ekstern	extern	ADJ;PL	ADJ
hadde	hatten	ha	haben	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
hadde	hatte	ha	haben	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
over	über	over	über	ADP	ADP
over	über	over	über	ADP	ADP
første	erster	første	erst	ADJ;DEF;SG	ADJ;NOM;MASC;SG
mot	gegen	mot	gegen	ADP	ADP
der	dort	der	dort	ADV	ADV
der	dorthin	der	dorthin	ADV	ADV
der	da	der	da	ADV	ADV
mellom	zwischen	mellom	zwischen	ADP	ADP
blir	bleiben	bli	bleiben	V;IND;PRS;FIN	V;NFIN
kom	kommen	kome	kommen	V;IMP;PST;FIN	V;NFIN
mange	viele	mange	viel	ADJ;PL	ADJ;NOM;INDF;PL
mange	zahlreiche	mange	zahlreich	ADJ;PL	ADJ;NOM;FEM;PL
mange	vielen	mange	viel	ADJ;PL	ADJ;ACC;INDF;MASC;PL
ligger	verlegen	ligger	verlegen	V;IND;PRS;FIN	V;NFIN
før	vor	før	vor	ADP	ADP
død	todesstrafe	død	todesstraf	N;INDF;MASC;SG	N;NOM;FEM;SG
del	teilen	dele	teilen	V;IMP;FIN	V;NFIN
norske	norwegisch	norsk	norwegisch	ADJ;PL	ADJ
norske	norwegischer	norsk	norwegisch	ADJ;PL	ADJ
norske	norwegischen	norsk	norwegisch	ADJ;PL	ADJ
tre	drei	tre	drei	NUM;PL	NUM
skal	gehe	skulle	gehen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
skal	gehen	skulle	gehen	V;IND;PRS;FIN	V;NFIN
store	großen	stor	groß	ADJ;PL	ADJ;PL
