על	について	על	について	ADP	ADP
קטגוריה	カテゴリー	קטגוריה	カテゴリー	N;FEM;SG	N
קטגוריה	区分	קטגוריה	区分	N;FEM;SG	N
קטגוריה	カテゴリ	קטגוריה	カテゴリ	N;FEM;SG	N
זה	これ	זה	これ	PRO;MASC;SG;3	PRO
היא	彼女	הוא	彼女	PRO;FEM;SG;3	PRO
שיחה	スレッド	שיחה	スレッド	N;FEM;SG	N
שיחה	コール	שיחה	コール	N;FEM;SG	N
יותר	もっと	יותר	もっと	ADV	ADV
אך	でも	אך	でも	CONJ	CONJ
אך	しかし	אך	しかし	CONJ	CONJ
עד	まで	עד	まで	ADP	ADP
עד	まで	עד	まで	ADP	ADP
בית	自宅	בית	自宅	N;MASC;SG	N
בית	ホーム	בית	ホーム	N;MASC;SG	N
בית	ハウス	בית	ハウス	N;MASC;SG	N
אחד	一	אחד	一	NUM;MASC;SG	NUM
שמאל	左側	שמאל	左側	N;MASC;SG	N
מספר	番号	מספר	番号	N;MASC;SG	N
מספר	数値	מספר	数値	N;MASC;SG	N
מספר	ナンバー	מספר	ナンバー	N;MASC;SG	N
רק	ちょうど	רק	ちょうど	ADV	ADV
שני	二	שני	二	NUM;MASC;PL	NUM
שני	二	שני	二	NUM;MASC;PL	NUM
שנים	年数	שנה	年数	N;FEM;PL	N
אבל	でも	אבל	でも	CONJ	CONJ
אבל	しかし	אבל	しかし	CONJ	CONJ
אביב	スプリング	אביב	スプリング	N;MASC;SG	N
במאי	五月	במאי	五月	N;MASC;SG	N
במאי	監督	במאי	監督	N;MASC;SG	N
במאי	取締役	במאי	取締役	N;MASC;SG	N
שנה	イヤー	שנה	イヤー	N;FEM;SG	N
שנה	年数	שנה	年数	N;FEM;SG	N
הערות	注記	הערה	注記	N;FEM;PL	N
הערות	メモ	הערה	メモ	N;FEM;PL	N
הערות	備考	הערה	備考	N;FEM;PL	N
הערות	ノート	הערה	ノート	N;FEM;PL	N
הערות	コメント	הערה	コメント	N;FEM;PL	N
חלק	パート	חלק	パート	N;MASC;SG	N
חלק	部分	חלק	部分	N;MASC;SG	N
חלק	スムース	חלק	スムース	N;MASC;SG	N
אחת	一	אחת	一	NUM;FEM;SG	NUM
שוליים	余白	שול	余白	N;MASC;PL	N
שוליים	フリンジ	שול	フリンジ	N;MASC;PL	N
שוליים	マージン	שול	マージン	N;MASC;PL	N
שוליים	余白	שול	余白	N;MASC;PL	N
ארצות	国々	ארץ	国々	N;FEM;PL	N
ראש	ヘッド	ראש	ヘッド	N;MASC;SG	N
ראש	頭部	ראש	頭部	N;MASC;SG	N
ראש	ラッシュ	ראש	ラッシュ	N;MASC;SG	N
ערך	バリュー	ערך	バリュー	N;MASC;SG	N
ערך	価額	ערך	価額	N;MASC;SG	N
אלו	これら	אלו	これら	PRO;PL;3	PRO
אלו	これら	אלו	これら	PRO;PL;3	PRO
זמן	タイム	זמן	タイム	N;MASC;SG	N
זמן	時間	זמן	時間	N;MASC;SG	N
בעיקר	主に	בעיקר	主に	ADV	ADV
אתר	ウェブ	אתר	ウェブ	N;MASC;SG	N
אתר	サイト	אתר	サイト	N;MASC;SG	N
אתר	敷地	אתר	敷地	N;MASC;SG	N
אדם	人物	אדם	人物	N;MASC;SG	N
אדם	ヒト	אדם	ヒト	N;MASC;SG	N
אדם	ヒューマン	אדם	ヒューマン	N;MASC;SG	N
אדם	人間	אדם	人間	N;MASC;SG	N
אדם	男性	אדם	男性	N;MASC;SG	N
עוד	もっと	עוד	もっと	ADV	ADV
דבר	トーク	דבר	トーク	N;MASC;SG	N
אחרים	他の	אחר	他の	ADJ;MASC;PL	ADJ
ספר	書物	ספר	書物	N;MASC;SG	N
ספר	ブック	ספר	ブック	N;MASC;SG	N
ספר	理容師	ספר	理容師	N;MASC;SG	N
