les	die	le	die	DET;DEF;PL	DET;DEF
pour	vir	pour	vir	ADP	ADP
que	dat	que	dat	CONJ	CONJ
avec	met	avec	met	ADP	ADP
plus	nog	plus	nog	ADV	ADV
elle	sy	elle	sy	PRO;FEM;SG;3	PRO;NOM;SG;3
avancement	vordering	avancement	vordering	N;MASC;SG	N;SG
mais	maar	mais	maar	CONJ	CONJ
cette	hierdie	ce	hierdie	DET;FEM;SG	DET
cette	dié	ce	dié	DET;FEM;SG	DET
deux	twee	deux	twee	NUM	NUM
naissance	geboorte	naissance	geboorte	N;FEM;SG	N;SG
aussi	ook	aussi	ook	ADV	ADV
après	na	après	na	ADP	ADP
après	ná	après	ná	ADP	ADP
fait	gemaak	faire	maak	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
fait	gedoen	faire	doen	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
entre	tussen	entre	tussen	ADP	ADP
même	selfs	même	selfs	ADV	ADV
nom	naam	nom	naam	N;MASC;SG	N;SG
nom	gebruikernaam	nom	gebruikernaam	N;MASC;SG	N;SG
français	franse	français	frans	ADJ;MASC;SG	ADJ;NOM
lui	hom	lui	hom	PRO;SG;3	PRO;NOM;SG;3
lieu	plek	lieu	plek	N;MASC;SG	N;SG
lieu	lokaal	lieu	lokaal	N;MASC;SG	N;SG
lieu	plek	lieu	plek	N;MASC;SG	N;SG
lieu	ligging	lieu	ligging	N;MASC;SG	N;SG
autres	ander	autre	ander	PRO;PL	PRO
décès	dood	décès	dood	N;MASC;SG	N;SG
références	verwysings	référence	verwysing	N;FEM;PL	N;PL
liens	skakels	lien	skakel	N;MASC;PL	N;PL
ville	stad	ville	stad	N;FEM;SG	N;SG
leur	hul	lui	hul	PRO;PL;3	PRO;PL;3
date	datum	date	datum	N;FEM;SG	N;SG
depuis	sedert	depuis	sedert	ADP	ADP
depuis	vanuit	depuis	vanuit	ADP	ADP
depuis	vanaf	depuis	vanaf	ADP	ADP
première	eerste	premier	eerste	ADJ;FEM;SG	ADJ;NOM
ans	jare	an	jaar	N;MASC;PL	N;PL
alors	dan	alors	dan	ADV	ADV
site	webwerf	site	webwerf	N;MASC;SG	N;SG
