βοηθώντας	helpen	βοηθώ	helpen	V;IPFV;V.CVB;ACT	V;NFIN
σύνθημα	devies	σύνθημα	devies	N;NOM;NEUT;SG	N;NEUT;SG
σύνθημα	motto	σύνθημα	motto	N;NOM;NEUT;SG	N;NEUT;SG
σύνθημα	wachtwoord	σύνθημα	wachtwoord	N;NOM;NEUT;SG	N;NEUT;SG
σύνθημα	paswoord	σύνθημα	paswoord	N;NOM;NEUT;SG	N;NEUT;SG
σύνθημα	slogan	σύνθημα	slogan	N;NOM;NEUT;SG	N;MASC+FEM;SG
σύνθημα	leus	σύνθημα	leus	N;NOM;NEUT;SG	N;MASC+FEM;SG
επιτεύγματα	prestaties	επίτευγμα	prestatie	N;NOM;NEUT;PL	N;PL
επιτεύγματα	verwezenlijkingen	επίτευγμα	verwezenlijking	N;NOM;NEUT;PL	N;PL
επιτεύγματα	prestaties	επίτευγμα	prestatie	N;NOM;NEUT;PL	N;PL
κεραυνός	thunder	κεραυνός	thunder	N;NOM;MASC;SG	N;MASC+FEM;SG
κεραυνός	onweer	κεραυνός	onweer	N;NOM;MASC;SG	N;NEUT;SG
κεραυνός	donder	κεραυνός	donder	N;NOM;MASC;SG	N;MASC+FEM;SG
κεραυνός	donderslag	κεραυνός	donderslag	N;NOM;MASC;SG	N;MASC+FEM;SG
κεραυνός	bliksem	κεραυνός	bliksem	N;NOM;MASC;SG	N;MASC+FEM;SG
κεραυνός	lightning	κεραυνός	lightning	N;NOM;MASC;SG	N;MASC+FEM;SG
υπολογισμούς	berekeningen	υπολογισμός	berekening	N;ACC;MASC;PL	N;PL
αραβικό	arabisch	αραβικός	arabisch	ADJ;NOM;NEUT;SG	ADJ
αραβικό	arabische	αραβικός	arabisch	ADJ;NOM;NEUT;SG	ADJ
αραβικό	arabisch	αραβικός	arabisch	ADJ;NOM;NEUT;SG	ADJ
κοιλιά	buik	κοιλιός	buik	N;NOM;FEM;SG	N;MASC+FEM;SG
