ralf	ralf	ralf	ralf	PROPN;NOM;SG	PROPN;NOM;MASC;SG
myynnin	prodaja	myynti	prodaja	N;GEN;SG	N;NOM;FEM;SG
joni	joni	joni	jona	PROPN;NOM;SG	PROPN;NOM;MASC;SG
kennedyn	kennedy	kennädä	kennedy	N;GEN;SG	N;NOM;MASC;SG
verkkoon	mrežo	verkko	mreža	N;IN+ALL;SG	N;ACC;FEM;SG
verkkoon	mreža	verkko	mreža	N;IN+ALL;SG	N;NOM;FEM;SG
verkkoon	omrežje	verkko	omrežje	N;IN+ALL;SG	N;NOM;NEUT;SG
saattueita	konvoje	saattue	konvo	N;PRT;PL	N;ACC;MASC;PL
iss	iss	iss	isse	PROPN;NOM;SG	N;NOM;MASC;SG
ehdokkuutta	kandidaturo	ehdokkuus	kandidatura	N;PRT;SG	N;ACC;FEM;SG
crawford	crawford	crawford	crawford	PROPN;NOM;SG	PROPN;NOM;MASC;SG
egyptiin	egipt	egypti	egipt	N;IN+ALL;SG	N;NOM;MASC;SG
yksilöiden	posamezniki	yksilö	posameznik	N;GEN;PL	N;NOM;MASC;PL
yksilöiden	posameznike	yksilö	posameznik	N;GEN;PL	N;ACC;MASC;PL
yksilöiden	primerki	yksilö	primerek	N;GEN;PL	N;NOM;MASC;PL
yksilöiden	osebki	yksilö	osebek	N;GEN;PL	N;NOM;MASC;PL
työntekijät	zaposleni	työn#tekijä	zaposlen	N;NOM;PL	ADJ;NOM;MASC;PL;V.PTCP
työntekijät	zaposlene	työn#tekijä	zaposlen	N;NOM;PL	ADJ;NOM;FEM;PL;V.PTCP
työntekijät	delavcev	työn#tekijä	delavec	N;NOM;PL	N;GEN;MASC;PL
työntekijät	delavce	työn#tekijä	delavec	N;NOM;PL	N;ACC;MASC;PL
aktiivisia	aktivna	aktiivinen	aktiven	ADJ;PRT;PL	ADJ;NOM;FEM;SG
aktiivisia	dejavno	aktiivinen	dejavno	ADJ;PRT;PL	ADV
aktiivisia	aktiven	aktiivinen	aktiven	ADJ;PRT;PL	ADJ;NOM;INDF;MASC;SG
aktiivisia	aktivni	aktiivinen	aktiven	ADJ;PRT;PL	ADJ;NOM;MASC;PL
aktiivisia	aktivno	aktiivinen	aktivno	ADJ;PRT;PL	ADV
kuljettajan	voznika	kuljettaja	voznik	N;GEN;SG	N;ANIM;ACC;MASC;SG
kuljettajan	voznik	kuljettaja	voznik	N;GEN;SG	N;NOM;MASC;SG
kuljettajan	strojevodja	kuljettaja	strojevodje	N;GEN;SG	N;NOM;NEUT;SG
kuljettajan	šofer	kuljettaja	šofer	N;GEN;SG	N;NOM;MASC;SG
järjestöt	organizacijami	järjestö	organizacija	N;NOM;PL	N;DAT;FEM;PL
järjestöt	organizacij	järjestö	organizacija	N;NOM;PL	N;GEN;FEM;PL
järjestöt	organizacij	järjestö	organizacija	N;NOM;PL	N;GEN;FEM;PL
sekaisin	zmedeno	sekaisin	zmeden	ADV	ADJ;NOM;NEUT;SG;V.PTCP
sekaisin	zmedena	sekaisin	zmeden	ADV	ADJ;NOM;FEM;SG;V.PTCP
sekaisin	zmedeni	sekaisin	zmeden	ADV	ADJ;NOM;MASC;PL;V.PTCP
sekaisin	zmeden	sekaisin	zmeden	ADV	ADJ;NOM;INDF;MASC;SG;V.PTCP
saariston	otočje	saaristo	otočje	N;GEN;SG	N;NOM;NEUT;SG
aukio	kvadratnih	aukio	kvadraten	N;NOM;SG	ADJ;GEN;MASC;PL
sevillan	seville	seviltaa	sevilel	N;GEN;SG	N;NOM;FEM;PL
kannattajia	podporniki	kannattaja	podpornik	N;PRT;PL	N;NOM;MASC;PL
pidemmälle	nadalje	pitkä	nadalje	ADJ;AT+ALL;CMPR;SG	
