ako	like	ako	like	ADV	
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	
bol	blevet	byť	blive	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
pozri	kig	pozrieť	kig	V;PFV;IMP;SG;2;POS;FIN	N;INDF;NEUT;SG
mba	mba	mba	mba		N;INDF;MASC+FEM;SG
obyvateľov	fastboende	obyvateľ	fastboende	N;ANIM;ACC;MASC;PL	V;PRS;V.PTCP
obyvateľov	bosiddende	obyvateľ	bosidde	N;ANIM;ACC;MASC;PL	ADJ
obec	kollektiv	obec	kollektiv	N;NOM;FEM;SG	ADJ;INDF;SG
obec	kommun	obec	kommun	N;NOM;FEM;SG	
obec	village	obec	villag	N;NOM;FEM;SG	
pre	til	pre	til	ADP;ACC	ADV
jeho	its	jeho	itse	DET;NOM;NEUT;SG;3	
ktorá	hvilket	ktorý	hvilken	DET;NOM;FEM;SG	PRO;NEUT;SG
ktorá	hvilken	ktorý	hvilken	DET;NOM;FEM;SG	PRO;MASC+FEM;SG
ktorá	hvilke	ktorý	hvilken	DET;NOM;FEM;SG	PRO;PL
bod	peg	bod	peg	N;INAN;NOM;MASC;SG	
pri	pri	pri	pri	ADP;ESS	
bola	blevet	byť	blive	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ktoré	hvilket	ktorý	hvilken	DET;NOM;NEUT;SG	PRO;NEUT;SG
ktoré	hvilken	ktorý	hvilken	DET;NOM;NEUT;SG	PRO;MASC+FEM;SG
ktoré	hvilke	ktorý	hvilken	DET;NOM;NEUT;SG	PRO;PL
ktorý	hvilket	ktorý	hvilken	DET;ANIM;NOM;MASC;SG	PRO;NEUT;SG
ktorý	hvilken	ktorý	hvilken	DET;ANIM;NOM;MASC;SG	PRO;MASC+FEM;SG
ktorý	hvilke	ktorý	hvilken	DET;ANIM;NOM;MASC;SG	PRO;PL
odkazy	link	odkaz	link	N;INAN;NOM;MASC;PL	N;INDF;NEUT;SG
odkazy	links	odkaz	links	N;INAN;NOM;MASC;PL	N;INDF;NEUT;SG
socorro	socorro	socorro	socorro	N;NOM;NEUT;SG	
iné	andre	iný	anden	DET;NOM;NEUT;SG	PRO;PL
iné	andet	iný	anden	DET;NOM;NEUT;SG	PRO;NEUT;SG
iné	andre	iný	anden	DET;NOM;NEUT;SG	PRO;PL
the	de	the	de		PRO;NOM;PL;3
the	den	the	den		PRO;ACC;MASC+FEM;SG;3
počet	tal	počet	tal	N;INAN;NOM;MASC;SG	N;INDF;NEUT;PL
podľa	under	podľa	under	ADP;GEN	ADV
miesto	place	miesto	place	N;NOM;NEUT;SG	
obci	kollektiv	obec	kollektiv	N;DAT;FEM;SG	ADJ;INDF;SG
jej	dens	ona	dens	PRO;DAT;FEM;SG;3	DET;3
jej	dets	ona	dets	PRO;DAT;FEM;SG;3	DET;3
jej	its	ona	itse	PRO;DAT;FEM;SG;3	
jej	hende	ona	hun	PRO;DAT;FEM;SG;3	PRO;ACC;MASC+FEM;SG;3
jej	hendes	ona	hendes	PRO;DAT;FEM;SG;3	DET;3
ich	deres	on	deres	PRO;NOM;MASC;PL;3	DET;3
ich	them	on	them	PRO;NOM;MASC;PL;3	
ich	dem	on	de	PRO;NOM;MASC;PL;3	PRO;ACC;PL;3
ich	ich	on	ich	PRO;NOM;MASC;PL;3	N;INDF;MASC+FEM;SG
medzi	imellem	medzi	imellem	ADP;INS	ADV
team	holdet	team	hold	PROPN;ANIM;NOM;MASC;SG	N;DEF;NEUT;SG
team	hold	team	holde	PROPN;ANIM;NOM;MASC;SG	V;IMP
team	teamet	team	team	PROPN;ANIM;NOM;MASC;SG	N;DEF;NEUT;SG
team	team	team	team	PROPN;ANIM;NOM;MASC;SG	N;INDF;NEUT;SG
francúzska	fransk	francúzsky	fransk	N;NOM;FEM;SG	ADJ;INDF;SG
francúzska	franskmænd	francúzsky	franskmand	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
francúzska	french	francúzsky	french	N;NOM;FEM;SG	
francúzska	franske	francúzsky	fransk	N;NOM;FEM;SG	ADJ;PL
francúzska	frankrig	francúzsky	frankrig	N;NOM;FEM;SG	
francúzska	france	francúzsky	france	N;NOM;FEM;SG	
najvyšší	supreme	vysoký	suprem	ADJ;ANIM;NOM;RL;MASC;SG	
však	dog	však	dog	PART	ADV
však	imidlertid	však	imidlertid	PART	ADV
pod	nedenfor	pod	nedenfor	ADP;INS	ADV
pod	under	pod	under	ADP;INS	ADV
pod	nedenunder	pod	nedenunder	ADP;INS	ADV
pod	bælg	pod	bælg	ADP;INS	N;INDF;MASC+FEM;SG
pod	under	pod	under	ADP;INS	ADV
pred	pre	pred	per	ADP;INS	
pred	præ	pred	præ	ADP;INS	N;INDF;MASC+FEM;SG
pred	inden	pred	inden	ADP;INS	ADV
pred	før	pred	før	ADP;INS	ADV
vývoj	udviklinger	vývoj	udvikling	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;PL
kde	kde	kde	kde	ADV	
môže	may	môcť	may	V;IPFV;IND;SG;3;POS;PRS;FIN	
môže	maj	môcť	maj	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;MASC+FEM;SG
môže	can	môcť	cinke	V;IPFV;IND;SG;3;POS;PRS;FIN	
nasledujúci	følger	nasledujúci	følge	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	V;IND;PRS;FIN;ACT
zobrazuje	skærme	zobrazovať	skærme	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;MASC+FEM;PL
zobrazuje	shows	zobrazovať	shows	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INDF;NEUT;SG
keď	da	keď	da	CONJ	ADV
keď	hvornår	keď	hvornår	CONJ	ADV
len	kun	len	kun	PART	ADV
len	bare	len	bare	PART	ADV
mesto	city	mesto	city	N;NOM;NEUT;SG	
tiež	også	tiež	også	PART	ADV
usa	usa	usa	usa		PROPN
rokov	år	rok	år	N;INAN;GEN;MASC;PL	N;INDF;NEUT;SG
nie	ikke	nie	ikke	PART	ADV
nie	not	nie	not	PART	
nie	ej	nie	ej	PART	ADV
úmrtia	death	úmrtie	death	N;NOM;NEUT;PL	
úmrtia	død	úmrtie	død	N;NOM;NEUT;PL	N;INDF;MASC+FEM;SG
úmrtia	døden	úmrtie	død	N;NOM;NEUT;PL	N;DEF;MASC+FEM;SG
úmrtia	trafikdræbte	úmrtie	trafikdræbt	N;NOM;NEUT;PL	ADJ;PL
neskôr	senere	neskôr	senere	ADV	ADV;CMPR
slovenský	slovakiske	slovenský	slovakisk	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
slovenský	slovakiske	slovenský	slovakisk	ADJ;ANIM;NOM;MASC;SG	ADJ;PL
aby	lav	aby	lav	CONJ;COND	V;IMP
aby	foretag	aby	foretag	CONJ;COND	V;IMP
aby	lave	aby	lave	CONJ;COND	V;NFIN;ACT
storočia	århundrede	storočie	århundrede	N;NOM;NEUT;PL	N;INDF;NEUT;SG
storočia	århundrede	storočie	århundrede	N;NOM;NEUT;PL	N;INDF;NEUT;SG
nad	nad	nad	nad	ADP;INS	
nad	ovenfor	nad	ovenfor	ADP;INS	ADV
nad	over	nad	over	ADP;INS	ADV
nad	ovenover	nad	ovenover	ADP;INS	N;INDF;NEUT;SG
nad	ovenstående	nad	ovenstående	ADP;INS	ADV
utc	utc	utc	utc		N;INDF;MASC+FEM;SG
jpg	jpg	jpg	jpg		
časti	reservedele	časť	reservedel	N;DAT;FEM;SG	N;INDF;MASC+FEM;PL
časti	dele	časť	del	N;DAT;FEM;SG	N;INDF;MASC+FEM;PL
stránka	siden	stránka	siden	N;NOM;FEM;SG	ADV
stránka	page	stránka	page	N;NOM;FEM;SG	
skupiny	gruppe	skupina	gruppe	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
skupiny	group	skupina	group	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
skupiny	gruppen	skupina	gruppe	N;NOM;FEM;PL	N;DEF;MASC+FEM;SG
ktorú	hvilket	ktorý	hvilken	DET;ACC;FEM;SG	PRO;NEUT;SG
ktorú	hvilken	ktorý	hvilken	DET;ACC;FEM;SG	PRO;MASC+FEM;SG
ktorú	hvilke	ktorý	hvilken	DET;ACC;FEM;SG	PRO;PL
október	olt	október	olt	N;INAN;NOM;MASC;SG	
mesta	city	mesto	city	N;NOM;NEUT;SG	
marec	marchere	marec	marcher	N;INAN;NOM;MASC;SG	V;NFIN;ACT
veľmi	meget	veľmi	meget	ADV	ADJ;INDF;SG
oficiálna	officielt	oficiálny	officielt	ADJ;NOM;FEM;SG	ADV
oficiálna	embedsmand	oficiálny	embedsmand	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
oficiálna	tjenestemand	oficiálny	tjenestemand	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
narodenia	fødsel	narodenie	fødsel	N;NOM;NEUT;PL	N;INDF;MASC+FEM;SG
narodenia	fødslen	narodenie	fødsel	N;NOM;NEUT;PL	N;DEF;MASC+FEM;SG
tento	dette	tento	denne	DET;INAN;NOM;MASC;SG	PRO;NEUT;SG
tento	denne	tento	denne	DET;INAN;NOM;MASC;SG	PRO;MASC+FEM;SG
osobnosti	personlighed	osobnosť	personlighed	N;NOM;FEM;PL	N;INDF;MASC+FEM;SG
november	nov	november	nov	N;INAN;NOM;MASC;SG	
iba	kun	iba	kun	PART	ADV
iba	bare	iba	bare	PART	ADV
roky	år	rok	år	N;INAN;NOM;MASC;PL	N;INDF;NEUT;SG
oblasti	areal	oblasť	areal	N;NOM;FEM;PL	N;INDF;NEUT;SG
oblasti	område	oblasť	område	N;NOM;FEM;PL	N;INDF;NEUT;SG
proti	imod	proti	imod	ADP;DAT	ADV
proti	mod	proti	mod	ADP;DAT	N;INDF;NEUT;SG
sveta	world	svet	world	N;INAN;GEN;MASC;SG	
bez	uden	bez	uden	ADP;GEN	ADV
najmä	hovedsageligt	najmä	hovedsageligt	PART	ADV
najmä	primært	najmä	primært	PART	ADV
