newman	نيومان	newman	نِيُومَان	N;INDF;MASC;SG	
størrelser	احجام	størrelser	حَجم	N;INDF;NEUT;SG	N;NOM;INDF;PL
størrelser	القياسات	størrelser	قِيَاسَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
størrelser	المقاسات	størrelser	مَقَاس	N;INDF;NEUT;SG	N;NOM;DEF;PL
wimbledon	ويمبلدون	wimbledon	ويمبلدون	N;INDF;MASC;SG	
aviation	الطيران	aviation	طَيَرَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
nevada	نيفادا	nevad	نيفادا	N;INDF;NEUT;SG	
ulykke	الحادث	ulykke	حَادِث	N;INDF;FEM;SG	N;NOM;DEF;SG
tillate	السماح	tillate	سَمَاح	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;DEF;SG
tillate	اسمح	tillate	أَسمَح	ADJ;INDF;NEUT;SG;V.PTCP	PRO;NOM;MASC;SG;2
tillate	اسمح	tillate	أَسمَح	ADJ;INDF;NEUT;SG;V.PTCP	PRO;NOM;MASC;SG;2
limited	المحدود	limited	مَحدُود	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
limited	محدود	limited	مَحدُود	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
limited	محدودا	limited	مَحدُود	N;INDF;MASC;SG	ADJ;ACC;INDF;MASC;SG
limited	محدودة	limited	مَحدُود	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
initiativet	مبادرة	initiativ	مُبَادَرَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
legeme	الجسد	legeme	جَسَد	N;INDF;NEUT;SG	N;NOM;DEF;SG
legeme	جسد	legeme	جَسَد	N;INDF;NEUT;SG	
legeme	الجسم	legeme	جِسم	N;INDF;NEUT;SG	N;NOM;DEF;SG
nature	الطبيعة	nature	طَبِيعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
mag	ماغ	mag	مَاغ	N;INDF;MASC;SG	
mag	ماج	mag	مَاج	N;INDF;MASC;SG	
lilla	الارجواني	lille	أَرج	N;DEF;FEM;SG	
lilla	بيربل	lille	بِيربَل	N;DEF;FEM;SG	
utlendinger	اجانب	utlendinger	أَجنَبِيّ	N;INDF;MASC;SG	N;NOM;INDF;PL
utlendinger	الاجانب	utlendinger	أَجنَبِيّ	N;INDF;MASC;SG	N;NOM;DEF;PL
hytte	الكوخ	hytte	الكوخ	N;INDF;FEM;SG	N;NOM;DEF;SG
hytte	الكوخ	hytte	الكوخ	N;INDF;FEM;SG	N;NOM;DEF;SG
hytte	مقصورة	hytte	مَقصُور	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
hytte	كوخ	hytte	كوخ	N;INDF;FEM;SG	
