יובנטוס	juventus	יובנטוס	juventus	PROPN	N;MASC;SG
לוויין	satélite	None	satélite	PROPN	N;MASC;SG
לוויין	satellite	None	satellite	PROPN	N;MASC;SG
לוויין	satélites	None	satélite	PROPN	N;MASC;PL
טורפדו	torpedos	טורפדו	torpedo	N;MASC;SG	N;MASC;PL
לוקה	luca	לקה	luca	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
לוקה	lucca	לקה	lucca	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
לוקה	luka	לקה	luka	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
אייכמן	eichmann	אייכמן	eichmann	PROPN	N;MASC;SG
המקבילה	equivalentes	המקבילה	equivalente	ADV	ADJ;MASC;PL
המקבילה	equivalente	המקבילה	equivalente	ADV	ADJ;MASC;SG
ענבר	amber	ענבר	amber	PROPN	N;MASC;SG
ענבר	âmbar	ענבר	âmbar	PROPN	N;MASC;SG
הרכס	cume	הרכס	cume	PROPN	N;MASC;SG
הרכס	ridge	הרכס	ridge	PROPN	N;MASC;SG
מנצחת	vitórias	ניצח	vitória	V;FEM;SG;V.PTCP;ACT	N;FEM;PL
מנצחת	ganha	ניצח	ganhar	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מנצחת	vence	ניצח	vencer	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
רונלד	ronald	רונלד	ronald	PROPN	N;MASC;SG
הדדית	mútua	הדדי	mútuo	ADV	N;FEM;SG
הדדית	mútuo	הדדי	mútuo	ADV	N;MASC;SG
אנטון	anton	אנטון	anton	PROPN	N;MASC;SG
תרמה	doou	תרמה	doar	N;FEM;SG	V;IND;SG;3;PST;FIN
תרמה	doados	תרמה	doar	N;FEM;SG	V;MASC;PL;V.PTCP
תרמה	doado	תרמה	doar	N;FEM;SG	V;MASC;SG;V.PTCP
לויד	lloyd	לויד	lloyd	PROPN	N;MASC;SG
צופה	visualizador	צפה	visualizador	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
צופה	espectador	צפה	espectador	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
צופה	observador	צפה	observador	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
צופה	observador	צפה	observador	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
צופה	observadora	צפה	observador	V;MASC;SG;V.PTCP;ACT	ADJ;FEM;SG
צופה	observadores	צפה	observador	V;MASC;SG;V.PTCP;ACT	N;MASC;PL
יומי	yumi	יומי	yumi	PROPN	N;FEM;SG
יומי	diariamente	יומי	diariamente	PROPN	ADV
יומי	diários	יומי	diário	PROPN	ADJ;MASC;PL
יומי	diário	יומי	diário	PROPN	N;MASC;SG
יומי	diária	יומי	diária	PROPN	N;FEM;SG
ניתנו	dada	ניתן	dar	V;PL;3;PST;MID	V;FEM;SG;V.PTCP
ניתנו	dado	ניתן	dar	V;PL;3;PST;MID	V;MASC;SG;V.PTCP
רייט	wright	רייט	wright	PROPN	N;MASC;SG
מודלים	models	מודל	model	N;MASC;PL	N;MASC;SG
מירי	miri	מירי	miri		N;MASC;SG
שחיבר	autor	שחיבר	autor	PROPN	N;MASC;SG
שחיבר	autora	שחיבר	autora	PROPN	N;FEM;SG
מצטיין	excel	הצטיין	excel	V;MASC;SG;V.PTCP	N;MASC;SG
מצטיין	pendentes	הצטיין	pendente	V;MASC;SG;V.PTCP	N;MASC;PL
ראיין	ryan	ראיין	ryan	PROPN	N;MASC;SG
רמלה	ramla	רמלה	ramla	PROPN	N;MASC;SG
רוי	roy	רוי	roy	PROPN	N;MASC;SG
קרום	crosta	קרום	crosta	PROPN	N;FEM;SG
קרום	krum	קרום	krum	PROPN	N;MASC;SG
קרום	membrana	קרום	membrano	PROPN	N;FEM;SG
הדעה	opinião	הדעה	opinião	ADV	N;FEM;SG
הדעה	parecer	הדעה	parecer	ADV	N;MASC;SG
מתרגם	traduzindo	מתרגם	traduzir	N;MASC;SG	V;V.MSDR
מתרגם	traduzir	מתרגם	traduzir	N;MASC;SG	V;NFIN
נורא	horrível	נורא	horrível		ADJ;MASC;SG
נורא	horrivel	נורא	horrivel		ADJ;MASC;SG
נורא	terrível	נורא	terrível		ADJ;MASC;SG
נורא	terrivel	נורא	terrivel		ADJ;MASC;SG
נורא	terríveis	נורא	terrível		ADJ;MASC;PL
נורא	terrível	נורא	terrível		ADJ;MASC;SG
נורא	horrível	נורא	horrível		ADJ;MASC;SG
נורא	horrivel	נורא	horrivel		ADJ;MASC;SG
מח	cérebro	מח	cérebro		N;MASC;SG
מח	miolos	מח	miolo		N;MASC;PL
מח	brain	מח	brain		N;MASC;SG
מח	medula	מח	medula		N;FEM;SG
אפגניסטן	afeganistão	אפגניסטן	afeganistão	PROPN	N;MASC;SG
מתקפה	ofensivos	מתקפה	ofensivo	N;FEM;SG	ADJ;MASC;PL
מתקפה	ofensivo	מתקפה	ofensivo	N;FEM;SG	ADJ;MASC;SG
מתקפה	ofensivas	מתקפה	ofensiva	N;FEM;SG	ADJ;FEM;PL
סעיד	said	סעיד	said	PROPN	N;MASC;SG
סעיד	disse	סעיד	dizer	PROPN	V;IND;SG;3;PST;FIN
סעיד	sayid	סעיד	sayid	PROPN	N;MASC;SG
שווא	falsa	שווא	falso		ADJ;FEM;SG
שווא	false	שווא	false		N;MASC;SG
שווא	falsas	שווא	falso		ADJ;FEM;PL
שווא	falsos	שווא	falso		N;MASC;PL
שווא	falso	שווא	falso		ADJ;MASC;SG
העיכול	digestivo	העיכול	digestivo	PROPN	N;MASC;SG
מרשים	impressionante	הרשה	impressionante	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG
מרשים	impressionantes	הרשה	impressionante	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;PL
דרוש	requerer	דרש	requerer	PROPN	V;NFIN
דרוש	exigir	דרש	exigir	PROPN	V;NFIN
דרוש	exigem	דרש	exigir	PROPN	V;IND;PL;3;PRS;FIN
דרוש	obrigatório	דרש	obrigatório	PROPN	ADJ;MASC;SG
דרוש	necessária	דרש	necessário	PROPN	ADJ;FEM;SG
דרוש	necessário	דרש	necessário	PROPN	ADJ;MASC;SG
דרוש	exigido	דרש	exigir	PROPN	V;MASC;SG;V.PTCP
דרוש	requerido	דרש	requerer	PROPN	V;MASC;SG;V.PTCP
אלכסנדרוביץ	alexandrovich	אלכסנדרוביץ	alexandrovich	PROPN	N;MASC;SG
מעבד	processamento	מעבד	processamento	PROPN	N;MASC;SG
מעבד	transformação	מעבד	transformação	PROPN	N;FEM;SG
מעבד	processando	מעבד	processar	PROPN	V;V.MSDR
מעבד	processador	מעבד	processador	PROPN	N;MASC;SG
מעבד	processadores	מעבד	processador	PROPN	N;MASC;PL
מעבד	cpu	מעבד	cpu	PROPN	N;MASC;SG
החליפה	naipe	החליף	naipe	V;FEM;SG;3;PST;ACT	N;MASC;SG
החליפה	traje	החליף	traje	V;FEM;SG;3;PST;ACT	N;MASC;SG
החליפה	fato	החליף	fato	V;FEM;SG;3;PST;ACT	N;MASC;SG
החליפה	terno	החליף	terno	V;FEM;SG;3;PST;ACT	N;MASC;SG
נמסר	entregues	נמסר	entregar	V;MASC;SG;3;PST;MID	V;MASC;PL;V.PTCP
כוונת	vistas	כוונה	vestir	N;FEM;SG	V;FEM;PL;V.PTCP
כוונת	intenções	כוונה	intenção	N;FEM;SG	N;FEM;PL
סקרלט	scarlet	סקרלט	scarlet	PROPN	N;MASC;SG
סקרלט	escarlate	סקרלט	escarlate	PROPN	N;FEM;SG
סקרלט	scarlett	סקרלט	scarlett	PROPN	N;FEM;SG
שמעתי	ouviu	שמע	ouvir	V;SG;1;PST;ACT	V;IND;SG;3;PST;FIN
שמעתי	ouviram	שמע	ouvir	V;SG;1;PST;ACT	V;IND;PL;3;FIN
ברגמן	bergman	ברגמן	bergman	PROPN	N;MASC;SG
מחייבת	vinculativo	חייב	vinculativo	V;FEM;SG;V.PTCP;ACT	ADJ;MASC;SG
מחייבת	encadernação	חייב	encadernação	V;FEM;SG;V.PTCP;ACT	N;FEM;SG
מחייבת	vinculativas	חייב	vinculativo	V;FEM;SG;V.PTCP;ACT	ADJ;FEM;PL
משקאות	bebida	משקה	beber	N;MASC;PL	N;FEM;SG
אוהיו	ohio	אהו	ohio	PROPN	N;MASC;SG
המצעד	parada	המצעד	parada	PROPN	N;FEM;SG
המצעד	desfile	המצעד	desfilar	PROPN	N;MASC;SG
המצעד	parade	המצעד	parade	PROPN	N;MASC;SG
הוקלט	gravados	הוקלט	gravado	V;MASC;SG;3;PST;PASS	V;MASC;PL;V.PTCP
סלובקיה	eslováquia	סלובקיה	eslováquia	PROPN	N;FEM;SG
אינדונזיה	indonésios	אינדונזיה	indonésio	PROPN	N;MASC;PL
אינדונזיה	indonésio	אינדונזיה	indonésio	PROPN	N;MASC;SG
אינדונזיה	indonésia	אינדונזיה	indonésio	PROPN	N;MASC;SG
אינדונזיה	indonésia	אינדונזיה	indonésio	PROPN	N;MASC;SG
פטור	isenções	פטר	isenção	PROPN	N;FEM;PL
פטור	isenção	פטר	isenção	PROPN	N;FEM;SG
פטור	isentas	פטר	isento	PROPN	ADJ;FEM;PL
פטור	isentar	פטר	isentar	PROPN	V;NFIN
פטור	isentos	פטר	isento	PROPN	ADJ;MASC;PL
פטור	isento	פטר	isento	PROPN	ADJ;MASC;SG
פטור	isenta	פטר	isenta	PROPN	ADJ;FEM;SG
ממושכת	prolongou	ממושך	prolongar	ADJ;FEM;SG	V;IND;SG;3;PST;FIN
ממושכת	prolongada	ממושך	prolongar	ADJ;FEM;SG	V;FEM;SG;V.PTCP
ממושכת	prolongado	ממושך	prolongar	ADJ;FEM;SG	V;MASC;SG;V.PTCP
ממושכת	prolongados	ממושך	prolongar	ADJ;FEM;SG	V;MASC;PL;V.PTCP
תופס	capturas	תופס	captura	V;MASC;SG;V.PTCP;ACT	N;FEM;PL
תופס	catcher	תופס	catcher	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
תופס	apanhador	תופס	apanhador	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
המפעיל	manipulador	המפעיל	manipulador	PROPN	N;MASC;SG
אודה	oda	אודה	oda	PROPN	N;MASC;SG
אודה	apd	אודה	apd	PROPN	N;FEM;SG
אודה	ode	אודה	ode	PROPN	N;FEM;SG
מלאכותי	artificiais	מלאכותי	artificial	ADJ;MASC	N;MASC;PL
בודפשט	budapeste	בודפשט	budapeste	PROPN	N;MASC;SG
ביצועים	performance	ביצוע	performance	N;MASC;PL	N;FEM;SG
ביצועים	atuação	ביצוע	atuação	N;MASC;PL	N;FEM;SG
ביצועים	desempenho	ביצוע	desempenho	N;MASC;PL	N;MASC;SG
בילה	gastei	בילה	gastar	V;MASC;SG;3;PST;ACT	V;IND;SG;1;PST;FIN
בילה	gastos	בילה	gasto	V;MASC;SG;3;PST;ACT	N;MASC;PL
אקדמיה	academy	אקדמיה	academy	PROPN	N;MASC;SG
אקדמיה	academia	אקדמיה	academia	PROPN	N;FEM;SG
אקדמיה	académicos	אקדמיה	académico	PROPN	N;MASC;PL
אקדמיה	acadêmicos	אקדמיה	acadêmico	PROPN	N;MASC;PL
טהור	puras	טהור	puro		ADJ;FEM;PL
טהור	pura	טהור	puro		ADJ;FEM;SG
טהור	puro	טהור	puro		ADJ;MASC;SG
טהור	puros	טהור	puro		ADJ;MASC;PL
טהור	pure	טהור	por		N;MASC;SG
נסיבות	circunstância	נסיבה	circunstância	N;FEM;PL	N;FEM;SG
סדיר	regulares	סדיר	regular		ADJ;MASC;PL
סדיר	regular	סדיר	regular		ADJ;MASC;SG
ליבוביץ	leibowitz	ליבוביץ	leibowitz	PROPN	N;MASC;SG
קניה	quénia	קניה	quénia	PROPN	N;MASC;SG
קניה	quênia	קניה	quênia	PROPN	N;FEM;SG
הלנה	helena	הלנה	heleno	PROPN	N;FEM;SG
המילטון	hamilton	המילטון	hamilton	PROPN	N;MASC;SG
דבש	mel	דבש	mel		N;MASC;SG
דבש	querida	דבש	querer		V;FEM;SG;V.PTCP
מלאכי	malachi	מלאכי	malachi	PROPN	N;MASC;SG
מלאכי	malachy	מלאכי	malachy	PROPN	N;MASC;SG
מלאכי	angélica	מלאכי	angélico	PROPN	N;FEM;SG
מלאכי	angelical	מלאכי	angelical	PROPN	ADJ;MASC;SG
ויו	viv	ויו	viver	PROPN	N;MASC;SG
הבשורה	evangelho	הבשורה	evangelho	PROPN	N;MASC;SG
הבשורה	gospel	הבשורה	gospel	PROPN	N;MASC;SG
שיפוץ	renovações	שיפוץ	renovação	N;MASC;SG	N;FEM;PL
מחבל	bombista	חיבל	bombista	PROPN	N;MASC;SG
מחבל	bombardeiro	חיבל	bombardeiro	PROPN	N;MASC;SG
מחבל	terrorista	חיבל	terrorista	PROPN	N;MASC;SG
בכבוד	respeitosamente	בכבוד	respeitosamente		ADV
במוקדמות	qualificador	במוקדמות	qualificador	ADV	ADJ;MASC;SG
פיצויים	indemnização	פיצוי	indemnização	N;MASC;PL	N;FEM;SG
פיצויים	compensação	פיצוי	compensação	N;MASC;PL	N;FEM;SG
פיצויים	dano	פיצוי	dano	N;MASC;PL	N;MASC;SG
