nie	não	nie	não	PART;NEG	INTJ
przez	através	przez	através	ADP	ADV
przez	through	przez	through	ADP	N;MASC;SG
był	estava	być	estar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
był	era	być	ser	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
był	tava	być	tavo	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;1;IPFV;FIN
był	foi	być	foi	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADV
jego	seu	on	seu	PRO;GEN;MASC;SG;3	DET;MASC;SG
jego	his	on	his	PRO;GEN;MASC;SG;3	N;MASC;SG
jego	sua	on	seu	PRO;GEN;MASC;SG;3	DET;FEM;SG
jego	seu	on	seu	PRO;GEN;MASC;SG;3	DET;MASC;SG
jego	sua	on	seu	PRO;GEN;MASC;SG;3	DET;FEM;SG
center	centralizar	center	centralizar		V;NFIN
center	centrar	center	centrar		V;NFIN
center	centro	center	centro		N;MASC;SG
center	center	center	center		N;MASC;SG
tym	este	to	este	PRO;INS;NEUT;SG	DET;MASC;SG
tym	esse	to	esse	PRO;INS;NEUT;SG	DET;MASC;SG
pod	under	pod	under	ADP	N;MASC;SG
cest	cest	cest	cest		N;MASC;PL
dyskusja	discussões	dyskusja	discussão	N;NOM;FEM;SG	N;FEM;PL
jak	like	jak	like	ADV	N;MASC;SG
jak	curta	jak	curto	ADV	ADJ;FEM;SG
też	igualmente	też	igualmente	PART	ADV
też	também	też	também	PART	ADV
też	também	też	também	PART	ADV
też	demais	też	demais	PART	ADV
polski	polonês	polski	polonês	ADJ;NOM;MASC;SG	N;MASC;SG
polski	polaco	polski	polaco	ADJ;NOM;MASC;SG	N;MASC;SG
polski	polonesa	polski	polonesa	ADJ;NOM;MASC;SG	N;FEM;SG
polski	polônia	polski	polônia	ADJ;NOM;MASC;SG	N;FEM;SG
polski	polónia	polski	polónia	ADJ;NOM;MASC;SG	N;FEM;SG
polski	polski	polski	polski	ADJ;NOM;MASC;SG	N;MASC;SG
zewnętrzne	exterior	zewnętrzny	exterior	ADJ;NOM;NEUT;SG	N;MASC;SG
zewnętrzne	externas	zewnętrzny	externo	ADJ;NOM;NEUT;SG	N;FEM;PL
zewnętrzne	externos	zewnętrzny	externo	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
zewnętrzne	externa	zewnętrzny	externo	ADJ;NOM;NEUT;SG	N;FEM;SG
także	igualmente	także	igualmente	PART	ADV
także	também	także	também	PART	ADV
cet	cet	cet	cet		N;MASC;SG
team	team	team	team		N;MASC;SG
team	equipa	team	equipa		N;FEM;SG
team	time	team	time		N;MASC;SG
team	equipe	team	equipe		N;FEM;SG
który	qual	który	qual	DET;NOM;MASC;SG	PRO;MASC;SG
również	igualmente	również	igualmente	PART	ADV
również	também	również	também	PART	ADV
jej	dela	on	dela	PRO;GEN;FEM;SG;3	N;MASC;SG
jej	dela	on	dela	PRO;GEN;FEM;SG;3	N;MASC;SG
jej	ela	on	ela	PRO;GEN;FEM;SG;3	PRO;NOM;FEM;SG;3
jej	her	on	her	PRO;GEN;FEM;SG;3	N;MASC;SG
lat	lat	rok	lat	N;GEN;MASC;PL	N;MASC;SG
lat	years	rok	years	N;GEN;MASC;PL	N;MASC;SG
brak	carência	brak	carência	V;IND;PRS;FIN	N;FEM;SG
brak	falta	brak	falta	V;IND;PRS;FIN	N;FEM;SG
brak	ausência	brak	ausência	V;IND;PRS;FIN	N;FEM;SG
brak	ausente	brak	ausente	V;IND;PRS;FIN	ADJ;MASC;SG
brak	falta	brak	falta	V;IND;PRS;FIN	N;FEM;SG
podczas	enquanto	podczas	enquanto	ADP	ADV
była	estava	być	estar	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
była	era	być	ser	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
była	tava	być	tavo	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;1;IPFV;FIN
była	foi	być	foi	V;IPFV;FEM;IND;SG;PST;FIN;ACT	ADV
które	qual	który	qual	DET;ACC;MASC;SG	PRO;MASC;SG
września	setembro	wrzesień	setembro		N;MASC;SG
ich	suas	on	seu	PRO;GEN;MASC;PL;3	DET;FEM;PL
ich	eles	on	eles	PRO;GEN;MASC;PL;3	PRO;NOM;MASC;PL;3
ich	ich	on	ich	PRO;GEN;MASC;PL;3	N;MASC;SG
tylko	só	tylko	só	PART	ADV
tylko	apenas	tylko	apenas	PART	ADV
tylko	somente	tylko	somente	PART	ADV
tylko	unicamente	tylko	unicamente	PART	ADV
tylko	só	tylko	só	PART	ADV
tylko	apenas	tylko	apenas	PART	ADV
maja	may	mieć	may		N;MASC;SG
maja	maio	mieć	maio		N;MASC;SG
maja	pode	mieć	poder		V;IND;SG;3;PRS;FIN
maja	maya	mieć	maya		N;FEM;SG
maja	maia	mieć	maia		N;MASC;SG
maja	maja	mieć	maja		N;FEM;SG
miasta	vilas	miasto	vila	N;GEN;NEUT;SG	N;FEM;PL
miasta	cidades	miasto	cidade	N;GEN;NEUT;SG	N;FEM;PL
zobacz	veja	zobaczyć	ver	V;PFV;IMP;SG;2;FIN;ACT	V;SBJV;SG;3;PRS;FIN
zobacz	vê	zobaczyć	ver	V;PFV;IMP;SG;2;FIN;ACT	V;IND;SG;3;PRS;FIN
zobacz	vista	zobaczyć	vista	V;PFV;IMP;SG;2;FIN;ACT	N;FEM;SG
gmina	comuna	gmina	comunar		N;FEM;SG
gmina	município	gmina	município		N;MASC;SG
gmina	concelho	gmina	concelho		N;MASC;SG
nad	nad	nad	nad	ADP	N;MASC;SG
polsce	polônia	polska	polônia	ADV	N;FEM;SG
polsce	polónia	polska	polónia	ADV	N;FEM;SG
już	já	już	já	PART	ADV
już	ja	już	ja	PART	INTJ
grudnia	dezembro	grudzień	dezembro		N;MASC;SG
marca	march	marza	march		N;MASC;SG
marca	marchar	marza	marchar		V;NFIN
marca	marcha	marza	marcha		N;FEM;SG
marca	março	marza	março		N;MASC;SG
marca	marc	marza	marc		N;MASC;SG
może	may	móc	may	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
może	maio	móc	maio	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
może	talvez	móc	talvez	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
było	estava	być	estar	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
było	era	być	ser	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
było	tava	być	tavo	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;1;IPFV;FIN
było	foi	być	foi	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	ADV
kwietnia	april	kwiecia	april		N;FEM;SG
kwietnia	abril	kwiecia	abril		N;MASC;SG
lipca	julho	lipiec	julho		N;MASC;SG
lutego	fevereiro	luty	fevereiro		N;MASC;SG
lutego	fev	luty	faver		N;MASC;SG
lutego	fevereiro	luty	fevereiro		N;MASC;SG
były	estavam	być	estar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
były	foram	być	ser	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;PST;FIN
były	eram	być	ser	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
przed	antes	przed	antes	ADP	ADV
pierwszy	primeiros	pierwszy	primeiro	ADJ;NOM;MASC;SG	ADJ;MASC;PL
pierwszy	primeiramente	pierwszy	primeiramente	ADJ;NOM;MASC;SG	ADV
pierwszy	primeiro	pierwszy	primeiro	ADJ;NOM;MASC;SG	ADV
która	qual	który	qual	DET;NOM;FEM;SG	PRO;MASC;SG
wojny	guerras	wojna	guerra	N;GEN;FEM;SG	N;FEM;PL
wojny	guerras	wojna	guerra	N;GEN;FEM;SG	N;FEM;PL
można	lata	można	lata	V;IND;PRS;FIN	N;FEM;SG
można	can	można	can	V;IND;PRS;FIN	N;MASC;SG
znajduje	achados	znajdować	achado	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
data	data	datać	data		N;FEM;SG
data	data	datać	data		N;FEM;SG
data	dados	datać	dado		N;MASC;PL
warszawa	varsóvia	warszawa	varsóvia		N;FEM;SG
lata	years	rok	years	N;NOM;MASC;PL	N;MASC;SG
