偵查	prieskumné	偵查	prieskumný	N	ADJ;NOM;NEUT;SG
阻礙	obštrukcia	阻礙	obštrukcia	V	N;NOM;FEM;SG
阻礙	prekážka	阻礙	prekážka	V	N;NOM;FEM;SG
資本	kapitalistickej	資本	kapitalistický	N	ADJ;GEN;FEM;SG
辛苦	tvrdá	辛苦	tvrdý	N	ADJ;NOM;FEM;SG
辛苦	tvrdo	辛苦	tvrdo	N	ADV
辛苦	silno	辛苦	silno	N	ADV
辛苦	ťažké	辛苦	ťažký	N	ADJ;NOM;NEUT;SG
辛苦	ťažko	辛苦	ťažko	N	ADV
有	jedovatý	有	jedovatý	V	ADJ;ANIM;NOM;MASC;SG
有	toxické	有	toxický	V	ADJ;NOM;NEUT;SG
有	toxická	有	toxický	V	ADJ;NOM;FEM;SG
有	toxický	有	toxický	V	ADJ;ANIM;NOM;MASC;SG
有	jedovatý	有	jedovatý	V	ADJ;ANIM;NOM;MASC;SG
有	jedovaté	有	jedovatý	V	ADJ;NOM;NEUT;SG
排水	odtok	排水	odtok	V	N;INAN;NOM;MASC;SG
排水	kanalizácia	排水	kanalizácia	V	N;NOM;FEM;SG
排水	odvodňovanie	排水	odvodňovanie	V	N;NOM;NEUT;SG
慢性	chronickú	慢性	chronický	N	ADJ;ACC;FEM;SG
慢性	chronickej	慢性	chronický	N	ADJ;GEN;FEM;SG
慢性	chronická	慢性	chronický	N	ADJ;NOM;FEM;SG
慢性	chronické	慢性	chronický	N	ADJ;NOM;NEUT;SG
馬達	motorové	馬達	motorový	N	ADJ;NOM;NEUT;SG
胡	korenie	胡	korenie	PROPN	N;NOM;NEUT;SG
自信	presvedčený	自信	presvedčený	N	ADJ;ANIM;NOM;MASC;SG
殖民	kolonistov	殖民	kolonista	V	N;ANIM;GEN;MASC;PL
染色	chromozómov	染色	chromozóm	V	N;INAN;GEN;MASC;PL
染色	chromozómové	染色	chromozómový	V	ADJ;NOM;NEUT;SG
寺廟	temple	寺廟	templo	N	PROPN;NOM;FEM;SG
相交	križovatky	相交	križovatka	V	N;NOM;FEM;PL
相交	križovatkách	相交	križovatka	V	N;GEN;FEM;PL
相交	prienik	相交	prienik	V	N;INAN;NOM;MASC;SG
伴侶	partnerské	伴侶	partnerský	N	ADJ;NOM;NEUT;SG
電荷	nabiť	電荷	nabiť	N	V;PFV;POS;NFIN
廚房	kuchynský	廚房	kuchynský	N	ADJ;ANIM;NOM;MASC;SG
廚房	kuchynské	廚房	kuchynský	N	ADJ;NOM;NEUT;PL
溫柔	nežné	溫柔	nežný	N	ADJ;NOM;NEUT;SG
