페르시아어	персийски	페르시아어	персийски	PROPN	ADJ;INDF;MASC;SG
노르딕	скандинавски	노르딕	скандинавски		ADJ;INDF;MASC;SG
플랜	план	플랜	план		N;INDF;MASC;SG
플랜	планове	플랜	план		N;INDF;MASC;PL
의미있는	смислен	의미있+는	смисля		ADJ;INDF;MASC;SG
의미있는	смислено	의미있+는	смислен		ADV
미아	мия	미+아	мия		N;INDF;FEM;SG
미아	миа	미+아	мил		PROPN;INDF;FEM;SG
야채	растителни	야채	растителен	N	ADJ;INDF;PL
적분	неделима	적분	неделим	N	ADJ;INDF;FEM;SG
적분	неразделна	적분	неразделен	N	ADJ;INDF;FEM;SG
삼각주	делта	삼각주	делт	PROPN	N;INDF;FEM;SG
삼각주	delta	삼각주	delta	PROPN	N;INDF;MASC;SG
사각형	квадратна	사각형	квадратен		ADJ;INDF;FEM;SG
사각형	квадратни	사각형	квадратен		ADJ;INDF;PL
사각형	квадратен	사각형	квадратен		ADJ;INDF;MASC;SG
사각형	квадрат	사각형	квадрат		N;INDF;MASC;SG
사각형	площад	사각형	площад		N;INDF;MASC;SG
사각형	четириъгълник	사각형	четириъгълник		N;INDF;MASC;SG
사각형	правоъгълник	사각형	правоъгълник		N;INDF;MASC;SG
사각형	правоъгълна	사각형	правоъгълен		ADJ;INDF;FEM;SG
청소	чисто	청소	чисто	N	ADV
청소	чист	청소	чист	N	ADJ;INDF;MASC;SG
청소	чисти	청소	чистя	N	ADJ;INDF;PL
청소	чиста	청소	чист	N	ADJ;INDF;FEM;SG
청소	почистени	청소	почистя	N	V;PFV;INDF;PL;V.PTCP;PASS
거기	там	거기	там		ADV
세미	полу	세미	полу		ADJ;INDF;MASC;SG
중등	вторична	중등	вторичен	N	ADJ;INDF;FEM;SG
중등	вторично	중등	вторично	N	ADV
중등	вторични	중등	вторичен	N	ADJ;INDF;PL
중등	вторичен	중등	вторичен	N	ADJ;INDF;MASC;SG
베이시스트	басист	베이시스트	басист	PROPN	N;INDF;MASC;SG
캐롤	каръл	캐롤	каръл		PROPN;INDF;MASC;SG
캐롤	керъл	캐롤	керъл		PROPN;INDF;MASC;SG
캐롤	карол	캐롤	карол		PROPN;INDF;MASC;SG
캐롤	керъл	캐롤	керъл		PROPN;INDF;MASC;SG
엘리	ели	엘리	ели		N;INDF;FEM;SG
엘리	илай	엘리	илам		PROPN;INDF;MASC;SG
부채	дългове	부채	дълг		N;INDF;MASC;PL
부채	пасиви	부채	пасив		N;INDF;MASC;PL
부채	задължения	부채	задължение		N;INDF;NEUT;PL
부채	дългове	부채	дълг		N;INDF;MASC;PL
부채	дълг	부채	дълг		N;INDF;MASC;SG
눈부신	ослепително	눈부시+ㄴ	ослепително		ADV
발효	ферментирали	발효	ферментирам	N	V;PFV;INDF;PL;PST;V.PTCP;ACT
체리	череша	체리	череша		N;INDF;FEM;SG
체리	чери	체리	чери		N;INDF;FEM;SG
체리	череши	체리	череша		N;INDF;FEM;PL
퍼텐셜	потенциална	퍼텐셜	потенциален	N	ADJ;INDF;FEM;SG
버섯	гъби	버섯	гъба		N;INDF;FEM;PL
버섯	гъби	버섯	гъба		N;INDF;FEM;PL
버섯	гъба	버섯	гъба		N;INDF;FEM;SG
익숙한	позната	익숙+하+ㄴ	познат	V	ADJ;INDF;FEM;SG
익숙한	познати	익숙+하+ㄴ	познат	V	ADJ;INDF;PL
익숙한	познат	익숙+하+ㄴ	познат	V	N;INDF;MASC;SG
익숙한	познато	익숙+하+ㄴ	познато	V	ADV
파이팅	борба	파이팅	борба		N;INDF;FEM;SG
튀니스	тунис	튀니스	тунис	PROPN	N;INDF;MASC;SG
매력	бляскаво	매력	бляскаво	N	ADV
매력	бляскава	매력	бляскав	N	ADJ;INDF;FEM;SG
매력	очарователен	매력	очарователен	N	ADJ;INDF;MASC;SG
매력	очарователно	매력	очарователно	N	ADV
매력	чаровна	매력	чаровен	N	ADJ;INDF;FEM;SG
매력	очарователна	매력	очарователен	N	ADJ;INDF;FEM;SG
매력	чаровен	매력	чаровен	N	ADJ;INDF;MASC;SG
태양광	слънчево	태양광	слънчево	N	ADV
태양광	слънчева	태양광	слънчев	N	ADJ;INDF;FEM;SG
태양광	слънчеви	태양광	слънчев	N	ADJ;INDF;PL
선진	разработена	선진	разработя-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
선진	развит	선진	развит-(се)		ADJ;INDF;MASC;SG
선진	разработени	선진	разработя-(се)		V;PFV;INDF;PL;V.PTCP;PASS
선진	разработен	선진	разработя-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
선진	развитите	선진	развия-(се)		ADJ;PFV;DEF;PL;V.PTCP;PASS
선진	развита	선진	развитам		V;PFV;INDF;FEM;SG;V.PTCP;PASS
선진	напредък	선진	напредък		N;INDF;MASC;SG
타카기	такаги	타카기	такаги		PROPN;INDF;MASC;SG
조건부	условно	조건부	условно		ADV
조건부	условна	조건부	условен		ADJ;INDF;FEM;SG
메세지	послание	메세지	послание		N;INDF;NEUT;SG
메세지	съобщение	메세지	съобщение		N;INDF;NEUT;SG
메세지	съобщението	메세지	съобщение		N;DEF;NEUT;SG
비엔나	виена	비엔나	виен	PROPN	PROPN;INDF;FEM;SG
예의	възпитан	예의	възпитам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
예의	учтив	예의	учтив	N	ADJ;INDF;MASC;SG
노리치	норич	노리치	норич	PROPN	N;INDF;MASC;SG
아키오	акио	아키+오	акио		N;INDF;MASC;SG
블라디보스토크	владивосток	블라디보스토크	владивосток	PROPN	N;INDF;MASC;SG
켈트	келтски	켈트	келтски	N	ADJ;INDF;MASC;SG
생태	екологично	생태	екологично	N	ADV
생태	екологичен	생태	екологичен	N	ADJ;INDF;MASC;SG
생태	екологични	생태	екологичен	N	ADJ;INDF;PL
생태	екологична	생태	екологичен	N	ADJ;INDF;FEM;SG
트루먼	труман	트루+어	труман		PROPN;INDF;MASC;SG
모하마드	мохамед	모하마드	мохамед	PROPN	N;INDF;MASC;SG
오마르	омар	오마르	омар	PROPN	PROPN;INDF;MASC;SG
일반인	обща	일반+이+ㄴ	общ		ADJ;INDF;FEM;SG
일반인	общи	일반+이+ㄴ	общ		ADJ;INDF;PL
일반인	генерал	일반+이+ㄴ	генерал		N;INDF;MASC;SG
싱어	певецът	싱어	певец		N;DEF;MASC;SG
싱어	певица	싱어	певица		N;INDF;FEM;SG
싱어	сингър	싱어	сингър		N;INDF;MASC;SG
싱어	певец	싱어	певец		N;INDF;MASC;SG
바바	баба	바바	баба		N;INDF;FEM;SG
관세	митническа	관세	митнически	N	ADJ;INDF;FEM;SG
관세	митническо	관세	митнически	N	ADV
관세	митнически	관세	митнически	N	ADJ;INDF;MASC;SG
관세	тарифни	관세	тарифен	N	ADJ;INDF;PL
벨파스트	белфаст	벨파스트	белфаст	PROPN	N;INDF;MASC;SG
잔혹한	жесток	잔혹+하+ㄴ	жесток	V	ADJ;INDF;MASC;SG
잔혹한	жестоко	잔혹+하+ㄴ	жестоко	V	ADV
잔혹한	жестока	잔혹+하+ㄴ	жесток	V	ADJ;INDF;FEM;SG
잔혹한	жестоки	잔혹+하+ㄴ	жесток	V	ADJ;INDF;PL
얼라이언스	алианса	얼라이언스	алианс		N;DEF;MASC;SG
얼라이언스	алианс	얼라이언스	алианс		N;INDF;MASC;SG
얼라이언스	съюз	얼라이언스	съюз		N;INDF;MASC;SG
하이드	хайд	하이드	хайд		N;INDF;MASC;SG
벨라	бела	벨라	бял		N;INDF;FEM;SG
인사이드	вътрешно	인사이드	вътрешен		ADV
인사이드	вътре	인사이드	вътре		ADV
네번째	четвърта	네+번+째	четвърти	N	ADJ;INDF;FEM;SG
네번째	четвърто	네+번+째	четвърти	N	ADJ;INDF;NEUT;SG
네번째	четвърти	네+번+째	четвърти	N	ADJ;INDF;MASC;SG
제네시스	битие	제네시스	битие		N;INDF;NEUT;SG
브릿	брит	브릿	брит	PROPN	N;INDF;FEM;SG
