ve	और	ve	और	CONJ	
bir	एक	bir	एक		NUM
bu	ये	bu	यह		PRO;NOM;PL;3
bu	यह	bu	यह		PRO;NOM;SG;3
bu	इस	bu	यह		DET;ACC;SG;3
bu	उस	bu	वह		DET;ACC;SG;3
de	कहें	de	कह		V;SBJV;PL;FIN;ACT
de	बोलो	de	बोलो		V;SBJV;SG;FIN;ACT
de	कह	de	कह		V;FIN;ACT
ile	साथ	ile	साथ		ADV;NOM;MASC;SG;3
için	लिये	için	ले		V;PFV;MASC;SG;V.PTCP;ACT
en	पसंदीदा	en	पसंदीदा	ADV	N;NOM;MASC;SG;3
daha	ज्यादा	daha	ज्यादा	ADV	DET
daha	आदि	daha	आदि	ADV	PART
daha	अधिक	daha	अधिक	ADV	DET
sonra	तब	sonra	तब	ADV	PRO;NOM
ilk	प्रथम	ilk	प्रथम		ADJ
ilk	पहली	ilk	पहला		ADJ;NOM;FEM;SG
ilk	पहले	ilk	पहले		ADV;NOM;MASC;SG;3
ilk	पहला	ilk	पहला		ADJ;NOM;MASC;SG
utc	यूटीसी	utc	यूटीसी		PROPN;NOM;MASC;SG;3
utc	utc	utc	utc		PROPN;NOM;MASC;SG;3
çok	बहुत	çok	बहुत		DET
gibi	जैसे	gibi	जैसे		CONJ
dış	बाहरी	dış	बाहरी		ADJ;NOM
büyük	बड़े	büyük	बडा		ADJ;NOM;MASC;PL
büyük	बड़ा	büyük	बड़ा		ADJ;NOM;MASC;SG
büyük	बड़ी	büyük	बडा		ADJ;NOM;FEM;SG
büyük	विशाल	büyük	विशाल		ADJ;NOM
büyük	बड़े	büyük	बडा		ADJ;NOM;MASC;PL
büyük	बड़ा	büyük	बड़ा		ADJ;NOM;MASC;SG
büyük	बड़ी	büyük	बडा		ADJ;NOM;FEM;SG
büyük	विशाल	büyük	विशाल		ADJ;NOM
bağlantılar	कनेक्शन	bağlantı	कनेक्शन	N;NOM;PL;3	N;NOM;MASC;SG;3
bağlantılar	लिंक	bağlantı	लिंक	N;NOM;PL;3	N;NOM;MASC;SG;3
bağlantılar	लिंक्स	bağlantı	लिंक्स	N;NOM;PL;3	N;NOM;FEM;SG;3
bağlantılar	कड़ी	bağlantı	कडा	N;NOM;PL;3	ADJ;NOM;FEM;SG
bağlantılar	संपर्क	bağlantı	संपर्क	N;NOM;PL;3	N;NOM;MASC;SG;3
bağlantılar	सम्पर्क	bağlantı	संपर्क	N;NOM;PL;3	N;NOM;MASC;SG;3
türkiye	तुर्क	türkiye	तुर्क	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG;3
türkiye	तुर्की	türkiye	तुर्की	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG;3
türkiye	तुर्कों	türkiye	तुर्क	PROPN;NOM;SG;3	N;ACC;MASC;PL;3
iki	दो	iki	दो		NUM
center	केन्द्र	center	केंद्र	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
center	केंद्र	center	केंद्र	N;NOM;SG;3	PROPN;NOM;MASC;SG;3
center	मध्य	center	मध्य	N;NOM;SG;3	
center	बीच	center	बीच	N;NOM;SG;3	ADV;NOM;MASC;SG;3
ayrıca	भी	ayrıca	भी		PART
istanbul	इस्तांबुल	istanbul	इस्तांबुल	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG;3
türk	तुर्क	türk	तुर्क	ADJ	PROPN;NOM;MASC;SG;3
türk	तुर्की	türk	तुर्की	ADJ	PROPN;NOM;MASC;SG;3
diğer	अन्य	diğer	अन्य	ADJ	N;NOM;MASC;SG;3
un	आटा	un	आटा		N;NOM;MASC;SG;3
aynı	समान	aynı	समान	ADJ	
aynı	वही	aynı	वह	ADJ	PRO;NOM;SG;3
kulüp	क्लब	kul	क्लब		N;NOM;MASC;SG;3
kulüp	क्लबों	kul	क्लब		N;ACC;MASC;PL;3
bağlı	बाउंड	bağlı	बाउंड		N;NOM;MASC;SG;3
bağlı	बंधी	bağlı	बँध		V;PFV;FEM;SG;V.PTCP;ACT
bağlı	कनेक्टेड	bağlı	कनेक्टेड		N;NOM;MASC;SG;3
bağlı	कनेक्ट	bağlı	कनेक्ट		N;NOM;MASC;SG;3
iyi	good	iyi	good		N;NOM;FEM;SG;3
iyi	अच्छे	iyi	अच्छा		ADJ;NOM;MASC;PL
iyi	जुर्माना	iyi	जुर्माना		N;NOM;MASC;SG;3
iyi	ठीक	iyi	ठीक		PART
ne	क्या	ne	क्या		PRO
ne	कया	ne	कया		V;SG;FIN;ACT
ilgili	रुचि	ilgili	रुचि	ADJ	N;NOM;FEM;SG;3
ilgili	रुचिकर	ilgili	रुचिकर	ADJ	CONJ
ilgili	दिलचस्पी	ilgili	दिलचस्पी	ADJ	N;NOM;FEM;SG;3
son	अंतिम	son	अंतिम		ADJ;NOM
son	आखिरी	son	आखिरी		ADJ
son	पिछला	son	पिछला		ADJ;NOM;MASC;SG
son	अंत	son	अंत		N;NOM;MASC;SG;3
son	समाप्ति	son	समाप्ति		N;NOM;FEM;SG;3
son	समाप्त	son	समाप्त		ADJ
alan	फील्ड	al	फील्ड	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;MASC;SG;3
alan	फ़ील्ड	al	फ़ील्ड	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;MASC;SG;3
alan	डोमेन	al	डोमेन	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;MASC;SG;3
alan	एलन	al	एलन	V;PFV;IND;POS;PRS;V.PTCP	PROPN;NOM;MASC;SG;3
alan	क्षेत्र	al	क्षेत्र	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;MASC;SG;3
alan	क्षेत्रफल	al	क्षेत्रफल	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;MASC;SG;3
dünya	दुनिया	dünya	दुनिया		N;NOM;FEM;SG;3
dünya	विश्व	dünya	विश्व		N;NOM;MASC;SG;3
dünya	संसार	dünya	संसार		N;NOM;MASC;SG;3
dünya	पृथ्वी	dünya	पृथ्वी		PROPN;NOM;FEM;SG;3
dünya	धरती	dünya	धरती		N;NOM;FEM;SG;3
abd	यूएसए	abd	यूएसए		PROPN;NOM;MASC;SG;3
birlikte	साथ	birlikte	साथ		ADV;NOM;MASC;SG;3
bulunan	स्थित	bulun	स्थित		ADJ
eski	पुराने	eski	पुराना		ADJ;MASC;PL
eski	पुरानी	eski	पुराना		ADJ;FEM;SG
eski	पुराना	eski	पुराना		ADJ;MASC;SG
eski	वृद्ध	eski	वृद्ध		PROPN;NOM;MASC;SG;3
eski	बूढ़ा	eski	बूढ़ा		PROPN;NOM;MASC;SG;3
eski	बूढ़े	eski	बूढ़े		V;MASC;SG;FIN;ACT
önemli	महत्वपूर्ण	önemli	महत्वपूर्ण		ADJ
sağlık	तंदुरुस्ती	sağlık	तंदुरुस्ती	N;NOM;SG;3	PROPN;NOM;FEM;SG;3
sağlık	चिकित्सीय	sağlık	चिकित्सीय	N;NOM;SG;3	PROPN;NOM
genel	जेनरिक	genel	जेनरिक	ADJ	
genel	जेनेरिक	genel	जेनेरिक	ADJ	
genel	जनरल	genel	जनरल	ADJ	N;NOM;MASC;SG;3
genel	साधारण	genel	साधारण	ADJ	PROPN;NOM;MASC;SG;3
genel	सामान्य	genel	सामान्य	ADJ	N;NOM;MASC;SG;3
mart	मार्ट	mart	मार्ट		N;NOM;MASC;SG;3
mart	मार्च	mart	मार्च		PROPN;NOM;MASC;SG;3
mart	कूच	mart	कूच		N;NOM;FEM;SG;3
film	चलचित्र	film	चलचित्र		N;NOM;MASC;SG;3
film	फ़िल्म	film	फ़िल्म		N;NOM;FEM;SG;3
film	मूवी	film	मूवी		N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म		N;NOM;FEM;SG;3
film	फ़िल्म	film	फ़िल्म		N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म		N;NOM;FEM;SG;3
film	फिल्मी	film	फिल्मी		ADJ;NOM
film	फिल्में	film	फिल्म		N;NOM;FEM;PL;3
film	मूवी	film	मूवी		N;NOM;FEM;SG;3
