oli	ήταν	olema	είμαι	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
eesti	εσθονία	eesti	εσθονία	ADJ	PROPN;NOM;FEM;SG
eesti	eesti	eesti	eesti	ADJ	
mis	τι	mis	τι	PRO;NOM;SG	PRO;NOM;NEUT;SG;3
mis	που	mis	που	PRO;NOM;SG	PRO;ACC;NEUT;SG;3
kui	πότε	kui	πότε	CONJ	ADV
või	βούτυρο	või	βούτυρο	CONJ	N;NOM;NEUT;SG
aasta	έτος	aasta	έτος	N;NOM;SG	N;ACC;NEUT;SG
aasta	χρονιά	aasta	χρονιά	N;NOM;SG	N;ACC;FEM;SG
see	ότι	see	ότι	PRO;NOM;SG	CONJ
see	that	see	that	PRO;NOM;SG	
oma	its	oma	its	PRO;NOM;SG	
selle	αυτο	see	αυτός	PRO;GEN;SG	PRO;NOM;NEUT;SG;3
selle	αυτό	see	αυτός	PRO;GEN;SG	PRO;NOM;NEUT;SG;3
sai	σάι	saama	σει	V;IND;SG;3;PST;FIN;ACT	
kuid	αλλα	kuid	αλλα	CONJ	ADV
kuid	μα	kuid	μα	CONJ	ADV
kes	ποιος	kes	ποιος	PRO;NOM;SG	DET;NOM;DEF;MASC;SG
tartu	tartu	tartu	tartu	ADJ	
seda	αυτο	see	αυτός	PRO;PRT;SG	PRO;NOM;NEUT;SG;3
seda	αυτό	see	αυτός	PRO;PRT;SG	PRO;NOM;NEUT;SG;3
seda	αυτό	see	αυτός	PRO;PRT;SG	PRO;NOM;NEUT;SG;3
seda	ότι	see	ότι	PRO;PRT;SG	CONJ
seda	that	see	that	PRO;PRT;SG	
aga	αλλα	aga	αλλα	CONJ	ADV
aga	μα	aga	μα	CONJ	ADV
kuni	μεχρι	kuni	μεχρι	CONJ	ADV
kuni	μέχρι	kuni	μέχρι	CONJ	ADP
kuni	έως	kuni	ώς	CONJ	ADP
välja	out	välja	out	ADV	
tallinna	ταλίν	tallinna	ταλίν	N;IN+ALL;LGSPEC1;SG	PROPN;NOM;FEM;SG
üle	over	üle	over	ADV	
saksa	γερμανοί	saksa	γερμανός	ADJ	PROPN;NOM;MASC;PL
saksa	γερμανικά	saksa	γερμανικά	ADJ	ADV
mida	τι	mis	τι	PRO;PRT;SG	PRO;NOM;NEUT;SG;3
inglise	greek	inglise	greek	ADJ	
inglise	αγγλικα	inglise	αγγλικός	ADJ	ADV
inglise	αγγλικά	inglise	αγγλικός	ADJ	ADV
vaata	δείτε	vaatama	βλέπω	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
vaata	βλέπεις	vaatama	βλέπη	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
vaata	βλέπε	vaatama	βλέπω	V;IMP;SG;2;PRS;FIN;ACT	
vaata	δειτε	vaatama	δειτε	V;IMP;SG;2;PRS;FIN;ACT	
vaata	δείτε	vaatama	βλέπω	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
vaata	ρολόι	vaatama	ρολός	V;IMP;SG;2;PRS;FIN;ACT	N;NOM;NEUT;SG
vaata	κοίτα	vaatama	κοίτα	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
üks	ένας	üks	ένας	PRO;NOM;SG	DET;NOM;INDF;MASC;SG
üks	ενα	üks	ένας	PRO;NOM;SG	N;NOM;NEUT;SG
üks	μία	üks	ένας	PRO;NOM;SG	NUM;NOM;FEM;SG
