propaganda	propagande	propaganda	propagande	PROPN	N;FEM;SG
kenntnisse	aptitudes	kenntnis	aptitude	ADJ	N;FEM;PL
kenntnisse	compétences	kenntnis	compétence	ADJ	N;FEM;PL
kenntnisse	connaissances	kenntnis	connaissance	ADJ	N;FEM;PL
kenntnisse	savoirs	kenntnis	savoir	ADJ	N;MASC;PL
kenntnisse	savoir	kenntnis	savoir	ADJ	V;NFIN
kenntnisse	connaissance	kenntnis	connaissance	ADJ	N;FEM;SG
spalte	colonne	spalten	colonne	ADJ;NOM;SG	N;FEM;SG
spalte	chronique	spalten	chronique	ADJ;NOM;SG	N;FEM;SG
spalte	colonnes	spalten	colonne	ADJ;NOM;SG	N;FEM;PL
spalte	poteaux	spalten	poteau	ADJ;NOM;SG	N;MASC;PL
spalte	colonnes	spalten	colonne	ADJ;NOM;SG	N;FEM;PL
southern	méridional	southern	méridional	PROPN	ADJ;MASC;SG
southern	méridionale	southern	méridional	PROPN	ADJ;FEM;SG
oswald	oswald	oswald	oswald	PROPN;NOM;MASC;SG	N;MASC;SG
überlegungen	considérations	überlegungen	considération	V;NFIN	N;FEM;PL
überlegungen	réflexions	überlegungen	réflexion	V;NFIN	N;FEM;PL
überlegungen	reflets	überlegungen	reflet	V;NFIN	N;MASC;PL
überlegungen	réflexions	überlegungen	réflexion	V;NFIN	N;FEM;PL
report	signaler	report	signaler	PROPN	V;NFIN
report	reportage	report	reportage	PROPN	N;MASC;SG
report	rapport	report	rapport	PROPN	N;MASC;SG
teilung	cloisons	teilung	cloison	N;NOM;FEM;SG	N;FEM;PL
teilung	diviser	teilung	diviser	N;NOM;FEM;SG	V;NFIN
teilung	divise	teilung	divis	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
fremde	étranger	fremd	étranger	ADJ;NOM;FEM;PL	N;MASC;SG
fremde	etranger	fremd	etranger	ADJ;NOM;FEM;PL	N;MASC;SG
lkw	camions	lkw	camion		N;MASC;PL
lkw	camionnette	lkw	camionnette		N;FEM;SG
lkw	fourgon	lkw	fourgon		N;MASC;SG
lkw	camion	lkw	camion		N;MASC;SG
lkw	camion	lkw	camion		N;MASC;SG
lkw	camions	lkw	camion		N;MASC;PL
abbildungen	graphiques	abbildung	graphique	V;NFIN	ADJ;MASC;PL
abbildungen	graphes	abbildung	graphe	V;NFIN	N;MASC;PL
abbildungen	images	abbildung	image	V;NFIN	N;FEM;PL
abbildungen	photos	abbildung	photo	V;NFIN	N;FEM;PL
abbildungen	images	abbildung	image	V;NFIN	N;FEM;PL
abbildungen	chiffres	abbildung	chiffre	V;NFIN	N;MASC;PL
abbildungen	illustrations	abbildung	illustration	V;NFIN	N;FEM;PL
verschwinden	disparition	verschwinden	disparition	V;NFIN	N;FEM;SG
verschwinden	disparition	verschwinden	disparition	V;NFIN	N;FEM;SG
verschwinden	disparitions	verschwinden	disparition	V;NFIN	N;FEM;PL
verschwinden	disparition	verschwinden	disparition	V;NFIN	N;FEM;SG
magdalena	magdalena	magdalena	magdalena	N;NOM;FEM;SG	ADJ;FEM;SG
spenden	dons	spenden	don	V;NFIN	N;MASC;PL
spenden	don	spenden	don	V;NFIN	N;MASC;SG
spenden	donation	spenden	donation	V;NFIN	N;FEM;SG
spenden	dons	spenden	don	V;NFIN	N;MASC;PL
spenden	don	spenden	don	V;NFIN	N;MASC;SG
spenden	dons	spenden	don	V;NFIN	N;MASC;PL
spenden	donations	spenden	donation	V;NFIN	N;FEM;PL
mdr	mdr	mdr	mdr		
monarchie	monarchie	monarchie	monarchie	PROPN	N;FEM;SG
republikanischen	républicaine	republikanisch	républicain	ADJ;NOM;MASC;PL	ADJ;FEM;SG
