godine	årevis	godina	årevis	N;GEN;FEM;SG	ADV
kao	som	kao	som	CONJ	ADP
kao	liker	kao	like	CONJ	V;IND;PRS;FIN
kao	like	kao	lik	CONJ	ADJ;SG
koji	kven	koji	kven	DET;NOM;MASC;SG	PRO;HUM
koji	who	koji	who	DET;NOM;MASC;SG	N
koji	hvem	koji	hvem	DET;NOM;MASC;SG	N;INDF;MASC;SG
koji	hvilket	koji	hvilk	DET;NOM;MASC;SG	N;DEF;NEUT;SG
koji	hvilken	koji	hvilk	DET;NOM;MASC;SG	N;DEF;MASC;SG
bio	vært	biti	vært	V;MASC;SG;PST;V.PTCP;ACT	V;V.PTCP
što	hva	što	hva	PRO;NOM;NEUT	N;INDF;NEUT;SG
nakon	after	nakon	after	ADP;GEN	N;INDF;NEUT;SG
nakon	etterpå	nakon	etterpå	ADP;GEN	ADV
nakon	efter	nakon	efter	ADP;GEN	
koja	kven	koji	kven	DET;NOM;FEM;SG	PRO;HUM
koja	who	koji	who	DET;NOM;FEM;SG	N
koja	hvem	koji	hvem	DET;NOM;FEM;SG	N;INDF;MASC;SG
koja	hvilket	koji	hvilk	DET;NOM;FEM;SG	N;DEF;NEUT;SG
koja	hvilken	koji	hvilk	DET;NOM;FEM;SG	N;DEF;MASC;SG
koje	hvilket	koji	hvilk	DET;NOM;FEM;SG	N;DEF;NEUT;SG
koje	hvilken	koji	hvilk	DET;NOM;FEM;SG	N;DEF;MASC;SG
kako	hvordan	kako	hvordan	CONJ	N;INDF;MASC;SG
kako	korleis	kako	korleis	CONJ	ADV
kako	how	kako	how	CONJ	N;INDF;SG
oko	øyet	oko	øy	ADV	N;DEF;NEUT;SG
oko	øye	oko	øye	ADV	N;INDF;FEM;SG
oko	rundt	oko	rundt	ADV	ADP
oko	around	oko	around	ADV	N;INDF;MASC;SG
oko	omkring	oko	omkring	ADV	ADP
samo	only	samo	only	ADV	
samo	kun	samo	kun	ADV	N;INDF;NEUT;SG
samo	just	samo	just	ADV	N;INDF;MASC;SG
sve	everything	sve	everything	PRO;NOM;NEUT;SG	N;INDF;FEM;SG
sve	alt	sve	alt	PRO;NOM;NEUT;SG	PRO;NEUT;SG;3
sve	allting	sve	allting	PRO;NOM;NEUT;SG	N;INDF;FEM;SG
sve	alle	sve	alle	PRO;NOM;NEUT;SG	PRO;PL;3
sve	alt	sve	alt	PRO;NOM;NEUT;SG	PRO;NEUT;SG;3
sve	all	sve	all	PRO;NOM;NEUT;SG	DET;MASC;SG
prvi	først	prvi	først	ADJ;NOM;MASC;SG	ADV
prvi	forst	prvi	forst	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
prvi	first	prvi	first	ADJ;NOM;MASC;SG	N
godina	årevis	godina	årevis	N;NOM;FEM;SG	ADV
više	fleire	mnogo	mange	ADV;CMPR	ADJ;CMPR
više	fler	mnogo	fler	ADV;CMPR	N;INDF;NEUT;SG
više	flere	mnogo	flere	ADV;CMPR	
više	mer	mnogo	mer	ADV;CMPR	N;INDF;MASC;SG
više	meir	mnogo	mykje	ADV;CMPR	ADJ;CMPR
više	mere	mnogo	mere	ADV;CMPR	N;INDF;MASC;SG
kod	kode	kod	kode	ADP;GEN	N;INDF;MASC;SG
kod	koden	kod	kode	ADP;GEN	N;DEF;MASC;SG
kod	kodeks	kod	kodeks	ADP;GEN	ADJ;INDF;SG
može	can	moći	cann	V;IND;SG;3;PRS;FIN	N
gdje	hvor	gdje	hvor	ADV	
dok	until	dok	until	CONJ	N
dok	inntil	dok	inntil	CONJ	ADP
bilo	noen	biti	noen	V;NEUT;SG;PST;V.PTCP;ACT	
bilo	any	biti	any	V;NEUT;SG;PST;V.PTCP;ACT	N;SG
kada	when	kada	when	ADV	
jedan	one	jedan	one	NUM;NOM;MASC;SG	
jedan	en	jedan	en	NUM;NOM;MASC;SG	
jedan	ett	jedan	ett	NUM;NOM;MASC;SG	
jedan	én	jedan	én	NUM;NOM;MASC;SG	
grad	town	grad	town	N;NOM;MASC;SG	PROPN
dio	del	dio	dele	N;NOM;MASC;SG	V;IMP;FIN
danas	today	danas	today	ADV	N;INDF;MASC;SG
danas	idag	danas	idag	ADV	N;INDF;MASC;SG
jer	because	jer	because	CONJ	N;INDF;SG
dva	two	dva	Two	NUM	
mjesto	sted	mjesto	stå	N;NOM;NEUT;SG	
stanovnika	beboerne	stanovnik	beboerne	N;GEN;MASC;PL	ADJ;PL
stanovnika	beboere	stanovnik	beboere	N;GEN;MASC;PL	N;INDF;MASC;SG
lokacija	sted	lokacija	stå	N;NOM;FEM;SG	
zagreb	zagreb	zagreb	zagreb	PROPN;NOM;MASC;SG	N;INDF;NEUT;SG
prije	before	prije	brfor	ADV	N;INDF;NEUT;SG
prije	før	prije	før	ADV	ADP
tri	three	tri	three	NUM	N
kasnije	senere	kasno	senere	ADV;CMPR	
kasnije	seinere	kasno	seinere	ADV;CMPR	N;INDF;NEUT;SG
kasnije	seinare	kasno	sein	ADV;CMPR	ADJ;CMPR
dana	days	dan	days	N;GEN;MASC;PL	N;INDF;MASC;SG
dana	dana	dan	dana	N;GEN;MASC;PL	N;INDF;MASC;SG
