яно	jana	яно	jană		N;DEF;FEM;SG
кевін	kevin	кевін	kevin	PROPN;ANIM;NOM;MASC;SG	PROPN
віллі	willy	віллі	willy	PROPN;ANIM;NOM;FEM;SG	PROPN
віллі	willie	віллі	willie	PROPN;ANIM;NOM;FEM;SG	PROPN
віллі	villy	віллі	villy	PROPN;ANIM;NOM;FEM;SG	PROPN
угод	acordurile	угода	acord	N;INAN;GEN;FEM;PL	N;DEF;FEM;PL
високе	high	високий	high	ADJ;NOM;NEUT;SG	
високе	înaltă	високий	înalt	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
високе	inalta	високий	inalta	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
наполеон	napoleon	наполеон	napoleon	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
космічні	cosmică	космічний	cosmic	ADJ;NOM;PL	ADJ;INDF;FEM;SG
космічні	cosmic	космічний	cosmic	ADJ;NOM;PL	ADJ;INDF;MASC;SG
торф	turbă	торф	turbă	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
марта	marta	март	martă	PROPN;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
марта	martha	март	martha	PROPN;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
розвідка	inteligenta	розвідка	inteligent	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
волокна	fibra	волокно	fibră	N;INAN;NOM;NEUT;PL	N;DEF;FEM;SG
волокна	fibră	волокно	fibră	N;INAN;NOM;NEUT;PL	N;INDF;FEM;SG
волокна	fibrele	волокно	fibră	N;INAN;NOM;NEUT;PL	N;DEF;FEM;PL
обрана	destinat	обран	destinat	V;PFV;FEM;IND;SG;PST;FIN	ADJ;INDF;MASC;SG
обрана	divergente	обран	divergent	V;PFV;FEM;IND;SG;PST;FIN	ADJ;INDF;FEM;PL
мез	meuse	мез	meu		N;INDF;FEM;SG
мез	mez	мез	mez		N;INDF;MASC;SG
перегляд	previzualizare	перегляд	previzualizare	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
перегляд	vizualizează	перегляд	vizualiza	N;INAN;NOM;MASC;SG	V;IND;3;PRS;FIN
перегляд	vizualizare	перегляд	vizualizare	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
перегляд	vedere	перегляд	vedere	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
ведучий	prezentator	ведучий	prezentator	ADJ;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT	N;INDF;MASC;SG
ведучий	plumbul	ведучий	plumb	ADJ;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT	N;DEF;MASC;SG
ведучий	plumb	ведучий	plumb	ADJ;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT	N;INDF;MASC;SG
процедура	procedură	процедура	procedură	N;INAN;NOM;FEM;SG	N;INDF;FEM;SG
процедура	procedura	процедура	procedură	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
гамма	gama	гамма	gamă	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
гамма	gamma	гамма	gamma	N;INAN;NOM;FEM;SG	
воїни	războinici	воїн	războinic	N;ANIM;NOM;MASC;PL	ADJ;INDF;MASC;PL
воїни	razboinici	воїн	razboinic	N;ANIM;NOM;MASC;PL	ADJ;INDF;MASC;PL
небагато	puține	небагато	puțin	ADV	PRO;FEM;PL;3
небагато	puțini	небагато	puțin	ADV	PRO;MASC;PL;3
небагато	putini	небагато	putin	ADV	
важка	greu	важка	greu	ADJ;NOM;FEM;SG	ADV
важка	tare	важка	tare	ADJ;NOM;FEM;SG	ADV
щиро	sincere	щиро	sincere	ADV	ADJ;INDF;FEM;PL
дипломатичних	diplomatic	дипломатичний	diplomatic	ADJ;ACC;PL	ADJ;INDF;MASC;SG
дипломатичних	diplomatică	дипломатичний	diplomatic	ADJ;ACC;PL	ADJ;INDF;FEM;SG
композицію	urmări	композиція	urmări	N;INAN;ACC;FEM;SG	
композицію	pista	композиція	pistă	N;INAN;ACC;FEM;SG	N;DEF;FEM;SG
композицію	pistă	композиція	pistă	N;INAN;ACC;FEM;SG	N;INDF;FEM;SG
норма	norma	норма	normă	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
норма	norma	норма	normă	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
норма	norm	норма	norm	N;INAN;NOM;FEM;SG	
продажі	vânzările	продаж	vânzare	N;INAN;NOM;MASC;PL	N;DEF;FEM;PL
ввести	introdu	ввести	introdu	V;PFV;NFIN	
ввести	enter	ввести	enter	V;PFV;NFIN	
бур	bourg	бур	bourg		PROPN
бур	boer	бур	boer		PROPN
бур	drill	бур	drill		N;INDF;MASC;SG
бур	burghiu	бур	burghiu		N;INDF;MASC;SG
визначив	recunoscute	визначити	recunoscut	V;PFV;MASC;IND;SG;PST;FIN	ADJ;INDF;FEM;PL
визначив	recunoscut	визначити	recunoscut	V;PFV;MASC;IND;SG;PST;FIN	ADJ;INDF;MASC;SG
визначив	recunoscută	визначити	recunoaște	V;PFV;MASC;IND;SG;PST;FIN	ADJ;INDF;FEM;SG
складові	ingrediente	склад	ingredient	ADJ;NOM;PL	N;INDF;FEM;PL
складові	ingredientele	склад	ingredient	ADJ;NOM;PL	N;DEF;FEM;PL
салон	salonul	салон	salon	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
дівчинка	fată	дівчинка	fată	N;ANIM;NOM;FEM;SG	N;INDF;FEM;SG
дівчинка	fata	дівчинка	fată	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
поступився	creditare	поступитися	creditar	V;PFV;MASC;IND;SG;PST;FIN	N;INDF;FEM;SG
спадок	mostenire	спадок	mostenire	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
спадок	moștenire	спадок	moștenire	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
спадок	moștenirea	спадок	moștenire	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
голландії	olanda	голландія	olanda	PROPN;INAN;DAT;FEM;SG	PROPN
голландії	holland	голландія	holland	PROPN;INAN;DAT;FEM;SG	PROPN
піски	sands	піски	sands	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
піски	nisipurile	піски	nisip	N;INAN;NOM;MASC;PL	N;DEF;FEM;PL
виготовлено	fabricate	виготовити	fabrica	V;PFV;IND;0;FIN	ADJ;INDF;FEM;PL
виготовлено	fabricat	виготовити	fabrica	V;PFV;IND;0;FIN	ADJ;INDF;MASC;SG
виготовлено	fabricată	виготовити	fabrica	V;PFV;IND;0;FIN	ADJ;INDF;FEM;SG
виготовлено	producator	виготовити	producator	V;PFV;IND;0;FIN	N;INDF;MASC;SG
виготовлено	producător	виготовити	producător	V;PFV;IND;0;FIN	N;INDF;MASC;SG
боєприпасів	muniție	боєприпас	muniție	N;ANIM;ACC;MASC;PL	N;INDF;FEM;SG
ферма	ferma	ферма	fermă		N;DEF;FEM;SG
ферма	fermă	ферма	fermă		N;INDF;FEM;SG
ферма	fermat	ферма	ferma		N;INDF;MASC;SG
оперативного	operațională	оперативний	operațional	ADJ;GEN;MASC;SG	ADJ;INDF;FEM;SG
оперативного	operaționale	оперативний	operațional	ADJ;GEN;MASC;SG	ADJ;INDF;FEM;PL
посиланням	legătura	посилання	legătură	N;INAN;INS;NEUT;SG	N;DEF;FEM;SG
посиланням	legătură	посилання	legătură	N;INAN;INS;NEUT;SG	N;INDF;FEM;SG
посиланням	linkul	посилання	link	N;INAN;INS;NEUT;SG	N;DEF;MASC;SG
таємно	secretă	таємно	secret	ADV	ADJ;INDF;FEM;SG
таємно	secret	таємно	secret	ADV	N;INDF;MASC;SG
таємно	secreta	таємно	secret	ADV	N;DEF;FEM;SG
таємно	secrete	таємно	secret	ADV	N;INDF;FEM;PL
таємно	secretul	таємно	secret	ADV	N;DEF;MASC;SG
незалежна	independent	незалежний	independent	ADJ;NOM;FEM;SG	ADV
незалежна	independenta	незалежний	independent	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
незалежна	independente	незалежний	independent	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
незалежна	independentă	незалежний	independent	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
впав	fell	впасти	fell	V;PFV;MASC;IND;SG;PST;FIN	N;INDF;MASC;SG
садів	grădinile	сад	grădină	N;INAN;GEN;MASC;PL	N;DEF;FEM;PL
садів	gardens	сад	gardens	N;INAN;GEN;MASC;PL	N;INDF;MASC;SG
гектарів	hectare	гектар	hectare	N;INAN;GEN;MASC;PL	N;INDF;FEM;SG
пауль	paul	пауль	paul	PROPN;ANIM;NOM;MASC;SG	PROPN
пауль	pavel	пауль	pavel	PROPN;ANIM;NOM;MASC;SG	PROPN
шведська	suedeza	шведський	suedeză	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
шведська	suedezi	шведський	suedez	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;PL
шведська	suedeză	шведський	suedeză	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
онук	nepotul	онук	nepot	N;ANIM;NOM;MASC;SG	N;DEF;MASC;SG
