בילה	spesi	בילה	spendere	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
אקדמיה	accademia	אקדמיה	accademia	PROPN	N;FEM;SG
אקדמיה	academy	אקדמיה	academy	PROPN	N;MASC
אקדמיה	accademici	אקדמיה	accademico	PROPN	N;MASC;PL
טהור	puri	טהור	pure		ADJ;MASC;PL
טהור	puro	טהור	puro		ADJ;MASC;SG
טהור	pura	טהור	puro		ADJ;FEM;SG
טהור	pure	טהור	pure		ADV
נסיבות	circostanza	נסיבה	circostanza	N;FEM;PL	N;FEM;SG
סדיר	regolare	סדיר	regolare		ADJ;SG
סדיר	regolari	סדיר	regolare		ADJ;PL
ליבוביץ	leibowitz	ליבוביץ	leibowitz	PROPN	N;MASC;SG
קניה	kenya	קניה	kenya	PROPN	N;MASC
הלנה	helena	הלנה	helena	PROPN	N;FEM;SG
הלנה	elena	הלנה	elena	PROPN	N;FEM;SG
המילטון	hamilton	המילטון	hamilton	PROPN	N;MASC;SG
דבש	honey	דבש	honey		N
דבש	miele	דבש	miele		N;MASC;SG
דבש	tesoro	דבש	tesoro		N;MASC;SG
מלאכי	malachi	מלאכי	malaco	PROPN	N
מלאכי	angelica	מלאכי	angelico	PROPN	ADJ;FEM;SG
מלאכי	angelico	מלאכי	angelico	PROPN	ADJ;MASC;SG
ויו	viv	ויו	viv	PROPN	N;SG
הבשורה	vangeli	הבשורה	vangele	PROPN	N;MASC;PL
הבשורה	gospel	הבשורה	gospel	PROPN	N;MASC
הבשורה	vangelo	הבשורה	vangelo	PROPN	N;MASC;SG
שיפוץ	ristrutturazioni	שיפוץ	ristrutturazione	N;MASC;SG	N;FEM;PL
שיפוץ	ristrutturazioni	שיפוץ	ristrutturazione	N;MASC;SG	N;FEM;PL
פגישה	nomina	פגישה	nominare	N;FEM;SG	V;IND;SG;3;PRS;FIN
מחבל	bomber	חיבל	bomber	PROPN	N;MASC
מחבל	bombardiere	חיבל	bombardiere	PROPN	N;MASC;SG
מחבל	terrorista	חיבל	terrorista	PROPN	N;SG
מחבל	terroristi	חיבל	terrorista	PROPN	N;MASC;PL
בכבוד	onorevolmente	בכבוד	onorevolmente		ADV
פיצויים	compensazione	פיצוי	compensazione	N;MASC;PL	N;FEM;SG
פיצויים	risarcimento	פיצוי	risarcimento	N;MASC;PL	N;MASC;SG
פיצויים	indennizzo	פיצוי	indennizzo	N;MASC;PL	N;MASC;SG
פיצויים	restituzione	פיצוי	restituzione	N;MASC;PL	N;FEM;SG
מדף	mensola	מדף	mensolare		N;FEM;SG
מדף	ripiano	מדף	ripiano		N;MASC;SG
מדף	scaffale	מדף	scaffale		N;MASC;SG
קרלו	carlo	קרלו	carlo	PROPN	N;MASC;SG
גותי	dark	גותי	dark	PROPN	N
גותי	goth	גותי	goth	PROPN	N
גותי	gotico	גותי	gotico	PROPN	ADJ;MASC;SG
גותי	gothic	גותי	gothic	PROPN	N;MASC
גותי	gotica	גותי	gotica	PROPN	ADJ;FEM;SG
קולינס	collins	קולינס	collins	PROPN	N;MASC
