של	shel	של	shel	PART;GEN	
את	ciebie	את	ty	PART;ACC	PRO;GEN;MASC;SG;2
את	ty	את	ty	PART;ACC	PRO;NOM;MASC;SG;2
גם	także	גם	także	ADV	PART
גם	też	גם	też	ADV	PART
גם	również	גם	również	ADV	PART
גם	tez	גם	tez	ADV	
גם	też	גם	też	ADV	PART
גם	too	גם	too	ADV	
גם	zbyt	גם	zbyt	ADV	PART
זה	że	זה	że	PRO;MASC;SG;3	PART
שיחה	rozmowy	שיחה	rozmowa	N;FEM;SG	N;ACC;FEM;PL
לאחר	after	לאחר	after	ADP	
לאחר	po	לאחר	po	ADP	INTJ
בין	fasola	בין	fasola	ADP	N;NOM;FEM;SG
בין	bean	בין	bean	ADP	
בין	pomiędzy	בין	pomiędzy	ADP	
כל	wszystko	כול	wszystko	DET;PSSD	PRO;NOM;NEUT;SG
כל	all	כול	all	DET;PSSD	
כל	wszyscy	כול	wszyscy	DET;PSSD	PRO;NOM;MASC;PL
כל	dowolny	כול	dowolny	DET;PSSD	ADJ;NOM;MASC;SG
כי	ponieważ	כי	ponieważ	CONJ	PART
יותר	more	יותר	more	ADV	
ישראל	izrael	ישראל	izrael	PROPN	PROPN;NOM;MASC;SG
יש	hurra	יש	hurra	V	
שם	nazwisko	שם	nazwisko	ADV	N;NOM;NEUT;SG
שם	imię	שם	imię	ADV	N;NOM;NEUT;SG
שם	nazwa	שם	nazwa	ADV	N;NOM;FEM;SG
בית	beit	בית	beit	N;MASC;SG	PROPN;NOM;MASC;SG
בית	house	בית	housy	N;MASC;SG	
אשר	asher	אשר	asher	CONJ	PROPN;NOM;MASC;SG
אשר	escher	אשר	escher	CONJ	
אשר	usher	אשר	usher	CONJ	
אשר	które	אשר	który	CONJ	DET;ACC;MASC;SG
אשר	która	אשר	który	CONJ	DET;NOM;FEM;SG
אשר	który	אשר	który	CONJ	DET;NOM;MASC;SG
אשר	potwierdzić	אשר	potwierdzić	CONJ	V;PFV;NFIN;ACT
אשר	potwierdzam	אשר	potwierdzać	CONJ	V;IPFV;IND;SG;1;PRS;FIN;ACT
כמו	jak	כמו	jak	ADP	ADV
כמו	like	כמו	lik	ADP	
אחד	jeden	אחד	jeden	NUM;MASC;SG	ADJ;NOM;MASC;SG
אחד	jedna	אחד	jeden	NUM;MASC;SG	ADJ;NOM;FEM;SG
שמאל	lewy	שמאל	lewy	N;MASC;SG	ADJ;NOM;MASC;SG
שמאל	lewo	שמאל	lewo	N;MASC;SG	
קישורים	łącza	קישורים	łączyć	N;MASC;PL	
חיצוניים	zewnętrzne	חיצוני	zewnętrzny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
הברית	sojusz	הברית	sojusz	PROPN	N;NOM;MASC;SG
הברית	sojuszu	הברית	sojusz	PROPN	N;GEN;MASC;SG
הברית	przymierze	הברית	przymierz	PROPN	
בו	go	ב	on	ADP	PRO;ACC;MASC;SG;3
בו	boo	ב	boo	ADP	N;NOM;MASC;SG
היו	były	היה	być	V;PL;3;POS;PST	V;IPFV;MASC;IND;SG;PST;FIN;ACT
רק	tylko	רק	tylko	ADV	PART
רק	tylko	רק	tylko	ADV	PART
כאשר	kiedy	כאשר	kiedy	CONJ	ADV
בן	bena	בן	bena	PROPN	
בן	ben	בן	ben	PROPN	
בן	synu	בן	syn	PROPN	N;VOC;MASC;SG
בן	syn	בן	syn	PROPN	N;NOM;MASC;SG
שלו	jego	של	on		PRO;GEN;MASC;SG;3
שלו	jego	של	on		PRO;GEN;MASC;SG;3
שני	druga	שני	drugi	NUM;MASC;PL	ADJ;NOM;FEM;SG
שני	drugi	שני	drugi	NUM;MASC;PL	ADJ;NOM;MASC;SG
שני	drugie	שני	drugi	NUM;MASC;PL	ADJ;NOM;NEUT;SG
שני	shani	שני	shana	NUM;MASC;PL	
שני	poniedziałek	שני	poniedziałek	NUM;MASC;PL	N;NOM;MASC;SG
לו	lew	ל	lew		N;NOM;MASC;SG
מה	jakie	מה	jaki	ADV	DET;ACC;MASC;SG
מה	co	מה	co	ADV	
העולם	świat	העולם	świat		N;NOM;MASC;SG
העולם	swiat	העולם	swiat		V;IPFV;MASC;IND;SG;PST;FIN;ACT
העולם	świata	העולם	świat		N;GEN;MASC;SG
העולם	świecie	העולם	świat		N;DAT;MASC;SG
העיר	town	העיר	town	V;MASC;SG;3;PST;ACT	
העיר	miasta	העיר	miasto	V;MASC;SG;3;PST;ACT	N;GEN;NEUT;SG
העיר	miejscowość	העיר	miejscowość	V;MASC;SG;3;PST;ACT	N;NOM;FEM;SG
העיר	miasto	העיר	miasto	V;MASC;SG;3;PST;ACT	N;NOM;NEUT;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	
העיר	miejscowość	העיר	miejscowość	V;MASC;SG;3;PST;ACT	N;NOM;FEM;SG
העיר	miasta	העיר	miasto	V;MASC;SG;3;PST;ACT	N;GEN;NEUT;SG
העיר	miasto	העיר	miasto	V;MASC;SG;3;PST;ACT	N;NOM;NEUT;SG
במהלך	podczas	במהלך	podczas	ADV	ADP
אף	nosy	אף	nos	CONJ	N;NOM;MASC;PL
אף	nosie	אף	nos	CONJ	V;IPFV;IND;SG;PRS;FIN;ACT
אף	nosa	אף	nos	CONJ	N;GEN;MASC;SG
אף	nosek	אף	nosek	CONJ	N;NOM;MASC;SG
אף	nos	אף	nos	CONJ	N;NOM;MASC;SG
רבים	wielu	רב	wiele	V;MASC;PL;V.PTCP;ACT	DET;ACC;MASC;PL
רבים	wiele	רב	wiele	V;MASC;PL;V.PTCP;ACT	DET;ACC;MASC;PL
רבים	mnoga	רב	mnóg	V;MASC;PL;V.PTCP;ACT	N;NOM;FEM;SG
בה	jej	ב	on		PRO;GEN;FEM;SG;3
בה	ją	ב	on		PRO;ACC;FEM;SG;3
אביב	awiwie	אביב	awiwie	N;MASC;SG	PROPN;NOM;FEM;SG
אביב	wiosenny	אביב	wiosenny	N;MASC;SG	ADJ;NOM;MASC;SG
אביב	spring	אביב	spring	N;MASC;SG	
אביב	wiosna	אביב	wiosna	N;MASC;SG	
במאי	majowe	במאי	majowy	N;MASC;SG	ADJ;NOM;NEUT;SG
במאי	maja	במאי	mieć	N;MASC;SG	
במאי	może	במאי	móc	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
במאי	majowy	במאי	majowy	N;MASC;SG	ADJ;NOM;MASC;SG
במאי	maj	במאי	maj	N;MASC;SG	
שנה	lat	שנה	rok	N;FEM;SG	N;GEN;MASC;PL
שנה	lata	שנה	rok	N;FEM;SG	N;NOM;MASC;PL
נולד	urodzony	נולד	urodzić	V;MASC;SG;3;PST;MID	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
נולד	urodzona	נולד	urodzić	V;MASC;SG;3;PST;MID	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
נולד	urodzone	נולד	urodzić	V;MASC;SG;3;PST;MID	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
הערות	nuty	הערה	nuta	N;FEM;PL	
הערות	zauważa	הערה	zauważać	N;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
הערות	uwagi	הערה	uwaga	N;FEM;PL	N;ACC;FEM;SG
חלק	częściowo	חלק	częściowo	N;MASC;SG	ADV
חלק	gładkie	חלק	gładki	N;MASC;SG	ADJ;NOM;NEUT;SG
חלק	gładka	חלק	gładka	N;MASC;SG	ADJ;NOM;FEM;SG
חלק	sprawne	חלק	sprawny	N;MASC;SG	ADJ;NOM;NEUT;SG
לפני	zanim	לפני	zanim	ADP	CONJ
לפני	wcześniej	לפני	wcześnie	ADP	ADV;CMPR
אחת	jeden	אחת	jeden	NUM;FEM;SG	ADJ;NOM;MASC;SG
אחת	jedna	אחת	jeden	NUM;FEM;SG	ADJ;NOM;FEM;SG
ביולי	lipca	ביולי	lipiec	PROPN	
