और	και	और	και		CONJ
से	απο	से	απο		ADP
से	από	से	από		ADP
है	χάι	है	χαι	V;IND;SG;3;PRS;FIN;ACT	
एक	ένας	एक	ένας	NUM	DET;NOM;INDF;MASC;SG
एक	ενα	एक	ένας	NUM	N;NOM;NEUT;SG
श्रेणी	σειρές	श्रेणी	σειρός	N;NOM;FEM;SG;3	N;NOM;FEM;PL
श्रेणी	σειρά	श्रेणी	σειρά	N;NOM;FEM;SG;3	N;ACC;FEM;SG
श्रेणी	κατηγορίες	श्रेणी	κατηγορία	N;NOM;FEM;SG;3	N;NOM;FEM;PL
श्रेणी	κατηγοριες	श्रेणी	κατηγορία	N;NOM;FEM;SG;3	N;NOM;FEM;PL
भी	επισης	भी	επισης	PART	ADV
भी	επίσης	भी	επίσης	PART	ADV
यह	αυτο	यह	αυτός	PRO;NOM;SG;3	PRO;NOM;NEUT;SG;3
यह	αυτό	यह	αυτός	PRO;NOM;SG;3	PRO;NOM;NEUT;SG;3
किया	κάνει	कर	κάνω	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
किया	έγινε	कर	γίνομαι	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
किया	εγινε	कर	εγίνομαι	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
इस	αυτο	यह	αυτός	DET;ACC;SG;3	PRO;NOM;NEUT;SG;3
इस	αυτό	यह	αυτός	DET;ACC;SG;3	PRO;NOM;NEUT;SG;3
कि	αυτό	कि	αυτός		PRO;NOM;NEUT;SG;3
कि	ότι	कि	ότι		CONJ
कि	that	कि	that		
भारत	ινδία	भारत	ινδία	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
भारत	ινδίας	भारत	ινδία	PROPN;NOM;MASC;SG;3	PROPN;GEN;FEM;SG
जो	τζο	जो	τζο	PRO;NOM;SG;3	PROPN;NOM;MASC;SG
जो	joe	जो	joe	PRO;NOM;SG;3	
जो	ποιος	जो	ποιος	PRO;NOM;SG;3	DET;NOM;DEF;MASC;SG
ही	χι	ही	χι	PART	N
रूप	φόρμα	रूप	φόρμα	N;NOM;MASC;SG;3	N;ACC;FEM;SG
कर	φόρου	कर	φόρος	V;ACT	N;GEN;MASC;SG
कर	φόρος	कर	φόρος	V;ACT	N;NOM;MASC;SG
कर	φόρους	कर	φόρος	V;ACT	N;ACC;MASC;PL
कर	φόροι	कर	φόρος	V;ACT	N;NOM;MASC;PL
नहीं	οχι	नहीं	οχι	PART;NEG	ADV
साथ	με	साथ	με	ADV;NOM;MASC;SG;3	ADP
साथ	μαζι	साथ	μαζι	ADV;NOM;MASC;SG;3	N
पूर्व	ανατολή	पूर्व	ανατολή	ADV;NOM;MASC;SG;3	N;NOM;FEM;SG
पूर्व	ανατολική	पूर्व	ανατολικός	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पूर्व	ανατολικό	पूर्व	ανατολικός	ADV;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
पूर्व	ιστ	पूर्व	ιστ	ADV;NOM;MASC;SG;3	NUM;NOM;MASC;SG
पूर्व	πρωην	पूर्व	πρωην	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
तक	μεχρι	तक	μεχρι	CONJ	ADV
तक	μέχρι	तक	μέχρι	CONJ	ADP
तक	έως	तक	ώς	CONJ	ADP
तक	τακ	तक	τακ	CONJ	N
जिले	συνοικίες	जिला	συνοικία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
था	είχε	था	έχω	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
था	ήταν	था	είμαι	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
राज्य	πολιτείες	राज्य	πολιτεία	N;NOM;MASC;SG;3	N;NOM;FEM;PL
राज्य	κρατών	राज्य	κράτος	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
राज्य	κράτη	राज्य	κράτος	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
