터치스크린	pekskärm	터치스크린	pekskärm		N;NOM;INDF;MASC+FEM;SG
가속	påskyndat	가속	påskyndad	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
가속	påskyndade	가속	påskyndad	N	ADJ;NOM;PL;PST;V.PTCP
테크노	techno	테크노	techno		N;NOM;INDF;MASC+FEM;SG
노스웨스트	nordvästra	노스웨스트	nordvästra	PROPN	ADJ;NOM;DEF;SG
노스웨스트	nordväst	노스웨스트	nordväst	PROPN	ADV
상속	ärver	상속	ärva	N	V;IND;PRS;FIN;ACT
버디	polaren	버디	polare		N;NOM;DEF;MASC+FEM;SG
버디	buddy	버디	buddy		N;NOM;INDF;MASC+FEM;SG
버디	kompis	버디	kompis		N;NOM;INDF;MASC+FEM;SG
시어도어	theodore	시어도+어	theodore		PROPN;NOM
시어도어	theodor	시어도+어	theodor		PROPN;NOM
조종	manipulera	조종	manipulera	N	V;IMP;FIN;ACT
조종	manipulerar	조종	manipulera	N	V;IND;PRS;FIN;ACT
보헤미아	böhmen	보헤미아	böhm	PROPN	PROPN;NOM
간략하게	kortfattat	간략+하+게	kortfatta	CONJ	N;NOM;INDF;NEUT;SG
간략하게	kortvarigt	간략+하+게	kortvarig	CONJ	ADJ;NOM;INDF;NEUT;SG
휠체어	rullstolar	휠체어	rullstol		N;NOM;INDF;MASC+FEM;PL
휠체어	rullstol	휠체어	rullstol		N;NOM;INDF;MASC+FEM;SG
럭키	tur	럭키	tur		N;NOM;INDF;MASC+FEM;SG
럭키	lucky	럭키	lucky		N;NOM;INDF;MASC+FEM;SG
미타	mita	미타	mita		N;NOM;INDF;NEUT;SG
인스턴트	omedelbar	인스턴트	omedelbar		ADJ;NOM;INDF;MASC+FEM;SG
애틀랜틱	atlantic	애틀랜틱	atlantic		PROPN;NOM
애틀랜틱	atlanten	애틀랜틱	atlant		N;NOM;DEF;MASC+FEM;SG
애틀랜틱	atlantiska	애틀랜틱	atlantisk		ADJ;NOM;PL
호놀룰루	honolulu	호놀루+ㄹ	honolulu	PROPN	PROPN;NOM
아바나	havanna	아바+나	havan	PROPN	N;NOM;DEF;MASC+FEM;SG
나이로비	nairobi	나이로비	nairobi	PROPN	PROPN;NOM
셰퍼드	shepherd	셰퍼드	shepherd		N;NOM;INDF;MASC+FEM;SG
셰퍼드	herden	셰퍼드	herd		N;NOM;DEF;MASC+FEM;SG
셰퍼드	herde	셰퍼드	herde		N;NOM;INDF;MASC+FEM;SG
그라나다	granada	그라나다	granad	PROPN	N;NOM;INDF;MASC+FEM;SG
루키	lou	루키	lou		N;NOM;INDF;MASC+FEM;PL
부드럽게	mjuk	부드럽+게	mjuk		ADJ;NOM;INDF;MASC+FEM;SG
부드럽게	mjuka	부드럽+게	mjuk		ADJ;NOM;PL
부드럽게	soft	부드럽+게	soft		N;NOM;INDF;MASC+FEM;SG
부드럽게	mjukt	부드럽+게	mjukt		ADJ;NOM;INDF;NEUT;SG
부드럽게	slät	부드럽+게	släta		ADJ;NOM;INDF;MASC+FEM;SG
부드럽게	jämn	부드럽+게	jämn		ADJ;NOM;INDF;MASC+FEM;SG
부드럽게	slätt	부드럽+게	slätta		ADJ;NOM;INDF;MASC+FEM;SG
부드럽게	smidigt	부드럽+게	smidig		ADJ;NOM;INDF;NEUT;SG
부드럽게	smidig	부드럽+게	smidig		ADJ;NOM;INDF;MASC+FEM;SG
부드럽게	varsamt	부드럽+게	varsamt		ADV
부드럽게	försiktigt	부드럽+게	försiktig		ADV
제미니	gemini	제미+니	gemini		PROPN;NOM
미란다	miranda	미라+ㄴ다	mirand		N;NOM;INDF;MASC+FEM;SG
항만	hamn	항만	hamn		N;NOM;INDF;MASC+FEM;SG
항만	harbor	항만	harbor		PROPN;NOM
항만	hamnen	항만	hamn		N;NOM;DEF;MASC+FEM;SG
트랜지스터	transistor	트랜지스터	transistor		N;NOM;INDF;MASC+FEM;SG
세이	uppsats	세이	uppsats		N;NOM;INDF;MASC+FEM;SG
세이	uppsatsen	세이	uppsats		N;NOM;DEF;MASC+FEM;SG
코발트	kobolt	코발트	kobol		N;NOM;INDF;MASC+FEM;SG
차이점	jämförelse	차이점	jämförelse		N;NOM;INDF;MASC+FEM;SG
차이점	diff	차이점	diff		N;NOM;INDF;MASC+FEM;SG
차이점	skillnad	차이점	skillnad		N;NOM;INDF;MASC+FEM;SG
차이점	skillnaden	차이점	skillnad		N;NOM;DEF;MASC+FEM;SG
차이점	olikheter	차이점	olikhet		N;NOM;INDF;MASC+FEM;PL
차이점	meningsskiljaktigheter	차이점	meningsskiljaktighet		N;NOM;INDF;MASC+FEM;PL
차이점	skillnader	차이점	skillnad		N;NOM;INDF;MASC+FEM;PL
논리학	logiska	논리학	logisk	N	ADJ;NOM;PL
논리학	logisk	논리학	logisk	N	ADJ;NOM;INDF;MASC+FEM;SG
논리학	logiskt	논리학	logisk	N	ADJ;NOM;INDF;NEUT;SG
버틀러	butler	버틀러	butler		N;NOM;INDF;MASC+FEM;SG
버틀러	betjänt	버틀러	betjänt		N;NOM;INDF;MASC+FEM;SG
마르셀	marcelle	마르+고	marcelle	PROPN	N;NOM;INDF;MASC+FEM;SG
마르셀	marcel	마르+고	marcel	PROPN	PROPN;NOM
이니셜	ursprungligt	이니+처	ursprunglig		ADJ;NOM;INDF;NEUT;SG
이니셜	initial	이니+처	initial		N;NOM;INDF;MASC+FEM;SG
이니셜	ursprunglig	이니+처	ursprunglig		ADJ;NOM;INDF;MASC+FEM;SG
이니셜	inledande	이니+처	inledande		ADJ;NOM;PRS;V.PTCP
이니셜	initialer	이니+처	initial		N;NOM;INDF;MASC+FEM;PL
이니셜	initialerna	이니+처	initial		N;NOM;DEF;MASC+FEM;PL
일치	matcher	일치	matcher		N;NOM;INDF;MASC+FEM;PL
일치	matchar	일치	matcha		V;IND;PRS;FIN;ACT
일치	tändstickor	일치	tändsticka		N;NOM;INDF;MASC+FEM;PL
일치	matchning	일치	matchning		N;NOM;INDF;MASC+FEM;SG
일치	matchar	일치	matcha		V;IND;PRS;FIN;ACT
일치	matchande	일치	matchande		N;NOM;INDF;MASC+FEM;SG
일치	matchning	일치	matchning		N;NOM;INDF;MASC+FEM;SG
일치	match	일치	match		N;NOM;INDF;MASC+FEM;SG
일치	matchar	일치	matcha		V;IND;PRS;FIN;ACT
일치	matcha	일치	matcha		V;IMP;FIN;ACT
일치	matchade	일치	matchade		V;IMP;FIN;ACT
일치	matchas	일치	matchas		V;NFIN;PASS
성숙한	moget	성숙+하+ㄴ	mogen	V	ADJ;NOM;INDF;NEUT;SG
성숙한	mogen	성숙+하+ㄴ	mogen	V	ADJ;NOM;INDF;MASC+FEM;SG
성숙한	mogna	성숙+하+ㄴ	mogen	V	ADJ;NOM;PL
