aturar	stand	aturar	stand	V	N;NOM;INDF;MASC+FEM;SG
cá	än	cá	än	N	CONJ
cá	de	cá	de	N	PRO;NOM;DEF;PL
cá	den	cá	den	N	PRO;DEF;MASC+FEM;SG
saberán	know	saber	know	V	N;NOM;INDF;MASC+FEM;SG
saberán	de	saber	de	V	PRO;NOM;DEF;PL
saberán	dom	saber	de	V	PRO;NOM;DEF;PL
patada	sparka	patada	sparka	N	V;IMP;FIN;ACT
natal	hemort	natal	hemort	PROPN	N;NOM;INDF;MASC+FEM;SG
natal	hemstad	natal	hemstad	PROPN	N;NOM;INDF;MASC+FEM;SG
gases	gasa	gas	gasa	N	V;IMP;FIN;ACT
comparación	jämförde	comparación	jämföra	N	V;IND;PST;FIN;ACT
comparación	jämfört	comparación	jämföra	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
morrera	dött	morrera	döda	V	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
reclamar	påstående	reclamar	påstående	V	N;NOM;INDF;NEUT;SG
reclamar	anspråk	reclamar	anspråk	V	N;NOM;INDF;NEUT;SG
reclamar	fordran	reclamar	fordran	V	N;NOM;INDF;MASC+FEM;SG
reclamar	för	reclamar	för	V	ADP
polonia	polen	polonia	pol	PROPN	PROPN;NOM
humilde	ödmjuk	humilde	ödmjuk	N	ADJ;NOM;INDF;MASC+FEM;SG
humilde	ödmjuka	humilde	ödmjuka	N	ADJ;NOM;PL
detén	hållplatser	detén	hållplats	V	N;NOM;INDF;MASC+FEM;PL
detén	stop	detén	stop	V	N;NOM;INDF;NEUT;SG
detén	stopp	detén	stopp	V	N;NOM;INDF;NEUT;SG
faltaba	var	faltar	var	V	PRO;INDF;MASC+FEM;SG
faltaba	saknad	faltar	saknad	V	N;NOM;INDF;MASC+FEM;SG
faltaba	försvunnen	faltar	försvinn	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
chegaría	skulle	chegar	skola	V	V;IND;PST;FIN;ACT
hmm	hmm	hmm	hmm	PROPN	N;NOM;INDF;MASC+FEM;SG
esixe	obligatoriskt	esixir	obligatorisk	V	ADJ;NOM;INDF;NEUT;SG
corren	run	currir	run	V	N;NOM;INDF;MASC+FEM;SG
corren	spring	currir	spring	V	N;NOM;INDF;MASC+FEM;SG
gañaches	ni	gañaches	ni	N	PRO;NOM;DEF;MASC+FEM;SG
gañaches	dig	gañaches	du	N	PRO;ACC;DEF;MASC+FEM;SG
gañaches	du	gañaches	du	N	PRO;NOM;DEF;MASC+FEM;SG
gañaches	vunna	gañaches	vunna	N	ADJ;NOM;PL
gañaches	vunnit	gañaches	vinna	N	V;V.CVB;ACT
gañaches	vann	gañaches	vann	N	V;IND;PST;FIN;ACT
gañaches	vinna	gañaches	vinna	N	V;IMP;FIN;ACT
gañaches	vinn	gañaches	vinna	N	V;IMP;FIN;ACT
alerta	pigg	alertar	pigg	N	ADJ;NOM;INDF;MASC+FEM;SG
puxeches	ni	puxeche	ni	V	PRO;NOM;DEF;MASC+FEM;SG
puxeches	dig	puxeche	du	V	PRO;ACC;DEF;MASC+FEM;SG
puxeches	du	puxeche	du	V	PRO;NOM;DEF;MASC+FEM;SG
debate	debattera	debate	debattera	N	V;IMP;FIN;ACT
debate	debatterar	debate	debattera	N	V;IND;PRS;FIN;ACT
debate	debattera	debate	debattera	N	V;IMP;FIN;ACT
larry	larry	larry	larry	PROPN	PROPN;NOM
arrestaron	anhållen	arrestar	anhåll	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
arrestaron	gripen	arrestar	grip	V	N;NOM;DEF;MASC+FEM;SG
arrestaron	arresterad	arrestar	arrestera	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
arrestaron	häktad	arrestar	häktad	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
arrestaron	arresterade	arrestar	arrestera	V	ADJ;NOM;PL;PST;V.PTCP
arrestaron	de	arrestar	de	V	PRO;NOM;DEF;PL
arrestaron	dom	arrestar	de	V	PRO;NOM;DEF;PL
parados	står	parado	stå	N	V;IND;PRS;FIN;ACT
parados	arbetslös	parado	arbetslös	N	ADJ;NOM;INDF;MASC+FEM;SG
parados	arbetslösa	parado	arbetslös	N	ADJ;NOM;PL
tiros	skjutna	tiro	skjuta	N	ADJ;NOM;PL;PST;V.PTCP
tiros	skjuten	tiro	skjuta	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
tiros	sköt	tiro	sköta	N	V;IMP;FIN;ACT
axudala	ni	axudala	ni	N	PRO;NOM;DEF;MASC+FEM;SG
axudala	dig	axudala	du	N	PRO;ACC;DEF;MASC+FEM;SG
axudala	du	axudala	du	N	PRO;NOM;DEF;MASC+FEM;SG
axudala	hennes	axudala	hon	N	PRO;DEF
axudala	henne	axudala	hon	N	PRO;ACC;DEF;MASC+FEM;SG
enfronte	front	enfronte	front	ADV	N;NOM;INDF;MASC+FEM;SG
enfronte	främre	enfronte	främra	ADV	ADJ;NOM;CMPR
enfronte	framsidan	enfronte	framsida	ADV	N;NOM;DEF;MASC+FEM;SG
enfronte	framsida	enfronte	framsida	ADV	N;NOM;INDF;MASC+FEM;SG
durmo	viloläge	durmo	viloläge	V	N;NOM;DEF;MASC+FEM;SG
durmo	sömn	durmo	sömn	V	N;NOM;INDF;MASC+FEM;SG
vagóns	träna	vagón	träna	N	V;IMP;FIN;ACT
quedes	vistelse	quedes	vistelse	V	N;NOM;INDF;MASC+FEM;SG
quedes	stay	quedes	stay	V	N;NOM;INDF;MASC+FEM;SG
quedes	stand	quedes	stand	V	N;NOM;INDF;MASC+FEM;SG
kent	kent	kent	kent	PROPN	PROPN;NOM
douche	give	douche	give	V	N;NOM;INDF;MASC+FEM;SG
douche	ni	douche	ni	V	PRO;NOM;DEF;MASC+FEM;SG
douche	dig	douche	du	V	PRO;ACC;DEF;MASC+FEM;SG
douche	du	douche	du	V	PRO;NOM;DEF;MASC+FEM;SG
pódolle	kan	pódoller	kunna	N	V;IND;PRS;FIN;ACT
maletas	packa	maleta	packa	N	V;IMP;FIN;ACT
marchen	marsch	marchar	marsch	V	N;NOM;INDF;MASC+FEM;SG
marchen	march	marchar	march	V	N;NOM;INDF;MASC+FEM;SG
marchen	demonstrationståg	marchar	demonstrationståg	V	N;NOM;INDF;NEUT;SG
marchen	mars	marchar	mars	V	N;NOM;INDF;MASC+FEM;SG
atreves	ni	atrever	ni	V	PRO;NOM;DEF;MASC+FEM;SG
atreves	dig	atrever	du	V	PRO;ACC;DEF;MASC+FEM;SG
atreves	du	atrever	du	V	PRO;NOM;DEF;MASC+FEM;SG
choro	gråta	choro	gråta	N	V;IMP;FIN;ACT
choro	gråter	choro	gråta	N	V;IND;PRS;FIN;ACT
impórtache	ni	impórtache	ni	N	PRO;NOM;DEF;MASC+FEM;SG
impórtache	dig	impórtache	du	N	PRO;ACC;DEF;MASC+FEM;SG
impórtache	du	impórtache	du	N	PRO;NOM;DEF;MASC+FEM;SG
acouguen	lätta	acougar	lätt	PROPN	ADJ;NOM;PL
acouguen	enkelt	acougar	enkel	PROPN	ADJ;NOM;INDF;NEUT;SG
acouguen	lätt	acougar	lätt	PROPN	ADJ;NOM;INDF;NEUT;SG
acouguen	easy	acougar	easy	PROPN	N;NOM;MASC+FEM;SG
acouguen	snälla	acougar	snälla	PROPN	ADJ;NOM;PL
acouguen	vänligen	acougar	vänligen	PROPN	ADV
acouguen	tysta	acougar	tyst	PROPN	ADJ;NOM;PL
acouguen	tyst	acougar	tyst	PROPN	ADJ;NOM;INDF;MASC+FEM;SG
toleaches	ni	toleache	ni	N	PRO;NOM;DEF;MASC+FEM;SG
toleaches	dig	toleache	du	N	PRO;ACC;DEF;MASC+FEM;SG
toleaches	du	toleache	du	N	PRO;NOM;DEF;MASC+FEM;SG
toleaches	galen	toleache	gal	N	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
toleaches	galet	toleache	gal	N	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
toleaches	tokig	toleache	tokig	N	ADJ;NOM;INDF;MASC+FEM;SG
católico	katoliker	católico	katolik	ADJ	N;NOM;INDF;MASC+FEM;PL
ficas	vistelse	fica	vistelse	V	N;NOM;INDF;MASC+FEM;SG
ficas	stay	fica	stay	V	N;NOM;INDF;MASC+FEM;SG
ficas	ni	fica	ni	V	PRO;NOM;DEF;MASC+FEM;SG
ficas	dig	fica	du	V	PRO;ACC;DEF;MASC+FEM;SG
ficas	du	fica	du	V	PRO;NOM;DEF;MASC+FEM;SG
deixarnos	lämna	deixarno	lämna	N	V;IMP;FIN;ACT
brancas	white	branco	white	ADJ	N;NOM;INDF;MASC+FEM;SG
erguédevos	dagarna	erguédevo	dag	ADJ	N;NOM;DEF;MASC+FEM;PL
erguédevos	dagar	erguédevo	dag	ADJ	N;NOM;INDF;MASC+FEM;PL
erguédevos	days	erguédevo	days	ADJ	N;NOM;INDF;NEUT;SG
erguédevos	will	erguédevo	will	ADJ	V;IMP;FIN;ACT
erguédevos	kommer	erguédevo	komma	ADJ	V;IND;PRS;FIN;ACT
erguédevos	hämta	erguédevo	hämta	ADJ	V;IMP;FIN;ACT
erguédevos	skaffa	erguédevo	skaffa	ADJ	V;IMP;FIN;ACT
erguédevos	get	erguédevo	ge	ADJ	N;NOM;INDF;MASC+FEM;SG
mack	mack	mack	mack	PROPN	N;NOM;INDF;MASC+FEM;SG
carter	carter	carter	cart	PROPN	PROPN;NOM
creas	tror	crea	tro	N	V;IND;PRS;FIN;ACT
creas	tro	crea	tro	N	V;IMP;FIN;ACT
creas	ni	crea	ni	N	PRO;NOM;DEF;MASC+FEM;SG
creas	dig	crea	du	N	PRO;ACC;DEF;MASC+FEM;SG
creas	du	crea	du	N	PRO;NOM;DEF;MASC+FEM;SG
berres	skrika	berre	skrika	N	V;IMP;FIN;ACT
berres	ropa	berre	ropa	N	V;IMP;FIN;ACT
dezasete	seventeen	dezasete	sevente	NUM	N;NOM;DEF;MASC+FEM;SG
faite	ni	faite	ni	PROPN	PRO;NOM;DEF;MASC+FEM;SG
