और	et	और	et		CONJ
से	du	से	du		DET;MASC;SG
से	de	से	de		ADP
से	depuis	से	depuis		ADP
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	PROPN
है	haï	है	haïr	V;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;PST;V.PTCP
एक	un	एक	un	NUM	PRO;MASC;SG
एक	une	एक	un	NUM	DET;INDF;FEM;SG
एक	one	एक	one	NUM	PROPN
श्रेणी	catégories	श्रेणी	catégorie	N;NOM;FEM;SG;3	N;FEM;PL
श्रेणी	séries	श्रेणी	série	N;NOM;FEM;SG;3	N;FEM;PL
श्रेणी	catégories	श्रेणी	catégorie	N;NOM;FEM;SG;3	N;FEM;PL
भी	meme	भी	même	PART	INTJ
भी	même	भी	même	PART	ADV
भी	également	भी	également	PART	ADV
भी	aussi	भी	aussi	PART	ADV
भी	egalement	भी	egalement	PART	ADV
भी	trop	भी	trop	PART	ADV
भी	too	भी	too	PART	INTJ
लिए	roleplay	लिए	roleplay	CONJ	ADJ;MASC;SG
यह	cet	यह	ce	PRO;NOM;SG;3	PRO;SG;3
यह	cette	यह	ce	PRO;NOM;SG;3	DET;FEM;SG
यह	cela	यह	cela	PRO;NOM;SG;3	PRO;SG
यह	ce	यह	ce	PRO;NOM;SG;3	PRO;SG;3
किया	did	कर	did	V;PFV;MASC;SG;V.PTCP;ACT	
इस	ceci	यह	ceci	DET;ACC;SG;3	PRO;SG
इस	cet	यह	ce	DET;ACC;SG;3	PRO;SG;3
इस	cela	यह	cela	DET;ACC;SG;3	PRO;SG
इस	ce	यह	ce	DET;ACC;SG;3	PRO;SG;3
कि	que	कि	que		CONJ
कि	cela	कि	cela		PRO;SG
भारत	inde	भारत	inde	PROPN;NOM;MASC;SG;3	PROPN
भारत	indes	भारत	inde	PROPN;NOM;MASC;SG;3	N;FEM;PL
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN
जो	qui	जो	qui	PRO;NOM;SG;3	PRO
जो	oms	जो	om	PRO;NOM;SG;3	N;MASC;SG
जो	who	जो	who	PRO;NOM;SG;3	PROPN
ही	hee	ही	hee	PART	PROPN
कर	impôts	कर	impôt	V;ACT	N;MASC;PL
कर	taxe	कर	taxe	V;ACT	N;FEM;SG
कर	taxes	कर	taxe	V;ACT	N;FEM;PL
कर	fiscalité	कर	fiscalité	V;ACT	N;FEM;SG
कर	fiscale	कर	fiscal	V;ACT	ADJ;FEM;SG
कर	impôt	कर	impôt	V;ACT	N;MASC;SG
कर	impôt	कर	impôt	V;ACT	N;MASC;SG
कर	impôts	कर	impôt	V;ACT	N;MASC;PL
कर	taxes	कर	taxe	V;ACT	N;FEM;PL
कर	fiscalité	कर	fiscalité	V;ACT	N;FEM;SG
नहीं	not	नहीं	not	PART;NEG	PRO;SG;3
नहीं	non	नहीं	non	PART;NEG	ADV
नहीं	pas	नहीं	pas	PART;NEG	ADV;NEG
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	PROPN
साथ	avec	साथ	avec	ADV;NOM;MASC;SG;3	ADP
साथ	together	साथ	together	ADV;NOM;MASC;SG;3	PROPN
