the	os	the	o	DET;DEF	PRO;ACC;MASC;PL;3
was	estava	be	estar	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
was	era	be	ser	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
was	tava	be	tavo	V;IND;SG;3;PST;FIN	V;IND;SG;1;IPFV;FIN
was	foi	be	foi	V;IND;SG;3;PST;FIN	ADV
for	por	for	por		ADP
for	para	for	para		ADP
that	que	that	que	PRO;SG	PRO;MASC;SG
from	do	from	do	ADV	N;MASC;SG
from	de	from	de	ADV	ADP
from	da	from	da	ADV	INTJ
this	este	this	este	PRO;SG	DET;MASC;SG
this	esse	this	esse	PRO;SG	DET;MASC;SG
utc	utc	utc	utc	PROPN;SG	N;MASC;SG
his	seu	he	seu	PRO;MASC;SG;3	DET;MASC;SG
his	his	he	his	PRO;MASC;SG;3	N;MASC;SG
his	sua	he	seu	PRO;MASC;SG;3	DET;FEM;SG
not	não	not	não	PART	INTJ
are	sao	be	sao	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
are	are	be	are	V;IND;PRS;FIN	N;MASC;SG
talk	fala	talk	falar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
talk	fale	talk	falar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
talk	conversa	talk	conversa	V;IMP;FIN	N;FEM;SG
which	qual	which	qual	PRO	PRO;MASC;SG
has	tem	have	ter	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
were	estavam	be	estar	V;IND;PST;FIN	V;IND;PL;3;IPFV;FIN
were	eram	be	ser	V;IND;PST;FIN	V;IND;PL;3;IPFV;FIN
have	tenha	have	ter	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
one	one	one	one	NUM	N;MASC;SG
new	novidade	new	novidade	ADJ	N;FEM;SG
first	primeira	first	primeiro	ADV	ADJ;FEM;SG
first	primeiros	first	primeiro	ADV	ADJ;MASC;PL
you	tu	you	tu	PRO;ACC;2	INTJ
you	você	you	você	PRO;ACC;2	PRO;NOM;SG;3
you	vc	you	vc	PRO;ACC;2	PRO;NOM;MASC;SG;3
had	tinha	have	ter	V;IND;PST;FIN	V;IND;SG;3;IPFV;FIN
who	oms	who	oms	PRO	N;FEM;SG
who	who	who	who	PRO	N;MASC;SG
who	quem	who	quem	PRO	PRO;SG
all	tudo	all	tudo	DET	PRO;MASC;SG
all	todos	all	todo	DET	PRO;MASC;PL
their	suas	they	seu	PRO;PL;3	DET;FEM;PL
there	ai	there	ai	ADV	INTJ
made	made	make	made	V;PST;V.PTCP	N;MASC;SG
its	seu	its	seu	PRO;NEUT;SG;3	DET;MASC;SG
its	sua	its	seu	PRO;NEUT;SG;3	DET;FEM;SG
people	povo	people	povo	N;PL	N;MASC;SG
people	gente	people	gente	N;PL	N;FEM;SG
may	may	may	may	V;FIN	N;MASC;SG
may	maio	may	maio	V;FIN	N;MASC;SG
may	pode	may	poder	V;FIN	V;IND;SG;3;PRS;FIN
after	após	after	após	ADV	ADP
after	after	after	after	ADV	N;MASC;SG
other	outro	other	outro	ADJ	PRO;MASC;SG
other	outros	other	outro	ADJ	PRO;MASC;PL
other	outras	other	outro	ADJ	PRO;FEM;PL
other	outra	other	outro	ADJ	PRO;FEM;SG
should	deveria	should	dever	V;FIN	V;COND;SG;3;FIN
should	devia	should	dever	V;FIN	V;IND;SG;3;IPFV;FIN
should	deve	should	dever	V;FIN	V;IND;SG;3;PRS;FIN
two	two	two	two	NUM	N;MASC;SG
her	dela	she	dela	PRO;ACC;FEM;SG;3	N;MASC;SG
her	ela	she	ela	PRO;ACC;FEM;SG;3	PRO;NOM;FEM;SG;3
her	her	she	her	PRO;ACC;FEM;SG;3	N;MASC;SG
can	pode	can	poder	V;FIN	V;IND;SG;3;PRS;FIN
can	podem	can	poder	V;FIN	V;IND;PL;3;PRS;FIN
can	lata	can	lata	V;FIN	N;FEM;SG
can	can	can	can	V;FIN	N;MASC;SG
would	iria	would	ir	V;FIN	V;COND;SG;3;FIN
would	faria	would	fazer	V;FIN	V;COND;SG;3;FIN
more	mais	more	mais	ADJ;CMPR	ADV
more	more	more	more	ADJ;CMPR	N;MASC;SG
she	she	she	she	PRO;NOM;FEM;SG;3	N;MASC;SG
about	sobre	about	sobre	ADV	ADP
when	when	when	when	ADV	N;MASC;SG
american	americano	american	americano	ADJ	N;MASC;SG
american	americanos	american	americano	ADJ	N;MASC;PL
american	american	american	american	ADJ	N;MASC;SG
american	americana	american	americana	ADJ	N;FEM;SG
such	tal	such	tal	ADJ	DET;FEM;SG
such	tais	such	tal	ADJ	DET;FEM;PL
discussion	discussões	discussion	discussão	N;SG	N;FEM;PL
some	alguns	some	algum	DET	PRO;MASC;PL
some	algumas	some	algum	DET	PRO;FEM;PL
see	veja	see	ver	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
see	vê	see	ver	V;IMP;FIN	V;IND;SG;3;PRS;FIN
united	unidas	united	unida	PROPN;SG	N;FEM;PL
united	unida	united	unida	PROPN;SG	V;FEM;SG;V.PTCP
united	united	united	united	PROPN;SG	N;MASC;SG
united	unidos	united	unido	PROPN;SG	N;MASC;PL
years	years	year	years	N;PL	N;MASC;SG
into	into	into	into	ADV	N;MASC;SG
during	durante	during	durante	ADV	ADP
out	out	out	out	ADV	N;MASC;SG
state	estaduais	state	estadual	N;SG	N;MASC;PL
state	estadual	state	estadual	N;SG	ADJ;MASC;SG
national	national	national	national	ADJ	N;MASC;SG
national	nacionais	national	nacional	ADJ	N;MASC;PL
most	most	most	most	ADJ;RL	N;MASC;SG
than	than	than	than	ADV	N;MASC;SG
external	externas	external	externo	ADJ	N;FEM;PL
external	externa	external	externo	ADJ	N;FEM;SG
will	will	will	will	V;FIN	N;MASC;SG
will	vontade	will	vontade	V;FIN	N;FEM;SG
delete	apaga	delete	apagar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
these	estes	these	este	PRO;PL	DET;MASC;PL
these	esses	these	esse	PRO;PL	DET;MASC;PL
january	janeiro	january	janeiro	PROPN;SG	N;MASC;SG
march	march	march	march	PROPN;SG	N;MASC;SG
march	marchar	march	marchar	PROPN;SG	V;NFIN
march	marcha	march	marcha	PROPN;SG	N;FEM;SG
march	março	march	março	PROPN;SG	N;MASC;SG
august	augusto	august	augusto	PROPN;SG	N;MASC;SG
august	august	august	august	PROPN;SG	N;MASC;SG
august	agosto	august	agosto	PROPN;SG	N;MASC;SG
july	julho	july	julho	PROPN;SG	N;MASC;SG
film	filmes	film	filme	N;SG	N;MASC;PL
film	películas	film	película	N;SG	N;FEM;PL
him	ele	he	ele	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
many	muitos	many	muito	ADJ	PRO;MASC;PL
many	muitas	many	muito	ADJ	PRO;FEM;PL
south	sul	south	sul	PROPN;SG	N;MASC;SG
south	south	south	south	PROPN;SG	N;MASC;SG
september	setembro	september	setembro	PROPN;SG	N;MASC;SG
like	like	like	like	INTJ	N;MASC;SG
like	curta	like	curto	INTJ	ADJ;FEM;SG
like	como	like	como	INTJ	ADV
between	entre	between	entre	ADV	ADP
october	outubro	october	outubro	PROPN;SG	N;MASC;SG
three	three	three	three	NUM	N;MASC;SG
june	june	june	june	PROPN;SG	N;FEM;SG
june	junho	june	junho	PROPN;SG	N;MASC;SG
well	bem	well	bem	INTJ	ADV
use	uso	use	uso	V;IMP;FIN	N;MASC;SG
use	use	use	usar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
use	utilização	use	utilização	V;IMP;FIN	N;FEM;SG
war	guerras	war	guerra	N;SG	N;FEM;PL
under	sob	under	sob	ADV	ADP
under	under	under	under	ADV	N;MASC;SG
them	eles	they	eles	PRO;ACC;PL;3	PRO;NOM;MASC;PL;3
april	april	april	april	PROPN;SG	N;FEM;SG
