und	और	und	और	CONJ	
von	से	von	से	ADP	
von	इससे	von	यह	ADP	PRO;SG;3
das	ये	der	यह	PRO;NOM;NEUT;SG	PRO;NOM;PL;3
das	यह	der	यह	PRO;NOM;NEUT;SG	PRO;NOM;SG;3
das	इस	der	यह	PRO;NOM;NEUT;SG	DET;ACC;SG;3
das	उस	der	वह	PRO;NOM;NEUT;SG	DET;ACC;SG;3
das	कि	der	कि	PRO;NOM;NEUT;SG	
das	दास	der	दास	PRO;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
des	देस	der	देस	DET;GEN;DEF;NEUT;SG	
mit	साथ	mit	साथ	ADP	ADV;NOM;MASC;SG;3
mit	एमआईटी	mit	एमआईटी	ADP	PROPN;NOM;MASC;SG;3
für	लिये	für	ले	ADP	V;PFV;MASC;SG;V.PTCP;ACT
ein	एक	ein	एक	ADV	NUM
ein	ऐं	ein	ऐं	ADV	PROPN;NOM;MASC;SG;3
als	als	als	als	ADP	
eine	एक	ein	एक	DET;NOM;INDF;FEM;SG	NUM
wurde	था	werden	था	V;IND;SG;3;PST;FIN;PASS	V;MASC;IND;SG;PST;FIN;ACT
wurde	थी	werden	था	V;IND;SG;3;PST;FIN;PASS	V;FEM;IND;SG;PST;FIN;ACT
auch	सम	auch	सम	ADV	
auch	भी	auch	भी	ADV	PART
auch	भी	auch	भी	ADV	PART
auch	भी	auch	भी	ADV	PART
auch	too	auch	too	ADV	
nicht	नही	nicht	नही	PART;NEG	
nach	बाद	nach	बाद	ADP	ADV;NOM;MASC;SG;3
bei	बेई	bei	बेई	ADP	
bei	bei	bei	bei	ADP	PROPN;NOM;MASC;SG;3
aus	से	aus	से	ADP	
aus	इससे	aus	यह	ADP	PRO;SG;3
aus	बाहर	aus	बाहर	ADP	ADV;NOM;MASC;SG;3
aus	आउट	aus	आउट	ADP	N;NOM;MASC;SG;3
sie	आपको	sie	आप	PRO;NOM;FEM;SG;3	PRO;SG;2;FORM
sie	आप	sie	आप	PRO;NOM;FEM;SG;3	PRO;NOM;SG;2;FORM
sie	वो	sie	वह	PRO;NOM;FEM;SG;3	
sie	उन्होंने	sie	वह	PRO;NOM;FEM;SG;3	PRO;SG;3;FORM
bis	विचाराधीन	bis	विचाराधीन	ADP	PROPN;NOM;SG;3
bis	लंबित	bis	लंबित	ADP	ADJ
bis	स्थगित	bis	स्थगित	ADP	ADJ
bis	बिस	bis	बिस	ADP	
bis	तक	bis	तक	ADP	CONJ
bis	जबतक	bis	जबतक	ADP	
ich	ich	ich	ich	PRO;NOM;SG;1	PROPN;NOM;MASC;SG;3
einer	एक	ein	एक	PRO;NOM;INDF;MASC;SG	NUM
werden	करेंगे	werden	कर	V;NFIN;PASS	V;MASC;IND;PL;3;FUT;FIN;ACT
werden	होगी	werden	हो	V;NFIN;PASS	V;FEM;IND;SG;3;FUT;FIN;ACT
werden	करेगा	werden	कर	V;NFIN;PASS	V;MASC;IND;SG;3;FUT;FIN;ACT
werden	करेगी	werden	कर	V;NFIN;PASS	V;FEM;IND;SG;3;FUT;FIN;ACT
werden	होगा	werden	हो	V;NFIN;PASS	V;MASC;IND;SG;3;FUT;FIN;ACT
werden	बनने	werden	बन	V;NFIN;PASS	V;NFIN;ACT
wird	करेंगे	werden	कर	V;IND;SG;3;PRS;FIN;PASS	V;MASC;IND;PL;3;FUT;FIN;ACT
wird	होगी	werden	हो	V;IND;SG;3;PRS;FIN;PASS	V;FEM;IND;SG;3;FUT;FIN;ACT
wird	करेगा	werden	कर	V;IND;SG;3;PRS;FIN;PASS	V;MASC;IND;SG;3;FUT;FIN;ACT
wird	करेगी	werden	कर	V;IND;SG;3;PRS;FIN;PASS	V;FEM;IND;SG;3;FUT;FIN;ACT
wird	होगा	werden	हो	V;IND;SG;3;PRS;FIN;PASS	V;MASC;IND;SG;3;FUT;FIN;ACT
score	अंक	scoren	अंक	PROPN	N;NOM;MASC;SG;3
