から	from	から	from	CONJ	
日本	japonya	日本	japonya	PROPN	PROPN;NOM;SG;3
日本	nippon	日本	nippon	PROPN	
この	bu	この	bu	DET	
この	bunu	この	bu	DET	PRO;ACC;SG;3
また	ayrica	また	ayrica	CONJ	
また	ayrıca	また	ayrıca	CONJ	
昭和	showa	昭和	showa	PART	
もの	seyler	もの	seyle	N	
大学	üniversite	大学	üniversite	N	
大学	üniversite	大学	üniversite	N	
大学	university	大学	university	N	PROPN;NOM;SG;3
大学	üniversite	大学	üniversite	N	
大学	kolej	大学	kolej	N	
大学	college	大学	college	N	PROPN;NOM;SG;3
テレビ	tv	テレビ	tv	N	
放送	yayın	放送	yayın	V	
東京	tokyo	東京	tokyo	PROPN	PROPN;NOM;SG;3
削除	silme	削除	sil	V	
削除	silme	削除	sil	V	
削除	çıkar	削除	çıkar	V	
削除	kaldır	削除	kal	V	
削除	silme	削除	sil	V	
削除	silin	削除	sil	V	
削除	sil	削除	sil	V	
現在	güncel	現在	güncel	N	
現在	akım	現在	akım	N	
現在	şimdiki	現在	şimdiki	N	
現在	mevcut	現在	mevcut	N	
現在	şimdiki	現在	şimdiki	N	
現在	mevcut	現在	mevcut	N	
平成	heisei	平成	heisei	PART	
学校	okul	学校	okul	N	
学校	school	学校	school	N	
これ	bu	これ	bu	PRO	
世界	world	世界	world	N	
世界	dünya	世界	dünya	N	
世界	dunya	世界	dunya	N	
アメリカ	amerika	アメリカ	amerik	PROPN	
アメリカ	america	アメリカ	america	PROPN	N;NOM;SG;3
でも	fakat	でも	fakat	CONJ	
について	hakkında	について	hak	ADP	N;ESS;SG;3
について	yaklaşık	について	yaklaşık	ADP	
作品	çalışır	作品	çalış	N	
作品	çalışıyor	作品	çalış	N	V;PROG;IND;SG;3;POS;INFM;PRS
時代	çağ	時代	çağ	N	
映画	film	映画	film	N	
映画	film	映画	film	N	
映画	film	映画	film	N	
監督	müdür	監督	müdür	N	
監督	yönetmen	監督	yönetmen	N	
監督	yönetici	監督	yönetici	N	
監督	denetim	監督	denetim	N	
鉄道	demiryolu	鉄道	demiryolu	N	
鉄道	demiryolu	鉄道	demiryolu	N	
使用	kullanımı	使用	kullanım	V	N;NOM;SG;3
使用	kullanım	使用	kullanım	V	
使用	kullan	使用	kullan	V	
出演	görünüş	出演	görünüş	V	
出演	görünüşü	出演	görünüş	V	N;NOM;SG;3
出演	görünümü	出演	görün	V	N;NOM;SG;3
出演	görünüş	出演	görünüş	V	
