oli	бе	olema	съм	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
eesti	естония	eesti	естония	ADJ	PROPN;INDF;FEM;SG
mis	какво	mis	какъв	PRO;NOM;SG	DET;NEUT;SG
mis	което	mis	който	PRO;NOM;SG	PRO;NOM;NEUT;SG
mis	която	mis	който	PRO;NOM;SG	PRO;NOM;FEM;SG
kui	когато	kui	когато	CONJ	ADV
kui	кога	kui	кога	CONJ	ADV
või	маслото	või	масло	CONJ	N;DEF;NEUT;SG
või	масло	või	масло	CONJ	N;INDF;NEUT;SG
see	че	see	че	PRO;NOM;SG	CONJ
oma	ома	oma	ома	PRO;NOM;SG	N;INDF;MASC;SG
oma	собствен	oma	собствен	PRO;NOM;SG	ADJ;INDF;MASC;SG
oma	собствена	oma	собствен	PRO;NOM;SG	ADJ;INDF;FEM;SG
oma	собствено	oma	собствен	PRO;NOM;SG	ADV
oma	собствени	oma	собствен	PRO;NOM;SG	ADJ;INDF;PL
tema	неговият	tema	мой	PRO;NOM;SG;3	DET;DEF;MASC;SG;3
tema	неговата	tema	мой	PRO;NOM;SG;3	DET;DEF;FEM;SG;3
tema	му	tema	мой	PRO;NOM;SG;3	PRO;DAT;MASC;SG;3
tema	неговия	tema	мой	PRO;NOM;SG;3	DET;DEF;MASC;SG;3
tema	нея	tema	аз	PRO;NOM;SG;3	PRO;ACC;FEM;SG;3
selle	това	see	този	PRO;GEN;SG	PRO;NOM;NEUT;SG
sai	сай	saama	сай	V;IND;SG;3;PST;FIN;ACT	N;INDF;MASC;SG
kes	кой	kes	кой	PRO;NOM;SG	PRO;NOM;MASC;SG
tartu	тарту	tartu	тарту	ADJ	PROPN;INDF;MASC;SG
seda	това	see	този	PRO;PRT;SG	PRO;NOM;NEUT;SG
seda	че	see	че	PRO;PRT;SG	CONJ
pärast	след	pärast	след	ADV	ADP
usa	сащ	usa	сащ	N	PROPN;INDF;MASC;PL
usa	usa	usa	usa	N	PROPN;INDF;MASC;SG
tallinna	талин	tallinna	талин	N;IN+ALL;LGSPEC1;SG	PROPN;INDF;MASC;SG
olid	бяха	olema	съм	V;IND;PL;3;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
üle	над	üle	над	ADV	ADP
nende	тяхното	tema	наш	PRO;GEN;PL	DET;DEF;NEUT;SG;3
nende	тяхната	tema	наш	PRO;GEN;PL	DET;DEF;FEM;SG;3
nende	техните	tema	наш	PRO;GEN;PL	DET;DEF;PL;3
nende	техният	tema	наш	PRO;GEN;PL	DET;DEF;MASC;SG;3
saksa	германец	saksa	германец	ADJ	N;INDF;MASC;SG
mida	какво	mis	какъв	PRO;PRT;SG	DET;NEUT;SG
inglise	bulgarian	inglise	bulgarian	ADJ	N;INDF;MASC;SG
inglise	англичани	inglise	англичанин	ADJ	N;INDF;MASC;PL
vaata	видя	vaatama	видя-(се)	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
vaata	вижте	vaatama	видя-(се)	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN
vaata	гледайте	vaatama	гледам	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;IMP;PL;2;FIN
üks	една	üks	един	PRO;NOM;SG	NUM;INDF;FEM;SG
üks	един	üks	един	PRO;NOM;SG	NUM;INDF;MASC;SG
üks	едно	üks	един	PRO;NOM;SG	NUM;INDF;NEUT;SG
vene	руснак	vene	руснак	ADJ	N;INDF;MASC;SG
vene	руснаци	vene	руснак	ADJ	N;INDF;MASC;PL
vene	руско	vene	руско	ADJ	ADV
jpg	jpg	jpg	jpg	N	PROPN;INDF;MASC;SG
järgi	следвайте	järgi	следвам	ADV	V;IPFV;IMP;PL;2;FIN
vastu	срещу	vastu	срещу	ADV	ADP
vastu	против	vastu	против	ADV	ADP
alates	от	alates	от	ADV	ADP
koos	със	koos	със	ADV	ADP
sündinud	родени	sündima	родя-(се)	V;PST;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
sündinud	роден	sündima	родя-(се)	V;PST;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sündinud	родена	sündima	родя-(се)	V;PST;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
august	аугуст	auk	аугуст	N;IN+ABL;SG	PROPN;INDF;MASC;SG
tallinn	талин	tallinn	талин	N;NOM;SG	PROPN;INDF;MASC;SG
