το	les	ο	le	DET;NOM;DEF;NEUT;SG	DET;DEF;PL
από	du	από	du	ADP	DET;MASC;SG
που	lesquels	που	lequel	PRO;ACC;NEUT;SG;3	PRO;MASC;PL
κατηγορία	catégories	κατηγορία	catégorie	N;NOM;FEM;SG	N;FEM;PL
ήταν	etait	είμαι	etever	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;IPFV;FIN
ήταν	était	είμαι	être	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;IPFV;FIN
ένα	un	ένας	un	NUM;NOM;NEUT;SG	PRO;MASC;SG
ένα	une	ένας	un	NUM;NOM;NEUT;SG	DET;INDF;FEM;SG
ένα	one	ένας	one	NUM;NOM;NEUT;SG	PROPN
ότι	cela	ότι	cela	CONJ	PRO;SG
μια	un	ένας	un	NUM;NOM;FEM;SG	PRO;MASC;SG
μια	une	ένας	un	NUM;NOM;FEM;SG	DET;INDF;FEM;SG
μια	one	ένας	one	NUM;NOM;FEM;SG	PROPN
θα	will	θα	will	PART	PROPN
θα	volonté	θα	volonté	PART	N;FEM;SG
θα	fera	θα	faire	PART	V;IND;SG;3;FUT;FIN
θα	sera	θα	être	PART	V;IND;SG;3;FUT;FIN
μετά	puis	μετά	puis	ADV	CONJ
μετά	apres	μετά	après	ADV	
μετά	after	μετά	after	ADV	PROPN
μετά	après	μετά	après	ADV	ADP
μετά	aprés	μετά	apré	ADV	
όπως	comme	όπως	comme	ADV	ADP
όπως	aime	όπως	aimer	ADV	V;IND;SG;3;PRS;FIN
όπως	aiment	όπως	aimer	ADV	V;IND;PL;3;PRS;FIN
όπως	genre	όπως	genre	ADV	N;MASC;SG
όπως	aimez	όπως	aimer	ADV	V;IMP;PL;2;PRS;FIN
είχε	avait	έχω	avoir	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
είχε	avaient	έχω	avoir	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
