van	from	van	from	ADP	N
het	el	het	el	PRO;3	DET;DEF;MASC;SG
een	one	een	one	DET;INDF	N
een	uno	een	uno	DET;INDF	PRO;MASC;SG
zijn	sus	zijn	su	V;PL;PRS;FIN	DET;PL;3
zijn	su	zijn	su	V;PL;PRS;FIN	DET;SG;3
zijn	están	zijn	estar	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
zijn	are	zijn	are	V;PL;PRS;FIN	N
uit	from	uit	from	ADP	N
uit	fuera	uit	fuera	ADP	ADV
uit	afuera	uit	afuera	ADP	
uit	out	uit	out	ADP	
dat	que	dat	que	PRO;3	CONJ
aan	aan	aan	aan	ADP	
was	estaba	zijn	estar	V;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
was	era	zijn	ser	V;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
was	cera	zijn	cera	V;SG;PST;FIN	N;FEM;SG
ook	tambien	ook	tambien	ADV	
ook	too	ook	too	ADV	N
ook	tambien	ook	tambien	ADV	
score	anotar	score	anotar	N;MASC+FEM;SG	V;NFIN
niet	not	niet	not	ADV	INTJ
soort	amable	soort	amable	N;SG	ADJ;SG
soort	escribe	soort	escribir	N;SG	V;IND;SG;3;PRS;FIN
soort	escriba	soort	escribir	N;SG	V;IMP;SG;3;FIN
soort	especies	soort	especie	N;SG	N;FEM;PL
familie	familiar	familie	familiar	N;MASC+FEM;SG	ADJ;SG
familie	familiares	familie	familiar	N;MASC+FEM;SG	N;MASC;PL
eerst	primera	eerst	primero	ADV	ADJ;FEM;SG
eerst	primeras	eerst	primero	ADV	ADJ;FEM;PL
eerst	primer	eerst	primero	ADV	ADJ;MASC;SG
eerst	primeros	eerst	primero	ADV	ADJ;MASC;PL
gepubliceerd	publicados	publiceren	publicado	V;V.PTCP	ADJ;MASC;PL;V.PTCP
gepubliceerd	publicadas	publiceren	publicado	V;V.PTCP	ADJ;FEM;PL;V.PTCP
gepubliceerd	publicada	publiceren	publicado	V;V.PTCP	ADJ;FEM;SG;V.PTCP
gepubliceerd	publicado	publiceren	publicado	V;V.PTCP	ADJ;MASC;SG;V.PTCP
wordt	convertirse	worden	convertir	V;SG;PRS;FIN	V;SBJV;SG;3;PRS;FIN
worden	convertirse	worden	convertir	V;PL;PRS;FIN	V;SBJV;SG;3;PRS;FIN
worden	convirtiéndose	worden	convirtiéndose	V;PL;PRS;FIN	V;SBJV;PL;3;PRS;FIN
over	acerca	over	acerca	ADP	ADV
over	over	over	over	ADP	PROPN
heeft	ha	hebben	haber	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
dan	dan	dan	dar	ADV	V;IND;PL;3;PRS;FIN
cest	cest	cest	cest		N
onder	debajo	onder	debajo	ADP	ADV
onder	abajo	onder	abajo	ADP	ADV
onder	debajo	onder	debajo	ADP	ADV
