kristus	kriste	kristus	krist	N;NOM;SG	V;IMP;SG;1;POS;FIN
pakottaa	síla	pakottaa	síla	V;IND;SG;3;PRS;FIN;ACT	N;NOM;FEM;SG;POS
toivoi	doufala	toivoa	doufat	V;IND;SG;3;PST;FIN;ACT	V;IPFV;POS;PST;V.PTCP;ACT
sain	mám	saada	mít	V;IND;SG;1;PST;FIN;ACT	V;IND;SG;1;POS;PRS;FIN;ACT
hannah	hana	hannah	hana	N;NOM;SG	PROPN;NOM;FEM;SG;POS
kohtalon	osud	kohtalo	osud	N;GEN;SG	N;INAN;NOM;MASC;SG;POS
kohtalon	destiny	kohtalo	destina	N;GEN;SG	N;NOM;FEM;SG;POS
kohtalon	osud	kohtalo	osud	N;GEN;SG	N;INAN;NOM;MASC;SG;POS
katkesi	zlomený	katketa	zlomený	V;IND;SG;3;PST;FIN;ACT	ADJ;INAN;NOM;MASC;SG;POS
erityisiä	specifické	erityinen	specifický	ADJ;PRT;PL	ADJ;NOM;MASC;PL;POS
erityisiä	specifická	erityinen	specifický	ADJ;PRT;PL	ADJ;NOM;FEM;SG;POS
erityisiä	konkrétní	erityinen	konkrétní	ADJ;PRT;PL	ADJ;NOM;MASC;SG;POS
erityisiä	specifický	erityinen	specifický	ADJ;PRT;PL	ADJ;INAN;NOM;MASC;SG;POS
galaxy	galaxií	galaxy	galaxie	N;NOM;SG	N;INS;FEM;SG;POS
galaxy	galaxii	galaxy	galaxie	N;NOM;SG	N;ACC;FEM;SG;POS
galaxy	galaxy	galaxy	galax	N;NOM;SG	N;INAN;NOM;MASC;PL;POS
juttuja	věci	juttu	věc	N;PRT;PL	N;NOM;FEM;PL;POS
franco	franco	franco	franco	N;NOM;SG	PROPN;ANIM;NOM;MASC;SG;POS
mason	masona	maso	mason	N;NOM;SG	N;ANIM;ACC;MASC;SG;POS
mason	mason	maso	mason	N;NOM;SG	PROPN;ANIM;NOM;MASC;SG;POS
omaisuutta	majetek	omaisuus	majetek	N;PRT;SG	N;INAN;NOM;MASC;SG;POS
omaisuutta	nemovitost	omaisuus	nemovitost	N;PRT;SG	N;NOM;FEM;SG;POS
omaisuutta	nemovitosti	omaisuus	nemovitost	N;PRT;SG	N;NOM;FEM;PL;POS
omaisuutta	vlastnost	omaisuus	vlastnost	N;PRT;SG	N;NOM;FEM;SG;POS
tyhjä	prázdno	tyhjä	prázdno	ADJ;NOM;SG	N;NOM;NEUT;SG;POS
tyhjä	vyprázdnit	tyhjä	vyprázdnit	ADJ;NOM;SG	V;PFV;POS;NFIN
tyhjä	prázdno	tyhjä	prázdno	ADJ;NOM;SG	N;NOM;NEUT;SG;POS
kannet	kryty	kannet	krytý	N;NOM;PL	ADJ;INAN;PL;POS;V.PTCP;PASS
kannet	zahrnuje	kannet	zahrnovat	N;NOM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
naton	nato	natto	nato	N;GEN;SG	PROPN;NEUT;POS
orgaaninen	bio	orgaaninen	bio	ADJ;NOM;SG	PROPN;NOM;MASC;SG;POS
hapen	kyslík	happi	kyslík	N;GEN;SG	N;INAN;NOM;MASC;SG;POS
kiinasta	čína	kiina	čína	N;IN+ABL;SG	PROPN;NOM;FEM;SG;POS
kiinasta	číně	kiina	čína	N;IN+ABL;SG	PROPN;DAT;FEM;SG;POS
kohdat	položek	kohta	položka	N;NOM;PL	N;GEN;FEM;PL;POS
kohdat	bodů	kohta	bod	N;NOM;PL	N;INAN;GEN;MASC;PL;POS
nashville	nashvillu	nashville	nashvilla		N;INAN;DAT;MASC;SG;POS
eduard	eduard	eduard	eduard	N;NOM;SG	PROPN;ANIM;NOM;MASC;SG;POS
bordeaux	bordeaux	bordeaux	bordeaux		PROPN;INAN;NOM;MASC;SG;POS
loma	prázdniny	loma	prázdniny	N;NOM;SG	N;NOM;FEM;PL;POS
loma	dovolená	loma	dovolená	N;NOM;SG	ADJ;NOM;FEM;SG;POS
loma	svátky	loma	svátek	N;NOM;SG	N;INAN;NOM;MASC;PL;POS
loma	prázdniny	loma	prázdniny	N;NOM;SG	N;NOM;FEM;PL;POS
loma	dovolenou	loma	dovolená	N;NOM;SG	N;ACC;FEM;SG;POS
loma	dovolená	loma	dovolená	N;NOM;SG	ADJ;NOM;FEM;SG;POS
loma	prázdniny	loma	prázdniny	N;NOM;SG	N;NOM;FEM;PL;POS
loma	dovolená	loma	dovolená	N;NOM;SG	ADJ;NOM;FEM;SG;POS
loma	svátky	loma	svátek	N;NOM;SG	N;INAN;NOM;MASC;PL;POS
raportin	nahlásit	raportti	nahlásit	N;GEN;SG	V;PFV;POS;NFIN
raportin	zpráva	raportti	zpráva	N;GEN;SG	N;NOM;FEM;SG;POS
raportin	report	raportti	report	N;GEN;SG	N;INAN;NOM;MASC;SG;POS
raportin	hlášení	raportti	hlášení	N;GEN;SG	N;NOM;NEUT;SG;POS
raportin	nahlášení	raportti	nahlášení	N;GEN;SG	N;NOM;NEUT;SG;POS
sisilian	sicílie	sisili	sicílie	N;GEN;SG	N;NOM;FEM;SG;POS
sisilian	sicilské	sisili	sicilský	N;GEN;SG	ADJ;NOM;NEUT;PL;POS
jackie	jackie	jackie	jackie	PROPN;NOM;SG	PROPN;ANIM;NOM;MASC;SG;POS
koirat	psy	koira	pes	N;NOM;PL	N;ANIM;ACC;MASC;PL;POS
koirat	psů	koira	pes	N;NOM;PL	N;ANIM;GEN;MASC;PL;POS
vahinkoa	zranění	vahinko	zranění	N;PRT;SG	N;NOM;NEUT;SG;POS
vahinkoa	úraz	vahinko	úraz	N;PRT;SG	N;INAN;NOM;MASC;SG;POS
vahinkoa	újma	vahinko	újma	N;PRT;SG	N;NOM;FEM;SG;POS
vahinkoa	poranění	vahinko	poranění	N;PRT;SG	N;NOM;NEUT;SG;POS
vahinkoa	poškození	vahinko	poškození	N;PRT;SG	N;NOM;NEUT;SG;POS
vahinkoa	škody	vahinko	škoda	N;PRT;SG	N;NOM;FEM;PL;POS
touko	májový	touko	májový	N;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
touko	května	touko	květen	N;NOM;SG	N;INAN;GEN;MASC;SG;POS
määrätty	předepsané	määrätä	předepsaný	V;NOM;SG;V.PTCP;PASS	ADJ;NOM;MASC;PL;POS
