eagle	kartal	eagle	kartal	ADJ;POS	
andersson	andersson	andersson	andersson	PROPN;ANIM;NOM;MASC;SG;POS	
věřící	müminler	věřící	mümin	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	N;NOM;PL;3
věřící	inananlar	věřící	inan	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	N;NOM;PL;3
věřící	inançlı	věřící	inançlı	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	
věřící	mümin	věřící	mümin	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	
věřící	inanan	věřící	inan	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	
rytíři	şövalye	rytíř	şövalye	N;ANIM;NOM;MASC;PL;POS	
rytíři	knight	rytíř	knight	N;ANIM;NOM;MASC;PL;POS	
profesní	mesleki	profesní	mesleki	ADJ;NOM;FEM;SG;POS	
profesní	profesyonel	profesní	profesyonel	ADJ;NOM;FEM;SG;POS	
nováček	acemi	nováček	acemi	N;ANIM;NOM;MASC;SG;POS	
nováček	çaylak	nováček	çaylak	N;ANIM;NOM;MASC;SG;POS	
nováček	çaylak	nováček	çaylak	N;ANIM;NOM;MASC;SG;POS	
nováček	acemi	nováček	acemi	N;ANIM;NOM;MASC;SG;POS	
nováček	çaylak	nováček	çaylak	N;ANIM;NOM;MASC;SG;POS	
transportní	taşıyıcı	transportní	taşıyıcı	ADJ;NOM;MASC;SG;POS	
poražen	dövülmüş	poražený	döv	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
poražen	dayak	poražený	dayak	ADJ;MASC;SG;POS;V.PTCP;PASS	
poražen	yenilmiş	poražený	yen	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
poražen	yenildi	poražený	yenil	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;PASS
tvarů	şekil	tvar	şekil	N;INAN;GEN;MASC;PL;POS	
tvarů	şekiller	tvar	şekil	N;INAN;GEN;MASC;PL;POS	N;NOM;PL;3
tvarů	şekilleri	tvar	şekil	N;INAN;GEN;MASC;PL;POS	N;ACC;PL;3
ukončit	son	ukončit	son	V;PFV;POS;NFIN	
ukončit	sonu	ukončit	son	V;PFV;POS;NFIN	
ukončit	bitiş	ukončit	bitiş	V;PFV;POS;NFIN	
prsty	parmak	prst	parmak	N;INAN;NOM;MASC;PL;POS	
vznikající	yükselen	vznikající	yüksel	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	
vznikající	gelişmekte	vznikající	geliş	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	V;PROG;IND;SG;3;POS;FORM;PRS
chráněný	korunmuş	chráněný	korun	ADJ;INAN;NOM;MASC;SG;POS	V;PFV;NFH;IND;POS;PST;V.PTCP
chráněný	korudu	chráněný	koru	ADJ;INAN;NOM;MASC;SG;POS	V;PFV;IND;SG;3;POS;PST
chráněný	korunuyor	chráněný	korun	ADJ;INAN;NOM;MASC;SG;POS	V;PROG;IND;SG;3;POS;INFM;PRS
chráněný	korumalı	chráněný	koru	ADJ;INAN;NOM;MASC;SG;POS	V;PFV;IMP;SG;2;POS;PRS
law	yasa	law	yasa	PROPN;ANIM;NOM;MASC;SG;POS	
law	law	law	law	PROPN;ANIM;NOM;MASC;SG;POS	
law	hukuk	law	hukuk	PROPN;ANIM;NOM;MASC;SG;POS	
law	kanun	law	kanun	PROPN;ANIM;NOM;MASC;SG;POS	
nejvíc	çoğu	hodně	çok	ADV;RL;POS	
nejvíc	çogu	hodně	çogu	ADV;RL;POS	
projít	pas	projít	pas	V;POS;NFIN	
projít	geçiş	projít	geçiş	V;POS;NFIN	
úvahy	yansımalar	úvaha	yansı	N;NOM;FEM;PL;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR
fungují	çalışır	fungovat	çalış	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	
fungují	çalışıyor	fungovat	çalış	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
norman	norman	norman	norman	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;NOM;SG;3
zničeno	imha	zničený	imha	ADJ;NEUT;SG;POS;V.PTCP;PASS	
zničeno	mahvolmuş	zničený	mahvol	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;POS;PST;V.PTCP
rudy	rudy	ruda	rudy	N;NOM;FEM;PL;POS	
rudy	maden	ruda	maden	N;NOM;FEM;PL;POS	
hosté	misafir	host	misafir	N;ANIM;NOM;MASC;PL;POS	N;NOM;SG;3
hosté	konuk	host	konuk	N;ANIM;NOM;MASC;PL;POS	N;NOM;SG;3
klima	iklim	klima	iklim	N;NOM;NEUT;SG;POS	
obr	dev	obrázek	dev	N;INAN;MASC;POS	
platné	geçerli	platný	geçerli	ADJ;NOM;NEUT;SG;POS	
platné	geçerlidir	platný	geç	ADJ;NOM;NEUT;SG;POS	
teoretické	teorik	teoretický	teorik	ADJ;NOM;MASC;PL;POS	
ministrů	bakanları	ministr	bakan	N;ANIM;GEN;MASC;PL;POS	N;NOM;PL;3
ministrů	bakanlar	ministr	bakan	N;ANIM;GEN;MASC;PL;POS	N;NOM;PL;3
geometrie	geometri	geometrie	geometri	N;NOM;FEM;SG;POS	
vnuk	torun	vnuk	torun	N;ANIM;NOM;MASC;SG;POS	
evans	evans	evans	evans	PROPN;ANIM;NOM;MASC;SG;POS	
neil	neil	neil	neil	PROPN;ANIM;NOM;MASC;SG;POS	
gnu	gnu	gno	gn	N;INAN;NOM;MASC;SG;POS	
sekundy	saniye	sekunda	sani	N;NOM;FEM;PL;POS	
některý	bazıları	některý	bazı	DET;NOM;MASC;SG	
některý	bazılarını	některý	bazı	DET;NOM;MASC;SG	PRO;ACC;PL;3
některý	kimisi	některý	kimi	DET;NOM;MASC;SG	
ovládá	kontrol	ovládat	kontrol	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	
cze	cze	cze	cze	PROPN;ANIM;NOM;MASC;SG;POS	
poranění	yara	poranění	yara	N;NOM;NEUT;SG;POS	
poranění	yaralanma	poranění	yaralan	N;NOM;NEUT;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
poranění	yaralama	poranění	yaralama	N;NOM;NEUT;SG;POS	
poranění	yaralanma	poranění	yaralan	N;NOM;NEUT;SG;POS	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
