yang	יאנג	yang	אנג	PRO	PROPN
dan	דן	dan	דן	CONJ	PROPN
ini	זה	ini	זה	DET	PRO;MASC;SG;3
tahun	שנים	tahun	שנה	N;SG	N;FEM;PL
juga	וגם	juga	וגם	ADV	
indonesia	אינדונזיה	indonesia	אינדונזיה	PROPN;SG	PROPN
menjadi	היותך	menjadi	היותך	V;SG;ACT	
itu	itu	itu	itu	DET	
itu	זה	itu	זה	DET	PRO;MASC;SG;3
bagian	מקטע	bagian	מקטע	N;SG	
bagian	מחלקות	bagian	מחלקה	N;SG	N;FEM;PL
bagian	חלקים	bagian	חלק	N;SG	N;MASC;PL
bagian	חלקים	bagian	חלק	N;SG	N;MASC;PL
spesies	מין	spesies	מין	N;SG	
spesies	מינים	spesies	מין	N;SG	N;MASC;PL
spesies	זן	spesies	זן	N;SG	
dapat	יכולה	dapat	יכול	ADV;SG;ACT	V;FEM;SG;V.PTCP
dapat	יכול	dapat	None	ADV;SG;ACT	V;MASC;SG;V.PTCP
orang	האדם	orang	האדם	N;SG	
orang	אנשים	orang	איש	N;SG	N;MASC;PL
luar	בחוץ	luar	בחוץ	ADJ;SG	
luar	מחוץ	luar	מחוץ	ADJ;SG	
score	ניקוד	score	ניקוד	PROPN	N;MASC;SG
score	ציון	score	ציון	PROPN	PROPN
kota	טאון	kota	טאון	N;SG	PROPN
kota	העיר	kota	העיר	N;SG	V;MASC;SG;3;PST;ACT
kota	העיר	kota	העיר	N;SG	V;MASC;SG;3;PST;ACT
kota	ערים	kota	עיר	N;SG	N;FEM;PL
kota	הערים	kota	הערים	N;SG	V;MASC;SG;3;PST;ACT
kota	קוטה	kota	קוטה	N;SG	PROPN
seperti	אוהב	seperti	אהב	ADP	V;MASC;SG;V.PTCP;ACT
seperti	כאילו	seperti	כאילו	ADP	CONJ
pranala	קישור	pranala	קישור	N;SG	
pranala	לינק	pranala	לינק	N;SG	PROPN
pranala	קישורים	pranala	קישורים	N;SG	N;MASC;PL
karena	בגלל	karena	בגלל	CONJ	ADP
desa	הכפרים	desa	הכפר	N;SG	N;MASC;PL
desa	כפרים	desa	כפר	N;SG	N;MASC;PL
desa	הכפר	desa	הכפר	N;SG	
ada	שם	ada	שם	V;SG	ADV
ada	קיים	ada	קיים	V;SG	ADJ;MASC;SG
ada	קיימת	ada	קיים	V;SG	ADJ;FEM;SG
ada	עדה	ada	עדה	V;SG	
ada	אדה	ada	אדה	V;SG	PROPN
akan	ויל	akan	ויל	ADV	PROPN
akan	וויל	akan	וויל	ADV	PROPN
nama	השם	nama	השם	N;SG	
nama	שם	nama	שם	N;SG	ADV
nama	שמות	nama	שם	N;SG	N;MASC;PL
kayu	ווד	kayu	ווד	N;SG	PROPN
kayu	קרשים	kayu	קרש	N;SG	N;MASC;PL
pertama	ראשית	pertama	ראשית	NUM	ADV
pertama	ראשון	pertama	ראשון	NUM	PROPN
pertama	קודם	pertama	קודם	NUM	ADV
pertama	ראשית	pertama	ראשית	NUM	ADV
pertama	תחילה	pertama	תחילה	NUM	ADV
bahwa	זה	bahwa	זה	CONJ	PRO;MASC;SG;3
bahasa	שפות	bahasa	שפה	N;SG	N;FEM;PL
class	רמה	class	רמה	PROPN	N;FEM;SG
class	כיתה	class	כיתה	PROPN	N;FEM;SG
class	מעמד	class	מעמד	PROPN	N;MASC;SG
asteroid	אסטרואיד	asteroid	אסטרואיד	N	PROPN
lain	אחרים	lain	אחר	ADJ;SG	ADJ;MASC;PL
lain	אחר	lain	אחר	ADJ;SG	ADP
lain	אחרות	lain	אחר	ADJ;SG	ADJ;FEM;PL
lain	אחרים	lain	אחר	ADJ;SG	ADJ;MASC;PL
lain	ואחרים	lain	ואחר	ADJ;SG	PROPN
besar	גדולים	besar	גדול	ADJ;SG	ADJ;MASC;PL
besar	ביג	besar	ביג	ADJ;SG	
besar	גדולים	besar	גדול	ADJ;SG	ADJ;MASC;PL
besar	מעולה	besar	מעולה	ADJ;SG	
besar	אחלה	besar	אחלה	ADJ;SG	
film	סרטים	film	סרט	N;SG	N;MASC;PL
film	סרטים	film	סרט	N;SG	N;MASC;PL
saat	מתי	saat	מתי	N;SG	ADV
saat	כאשר	saat	כאשר	N;SG	CONJ
kelas	שיעורים	kelas	שיעור	N;SG	N;MASC;PL
kelas	קורסים	kelas	קורס	N;SG	N;MASC;PL
kelas	כיתות	kelas	כיתות	N;SG	N;FEM;PL
beberapa	מרובה	beberapa	מרובה	DET	ADJ;FEM;SG
beberapa	מרובות	beberapa	מרובה	DET	ADJ;FEM;PL
beberapa	ריבוי	beberapa	ריבוי	DET	N;MASC;SG
beberapa	חלקם	beberapa	חלקם	DET	
salah	שגוי	salah	שגוי	N;SG	
salah	טועה	salah	טעה	N;SG	V;MASC;SG;V.PTCP;ACT
salah	שגוי	salah	שגוי	N;SG	
salah	שווא	salah	שווא	N;SG	
salah	שקרי	salah	שקר	N;SG	ADJ;MASC;SG
salah	שקר	salah	שקר	N;SG	
salah	סלאח	salah	לסלאח	N;SG	PROPN
