और	y	और	y		CONJ
से	from	से	from		N
से	de	से	de		ADP
से	desde	से	desde		ADP
है	hai	है	hacer	V;IND;SG;3;PRS;FIN;ACT	
एक	una	एक	uno	NUM	DET;INDF;FEM;SG
एक	one	एक	one	NUM	N
एक	uno	एक	uno	NUM	PRO;MASC;SG
श्रेणी	series	श्रेणी	serie	N;NOM;FEM;SG;3	N;FEM;PL
श्रेणी	categorias	श्रेणी	categorio	N;NOM;FEM;SG;3	N;FEM;PL
श्रेणी	categorías	श्रेणी	categoría	N;NOM;FEM;SG;3	N;FEM;PL
भी	hasta	भी	hasta	PART	ADP
भी	incluso	भी	incluso	PART	ADV
भी	aun	भी	aun	PART	ADV
भी	igualmente	भी	igualmente	PART	ADV
भी	además	भी	además	PART	ADV
भी	también	भी	también	PART	ADV
भी	tambien	भी	tambien	PART	
भी	también	भी	también	PART	ADV
भी	too	भी	too	PART	N
भी	demasiado	भी	demasiado	PART	ADV
भी	tambien	भी	tambien	PART	
यह	este	यह	este	PRO;NOM;SG;3	PRO;MASC;SG
यह	esto	यह	este	PRO;NOM;SG;3	PRO;SG
यह	esta	यह	este	PRO;NOM;SG;3	PRO;FEM;SG
किया	did	कर	did	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
किया	hecho	कर	hecho	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
इस	este	यह	este	DET;ACC;SG;3	PRO;MASC;SG
इस	esto	यह	este	DET;ACC;SG;3	PRO;SG
इस	esta	यह	este	DET;ACC;SG;3	PRO;FEM;SG
हैं	están	है	estar	V;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
हैं	are	है	are	V;IND;PL;3;PRS;FIN;ACT	N
कि	eso	कि	ese		PRO;SG
कि	que	कि	que		CONJ
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	N;FEM;SG
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN
जो	oms	जो	oms	PRO;NOM;SG;3	N;FEM;SG
जो	quiénes	जो	quién	PRO;NOM;SG;3	PRO;PL
जो	quién	जो	quién	PRO;NOM;SG;3	PRO;SG
जो	quien	जो	quien	PRO;NOM;SG;3	PRO;SG
ही	hee	ही	hee	PART	N
कर	fiscalidad	कर	fiscalidad	V;ACT	N;FEM;SG
कर	impuesto	कर	impuesto	V;ACT	ADJ;MASC;SG;V.PTCP
कर	tributación	कर	tributación	V;ACT	N;FEM;SG
कर	impuestos	कर	impuesto	V;ACT	N;MASC;PL
कर	impuesto	कर	impuesto	V;ACT	ADJ;MASC;SG;V.PTCP
कर	impuestos	कर	impuesto	V;ACT	N;MASC;PL
नहीं	not	नहीं	not	PART;NEG	INTJ
नहीं	no	नहीं	no	PART;NEG	ADV;NEG
नहीं	nop	नहीं	nop	PART;NEG	INTJ
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	N;SG
साथ	junto	साथ	junto	ADV;NOM;MASC;SG;3	ADJ
साथ	con	साथ	con	ADV;NOM;MASC;SG;3	ADP
साथ	juntos	साथ	junto	ADV;NOM;MASC;SG;3	ADJ;MASC;PL
साथ	juntas	साथ	junto	ADV;NOM;MASC;SG;3	ADJ;FEM;PL
साथ	together	साथ	together	ADV;NOM;MASC;SG;3	N
पूर्व	este	पूर्व	este	ADV;NOM;MASC;SG;3	PRO;MASC;SG
पूर्व	oriente	पूर्व	oriente	ADV;NOM;MASC;SG;3	N;MASC;SG
पूर्व	east	पूर्व	east	ADV;NOM;MASC;SG;3	N;MASC;SG
पूर्व	antiguo	पूर्व	antiguo	ADV;NOM;MASC;SG;3	ADJ;MASC;SG
पूर्व	ex	पूर्व	ex	ADV;NOM;MASC;SG;3	ADJ
बाद	despues	बाद	despue	ADV;NOM;MASC;SG;3	
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	N
बाद	tras	बाद	tras	ADV;NOM;MASC;SG;3	ADP
तक	hasta	तक	hasta	CONJ	ADP
तक	asta	तक	aste	CONJ	
तक	tak	तक	tak	CONJ	N
अपने	propio	अपना	propio	PRO;NOM;MASC	ADJ;MASC;SG
अपने	propios	अपना	propio	PRO;NOM;MASC	ADJ;MASC;PL
अपने	propias	अपना	propio	PRO;NOM;MASC	ADJ;FEM;PL
अपने	propia	अपना	propio	PRO;NOM;MASC	ADJ;FEM;SG
अपने	tu	अपना	tu	PRO;NOM;MASC	DET;SG;2
अपने	sus	अपना	su	PRO;NOM;MASC	DET;PL;3
अपने	su	अपना	su	PRO;NOM;MASC	DET;SG;3
जिले	barrios	जिला	barrio	N;NOM;MASC;SG;3	N;MASC;PL
जिले	distritos	जिला	distrito	N;NOM;MASC;SG;3	N;MASC;PL
था	tenía	था	tener	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
था	tenido	था	tener	V;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
था	tuvo	था	tener	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
था	había	था	haber	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
था	estaba	था	estar	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
था	era	था	ser	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
राज्य	estados	राज्य	estado	N;NOM;MASC;SG;3	N;MASC;PL
कुछ	algunas	कुछ	alguno	DET	PRO;FEM;PL
कुछ	algunos	कुछ	alguno	DET	PRO;MASC;PL
कुछ	some	कुछ	some	DET	N
कुछ	algo	कुछ	algo	DET	PRO;SG
गाँव	pueblo	गाँव	pueblo	N;NOM;MASC;PL;3	N;MASC;SG
गाँव	poblado	गाँव	poblado	N;NOM;MASC;PL;3	ADJ;MASC;SG;V.PTCP
गाँव	villa	गाँव	villa	N;NOM;MASC;PL;3	N;FEM;SG
गाँव	aldea	गाँव	aldea	N;NOM;MASC;PL;3	N;FEM;SG
इसके	sus	यह	su	PRO;MASC;SG;3	DET;PL;3
इसके	su	यह	su	PRO;MASC;SG;3	DET;SG;3
दिया	dados	दे	dado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
अन्य	otras	अन्य	otro	N;NOM;MASC;SG;3	PRO;FEM;PL
अन्य	otro	अन्य	otro	N;NOM;MASC;SG;3	PRO;MASC;SG
अन्य	otros	अन्य	otro	N;NOM;MASC;SG;3	PRO;MASC;PL
अन्य	otras	अन्य	otro	N;NOM;MASC;SG;3	PRO;FEM;PL
अन्य	otros	अन्य	otro	N;NOM;MASC;SG;3	PRO;MASC;PL
जा	jaa	जा	jaa	V;ACT	N;SG
वर्ष	años	वर्ष	año	N;NOM;MASC;SG;3	N;MASC;PL
वर्ष	anos	वर्ष	ano	N;NOM;MASC;SG;3	N;MASC;PL
वे	ellos	वह	él	PRO;NOM;SG;3	PRO;MASC;PL;3
वे	ellas	वह	él	PRO;NOM;SG;3	PRO;FEM;PL;3
प्रकार	amable	प्रकार	amable	N;NOM;MASC;SG;3	ADJ;SG
प्रकार	escribe	प्रकार	escribir	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
प्रकार	escriba	प्रकार	escribir	N;NOM;MASC;SG;3	V;IMP;SG;3;FIN
प्रकार	tipos	प्रकार	tipo	N;NOM;MASC;SG;3	N;MASC;PL
भारतीय	indios	भारतीय	indio	PROPN;NOM;SG;3	N;MASC;PL
भारतीय	indio	भारतीय	indio	PROPN;NOM;SG;3	N;MASC;SG
भारतीय	india	भारतीय	india	PROPN;NOM;SG;3	N;FEM;SG
भारतीय	hindú	भारतीय	hindú	PROPN;NOM;SG;3	N;SG
किसी	alguien	कोई	alguien	PRO;ACC;SG;3	PRO;SG
क्षेत्र	áreas	क्षेत्र	área	N;NOM;MASC;SG;3	N;FEM;PL
क्षेत्र	zonas	क्षेत्र	zona	N;NOM;MASC;SG;3	N;FEM;PL
क्षेत्र	areas	क्षेत्र	area	N;NOM;MASC;SG;3	N;FEM;PL
अधिक	más	अधिक	más	DET	ADV
अधिक	mas	अधिक	mas	DET	ADV
अधिक	more	अधिक	more	DET	
कई	muchas	कई	mucho	DET	PRO;FEM;PL
कई	muchos	कई	mucho	DET	PRO;MASC;PL
कई	varios	कई	varios	DET	PRO;MASC;PL
कई	varias	कई	varios	DET	PRO;FEM;PL
मण्डल	zona	मण्डल	zona	PROPN;NOM;MASC;SG;3	N;FEM;SG
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	N
आधिकारिक	funcionario	आधिकारिक	funcionario	ADJ	N;MASC;SG
आधिकारिक	official	आधिकारिक	official	ADJ	N
आधिकारिक	funcionaria	आधिकारिक	funcionaria	ADJ	N;FEM;SG
कारण	motivos	कारण	motivo	N;NOM;MASC;SG;3	N;MASC;PL
कारण	razones	कारण	razón	N;NOM;MASC;SG;3	N;FEM;PL
कारण	cause	कारण	cause	N;NOM;MASC;SG;3	V;IMP;SG;3;FIN
कारण	causas	कारण	causa	N;NOM;MASC;SG;3	N;FEM;PL
होने	siendo	हो	ser	V;MASC;NFIN;ACT	V;V.MSDR
होने	ser	हो	ser	V;MASC;NFIN;ACT	V;NFIN
जैसे	gustar	जैसे	gustar	CONJ	V;NFIN
जैसे	like	जैसे	like	CONJ	N
करता	abusadores	कर	abusador	V;IPFV;MASC;SG;V.PTCP;ACT	N;MASC;PL
करता	matones	कर	matón	V;IPFV;MASC;SG;V.PTCP;ACT	N;MASC;PL
उनके	sus	वह	su	PRO;MASC;SG;3;FORM	DET;PL;3
उनके	su	वह	su	PRO;MASC;SG;3;FORM	DET;SG;3
उनके	ellas	वह	él	PRO;MASC;SG;3;FORM	PRO;FEM;PL;3
उनके	ellos	वह	él	PRO;MASC;SG;3;FORM	PRO;MASC;PL;3
सबसे	most	सबसे	most	ADJ;NOM	N
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	N;SG
बहुत	very	बहुत	ver	DET	N
बहुत	muy	बहुत	mucho	DET	ADV
पहले	ago	पहले	ago	ADV;NOM;MASC;SG;3	
पहले	anterior	पहले	anterior	ADV;NOM;MASC;SG;3	ADJ;SG
पहले	anteriores	पहले	anterior	ADV;NOM;MASC;SG;3	ADJ;PL
पहले	primera	पहले	primero	ADV;NOM;MASC;SG;3	ADJ;FEM;SG
पहले	primeras	पहले	primero	ADV;NOM;MASC;SG;3	ADJ;FEM;PL
पहले	primer	पहले	primero	ADV;NOM;MASC;SG;3	ADJ;MASC;SG
पहले	primeros	पहले	primero	ADV;NOM;MASC;SG;3	ADJ;MASC;PL
अपनी	propio	अपना	propio	PRO;NOM;FEM	ADJ;MASC;SG
अपनी	propios	अपना	propio	PRO;NOM;FEM	ADJ;MASC;PL
अपनी	propias	अपना	propio	PRO;NOM;FEM	ADJ;FEM;PL
अपनी	propia	अपना	propio	PRO;NOM;FEM	ADJ;FEM;SG
अपनी	carnal	अपना	carnal	PRO;NOM;FEM	ADJ;SG
अपनी	carnales	अपना	carnal	PRO;NOM;FEM	ADJ;PL
दो	two	दो	two	NUM	PROPN
जब	cuándo	जब	cuándo	PRO;NOM	PRO
जब	when	जब	when	PRO;NOM	N
जब	cuando	जब	cuando	PRO;NOM	CONJ
उन्होंने	ellos	वह	él	PRO;SG;3;FORM	PRO;MASC;PL;3
उन्होंने	ellas	वह	él	PRO;SG;3;FORM	PRO;FEM;PL;3
उन्होंने	egipcios	वह	egipcio	PRO;SG;3;FORM	N;MASC;PL
जन्म	nacidos	जन्म	nacido	N;NOM;MASC;SG;3	ADJ;MASC;PL;V.PTCP
जन्म	nacido	जन्म	nacido	N;NOM;MASC;SG;3	ADJ;MASC;SG;V.PTCP
जन्म	nacimientos	जन्म	nacimiento	N;NOM;MASC;SG;3	N;MASC;PL
कोई	koi	कोई	koi	PRO;NOM;SG;3	N;MASC;SG
कोई	cualquier	कोई	cualquiera	PRO;NOM;SG;3	DET;SG
कोई	cualquiera	कोई	cualquiera	PRO;NOM;SG;3	PRO;SG
इन	posada	यह	posado	DET;ACC;PL;3	N;FEM;SG
इन	inn	यह	inn	DET;ACC;PL;3	N;MASC;SG
इन	posadas	यह	posada	DET;ACC;PL;3	N;FEM;PL
इन	dci	यह	dci	DET;ACC;PL;3	
ये	este	यह	este	PRO;NOM;PL;3	PRO;MASC;SG
ये	esto	यह	este	PRO;NOM;PL;3	PRO;SG
ये	esta	यह	este	PRO;NOM;PL;3	PRO;FEM;SG
ये	éstas	यह	este	PRO;NOM;PL;3	PRO;FEM;PL
ये	estos	यह	este	PRO;NOM;PL;3	PRO;MASC;PL
ये	estas	यह	este	PRO;NOM;PL;3	PRO;FEM;PL
ये	éstos	यह	este	PRO;NOM;PL;3	PRO;MASC;PL
कम	baja	कम	baja	DET	N;FEM;SG
कम	bajos	कम	bajo	DET	ADJ;MASC;PL
कम	bajas	कम	baja	DET	N;FEM;PL
कम	low	कम	low	DET	
कम	bajo	कम	bajo	DET	ADP
कम	menos	कम	menos	DET	ADV
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	N
कहा	dicho	कह	dicho	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
लोग	pueblo	लोग	pueblo	N;NOM;MASC;PL;3	N;MASC;SG
लोग	gente	लोग	gente	N;NOM;MASC;PL;3	N;FEM;SG
आदि	etc	आदि	etcétera	PART	
आदि	más	आदि	más	PART	ADV
आदि	mas	आदि	mas	PART	ADV
आदि	more	आदि	more	PART	
आदि	adi	आदि	adi	PART	N
उसके	sus	वह	su	PRO;MASC;SG;3	DET;PL;3
