berkeley	berkeley	berkeley	berkeley	PROPN	PROPN
diukur	masurata	diukur	masurat	V;SG;PASS	ADJ;DEF;FEM;SG
diukur	masurate	diukur	masura	V;SG;PASS	ADJ;INDF;FEM;PL
diukur	masurat	diukur	masura	V;SG;PASS	ADJ;INDF;MASC;SG
kalo	kalo	kalo	kalo	PART	PROPN
atlantic	atlantic	atlantic	atlantic	PROPN	ADV
atlantic	atlanticul	atlantic	atlantic	PROPN	N;DEF;MASC;SG
atlantic	atlanticului	atlantic	atlantic	PROPN	N;DEF;MASC;SG
ver	ver	ver	ver	PROPN	N;INDF;MASC;SG
melampaui	depasesc	menlampaui	depasi	V;SG;ACT	V;IND;PL;3;PRS;FIN
melampaui	depasit	menlampaui	depasit	V;SG;ACT	ADJ;INDF;MASC;SG
melampaui	dincolo	menlampaui	dincolo	V;SG;ACT	ADV
rudolf	rudolf	rudolf	rudolf	PROPN	PROPN
skema	scheme	skema	schemă	N;SG	N;INDF;FEM;PL
skema	scheme	skema	schemă	N;SG	N;INDF;FEM;PL
uzbekistan	uzbekistan	uzbekistan	uzbekistan	N	PROPN
mendefinisikan	definesc	mendefinisikan	defini	V;SG;ACT	V;IND;PL;3;PRS;FIN
mendefinisikan	definirea	mendefinisikan	definire	V;SG;ACT	N;DEF;FEM;SG
sumbu	wick	sumbu	wick	N;SG	PROPN
sumbu	axe	sumbu	ax	N;SG	N;INDF;FEM;PL
baden	baden	baden	baden	PROPN	PROPN
firaun	faraoni	firaun	faraon	PROPN;SG	N;INDF;MASC;PL
firaun	faraonul	firaun	faraon	PROPN;SG	N;DEF;MASC;SG
firaun	faraonului	firaun	faraon	PROPN;SG	N;DEF;MASC;SG
firaun	faraon	firaun	faraon	PROPN;SG	N;INDF;MASC;SG
sup	supe	sup	supă	N;SG	N;INDF;FEM;PL
zhu	zhu	zhu	zhu	PROPN	PROPN
berenang	inot	berrenang	inot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	inot	berrenang	inot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	inoata	berrenang	inoată	PROPN;SG;ACT	N;DEF;FEM;SG
berenang	inot	berrenang	inot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	inot	berrenang	inot	PROPN;SG;ACT	N;INDF;MASC;SG
berenang	inotand	berrenang	inota	PROPN;SG;ACT	
berenang	inotul	berrenang	inot	PROPN;SG;ACT	N;DEF;MASC;SG
brand	brand	brand	brand	PROPN	N;INDF;MASC;SG
brand	marca	brand	marcă	PROPN	N;DEF;FEM;SG
brand	marca	brand	marcă	PROPN	N;DEF;FEM;SG
wood	lemn	wood	lemn	PROPN	N;INDF;MASC;SG
wood	lemnul	wood	lemn	PROPN	N;DEF;MASC;SG
wood	wood	wood	wood	PROPN	PROPN
wood	lemne	wood	lemn	PROPN	N;INDF;FEM;PL
hub	hub	hub	hub	PROPN	N;INDF;MASC;SG
ria	ria	ria	riu	PROPN;SG	N;INDF;MASC;SG
revolution	revolutie	revolution	revolutie	PROPN	N;INDF;FEM;SG
revolution	revolutia	revolution	revolutie	PROPN	N;DEF;FEM;SG
