守山	moriyama	守山	moriya	PROPN	N;DAT;FEM;DU
従兄弟	sestrična	従兄弟	sestričen	N	ADJ;NOM;FEM;SG
回生	regenerativno	回生	regenerativen	N	ADV
ニュルンベルク	nürnbergu	ニュルンベルク	nürnbergo	PROPN	PROPN;DAT;MASC;SG
ブラザー	bratec	ブラザー	bratec	PROPN	N;NOM;MASC;SG
ブラザー	brat	ブラザー	brat	PROPN	N;NOM;MASC;SG
チューリッヒ	zürichu	チューリッヒ	züriche	PROPN	PROPN;DAT;MASC;SG
チューリッヒ	zürichu	チューリッヒ	züriche	PROPN	PROPN;DAT;MASC;SG
内線	razširitev	内線	razširitev	PROPN	N;NOM;FEM;SG
内線	podaljšek	内線	podaljšek	PROPN	N;NOM;MASC;SG
内線	podaljšanje	内線	podaljšanje	PROPN	N;NOM;NEUT;SG
浅い	plitvo	浅い	plitvo	ADJ	N;NOM;NEUT;SG
パウル	paul	パウル	pauti	PROPN	PROPN;NOM;MASC;SG
パウル	pavel	パウル	paveti	PROPN	N;NOM;MASC;SG
故人	umrli	故人	umreti	N	V;PFV;MASC;PL;V.PTCP
故人	preminil	故人	preminiti	N	V;PFV;MASC;SG;V.PTCP
故人	umrl	故人	umreti	N	V;PFV;MASC;SG;V.PTCP
オークス	oaks	オークス	oaks	PROPN	PROPN;NOM;MASC;SG
更生	rehabilitacija	更生	rehabilitacija	V	N;NOM;FEM;SG
更生	rehabilitacije	更生	rehabilitacija	V	N;GEN;FEM;SG
更生	rehabilitacijo	更生	rehabilitacija	V	N;ACC;FEM;SG
パース	perth	パース	pert	PROPN	PROPN;NOM;MASC;SG
エマ	ema	エマ	ema	PROPN	PROPN;NOM;FEM;SG
エマ	emma	エマ	emma	PROPN	PROPN;NOM;FEM;SG
ヌード	goli	ヌード	gol	N	ADJ;NOM;MASC;PL
ヌード	gola	ヌード	gol	N	ADJ;NOM;FEM;SG
ヌード	golo	ヌード	golo	N	ADJ;NOM;NEUT;SG
コペンハーゲン	københavnu	コペンハーゲン	krbenhaven	PROPN	ADJ;DAT;MASC;SG
りんご	jabolka	りんご	jabolko	PROPN	N;NOM;NEUT;PL
りんご	jabolka	りんご	jabolko	PROPN	N;NOM;NEUT;PL
りんご	jabolčni	りんご	jabolčen	PROPN	ADJ;NOM;MASC;PL
りんご	apple	りんご	apple	PROPN	N;NOM;MASC;SG
りんご	jabolko	りんご	jabolko	PROPN	N;NOM;NEUT;SG
イラ	ila	イラ	iti	PROPN	N;NOM;MASC;SG
オーボエ	oboa	オーボエ	oboa	PROPN	N;NOM;MASC;SG
毒性	strupena	毒性	strupen	N	ADJ;NOM;FEM;SG
毒性	strupeni	毒性	strupen	N	ADJ;NOM;MASC;PL
毒性	strupen	毒性	strupen	N	ADJ;NOM;INDF;MASC;SG
毒性	strupeno	毒性	strupen	N	ADJ;NOM;NEUT;SG
毒性	strupenih	毒性	strupen	N	ADJ;GEN;MASC;PL
やさしい	počasi	やさしい	počasi	ADJ	ADV
ネギ	por	ネギ	por	N	
燃える	gori	燃える	goreti	V	
燃える	gorenje	燃える	gorenje	V	N;NOM;NEUT;SG
芳賀	haga	芳賀	haga	PROPN	PROPN;NOM;MASC;SG
イヌ	dog	イヌ	dog	N	
イヌ	pasja	イヌ	pasja	N	ADJ;NOM;FEM;SG
イヌ	pasji	イヌ	pasja	N	ADJ;NOM;MASC;SG
苦しみ	trpljenje	苦しむ	trpljenje	V	N;NOM;NEUT;SG
苦しみ	trpljenja	苦しむ	trpljenje	V	N;GEN;NEUT;SG
厚い	debelo	厚い	debel	ADJ	ADV
厚い	gosto	厚い	gost	ADJ	ADV
