바트	bart	바트	bart		N;INDF;MASC;SG
시리우스	sirius	시리우스	sirius	PROPN	PROPN
킹스턴	kingston	킹스턴	kingston		PROPN
협조	cooperează	협조	coopera	N	V;IND;3;PRS;FIN
부활절	paste	부활절	paste	N	
랄프	ralph	랄프	ralph		PROPN
클릭	clic	클릭	clic	N	
클릭	apasă	클릭	apăsa	N	V;IND;3;PRS;FIN
하디	hardy	하디	hardy		PROPN
파스타	pastele	파스타	paste		N;DEF;MASC;SG
다스	darth	다스	darth		N;INDF;MASC;SG
북서	northwestern	북서	northwestern		PROPN
북서	northwest	북서	northwest		PROPN
페르시아어	persan	페르시아어	persan	PROPN	ADJ;INDF;MASC;SG
페르시아어	persană	페르시아어	persană	PROPN	N;INDF;FEM;SG
노르딕	nordice	노르딕	nordic		ADJ;INDF;FEM;PL
노르딕	nordic	노르딕	nordic		ADJ;INDF;MASC;SG
노르딕	nordică	노르딕	nordică		ADJ;INDF;FEM;SG
매리너스	mariners	매리너스	mariners		N;INDF;MASC;SG
플랜	planul	플랜	plan		N;DEF;MASC;SG
플랜	plan	플랜	plan		N;INDF;MASC;SG
플랜	planurile	플랜	plan		N;DEF;FEM;PL
플랜	planuri	플랜	plan		N;INDF;FEM;PL
의미있는	semnificativ	의미있+는	semnificativ		ADV
야채	vegetală	야채	vegetală	N	ADJ;INDF;FEM;SG
야채	vegetal	야채	vegetal	N	ADJ;INDF;MASC;SG
적분	integrale	적분	integral	N	ADJ;INDF;FEM;PL
적분	integrantă	적분	integrantă	N	ADJ;INDF;FEM;SG
적분	integrală	적분	integral	N	ADJ;INDF;FEM;SG
삼각주	delta	삼각주	deltă	PROPN	N;DEF;FEM;SG
사각형	pătrat	사각형	pătrat		N;INDF;MASC;SG
사각형	square	사각형	square		N;INDF;MASC;SG
사각형	patrat	사각형	patrat		N;INDF;MASC;SG
사각형	patrulater	사각형	patrulater		N;INDF;MASC;SG
사각형	dreptunghi	사각형	dreptunghi		N;INDF;MASC;SG
사각형	dreptunghiulară	사각형	dreptunghiular		ADJ;INDF;FEM;SG
청소	curat	청소	curat	N	ADJ;INDF;MASC;SG
청소	curata	청소	curată	N	V;IND;SG;3;IPFV;FIN
청소	curată	청소	curat	N	ADJ;INDF;FEM;SG
청소	curate	청소	curat	N	ADJ;INDF;FEM;PL
청소	curățat	청소	curăța	N	ADJ;INDF;MASC;SG
거기	acolo	거기	acolo		ADV
중등	secundar	중등	secundar	N	ADJ;INDF;MASC;SG
중등	secundară	중등	secundar	N	ADJ;INDF;FEM;SG
중등	secundare	중등	secundar	N	ADJ;INDF;FEM;PL
베이시스트	basistul	베이시스트	basist	PROPN	N;DEF;MASC;SG
캐롤	carol	캐롤	carol		N;INDF;MASC;SG
캐롤	carroll	캐롤	carroll		PROPN
캐롤	carole	캐롤	caroa		N;INDF;MASC;SG
엘리	ellie	엘리	ellie		PROPN
엘리	eli	엘리	eli		PROPN
부채	datoriile	부채	datorie		N;DEF;FEM;PL
부채	datorii	부채	dator		N;INDF;FEM;PL
부채	pasive	부채	pasiv		ADJ;INDF;FEM;PL
부채	datorii	부채	dator		N;INDF;FEM;PL
부채	datorie	부채	datorie		N;INDF;FEM;SG
부채	datorii	부채	dator		N;INDF;FEM;PL
눈부신	orbitoare	눈부시+ㄴ	orbitor		ADJ;INDF;FEM
발효	fermentat	발효	fermentat	N	ADJ;INDF;MASC;SG
발효	fermentate	발효	fermenta	N	ADJ;INDF;FEM;PL
체리	cherry	체리	cherry		N;INDF;MASC;SG
퍼텐셜	potential	퍼텐셜	potential	N	ADJ;INDF;MASC;SG
버섯	ciupercile	버섯	ciupercă		N;DEF;FEM;PL
버섯	ciuperci	버섯	ciupercă		N;INDF;FEM;PL
버섯	ciupercă	버섯	ciuperc		N;INDF;FEM;SG
버섯	ciuperca	버섯	ciuperca		N;DEF;FEM;SG
버섯	ciuperci	버섯	ciupercă		N;INDF;FEM;PL
익숙한	familiar	익숙+하+ㄴ	familiar	V	ADV
익숙한	familiară	익숙+하+ㄴ	familiar	V	ADJ;INDF;FEM;SG
익숙한	familiare	익숙+하+ㄴ	familiar	V	ADJ;INDF;FEM;PL
파이팅	lupta	파이팅	luptă		N;DEF;FEM;SG
튀니스	tunis	튀니스	tunis	PROPN	N;INDF;MASC;SG
매력	glamour	매력	glamour	N	ADJ
매력	fermecător	매력	fermecător	N	ADJ;INDF;MASC;SG
매력	fermecătoare	매력	fermecător	N	ADJ;INDF;FEM
태양광	solară	태양광	sola	N	ADJ;INDF;FEM;SG
선진	dezvoltate	선진	dezvoltat		ADJ;INDF;FEM;PL
선진	dezvoltată	선진	dezvolta		ADJ;INDF;FEM;SG
선진	dezvoltat	선진	dezvolta		ADJ;INDF;MASC;SG
선진	avansare	선진	avansare		N;INDF;FEM;SG
타카기	takagi	타카기	takag		PROPN
조건부	condiționat	조건부	condiționat		ADJ;INDF;MASC;SG
조건부	condiționată	조건부	condiționa		ADJ;INDF;FEM;SG
메세지	mesajul	메세지	mesaj		N;DEF;MASC;SG
메세지	mesaj	메세지	mesaj		N;INDF;MASC;SG
비엔나	viena	비엔나	viena	PROPN	PROPN
비엔나	vienna	비엔나	viennă	PROPN	PROPN
예의	politicoasă	예의	politicos	N	ADJ;INDF;FEM;SG
예의	politicos	예의	politicos	N	ADV
노리치	norwich	노리치	norwich	PROPN	PROPN
받았습니다	primite	받+았+습니다	primit	V	ADJ;INDF;FEM;PL
받았습니다	primită	받+았+습니다	primi	V	ADJ;INDF;FEM;SG
블라디보스토크	vladivostok	블라디보스토크	vladivostok	PROPN	N;INDF;MASC;SG
켈트	celtic	켈트	celtic	N	ADJ;INDF;MASC;SG
생태	ecologice	생태	ecologic	N	ADJ;INDF;FEM;PL
생태	ecologic	생태	ecologic	N	ADJ;INDF;MASC;SG
생태	ecologică	생태	ecologic	N	ADJ;INDF;FEM;SG
트루먼	truman	트루+어	truman		N;INDF;MASC;SG
모하마드	mohammad	모하마드	mohammad	PROPN	PROPN
오마르	omar	오마르	omar	PROPN	PROPN
일반인	generalul	일반+이+ㄴ	general		N;DEF;MASC;SG
일반인	generale	일반+이+ㄴ	general		ADJ;INDF;FEM;PL
일반인	general	일반+이+ㄴ	general		ADJ;INDF;MASC;SG
싱어	cântăreață	싱어	cântăreață		N;INDF;FEM;SG
싱어	singer	싱어	singer		N;INDF;MASC;SG
싱어	cântăreț	싱어	cântăreț		N;INDF;MASC;SG
바바	baba	바바	babă		N;DEF;FEM;SG
바바	babă	바바	babă		N;INDF;FEM;SG
관세	vamale	관세	vamal	N	ADJ;INDF;FEM;PL
벨파스트	belfast	벨파스트	belfast	PROPN	N;INDF;MASC;SG
잔혹한	crude	잔혹+하+ㄴ	crudă	V	ADJ;INDF;FEM;PL
잔혹한	crud	잔혹+하+ㄴ	crud	V	ADJ;INDF;MASC;SG
잔혹한	crudă	잔혹+하+ㄴ	crud	V	ADJ;INDF;FEM;SG
얼라이언스	alianta	얼라이언스	aliantă		N;DEF;FEM;SG
얼라이언스	alianță	얼라이언스	alianță		N;INDF;FEM;SG
얼라이언스	alianța	얼라이언스	alianță		N;DEF;FEM;SG
하이드	hyde	하이드	hyde		PROPN
벨라	bella	벨라	bella		N;DEF;FEM;SG
인사이드	interior	인사이드	interior		N;INDF;MASC;SG
제네시스	geneza	제네시스	geneză		N;DEF;FEM;SG
제네시스	genesis	제네시스	genesis		N;INDF;MASC;SG
브릿	brit	브릿	brit	PROPN	N;INDF;MASC;SG
잉글리시	engleza	잉글리시	engleza		N;DEF;FEM;SG
잉글리시	engleză	잉글리시	englez		N;INDF;FEM;SG
잉글리시	romanian	잉글리시	romanian		N;INDF;MASC;SG
레즈비언	lesbiană	레즈비언	lesbian	N	ADJ;INDF;FEM;SG
포클랜드	falkland	포클랜드	falkland	PROPN	PROPN
차단되었습니다	blocat	차단+되+었+습니다	bloca	V	ADJ;INDF;MASC;SG
차단되었습니다	blocate	차단+되+었+습니다	bloca	V	ADJ;INDF;FEM;PL
