sandstein	zandsteen	sandstein	zandsteen		N;MASC+FEM;SG
field	veld	falden	veld		N;NEUT;SG
marken	merken	marken	merk	V;NFIN	N;PL
marken	brands	marken	brand	V;NFIN	N;PL
marken	marche	marken	marche	V;NFIN	N;MASC+FEM;SG
marken	brand	marken	brand	V;NFIN	N;MASC+FEM;SG
marken	merk	marken	merk	V;NFIN	N;NEUT;SG
marken	brandmerk	marken	brandmerk	V;NFIN	N;NEUT;SG
marken	marsen	marken	mars	V;NFIN	N;PL
marken	merken	marken	merk	V;NFIN	N;PL
marken	handelsmerken	marken	handelsmerk	V;NFIN	N;PL
nachts	nachten	nachts	nachten	ADV	N;PL
nachts	overnachtingen	nachts	overnachting	ADV	N;PL
nachts	nachtelijk	nachts	nachtelijk	ADV	ADJ
nachts	avond	nachts	avond	ADV	N;MASC+FEM;SG
nachts	nacht	nachts	nacht	ADV	N;MASC+FEM;SG
nachts	avondje	nachts	avond	ADV	N;NEUT;SG
lasse	lasse	lassen	lasse	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
annähernd	ongeveer	annähernd	ongeveer	ADJ	ADV
rezension	beoordeling	rezension	beoordeling	ADJ	N;MASC+FEM;SG
rezension	recensie	rezension	recensie	ADJ	N;MASC+FEM;SG
rezension	herziening	rezension	herziening	ADJ	N;MASC+FEM;SG
fische	vissen	fischen	vissen		V;NFIN
irgendwas	iets	irgendwas	iets	ADV	PRO;3
schiller	schiller	schill	schiller	ADJ	N;MASC+FEM;SG
vierter	fourth	viert	fourth	ADJ	
sven	sven	sven	sven	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
auszug	fragment	auszusz	fragment		N;NEUT;SG
auszug	fragment	auszusz	fragment		N;NEUT;SG
auszug	uittreksel	auszusz	uittreksel		N;NEUT;SG
auszug	extract	auszusz	extract		N;NEUT;SG
auszug	uittreksel	auszusz	uittreksel		N;NEUT;SG
fordert	driften	fordern	drif	V;IND;SG;3;PRS;FIN	N;PL
fordert	drang	fordern	drang	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
fordert	telefoontjes	fordern	telefoon	V;IND;SG;3;PRS;FIN	N;PL
branche	sector	branch	sector		N;MASC+FEM;SG
kleidung	aankleden	kleidung	aankleden	N;NOM;FEM;SG	V;NFIN
kleidung	kleren	kleidung	kleren	N;NOM;FEM;SG	N;PL
erlaubnis	permissie	erlaubnis	permissie		N;MASC+FEM;SG
erlaubnis	toestemming	erlaubnis	toestemming		N;MASC+FEM;SG
eingeschränkt	beperkt	einschränken	beperken	ADJ	V;V.PTCP
eingeschränkt	beperkte	einschränken	beperken	ADJ	V;SG;PST;FIN
eingeschränkt	limited	einschränken	limited	ADJ	
eingeschränkt	beperkt	einschränken	beperken	ADJ	V;V.PTCP
eingeschränkt	gelimiteerd	einschränken	limiteren	ADJ	V;V.PTCP
eingeschränkt	beperkte	einschränken	beperken	ADJ	V;SG;PST;FIN
norman	norman	norman	norman	PROPN;NOM;SG	N;MASC+FEM;SG
player	speler	player	speler	PROPN	N;MASC+FEM;SG
player	player	player	player	PROPN	N;MASC+FEM;SG
atmosphäre	sfeer	atmosphäre	sfeer	ADJ;NOM;SG	N;MASC+FEM;SG
atmosphäre	ambiance	atmosphäre	ambiance	ADJ;NOM;SG	N;MASC+FEM;SG
atmosphäre	sfeer	atmosphäre	sfeer	ADJ;NOM;SG	N;MASC+FEM;SG
atmosphäre	atmosfeer	atmosphäre	atmosfeer	ADJ;NOM;SG	N;MASC+FEM;SG
atmosphäre	dampkring	atmosphäre	dampkring	ADJ;NOM;SG	N;MASC+FEM;SG
atmosphäre	sfeer	atmosphäre	sfeer	ADJ;NOM;SG	N;MASC+FEM;SG
atmosphäre	ambiance	atmosphäre	ambiance	ADJ;NOM;SG	N;MASC+FEM;SG
siemens	siemens	siemens	siemens		N;PL
mini	mini	mini	mini		N;MASC+FEM;SG
ernest	ernest	ernest	ernest	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
