категория	kategorii	категория	kategorie	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
как	jak	как	jak	CONJ	ADV
как	like	как	like	CONJ	N;MASC;SG;POS
был	byla	быть	být	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;POS;PST;V.PTCP;ACT
его	jeho	он	jeho	PRO;ACC;MASC;SG;3	DET;3
его	jeho	он	jeho	PRO;ACC;MASC;SG;3	DET;3
его	nej	он	nej	PRO;ACC;MASC;SG;3	N;NOM;MASC;SG;POS
это	tento	это	tento	PRO;INAN;NOM;NEUT;SG	DET;NOM;MASC;SG
это	toto	это	tento	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
это	tohle	это	tenhle	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
это	to	это	ten	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
это	že	это	že	PRO;INAN;NOM;NEUT;SG	CONJ
после	po	после	po	ADP	
после	poté	после	poté	ADP	ADV
год	roku	год	rok	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
год	roce	год	rok	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
было	byla	быть	být	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;POS;PST;V.PTCP;ACT
время	dob	время	doba	N;INAN;NOM;NEUT;SG	N;GEN;FEM;PL;POS
была	bylo	быть	být	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;NEUT;SG;POS;PST;V.PTCP;ACT
была	byl	быть	být	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
была	byla	быть	být	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;POS;PST;V.PTCP;ACT
место	lokace	место	lokace	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
район	oblasti	район	oblast	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL;POS
вид	druhy	вид	druh	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
вид	zobrazit	вид	zobrazit	N;INAN;NOM;MASC;SG	V;PFV;POS;NFIN
только	jedině	только	jedině	PART	ADV;POS
только	pouze	только	pouze	PART	ADV
только	prostě	только	prostě	PART	ADV;POS
есть	mám	быть	mít	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;1;POS;PRS;FIN;ACT
есть	dostal	быть	dostat	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
ссср	sssr	ссср	sssr	PROPN;INAN;NOM;MASC;SG	PROPN;INAN;MASC;POS
районе	okolí	район	okolí	N;INAN;ESS;MASC;SG	N;NOM;NEUT;SG;POS
районе	čtvrť	район	čtvrť	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG;POS
районе	sousedství	район	sousedství	N;INAN;ESS;MASC;SG	N;NOM;NEUT;SG;POS
более	další	более	další	ADV;CMPR	ADJ;NOM;MASC;SG;POS
более	more	более	more	ADV;CMPR	N;MASC;SG;POS
мая	májový	май	májový	N;INAN;GEN;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
мая	máj	май	máj	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
мая	květen	май	květen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
ноября	listopad	ноябрь	listopad	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
января	lednu	январь	leden	N;INAN;GEN;MASC;SG	N;INAN;DAT;MASC;SG;POS
января	leden	январь	leden	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
марта	marta	март	marta	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG;POS
марта	marta	март	marta	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG;POS
марта	martha	март	martha	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG;POS
марта	březen	март	březen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
марта	pochodovat	март	pochodovat	N;INAN;GEN;MASC;SG	V;IPFV;POS;NFIN
марта	pochod	март	pochod	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
все	všechno	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	vše	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	vse	все	vse	PRO;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
все	všichni	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;ANIM;NOM;MASC;PL
все	všechno	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	všechny	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;MASC;PL
все	vše	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	všichni	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;ANIM;NOM;MASC;PL
все	každý	все	každý	PRO;INAN;NOM;NEUT;SG	DET;ANIM;NOM;MASC;SG;POS
все	všem	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;DAT;PL
августа	srpen	август	srpen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
августа	august	август	august	N;INAN;GEN;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
том	tome	то	ten	PRO;INAN;NOM;NEUT;SG	V;IMP;SG;2;POS;FIN
том	tom	то	ten	PRO;INAN;NOM;NEUT;SG	DET;DAT;SG
октября	říjen	октябрь	říjen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
октября	říjen	октябрь	říjen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
сентября	září	сентябрь	září	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG;POS
статьи	článků	статья	článek	N;INAN;NOM;FEM;PL	N;INAN;GEN;MASC;PL;POS
июня	červen	июнь	červen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
апреля	duben	апрель	duben	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
сша	usa	сшать	usa	N;INAN;NOM;PL	PROPN;INAN;MASC;PL;POS
который	kterou	который	který	PRO;NOM	DET;ACC;FEM;SG
который	který	который	který	PRO;NOM	DET;NOM;MASC;SG
который	která	который	který	PRO;NOM	DET;NOM;FEM;SG
который	které	который	který	PRO;NOM	DET;NOM;NEUT;PL
человек	osobu	человек	osoba	N;ANIM;NOM;MASC;SG	N;ACC;FEM;SG;POS
человек	lidská	человек	lidský	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
человек	lidské	человек	lidský	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
человек	lidský	человек	lidský	N;ANIM;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
человек	man	человек	man	N;ANIM;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
смерти	úmrtí	смерть	úmrtí	N;INAN;GEN;FEM;SG	N;NOM;NEUT;SG;POS
лет	léta	год	rok	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL;POS
лет	roky	год	rok	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;PL;POS
февраля	únor	февраль	únor	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
февраля	únor	февраль	únor	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
того	togo	то	tengo	PRO;INAN;GEN;NEUT;SG	PROPN;NOM;NEUT;SG;POS
города	město	город	město	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG;POS
города	měst	город	město	N;INAN;NOM;MASC;PL	N;GEN;NEUT;PL;POS
может	možná	мочь	možná	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	mohl	мочь	moci	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
может	mohla	мочь	moci	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;POS;PST;V.PTCP;ACT
может	mohou	мочь	moci	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;POS;PRS;FIN;ACT
войны	válek	война	válka	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL;POS
войны	válka	война	válka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
войны	válce	война	válka	N;INAN;NOM;FEM;PL	N;DAT;FEM;SG;POS
войны	válku	война	válka	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
можно	může	можно	moci	ADV	V;IND;SG;3;POS;PRS;FIN;ACT
можно	mohou	можно	moci	ADV	V;IND;PL;3;POS;PRS;FIN;ACT
когда	kdy	когда	kdy	CONJ	ADV
однако	nicméně	однако	nicméně	ADV	CONJ
однако	nicméně	однако	nicméně	ADV	CONJ
однако	avšak	однако	avšak	ADV	CONJ
которые	kterou	который	který	PRO;NOM	DET;ACC;FEM;SG
которые	který	который	který	PRO;NOM	DET;NOM;MASC;SG
которые	která	который	který	PRO;NOM	DET;NOM;FEM;SG
которые	které	который	který	PRO;NOM	DET;NOM;NEUT;PL
высота	výšku	высота	výška	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
высота	výšky	высота	výška	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
переписи	sčítání	перепись	sčítání	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
переписи	sčítání	перепись	sčítání	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
село	selo	село	selo	N;INAN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;POS
статья	článku	статья	článek	N;INAN;NOM;FEM;SG	N;INAN;GEN;MASC;SG;POS
род	rodu	род	rod	N;ANIM;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
род	rod	род	rod	N;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
род	prut	род	prut	N;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
один	samotná	один	samotný	NUM;NOM;MASC	ADJ;NOM;FEM;SG;POS
один	sama	один	sám	NUM;NOM;MASC	DET;NOM;FEM;SG
один	sám	один	sám	NUM;NOM;MASC	DET;NOM;MASC;SG
один	odin	один	odin	NUM;NOM;MASC	N;INAN;NOM;MASC;SG;POS
один	jednu	один	jeden	NUM;NOM;MASC	NUM;ACC;FEM;SG
реки	řece	река	řeka	N;INAN;NOM;FEM;PL	N;DAT;FEM;SG;POS
реки	river	река	rivr	N;INAN;NOM;FEM;PL	PROPN;INAN;NOM;MASC;SG;POS
реки	řeka	река	řeka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
реки	řek	река	řeka	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL;POS
реки	rivers	река	rivers	N;INAN;NOM;FEM;PL	PROPN;ANIM;NOM;MASC;SG;POS
населения	obyvatelstvo	население	obyvatelstvo	N;INAN;GEN;NEUT;SG	N;NOM;NEUT;SG;POS
населения	populace	население	populace	N;INAN;GEN;NEUT;SG	N;NOM;FEM;SG;POS
годы	léta	год	rok	N;INAN;ACC;MASC;PL	N;NOM;NEUT;PL;POS
годы	roků	год	rok	N;INAN;ACC;MASC;PL	N;INAN;GEN;MASC;PL;POS
годы	let	год	rok	N;INAN;ACC;MASC;PL	N;GEN;NEUT;PL;POS
годы	roky	год	rok	N;INAN;ACC;MASC;PL	N;INAN;NOM;MASC;PL;POS
через	prostřednictvím	через	prostřednictví	ADP	N;INS;NEUT;SG;POS
через	via	через	via	ADP	PROPN;FEM;SG;POS
через	skrz	через	skrz	ADP	
через	prostřednictvím	через	prostřednictví	ADP	N;INS;NEUT;SG;POS
область	provincii	область	provincie	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG;POS
область	regionu	область	region	N;INAN;NOM;FEM;SG	N;INAN;DAT;MASC;SG;POS
область	oblasti	область	oblast	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
сельское	venkova	сельский	venkov	ADJ;NOM;NEUT;SG	N;INAN;GEN;MASC;SG;POS
сельское	venkov	сельский	venkov	ADJ;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
сельское	venkovské	сельский	venkovský	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;PL;POS
сайт	stránky	сайт	stránka	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL;POS
века	století	век	století	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG;POS
официальный	úředník	официальный	úředník	ADJ;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;MASC;SG;POS
будет	vůle	быть	vůle	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;FEM;SG;POS
будет	bude	быть	být	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;POS;FUT;FIN;ACT
несколько	několik	несколько	několik	ADV	DET;NOM
несколько	několika	несколько	několik	ADV	DET;INS
несколько	násobek	несколько	násobek	ADV	N;INAN;NOM;MASC;SG;POS
мира	míru	мир	míra	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG;POS
мира	mír	мир	mír	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
мира	mira	мир	mira	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG;POS
