les	het	le	het	DET;DEF;PL	PRO;3
est	oosten	être	oosten	V;IND;SG;3;PRS;FIN	N;NEUT;SG
est	oost	être	oost	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
une	one	un	oon	DET;INDF;FEM;SG	
une	één	un	één	DET;INDF;FEM;SG	NUM
une	eén	un	eén	DET;INDF;FEM;SG	N;MASC+FEM;SG
qui	wie	qui	wie	PRO	PRO;3
qui	who	qui	who	PRO	
que	dat	que	dat	CONJ	PRO;3
son	geluid	son	geluid	DET;MASC;SG	N;NEUT;SG
son	zijn	son	zijn	DET;MASC;SG	V;PL;PRS;FIN
son	its	son	its	DET;MASC;SG	
plus	more	plus	more	ADV	
plus	meer	plus	veel	ADV	PRO
elle	elle	elle	el	PRO;FEM;SG;3	N;MASC+FEM;SG
été	zomer	être	zomer	V;MASC;SG;PST;V.PTCP	N;MASC+FEM;SG
avancement	vorderingen	avancement	vordering	N;MASC;SG	N;PL
comme	zoals	comme	zoals	ADP	CONJ
comme	like	comme	lik	ADP	
cette	dit	ce	dit	DET;FEM;SG	PRO;3
cette	deze	ce	deze	DET;FEM;SG	PRO
deux	two	deux	two	NUM	
ses	zijn	son	zijn	DET;MASC;PL	V;PL;PRS;FIN
ses	ses	son	ses	DET;MASC;PL	N;MASC+FEM;SG
ses	its	son	its	DET;MASC;PL	
naissance	geboren	naissance	geboren	N;FEM;SG	V;V.PTCP
france	frankrijk	france	frankrijk	N;FEM;SG	PROPN;NEUT;SG
saint	heilige	saint	heilige	PROPN	ADJ
saint	heilig	saint	heilig	PROPN	ADJ
saint	holy	saint	holy	PROPN	
saint	heilige	saint	heilige	PROPN	ADJ
après	after	après	after	ADP	
fait	made	faire	made	V;MASC;SG;PST;V.PTCP	
fait	done	faire	doon	V;MASC;SG;PST;V.PTCP	ADJ
fait	klaar	faire	klaar	V;MASC;SG;PST;V.PTCP	ADJ
notes	toelichting	note	toelichting	N;FEM;PL	N;MASC+FEM;SG
sous	under	sous	under	ADP	
même	hetzelfde	même	hetzelfde	ADV	ADJ
même	zelfde	même	zelfde	ADV	ADJ
même	same	même	same	ADV	
français	français	français	français	ADJ;MASC;SG	ADV
français	frans	français	frans	ADJ;MASC;SG	PROPN;MASC+FEM;SG
français	fransen	français	frans	ADJ;MASC;SG	PROPN;MASC+FEM;SG
ont	heb	avoir	hebben	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
ont	hebben	avoir	hebben	V;IND;PL;3;PRS;FIN	V;PL;PRS;FIN
paris	parijs	pari	parijs	N;MASC;PL	PROPN;NEUT;SG
autres	overige	autre	overig	PRO;PL	ADJ
autres	andere	autre	ander	PRO;PL	ADJ
autres	ander	autre	ander	PRO;PL	ADJ
autres	overig	autre	overig	PRO;PL	
autres	overige	autre	overig	PRO;PL	ADJ
autres	andere	autre	ander	PRO;PL	ADJ
autres	overigen	autre	overigen	PRO;PL	ADJ
autres	anderen	autre	ander	PRO;PL	ADJ
décès	dood	décès	dood	N;MASC;SG	ADJ
décès	doods	décès	doods	N;MASC;SG	ADJ
