филологических	filologiczny	филологический	filologiczny	ADJ;GEN;PL	ADJ;NOM;MASC;SG
старших	senior	старший	senior	ADJ;GEN;PL	N;NOM;MASC;SG
старших	starszy	старший	stary	ADJ;GEN;PL	ADJ;NOM;CMPR;MASC;SG
юбилейная	jubilee	юбилейный	jubil	ADJ;NOM;FEM;SG	
исаак	isaac	исаак	isaac	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
бесплатно	wolne	бесплатно	wolny	ADV	ADJ;NOM;NEUT;SG
бесплатно	wolna	бесплатно	wolny	ADV	
бесплатно	wolny	бесплатно	wolny	ADV	ADJ;NOM;MASC;SG
бесплатно	bezpłatne	бесплатно	bezpłatny	ADV	ADJ;NOM;NEUT;SG
бесплатно	free	бесплатно	free	ADV	
стекла	szkła	стекло	szkło	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
стекла	szklanka	стекло	szklanka	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
стекла	szkło	стекло	szkło	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
стекла	szklana	стекло	szklany	N;INAN;NOM;NEUT;PL	ADJ;NOM;FEM;SG
показания	zeznanie	показание	zeznanie	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
янг	yang	янг	yang	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
янг	młoda	янг	młody	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
янг	młody	янг	młody	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
янг	młode	янг	młody	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
янг	młodzi	янг	młody	N;ANIM;NOM;MASC;SG	N;NOM;MASC;PL
янг	young	янг	young	N;ANIM;NOM;MASC;SG	
кинотеатр	teatrze	кинотеатр	teatr	N;INAN;NOM;MASC;SG	N;DAT;MASC;SG
кинотеатр	kina	кинотеатр	kino	N;INAN;NOM;MASC;SG	N;GEN;NEUT;SG
центральное	centralnego	центральный	centralny	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG
центральное	central	центральный	centrala	ADJ;NOM;NEUT;SG	
ушли	odszedł	уйти	odejść	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
эфиопии	etiopii	эфиопия	etiopia	N;INAN;NOM;FEM;PL	
эфиопии	etiopii	эфиопия	etiopia	N;INAN;NOM;FEM;PL	
неудачно	niefortunne	неудачно	niefortunny	ADV	ADJ;NOM;NEUT;SG
разновидности	odmian	разновидность	odmiana	N;INAN;NOM;FEM;PL	
разновидности	odmiany	разновидность	odmiana	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
разновидности	odmiany	разновидность	odmiana	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
разновидности	odmianę	разновидность	odmiana	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
разновидности	odmiana	разновидность	odmiana	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
разновидности	różnorodność	разновидность	różnorodność	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
венесуэлы	wenezuela	венесуэла	wenezuel	N;INAN;NOM;FEM;PL	PROPN;NOM;FEM;SG
настоящая	real	настоящий	real	ADJ;NOM;FEM;SG	
пресса	prasie	пресса	prasa	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
пресса	naciśnij	пресса	naciśnąć	N;INAN;NOM;FEM;SG	V;PFV;IMP;SG;2;FIN;ACT
пресса	prasy	пресса	prasa	N;INAN;NOM;FEM;SG	
навигации	nawigacji	навигация	nawigacja	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
навигации	nawigacja	навигация	nawigacja	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
навигации	nawigacyjne	навигация	nawigacyjny	N;INAN;NOM;FEM;PL	ADJ;NOM;NEUT;SG
развиваться	ewoluować	развиваться	ewoluować	V;IPFV;NFIN;MID	V;IPFV;NFIN;ACT
хозяин	właściciela	хозяин	właściciel	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
хозяин	mistrzu	хозяин	mistrz	N;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
ранг	rangi	ранг	ranga	N;INAN;NOM;MASC;SG	
дополнительное	ekstra	дополнительный	ekstra	ADJ;NOM;NEUT;SG	
дополнительное	extra	дополнительный	extra	ADJ;NOM;NEUT;SG	
колония	kolonii	колония	kolonia	N;INAN;NOM;FEM;SG	
колония	kolonię	колония	kolonia	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
арнольд	arnold	арнольд	arnold	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
боги	bogów	бог	bóg	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
обложка	okładki	обложка	okładka	N;INAN;NOM;FEM;SG	N;ACC;FEM;PL
обложка	pokrycie	обложка	pokrycie	N;INAN;NOM;FEM;SG	
классическая	klasycznego	классический	klasyczny	ADJ;NOM;FEM;SG	ADJ;ACC;MASC;SG
классическая	klasyka	классический	klasyka	ADJ;NOM;FEM;SG	
классическая	klasyk	классический	klasyk	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
классическая	klasyka	классический	klasyka	ADJ;NOM;FEM;SG	
классическая	classic	классический	classicie	ADJ;NOM;FEM;SG	
картинки	obrazów	картинка	obraz	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
картинки	zdjecia	картинка	zdjecie	N;INAN;NOM;FEM;PL	V;PFV;IND;SG;FIN;ACT
нынешней	prąd	нынешний	prąd	ADJ;INS;FEM;SG	N;NOM;MASC;SG
нынешней	bieżące	нынешний	bieżący	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
нынешней	aktualne	нынешний	aktualny	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
нынешней	bieżący	нынешний	bieżący	ADJ;INS;FEM;SG	ADJ;NOM;MASC;SG
нынешней	aktualny	нынешний	aktualny	ADJ;INS;FEM;SG	ADJ;NOM;MASC;SG
принадлежали	należał	принадлежать	należeć	V;IPFV;IND;PL;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
объяснения	wytłumaczenia	объяснение	wytłumaczyć	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;SG
объяснения	wyjaśnienia	объяснение	wyjaśnienie	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
объяснения	wyjaśnień	объяснение	wyjaśnienie	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;PL
швейцарский	szwajcarską	швейцарский	szwajcarski	ADJ;NOM;MASC;SG	ADJ;ACC;FEM;SG
швейцарский	szwajcaria	швейцарский	szwajcariać	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
зубов	zęby	зуб	ząb	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
зубов	ząbki	зуб	ząbek	N;INAN;GEN;MASC;PL	
грант	grant	грант	grant	N;INAN;NOM;MASC;SG	
постановления	orzeczeń	постановление	orzeczenie	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;PL
постановления	orzeczenia	постановление	orzeczenie	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
дискуссия	dyskusji	дискуссия	dyskusja	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
дискуссия	dyskusje	дискуссия	dyskusja	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
дискуссия	dyskusję	дискуссия	dyskusja	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
барабаны	beczki	барабан	beczka	N;INAN;NOM;MASC;PL	N;ACC;FEM;PL
студент	studenci	студент	student	N;ANIM;NOM;MASC;SG	N;NOM;MASC;PL
историографии	historiografii	историография	historiografia	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
водорода	wodór	водород	wodór	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
водорода	wodoru	водород	wodor	N;INAN;GEN;MASC;SG	N;ACC;MASC;SG
шотландский	szkocka	шотландский	szkocki	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
шотландский	szkocki	шотландский	szkocki	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
охоты	polowania	охота	polowanie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
охоты	polowanie	охота	polować	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
образы	obrazów	образ	obraz	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
вон	vaughn	вон	vaughn	PART	PROPN;NOM;MASC;SG
якутии	jakucji	якутия	jakucja	N;INAN;NOM;NEUT;SG	
домашние	domowy	домашний	domowy	ADJ;NOM;PL	ADJ;NOM;MASC;SG
дэн	dan	дэн	dana	N;ANIM;NOM;MASC;SG	
дэн	deng	дэн	deng	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
приборы	oprzyrządowanie	прибор	oprzyrządowanie	N;INAN;NOM;MASC;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
квартиру	mieszkanie	квартира	mieszkanie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
арест	aresztowany	арест	aresztować	N;INAN;NOM;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
рисунки	zdjecia	рисунок	zdjecie	N;INAN;NOM;MASC;PL	V;PFV;IND;SG;FIN;ACT
