van	from	van	from	ADP	PROPN
een	one	een	one	DET;INDF	PROPN
een	один	een	один	DET;INDF	NUM;NOM;MASC
voor	for	voor	for	ADP	PROPN
met	with	met	with	ADP	PROPN
zijn	его	zijn	он	V;PL;PRS;FIN	PRO;ACC;MASC;SG;3
zijn	являются	zijn	являться	V;PL;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;MID
uit	from	uit	from	ADP	PROPN
uit	аут	uit	аута	ADP	N;INAN;NOM;MASC;SG
uit	out	uit	out	ADP	PROPN
dat	that	dat	that	PRO;3	PROPN
werd	стала	worden	стать	V;SG;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
werd	стал	worden	стать	V;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
aan	aan	aan	aan	ADP	PROPN
was	был	zijn	быть	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
was	было	zijn	быть	V;SG;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
was	воск	zijn	воск	V;SG;PST;FIN	N;INAN;NOM;MASC;SG
ook	тоже	ook	тоже	ADV	PART
niet	не	niet	не	ADV	PART
soort	добрая	soort	добрый	N;SG	ADJ;NOM;FEM;SG
soort	type	soort	type	N;SG	PROPN
soort	видов	soort	вид	N;SG	N;INAN;GEN;MASC;PL
soort	виды	soort	вид	N;SG	N;INAN;NOM;MASC;PL
familie	семейное	familie	семейный	N;MASC+FEM;SG	ADJ;NOM;NEUT;SG
familie	семьи	familie	семья	N;MASC+FEM;SG	N;INAN;NOM;FEM;PL
familie	родные	familie	родной	N;MASC+FEM;SG	ADJ;NOM;PL
eerst	первый	eerst	первый	ADV	ADJ;NOM;MASC;SG
eerst	первое	eerst	первый	ADV	ADJ;NOM;NEUT;SG
eerst	первая	eerst	первый	ADV	ADJ;NOM;FEM;SG
eerst	first	eerst	first	ADV	PROPN
deze	this	deze	this	PRO	PROPN
deze	эта	deze	этот	PRO	DET;NOM;FEM;SG
deze	этот	deze	этот	PRO	DET;NOM;MASC;SG
deze	эти	deze	этот	PRO	DET;NOM;PL
wordt	стать	worden	стать	V;SG;PRS;FIN	V;PFV;NFIN;MID
wordt	стань	worden	стань	V;SG;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
wordt	становится	worden	становиться	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;MID
worden	стать	worden	стать	V;PL;PRS;FIN	V;PFV;NFIN;MID
worden	стань	worden	стань	V;PL;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
worden	становясь	worden	становиться	V;PL;PRS;FIN	V;IPFV;PRS;V.CVB;MID
worden	став	worden	стать	V;PL;PRS;FIN	V;PFV;PST;V.CVB;MID
dit	this	dit	this	PRO;3	PROPN
dit	эта	dit	этот	PRO;3	DET;NOM;FEM;SG
dit	этот	dit	этот	PRO;3	DET;NOM;MASC;SG
over	about	over	about	ADP	PROPN
over	о	over	о	ADP	INTJ
over	over	over	over	ADP	PROPN
dan	дан	dan	дать	ADV	ADJ;MASC;SG
dan	дэн	dan	дэн	ADV	N;ANIM;NOM;MASC;SG
onder	ниже	onder	низкий	ADP	ADJ;CMPR
team	спасатели	team	спасатель	N;NEUT;SG	N;ANIM;NOM;MASC;PL
team	team	team	team	N;NEUT;SG	PROPN
eerste	сначала	één	сначала	ADJ	ADV
eerste	first	één	first	ADJ	PROPN
meer	озеро	veel	озеро	PRO	N;INAN;NOM;NEUT;SG
meer	лейк	veel	лейк	PRO	N;INAN;NOM;MASC;SG
meer	более	veel	более	PRO	ADV;CMPR
meer	больше	veel	больше	PRO	ADV;CMPR
meer	еще	veel	еще	PRO	ADV
kan	мог	kunnen	мочь	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
kan	могла	kunnen	мочь	V;SG;PRS;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
kan	можно	kunnen	можно	V;SG;PRS;FIN	ADV
kan	can	kunnen	can	V;SG;PRS;FIN	PROPN
kan	кан	kunnen	кан	V;SG;PRS;FIN	PART
cet	cet	cet	cet		PROPN
haar	волосы	haar	волос	PRO;ACC;3	N;INAN;NOM;MASC;PL
