氟化	фторид	氟化	фторид		N;INAN;NOM;MASC;SG
遙遠	отдаленных	遙遠	отдаленный		ADJ;GEN;PL
遙遠	дальний	遙遠	дальний		ADJ;NOM;MASC;SG
狩獵	охота	狩獵	охота	V	N;INAN;NOM;FEM;SG
狩獵	хант	狩獵	хант	V	PART
狩獵	охота	狩獵	охота	V	N;INAN;NOM;FEM;SG
狩獵	охоты	狩獵	охота	V	N;INAN;NOM;FEM;PL
穩	устойчивый	穩	устойчивый	ADV	ADJ;NOM;MASC;SG
穩	стабильный	穩	стабильный	ADV	ADJ;NOM;MASC;SG
等	ждём	等	ждем	N	V;IPFV;IND;PL;1;PRS;FIN;ACT
等	жду	等	ждать	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
等	ждем	等	ждать	N	V;IPFV;IND;PL;1;PRS;FIN;ACT
等	ждать	等	ждать	N	V;IPFV;NFIN;ACT
末	doomsday	末	doomsday	ADP	PROPN
滴	кап	滴	кап	N	
昏迷	кому	昏迷	кто	V	PRO;DAT
微型	микро	微型	микро	N	
海豹	печать	海豹	печать	PROPN	N;INAN;NOM;FEM;SG
樓上	наверх	樓上	наверх	N	ADV
樓上	наверху	樓上	наверху	N	ADV
大廳	hall	大廳	hall	N	PROPN
斯德哥爾摩	стокгольм	斯德哥爾摩	стокгольмый	PROPN	N;INAN;NOM;MASC;SG
斯德哥爾摩	стокгольмской	斯德哥爾摩	стокгольмский	PROPN	ADJ;INS;FEM;SG
日誌	journal	日誌	journal	N	PROPN
喊	кричать	喊	кричать		V;IPFV;NFIN;ACT
著	авторство	著	авторство	PART;PROG	N;INAN;NOM;NEUT;SG
著	copyright	著	copyright	PART;PROG	PROPN
安	эйб	安	эйба	PROPN	N;ANIM;NOM;MASC;SG
安	абэ	安	абэ	PROPN	N;INAN;NOM;FEM;SG
放射	радиологии	放射	радиология	V	N;INAN;NOM;FEM;PL
放射	радиоактивности	放射	радиоактивность	V	N;INAN;NOM;FEM;SG
放射	радиации	放射	радиация	V	N;INAN;NOM;FEM;PL
放射	излучение	放射	излучение	V	N;INAN;NOM;NEUT;SG
放射	радиация	放射	радиация	V	N;INAN;NOM;FEM;SG
放射	радиоактивный	放射	радиоактивный	V	ADJ;NOM;MASC;SG
放射	радиоактивных	放射	радиоактивный	V	ADJ;GEN;PL
放射	радиоактивные	放射	радиоактивный	V	ADJ;NOM;PL
摩擦	руб	摩擦	рубль	V	N;INAN;GEN;MASC;PL
摩擦	трения	摩擦	трение	V	N;INAN;NOM;NEUT;PL
理工	политехнический	理工	политехнический	N	ADJ;NOM;MASC;SG
延期	расширения	延期	расширение	V	N;INAN;NOM;NEUT;SG
延期	продления	延期	продление	V	N;INAN;NOM;NEUT;PL
延期	продление	延期	продление	V	N;INAN;NOM;NEUT;SG
延期	расширение	延期	расширение	V	N;INAN;NOM;NEUT;SG
衍生	производных	衍生	производная	V	ADJ;GEN;PL
擴散	распространения	擴散	распространение	V	N;INAN;GEN;NEUT;SG
尼加拉	никарагуа	尼加拉	никарагуа	PROPN	N;INAN;NOM;FEM;SG
非凡	чрезвычайные	非凡	чрезвычайный	PROPN	ADJ;NOM;PL
非凡	чрезвычайных	非凡	чрезвычайный	PROPN	ADJ;GEN;PL
非凡	чрезвычайный	非凡	чрезвычайный	PROPN	ADJ;NOM;MASC;SG
焊接	уэлд	焊接	уэлда	N	
獎學	стипендий	獎學	стипендия	V	N;INAN;GEN;FEM;PL
獎學	стипендии	獎學	стипендия	V	N;INAN;NOM;FEM;PL
獎學	стипендия	獎學	стипендия	V	N;INAN;NOM;FEM;SG
獎學	стипендию	獎學	стипендия	V	N;INAN;ACC;FEM;SG
獎學	стипендии	獎學	стипендия	V	N;INAN;NOM;FEM;PL
偵查	разведывательный	偵查	разведывательный	N	ADJ;NOM;MASC;SG
視訊	video	視訊	video	N	PROPN
阻礙	препятствие	阻礙	препятствие	V	N;INAN;NOM;NEUT;SG
墳	серьезную	墳	серьезный	N	ADJ;ACC;FEM;SG
資本	капиталистической	資本	капиталистический	N	ADJ;INS;FEM;SG
辛苦	жестко	辛苦	жестко	N	ADV
辛苦	трудно	辛苦	трудный	N	ADJ;NEUT;SG
辛苦	жёсткий	辛苦	жёсткий	N	ADJ;NOM;MASC;SG
辛苦	сложно	辛苦	сложный	N	ADJ;NEUT;SG
辛苦	тяжело	辛苦	тяжелый	N	ADJ;NEUT;SG
有	токсичных	有	токсичный	V	ADJ;GEN;PL
有	токсичные	有	токсичный	V	ADJ;NOM;PL
有	ядовитые	有	ядовитый	V	ADJ;NOM;PL
排水	дренаж	排水	дренаж	V	N;INAN;NOM;MASC;SG
排水	дренажа	排水	дренаж	V	N;INAN;GEN;MASC;SG
慢性	хроническая	慢性	хронический	N	ADJ;NOM;FEM;SG
慢性	хронические	慢性	хронический	N	ADJ;NOM;PL
慢性	хронической	慢性	хронический	N	ADJ;INS;FEM;SG
馬達	motors	馬達	motors	N	PROPN
