von	no	von	no	ADP	
das	šo	der	šis	PRO;NOM;NEUT;SG	PRO;ACC;MASC;SG
das	ka	der	ka	PRO;NOM;NEUT;SG	
das	das	der	das	PRO;NOM;NEUT;SG	
des	des	der	des	DET;GEN;DEF;NEUT;SG	
mit	mit	mit	mit	ADP	
für	par	für	par	ADP	
für	for	für	for	ADP	
ein	viens	ein	viens	ADV	NUM;NOM;MASC;SG
ein	viena	ein	viena	ADV	NUM;NOM;FEM;SG
ein	vienu	ein	viens	ADV	NUM;ACC;MASC;SG
ein	ein	ein	ein	ADV	
als	rl	als	rl	ADP	
als	als	als	als	ADP	PROPN;NOM;MASC;SG
als	ils	als	ils	ADP	N;ESS;MASC;SG
eine	viens	ein	viens	DET;NOM;INDF;FEM;SG	NUM;NOM;MASC;SG
eine	viena	ein	viena	DET;NOM;INDF;FEM;SG	NUM;NOM;FEM;SG
eine	vienu	ein	viens	DET;NOM;INDF;FEM;SG	NUM;ACC;MASC;SG
wurde	bija	werden	būt	V;IND;SG;3;PST;FIN;PASS	V;FH;IND;3;POS;PST;FIN;ACT
wurde	tika	werden	tikt	V;IND;SG;3;PST;FIN;PASS	V;FH;IND;3;POS;PST;FIN;ACT
wurde	kļuva	werden	kļūt	V;IND;SG;3;PST;FIN;PASS	V;FH;IND;3;POS;PST;FIN;ACT
auch	pat	auch	pat	ADV	PART
auch	arī	auch	arī	ADV	PART
nicht	nav	nicht	nebūt	PART;NEG	V;FH;IND;3;NEG;PRS;FIN;ACT
war	bija	sein	būt	V;IND;SG;3;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
bei	bei	bei	bei	ADP	
aus	aus	aus	aus	ADP	
aus	no	aus	no	ADP	
aus	ārā	aus	ārā	ADP	ADV
aus	out	aus	out	ADP	
sie	tu	sie	tu	PRO;NOM;FEM;SG;3	PRO;NOM;SG;2
sie	tevi	sie	tu	PRO;NOM;FEM;SG;3	PRO;ACC;SG;2
sie	jums	sie	jūs	PRO;NOM;FEM;SG;3	PRO;DAT;PL;2
sie	tev	sie	tu	PRO;NOM;FEM;SG;3	PRO;DAT;SG;2
sie	jūs	sie	jūs	PRO;NOM;FEM;SG;3	PRO;NOM;PL;2
sie	vina	sie	vins	PRO;NOM;FEM;SG;3	N;NOM;FEM;SG
sie	viņi	sie	viņš	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;PL;3
sie	tie	sie	tas	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;PL
sie	tās	sie	tā	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;PL
bis	gaidot	bis	gaidīt	ADP	V;V.CVB
bis	bis	bis	bis	ADP	
bis	līdz	bis	līdz	ADP	ADV
ich	ika	ich	ika	PRO;NOM;SG;1	
ich	ich	ich	ich	PRO;NOM;SG;1	
einer	viens	ein	viens	PRO;NOM;INDF;MASC;SG	NUM;NOM;MASC;SG
einer	viena	ein	viena	PRO;NOM;INDF;MASC;SG	NUM;NOM;FEM;SG
einer	vienu	ein	viens	PRO;NOM;INDF;MASC;SG	NUM;ACC;MASC;SG
werden	būs	werden	būt	V;NFIN;PASS	V;FH;IND;3;POS;FUT;FIN;ACT
werden	kļūstot	werden	kļūt	V;NFIN;PASS	V;V.CVB
sind	ir	sein	būt	V;IND;PL;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
oder	oderas	oder	odera	CONJ	PROPN;NOM;FEM;SG
wird	būs	werden	būt	V;IND;SG;3;PRS;FIN;PASS	V;FH;IND;3;POS;FUT;FIN;ACT
durch	cauri	durch	cauri	ADP	ADV
score	score	scoren	score	PROPN	
einen	viens	ein	viens	PRO;ACC;INDF;MASC;SG	NUM;NOM;MASC;SG
einen	viena	ein	viena	PRO;ACC;INDF;MASC;SG	NUM;NOM;FEM;SG
einen	vienu	ein	viens	PRO;ACC;INDF;MASC;SG	NUM;ACC;MASC;SG
dass	ka	dass	ka	CONJ	
dass	tas	dass	tas	CONJ	PRO;NOM;MASC;SG
über	par	über	par	ADP	
über	via	über	via	ADP	
über	augstāk	über	augsti	ADP	ADV;CMPR
wie	kā	wie	kā	ADP	ADV
wie	wie	wie	wie	ADP	
wie	patīk	wie	patikt	ADP	V;FH;IND;3;POS;PRS;FIN;ACT
wie	like	wie	like	ADP	
nur	tikai	nur	tikai	ADV	PART
nur	nur	nur	nurt	ADV	
nur	tikai	nur	tikai	ADV	PART
noch	vēljoprojām	noch	vēljoprojām	ADV	V;FH;IND;PL;1;POS;PST;FIN;ACT
hat	cepure	haben	cepure	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
hat	cepuri	haben	cepure	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
artikel	raksts	artikel	raksts	ADJ	N;NOM;MASC;SG
artikel	izstrādājums	artikel	izstrādājums	ADJ	N;NOM;MASC;SG
artikel	pants	artikel	pants	ADJ	N;NOM;MASC;SG
artikel	priekšmeti	artikel	priekšmets	ADJ	N;NOM;MASC;PL
artikel	posteņi	artikel	postenis	ADJ	N;NOM;MASC;PL
artikel	raksti	artikel	raksts	ADJ	INTJ
artikel	izstrādājumi	artikel	izstrādājums	ADJ	N;NOM;MASC;PL
artikel	panti	artikel	pants	ADJ	N;NOM;MASC;PL
man	cilvēks	man	cilvēks	PRO;NOM;INDF;SG	N;NOM;MASC;SG
man	vīrietis	man	vīrietis	PRO;NOM;INDF;SG	N;NOM;MASC;SG
man	vecīt	man	vecīt	PRO;NOM;INDF;SG	INTJ
vor	priekšējais	vor	priekšējs	ADP	ADJ;NOM;MASC;SG
vor	fronte	vor	fronte	ADP	N;NOM;FEM;SG
vor	priekšpusē	vor	priekšpuse	ADP	N;ESS;FEM;SG
vor	priekšā	vor	priekšā	ADP	ADV
vor	priekšējie	vor	priekšējs	ADP	ADJ;NOM;MASC;PL
vor	pre	vor	pre	ADP	
wurden	kļuva	werden	kļūt	V;IND;PL;3;PST;FIN;PASS	V;FH;IND;3;POS;PST;FIN;ACT
sein	viņa	sein	viņa	DET;NOM;MASC;SG	PRO;NOM;FEM;SG;3
sein	sein	sein	sein	DET;NOM;MASC;SG	
diese	šo	dies	šis	PRO;NOM;FEM;SG	PRO;ACC;MASC;SG
diese	šīs	dies	šī	PRO;NOM;FEM;SG	PRO;NOM;FEM;PL
diese	šie	dies	šis	PRO;NOM;FEM;SG	PRO;NOM;MASC;PL
vom	vom	vom	vom		
kann	var	können	varēt	V;IND;SG;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
kann	drīkst	können	drīkstēt	V;IND;SG;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
kann	maijs	können	maijs	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
kann	var	können	varēt	V;IND;SG;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
kann	varam	können	varēt	V;IND;SG;3;PRS;FIN	V;FH;IND;PL;1;POS;PRS;FIN;ACT
seine	viņa	sein	viņa	DET;NOM;FEM;SG	PRO;NOM;FEM;SG;3
seine	tās	sein	tā	DET;NOM;FEM;SG	PRO;NOM;FEM;PL
seine	vads	sein	vads	DET;NOM;FEM;SG	N;NOM;MASC;SG
seine	vadi	sein	vads	DET;NOM;FEM;SG	N;NOM;MASC;PL
dieser	šo	dies	šis	PRO;NOM;MASC;SG	PRO;ACC;MASC;SG
jahr	gadu	Jahr	gads	N;NOM;NEUT;SG	N;ACC;MASC;SG
wenn	kad	wenn	kad	CONJ	ADV
seiner	viņa	sein	viņa	DET;NOM;MASC;SG	PRO;NOM;FEM;SG;3
seiner	tās	sein	tā	DET;NOM;MASC;SG	PRO;NOM;FEM;PL
jahre	yrs	jahren	yrs	ADV	
jahre	gadu	jahren	gads	ADV	N;ACC;MASC;SG
jahre	gads	jahren	gads	ADV	N;NOM;MASC;SG
jahre	gadus	jahren	gads	ADV	N;ACC;MASC;PL
