terry	테리	terry	테리	PROPN;NOM;MASC;SG	
sockel	cap	sockel	cap		
sockel	소켓	sockel	소켓		N
sockel	lga	sockel	lga		
sockel	소켓	sockel	소켓		N
erlaubte	허용	erlauben	허용	V;IND;SG;3;PST;FIN	
traditionen	전통	tradition	전통	V;NFIN	
traditionen	전통	tradition	전통	V;NFIN	
hunde	개들	hund	개+들		N
verfolgen	트래킹	verfolgen	트래킹	V;NFIN	
verfolgen	추적	verfolgen	추적	V;NFIN	N
girls	소녀	girls	소녀	PROPN	N
girls	소녀들	girls	소녀+들	PROPN	N
girls	걸스	girls	걸스	PROPN	N
unit	유닛	unit	유닛		
unit	unit	unit	unit		
unit	단위	unit	단위		
fett	그리스	fett	그리스		PROPN
fett	대담	fett	대담		N
fett	지방	fett	지방		N
direkter	직접	direkt	직접	ADJ	
direkter	직통	direkt	직통	ADJ	N
direkter	direct	direkt	direct	ADJ	
direkter	다이렉트	direkt	다이렉트	ADJ	N
anzeigen	표시	anzeigen	표시	V;NFIN	
anzeigen	디스플레이	anzeigen	디스플레이	V;NFIN	N
anzeigen	조회	anzeigen	조회	V;NFIN	
anzeigen	광고	anzeigen	광고	V;NFIN	N
anzeigen	표시	anzeigen	표시	V;NFIN	
anzeigen	공연	anzeigen	공연	V;NFIN	N
alain	알랭	alain	알+이+ㄹ	PROPN;NOM;MASC;SG	
blättern	나뭇잎	blättern	나뭇잎	V;NFIN	N
blättern	리프	blättern	리프	V;NFIN	
blättern	나뭇잎	blättern	나뭇잎	V;NFIN	N
blättern	잎새	blättern	잎새	V;NFIN	
blättern	스크롤	blättern	스크롤	V;NFIN	
blättern	스크롤	blättern	스크롤	V;NFIN	
angetrieben	전원	antreiben	전원	V;V.PTCP	N
wiederholen	반복	wiederholen	반복	V;NFIN	N
wiederholen	반복	wiederholen	반복	V;NFIN	N
wiederholen	다시보기	wiederholen	다시+보+기	V;NFIN	
wiederholen	리플레이	wiederholen	리플레이	V;NFIN	
wiederholen	재생	wiederholen	재생	V;NFIN	N
astronomie	천문학	astronomie	천문학		N
stadtzentrum	다운타운	stadtzentrum	다운데우+ㄴ	V;V.PTCP	
stadtzentrum	시내	stadtzentrum	시내	V;V.PTCP	N
stadtzentrum	중앙	stadtzentrum	중앙	V;V.PTCP	N
stadtzentrum	센터	stadtzentrum	센터	V;V.PTCP	
decke	천장	decken	천장		N
decke	이불	decken	이불		N
decke	천장	decken	천장		N
decke	지붕	decken	지붕		N
wohnt	생명	wohnen	생명	V;IND;SG;3;PRS;FIN	N
schritte	발자취	schritt	발자취		N
schritte	단계	schritt	단계		N
wachsenden	growing	wachsend	growing	V;PL;FIN	
wachsenden	성장	wachsend	성장	V;PL;FIN	N
wachsenden	자라고	wachsend	자라+고	V;PL;FIN	
geschafft	made	schaffen	made	V;V.PTCP	
geschafft	만든	schaffen	만들+ㄴ	V;V.PTCP	
geschafft	완료	schaffen	완료	V;V.PTCP	N
globe	글로브	glob	글로브	PROPN;NOM;SG	
ulrike	사라	ulrike	사라	PROPN;NOM;FEM;SG	
ulrike	새라	ulrike	새+이+라	PROPN;NOM;FEM;SG	
ulrike	세라	ulrike	세라	PROPN;NOM;FEM;SG	
ulrike	율리아	ulrike	율리아	PROPN;NOM;FEM;SG	
ulrike	쥘리아	ulrike	쥘리아	PROPN;NOM;FEM;SG	
ulrike	줄리아	ulrike	줄리아	PROPN;NOM;FEM;SG	
nicholas	니컬러스	nicholas	니컬러스	PROPN;NOM;SG	PROPN
nicholas	니콜라스	nicholas	니콜라스	PROPN;NOM;SG	PROPN
nicholas	니콜라우스	nicholas	니콜라우스	PROPN;NOM;SG	PROPN
jubiläum	주빌리	jubiläum	주빌리	N;NOM;NEUT;SG	
jubiläum	기념일	jubiläum	기념일	N;NOM;NEUT;SG	
jubiläum	기념일	jubiläum	기념일	N;NOM;NEUT;SG	
schnabel	부리	schnabel	부리	ADJ	
schriftlich	서면	schriftlich	서+면	ADJ	
schriftlich	쓰기	schriftlich	쓰+기	ADJ	V
schriftlich	글쓰기	schriftlich	글쓰기	ADJ	V
palästina	팔레스타인	palästina	팔레스타인	PROPN;NOM;SG	PROPN
palästina	팔레스타인인	palästina	팔레스타인인	PROPN;NOM;SG	V
palästina	팔레스타인	palästina	팔레스타인	PROPN;NOM;SG	PROPN
palästina	팔레스타인인	palästina	팔레스타인인	PROPN;NOM;SG	V
klärung	해명	klärung	해명	ADJ	N
angewandt	응용	anwenden	응용	V;V.PTCP	N
still	아직도	still	아직도	ADJ	ADV
still	여전히	still	여전+히	ADJ	ADV
vorgaben	기본값	vorgeben	기본값	V;NFIN	N
beobachter	관측자	beobachter	관측자	ADJ	
beobachter	관찰자	beobachter	관찰자	ADJ	
beobachter	옵서버	beobachter	옵서버	ADJ	
beobachter	모니터	beobachter	모니터	ADJ	
beobachter	옵저버	beobachter	옵저버	ADJ	
beobachter	관찰자	beobachter	관찰자	ADJ	
beobachter	옵서버	beobachter	옵서버	ADJ	
bilanz	밸런스	bilanz	밸런스		N
bilanz	잔액	bilanz	잔액		N
produkten	상품	produkt	상품	V;IND;PL;3;FIN	N
produkten	제품	produkt	제품	V;IND;PL;3;FIN	N
indirekt	간접	indirekt	간접	ADJ	
mtv	mtv	mtv	mtv	PROPN;NOM	
alias	별칭	alias	별칭	PROPN;NOM;SG	N
alias	별명	alias	별명	PROPN;NOM;SG	
alias	aka	alias	aka	PROPN;NOM;SG	
bestätigung	확인하기	Bestätigung	확인+하+기	N;NOM;FEM;SG	V
mühlen	밀스	mühlen	밀스	V;NFIN	
wiederherstellen	복구	wiederherstellen	복구	V;NFIN	N
wiederherstellen	복원	wiederherstellen	복원	V;NFIN	N
wiederherstellen	복구	wiederherstellen	복구	V;NFIN	N
wiederherstellen	회복	wiederherstellen	회복	V;NFIN	N
massaker	학살	massaker	학살	ADJ	N
suffix	접미사	suffix	접미사	ADJ	
rudolph	루돌프	rudolph	루돌프	PROPN;NOM;MASC;SG	PROPN
beseitigt	탈락	beseitigen	탈락	V;V.PTCP	N
matrix	어레이	matrix	어레이	PROPN	N
matrix	배열	matrix	배열	PROPN	N
matrix	매트릭스	matrix	매트릭스	PROPN	
matrix	행렬	matrix	행렬	PROPN	N
ähnlichkeit	닮음	ähnlichkeit	닮음	ADJ	
empfehlung	추천	empfehlung	추천	N;NOM;FEM;SG	
empfehlung	권장	empfehlung	권장	N;NOM;FEM;SG	
landung	터치다운	landung	터치다우+ㄴ	N;NOM;FEM;SG	
landung	랜딩	landung	랜딩	N;NOM;FEM;SG	
sozialer	사회주의	sozial	사회주의	ADJ	N
sozialer	사회	sozial	사회	ADJ	N
sozialer	사회적	sozial	사회+적	ADJ	N
