arsenal	arsenalul	arsenal	arsenal	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
mechanické	mecanice	mechanický	mecanic	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;PL
mechanické	mecanică	mechanický	mecanic	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;FEM;SG
bohatá	bogata	bohatý	bogat	ADJ;NOM;FEM;SG;POS	ADJ;DEF;FEM;SG
bohatá	bogată	bohatý	bogat	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
bohatá	rich	bohatý	rich	ADJ;NOM;FEM;SG;POS	PROPN
ubytování	cazare	ubytování	cazare	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
ubytování	pensiuni	ubytování	pensiune	N;NOM;NEUT;SG;POS	N;INDF;FEM;PL
středem	centrat	střed	centra	N;INAN;INS;MASC;SG;POS	ADJ;INDF;MASC;SG
odpovědnost	responsabilitate	odpovědnost	responsabilitate	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
odpovědnost	răspundere	odpovědnost	răspundere	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
odpovědnost	răspunderea	odpovědnost	răspundere	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
odpovědnost	responsabilități	odpovědnost	responsabilitate	N;NOM;FEM;SG;POS	N;INDF;FEM;PL
odpovědnost	responsabilitățile	odpovědnost	responsabilitate	N;NOM;FEM;SG;POS	N;DEF;FEM;PL
odpovědnost	responsabilitatea	odpovědnost	responsabilitate	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
odpovědnost	responsabilitate	odpovědnost	responsabilitate	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
odpovědnost	responsabilitate	odpovědnost	responsabilitate	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
rosa	rosa	rosa	rosa	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
rosa	rouă	rosa	rou	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
rosa	roua	rosa	rou	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
mtv	mtv	mtv	mtv	PROPN;NEUT;POS	N
šestnáct	sixteen	šestnáct	sixteen	NUM;NOM;SG	
notre	notre	notre	motru	PROPN;FEM;SG;POS	N;INDF;MASC;SG
sainte	sainte	sainte	sainte	PROPN;NOM;FEM;SG;POS	PROPN
implementace	implementarea	implementace	implementare	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
implementace	implementare	implementace	implementare	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
head	capul	haad	cap	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;SG
rob	rob	rob	rob	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
provádění	implementarea	provádění	implementare	N;NOM;NEUT;SG;POS	N;DEF;FEM;SG
provádění	implementare	provádění	implementare	N;NOM;NEUT;SG;POS	N;INDF;FEM;SG
simona	simon	simon	simon	N;NOM;FEM;SG;POS	PROPN
simona	simona	simon	simona	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
sopky	vulcanii	sopka	vulcan	N;NOM;FEM;PL;POS	N;DEF;MASC;PL
harold	harold	harold	harold	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
pohřeb	înmormântare	pohřeb	înmormântare	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
pohřeb	înmormântare	pohřeb	înmormântare	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;SG
pohřeb	funeralii	pohřeb	funeralii	N;INAN;NOM;MASC;SG;POS	N;DEF;MASC;PL
pohřeb	înmormântarea	pohřeb	înmormântare	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;SG
pohřeb	funeraliile	pohřeb	funeralii	N;INAN;NOM;MASC;SG;POS	N;DEF;FEM;PL
pouště	deșert	poušť	deșert	N;NOM;FEM;PL;POS	N;INDF;MASC;SG
pouště	deşertul	poušť	decert	N;NOM;FEM;PL;POS	N;DEF;MASC;SG
pouště	desert	poušť	desert	N;NOM;FEM;PL;POS	N;INDF;MASC;SG
rusové	rusii	rus	rus	PROPN;ANIM;NOM;MASC;PL;POS	N;DEF;MASC;PL
rusové	rusi	rus	rus	PROPN;ANIM;NOM;MASC;PL;POS	N;INDF;MASC;PL
rusové	ruși	rus	rus	PROPN;ANIM;NOM;MASC;PL;POS	N;INDF;MASC;PL
ferrer	ferrer	ferrer	ferrer	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
použité	folosit	použitý	folosit	ADJ;NOM;MASC;PL;POS	ADJ;INDF;MASC;SG
použité	folosită	použitý	folosit	ADJ;NOM;MASC;PL;POS	ADJ;INDF;FEM;SG
použité	utilizată	použitý	utiliza	ADJ;NOM;MASC;PL;POS	ADJ;INDF;FEM;SG
použité	utilizat	použitý	utilizat	ADJ;NOM;MASC;PL;POS	ADJ;INDF;MASC;SG
luisa	luisa	luis	luisă	PROPN;NOM;FEM;SG;POS	N;DEF;FEM;SG
nejnovější	ultimele	nový	ultim	ADJ;NOM;RL;MASC;SG;POS	NUM;DEF;FEM;PL
special	specială	special	special	N;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
special	speciala	special	special	N;INAN;NOM;MASC;SG;POS	ADJ;DEF;FEM;SG
special	speciale	special	special	N;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
special	special	special	special	N;INAN;NOM;MASC;SG;POS	ADV
stínu	umbră	stín	umbră	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;SG
stínu	umbra	stín	umbră	N;INAN;GEN;MASC;SG;POS	N;DEF;FEM;SG
stínu	umbră	stín	umbră	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;SG
stínu	umbra	stín	umbră	N;INAN;GEN;MASC;SG;POS	N;DEF;FEM;SG
náročné	cerând	náročný	cere	ADJ;NOM;NEUT;SG;POS	V;V.MSDR
kompatibilní	compatibile	kompatibilní	compatibil	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
kompatibilní	compatibilă	kompatibilní	compatibil	ADJ;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
technologii	tehnologie	technologie	tehnologie	N;ACC;FEM;SG;POS	N;INDF;FEM;SG
technologii	tehnologii	technologie	tehnologie	N;ACC;FEM;SG;POS	N;INDF;FEM;PL
technologii	tehnologia	technologie	tehnologie	N;ACC;FEM;SG;POS	N;DEF;FEM;SG
lang	lang	lang	lang	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
clark	clark	clark	clark	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
ekonomický	economică	ekonomický	economic	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
ekonomický	economice	ekonomický	economic	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;PL
ekonomický	economică	ekonomický	economic	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
hledal	căutat	hledat	căuta	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	ADJ;INDF;MASC;SG
hledal	căutate	hledat	căutate	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	ADJ;INDF;FEM;PL
hledal	căutată	hledat	căuta	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	ADJ;INDF;FEM;SG
porážka	sacrificare	porážka	sacrificare	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
porážka	înfrângere	porážka	înfrângere	N;NOM;FEM;SG;POS	N;INDF;FEM;SG
porážka	înfrângerea	porážka	înfrângere	N;NOM;FEM;SG;POS	N;DEF;FEM;SG
obojí	amandoua	obojí	amandoi	ADJ;NOM;MASC;SG	
obojí	amândoi	obojí	amândoi	ADJ;NOM;MASC;SG	NUM;MASC;PL
obojí	ambele	obojí	ambii	ADJ;NOM;MASC;SG	NUM;FEM;PL
obojí	amândouă	obojí	amândoi	ADJ;NOM;MASC;SG	NUM;FEM;PL
lisa	lisa	lisa	lisa	PROPN;NOM;FEM;SG;POS	N;DEF;FEM;SG
jay	jay	jay	jay	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
masivu	masivul	masiv	masiv	N;INAN;GEN;MASC;SG;POS	N;DEF;MASC;SG
eagle	eagle	eagle	eaglă	ADJ;POS	
eagle	vultur	eagle	vultur	ADJ;POS	N;INDF;MASC;SG
eagle	vulturul	eagle	vultur	ADJ;POS	N;DEF;MASC;SG
naznačuje	indică	naznačovat	indica	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PST;FIN
andersson	andersson	andersson	andersson	PROPN;ANIM;NOM;MASC;SG;POS	PROPN
věřící	credincios	věřící	credincios	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	N;INDF;MASC;SG
rytíři	cavalerilor	rytíř	cavaler	N;ANIM;NOM;MASC;PL;POS	N;DEF;FEM;PL
rytíři	cavalerii	rytíř	cavaler	N;ANIM;NOM;MASC;PL;POS	N;DEF;MASC;PL
rytíři	knight	rytíř	knight	N;ANIM;NOM;MASC;PL;POS	PROPN
rytíři	cavaler	rytíř	cavaler	N;ANIM;NOM;MASC;PL;POS	N;INDF;MASC;SG
rytíři	cavalerul	rytíř	cavaler	N;ANIM;NOM;MASC;PL;POS	N;DEF;MASC;SG
profesní	profesională	profesní	profesional	ADJ;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
