oli	ήταν	olla	είμαι	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
hän	αυτή	hän	αυτός	PRO;NOM;SG;3	PRO;NOM;FEM;SG;3
hän	εκείνη	hän	εκείνος	PRO;NOM;SG;3	PRO;ACC;FEM;SG;3
vuonna	ετος	vuosi	ετος	N;FRML;SG	N;NOM;NEUT;SG
vuonna	έτος	vuosi	έτος	N;FRML;SG	N;ACC;NEUT;SG
vuonna	χρονιά	vuosi	χρονιά	N;FRML;SG	N;ACC;FEM;SG
joka	ποιος	joka	ποιος	PRO;NOM;SG	DET;NOM;DEF;MASC;SG
joka	που	joka	που	PRO;NOM;SG	PRO;ACC;NEUT;SG;3
kello	δείτε	kello	βλέπω	N;NOM;SG	V;PFV;IMP;PL;2;FIN;ACT
että	αυτό	että	αυτός	CONJ	PRO;NOM;NEUT;SG;3
että	that	että	that	CONJ	
mutta	αλλα	mutta	αλλα	CONJ	ADV
mutta	μα	mutta	μα	CONJ	ADV
sen	its	se	its	PRO;GEN;SG	
kanssa	με	kanssa	με	ADV	ADP
suomen	φινλανδική	suomi	φινλανδικός	N;GEN;SG	ADJ;NOM;FEM;SG
vuoden	ετος	vuosi	ετος	N;GEN;SG	N;NOM;NEUT;SG
vuoden	έτος	vuosi	έτος	N;GEN;SG	N;ACC;NEUT;SG
vuoden	χρονιά	vuosi	χρονιά	N;GEN;SG	N;ACC;FEM;SG
kun	πότε	kun	πότε	CONJ	ADV
kuin	όπως	kuin	όπως	CONJ	ADV
kuin	οπως	kuin	οπως	CONJ	ADV
kuin	like	kuin	like	CONJ	
kuin	σαν	kuin	σαν	CONJ	ADV
ole	όλε	olla	όλε	V;IMP;SG;2;FIN;ACT	
mukaan	με	mukaan	με	ADV	ADP
jonka	ποιανού	joka	ποιανός	PRO;GEN;SG	PRO;NOM;MASC;SG;3
jonka	τίνος	joka	τίνος	PRO;GEN;SG	PRO;GEN;NEUT;SG;3
jonka	ποιου	joka	ποιος	PRO;GEN;SG	DET;NOM;DEF;MASC;SG
jonka	που	joka	που	PRO;GEN;SG	PRO;ACC;NEUT;SG;3
jossa	όπου	joka	όπου	PRO;IN+ESS;SG	ADV
jossa	πού	joka	πού	PRO;IN+ESS;SG	ADV
kuitenkin	ωστόσο	kuitenkin	ωστόσο	ADV	CONJ
voi	μάη	voi	μάη	INTJ	ADP
voi	μάιος	voi	μάιος	INTJ	N;NOM;MASC;SG
voi	μέι	voi	μέι	INTJ	
voi	μάης	voi	μάος	INTJ	N;NOM;MASC;SG
voi	can	voi	can	INTJ	
voi	μπορεί	voi	μπορώ	INTJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
eli	ιλάι	eli	ιλάι	CONJ	N
eli	eli	eli	eli	CONJ	
lisäksi	συν	lisäksi	συν	ADV	N
lisäksi	plus	lisäksi	plus	ADV	
jotka	που	joka	που	PRO;NOM;PL	PRO;ACC;NEUT;SG;3
tavua	συλλαβές	tavuta	συλλαβή	N;PRT;SG	N;NOM;FEM;PL
tavua	bytes	tavuta	bytes	N;PRT;SG	
kaksi	δυο	kaksi	δύο	NUM;NOM;SG	NUM;NOM;PL
kaksi	two	kaksi	two	NUM;NOM;SG	
kaksi	δύο	kaksi	δύο	NUM;NOM;SG	NUM;NOM;MASC;PL
hänet	αυτόν	hän	αυτός	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
tuli	φωτιά	tulla	φωτιό	V;IND;SG;0;PST;FIN;ACT	N;ACC;FEM;SG
tuli	πυρ	tulla	πυρ	V;IND;SG;0;PST;FIN;ACT	N;NOM;NEUT;SG
tuli	φωτια	tulla	φωτι	V;IND;SG;0;PST;FIN;ACT	N;NOM;FEM;SG
tuli	πυρκαγιά	tulla	πυρκαγιά	V;IND;SG;0;PST;FIN;ACT	N;NOM;FEM;SG
tuli	ήρθε	tulla	έρχομαι	V;IND;SG;0;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
yksi	ένας	yksi	ένας	NUM;NOM;SG	DET;NOM;INDF;MASC;SG
yksi	ενα	yksi	ένας	NUM;NOM;SG	N;NOM;NEUT;SG
voitti	ηττήθηκε	voittaa	ηττώμαι	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
voitti	κέρδισα	voittaa	κέρδισα	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
voitti	γουόν	voittaa	γουόν	V;IND;SG;3;PST;FIN;ACT	
tulos	αποτελέσματα	tulos	αποτέλεσμα	N;NOM;SG	N;NOM;NEUT;PL
tulos	αποτέλεσμα	tulos	αποτέλεσμα	N;NOM;SG	N;ACC;NEUT;SG
tulos	έκβαση	tulos	έκβαση	N;NOM;SG	N;ACC;FEM;SG
tulos	αποτέλεσμα	tulos	αποτέλεσμα	N;NOM;SG	N;ACC;NEUT;SG
suomalainen	finn	suomalainen	finn	ADJ;NOM;SG	
suomalainen	φιν	suomalainen	φιν	ADJ;NOM;SG	
kuten	όπως	kuten	όπως	CONJ	ADV
kuten	οπως	kuten	οπως	CONJ	ADV
kuten	like	kuten	like	CONJ	
kuten	σαν	kuten	σαν	CONJ	ADV
toimi	δραση	toimia	δραση	V;IMP;SG;2;FIN;ACT	N;NOM;FEM;SG
toimi	δράση	toimia	δράση	V;IMP;SG;2;FIN;ACT	N;NOM;FEM;SG
toimi	δράσης	toimia	δράση	V;IMP;SG;2;FIN;ACT	N;GEN;FEM;SG
toimi	action	toimia	action	V;IMP;SG;2;FIN;ACT	
toimi	πράξη	toimia	πράξη	V;IMP;SG;2;FIN;ACT	N;ACC;FEM;SG
toimi	act	toimia	act	V;IMP;SG;2;FIN;ACT	
wikipedia	wikipedia	wikipedia	wikipedia	N;NOM;SG	
ensimmäinen	πρώτο	ensimmäinen	πρώτος	ADJ;NOM;SG	NUM;NOM;NEUT;SG
ensimmäinen	πρώτον	ensimmäinen	πρώτον	ADJ;NOM;SG	ADV
ensimmäinen	πρώτη	ensimmäinen	πρώτος	ADJ;NOM;SG	NUM;NOM;FEM;SG
ensimmäinen	πρώτα	ensimmäinen	πρώτα	ADJ;NOM;SG	ADV
ensimmäinen	πρώτος	ensimmäinen	πρώτος	ADJ;NOM;SG	NUM;NOM;MASC;SG
ennen	πρίν	ennen	πρίν	ADV	N
tämän	αυτο	tämä	αυτός	PRO;GEN;SG	PRO;NOM;NEUT;SG;3
tämän	αυτό	tämä	αυτός	PRO;GEN;SG	PRO;NOM;NEUT;SG;3
osa	μερικές	osa	μερικοί	N;NOM;SG	PRO;NOM;FEM;PL;3
osa	κάποια	osa	κάποιος	N;NOM;SG	PRO;NOM;NEUT;PL;3
osa	κάποιοι	osa	κάποιος	N;NOM;SG	PRO;NOM;MASC;PL;3
