poesie	poesía	poesie	poesía		N
vorläufig	temporalmente	vorläufig	témporal	ADJ	ADV
demnächst	en	demnächst	en	ADV	ADP
demnächst	canto	demnächst	canto	ADV	PRO
abgetrennt	separadas	abtrennen	separar	V;V.PTCP	ADJ
discovery	descubrimento	discovery	descubrimento		N
ted	ted	ted	ted	PROPN;NOM;MASC;SG	PROPN
quelltext	código	quelltext	código	V;IND;SG;3;PST;FIN	N
quelltext	code	quelltext	coder	V;IND;SG;3;PST;FIN	PROPN
isoliert	illado	isolieren	illar	ADJ;V.PTCP	V
isoliert	illada	isolieren	illado	ADJ;V.PTCP	V
erfassen	a	erfassen	o	V;NFIN	DET
gestein	de	gestein	de		ADP
gestein	pedra	gestein	pedra		N
gestein	a	gestein	o		DET
gestein	rochas	gestein	rocha		N
gestein	xeo	gestein	xeo		N
gestein	pedras	gestein	pedra		N
gestein	rocha	gestein	rocha		N
gestein	pedra	gestein	pedra		N
gestein	rock	gestein	rock		N
gestein	de	gestein	de		ADP
arbeitsplätze	traballo	arbeitsplatz	traballo	ADJ;NOM;FEM;PL	N
arbeitsplätze	traballos	arbeitsplatz	traballo	ADJ;NOM;FEM;PL	N
arbeitsplätze	traballo	arbeitsplatz	traballo	ADJ;NOM;FEM;PL	N
rückgang	declive	rückgang	declivir	ADJ	N
rückgang	diminución	rückgang	diminución	ADJ	N
rückgang	diminúe	rückgang	diminuír	ADJ	V
kürzlich	hai	kürzlich	haber	ADV	V
kürzlich	recente	kürzlich	recente	ADV	ADJ
kürzlich	recentes	kürzlich	recente	ADV	ADJ
kürzlich	últimos	kürzlich	último	ADV	ADJ
muttersprache	onde	muttersprechen	onde	ADJ;NOM;SG	PRO
muttersprache	terra	muttersprechen	terra	ADJ;NOM;SG	N
beleuchtung	as	beleuchtung	o	N;SG	DET
beleuchtung	apaguen	beleuchtung	apaguír	N;SG	V
zivilisten	civil	zivilist	civil		ADJ
zivilisten	civís	zivilist	civir		N
zivilisten	xente	zivilist	xente		N
tötet	a	töten	o	V;IND;SG;3;PRS;FIN	DET
zeitliche	lóbulo	zeitlich	lóbulo	ADJ;NOM;FEM;PL	N
aktiviert	activa	aktivieren	activo	ADJ;V.PTCP	N
spontan	espontaneamente	spontan	espontaneamente	ADJ	ADV
spezial	especial	spezial	especial		ADJ
spezial	especiais	spezial	especial		ADJ
heavy	pesada	heavy	pesar	PROPN	ADJ
heavy	pesados	heavy	pesar	PROPN	V
heavy	pesado	heavy	pesar	PROPN	ADJ
heavy	forte	heavy	forte	PROPN	ADJ
heavy	pesa	heavy	pesar	PROPN	V
heavy	moito	heavy	moito	PROPN	ADV
heavy	peso	heavy	peso	PROPN	N
heavy	intenso	heavy	intenso	PROPN	ADJ
filialen	almacéns	filialen	almacén	ADJ;PL	N
filialen	depósitos	filialen	depósito	ADJ;PL	N
filialen	provisións	filialen	provisión	ADJ;PL	N
wirksam	efectivos	wirksam	efectivo	ADJ	N
wirksam	a	wirksam	o	ADJ	DET
key	clave	key	clave		N
key	chave	key	chave		N
scheidung	divorcio	scheidung	divorcio	PROPN	N
scheidung	o	scheidung	o	PROPN	DET
scheidung	divorciar	scheidung	divorciar	PROPN	V
afrikanische	áfrica	afrikanisch	áfrica	ADJ;NOM;FEM;PL	PROPN
rauch	fume	rauch	fumir		N
rauch	fumar	rauch	fumar		V
rauch	para	rauch	para		ADP
rauch	fumo	rauch	fumo		N
bergland	terras	bergland	terra		N
bergland	altas	bergland	alto		ADJ
treue	lealdade	treu	lealdade	ADJ;NOM	N
bird	paxaro	bied	paxaro	PROPN;SG	N
bird	aves	bied	ave	PROPN;SG	N
bird	ave	bied	ave	PROPN;SG	N
künstlerisch	artística	künstlerisch	artístico	ADJ	N
programmen	programas	programm	programa	V;NFIN	N
boxen	caixas	boxen	caixa	V;NFIN	N
boxen	palcos	boxen	palco	V;NFIN	N
wachsende	de	wachsend	de	ADJ;NOM;FEM;PL	ADP
wachsende	medrando	wachsend	medrar	ADJ;NOM;FEM;PL	V
wachsende	medrar	wachsend	medrar	ADJ;NOM;FEM;PL	V
wachsende	crecemento	wachsend	crecemento	ADJ;NOM;FEM;PL	N
wachsende	crecendo	wachsend	crecer	ADJ;NOM;FEM;PL	V
wachsende	medra	wachsend	medra	ADJ;NOM;FEM;PL	N
wachsende	aumentar	wachsend	aumentar	ADJ;NOM;FEM;PL	V
dunkler	escuridade	dunkel	escuridade	ADJ	N
dunkler	noite	dunkel	noite	ADJ	N
erinnere	que	erinner	que	V;SG;FIN	PRO
erinnere	lémbrolle	erinner	lémbrolle	V;SG;FIN	PROPN
erinnere	lembrareille	erinner	lembrareille	V;SG;FIN	N
erinnere	lembrarlle	erinner	lembrarlle	V;SG;FIN	N
erinnere	lembrarlles	erinner	lembrarle	V;SG;FIN	N
rex	rex	rex	rex		PROPN
schloß	castelo	schließen	castelo		N
reporter	xornalista	reporter	xornalista	ADJ	N
reporter	reporteiro	reporter	reporteiro	ADJ	N
reporter	xornalistas	reporter	xornalista	ADJ	N
woanders	outra	woanders	outro	ADV	DET
identifizieren	identificalos	identifizieren	identificalo	V;NFIN	N
identifizieren	identifiques	identifizieren	identifique	V;NFIN	N
identifizieren	que	identifizieren	que	V;NFIN	PRO
nagel	cravo	nagel	cravo		N
grauen	gris	grau	gris		PROPN
grauen	gris	grau	gris		PROPN
grauen	é	grau	ser		V
move	mover	move	mover		V
move	moverse	move	moverse		PROPN
move	a	move	o		DET
fliegt	moscas	fliegen	mosco	V;IND;SG;3;PRS;FIN	N
teuer	caro	teuer	caro	ADJ	N
teuer	cara	teuer	cara	ADJ	N
niederlassung	oficina	niederlassung	oficinar	ADJ	N
niederlassung	despacho	niederlassung	despacho	ADJ	N
niederlassung	correo	niederlassung	correo	ADJ	N
niederlassung	póla	niederlassung	póla	ADJ	N
niederlassung	sucursal	niederlassung	sucursal	ADJ	N
vorfall	incidente	vorfallen	incidente	ADJ	N
vorfall	accidente	vorfallen	accidente	ADJ	N
triumph	triunfo	triumph	triunfo	PROPN	N
fließen	fluxo	fließen	fluxo	V;NFIN	N
fließen	transmisión	fließen	transmisión	V;NFIN	N
turn	a	turn	o	PROPN	DET
beitritt	de	beitreten	de	V;IND;SG;3;FIN	ADP
chirurgie	cirurxía	chirurgie	cirurxía		N
paradies	o	paradies	o	N;NOM;NEUT;SG	DET
präsidentin	presidente	präsidentin	presidente	ADJ	N
präsidentin	vicepresidente	präsidentin	vicepresidente	ADJ	N
präsidentin	o	präsidentin	o	ADJ	DET
grundlegenden	fundamental	grundlegend	fundamental	V;FIN	ADJ
grundlegenden	básica	grundlegend	básico	V;FIN	ADJ
grundlegenden	básicos	grundlegend	básico	V;FIN	ADJ
grundlegenden	básico	grundlegend	básico	V;FIN	ADJ
grundlegenden	básicas	grundlegend	básico	V;FIN	ADJ
grundlegenden	as	grundlegend	o	V;FIN	DET
frucht	froita	fruchen	froita	PROPN	N
baseball	béisbol	baseball	béisbol	ADJ	N
selbe	mesmo	selb	mesmo		DET
selbe	mesmas	selb	mesmo		DET
selbe	mesma	selb	mesmo		DET
schnittstelle	interface	schnittstellen	interface	ADJ;NOM;FEM;SG	N
schnittstelle	usuario	schnittstellen	usuario	ADJ;NOM;FEM;SG	N
schnittstelle	interfaces	schnittstellen	interface	ADJ;NOM;FEM;SG	N
feststellung	determinación	feststellung	determinación	ADJ	N
abwechselnd	resulta	abwechselnd	resultar	ADJ	V
abwechselnd	que	abwechselnd	que	ADJ	PRO
abwechselnd	volta	abwechselnd	volta	ADJ	N
vetter	primo	vett	primo		N
vetter	curmán	vett	curmán		N
wissenschaftlern	os	wissenschaftlern	o	ADJ	DET
wissenschaftlern	sociólogos	wissenschaftlern	sociólogo	ADJ	N
nachmittag	tarde	nachmittag	tarde	ADV	N
nachmittag	bos	nachmittag	bo	ADV	N
nachmittag	tardes	nachmittag	tarde	ADV	N
nachmittag	serán	nachmittag	ser	ADV	V
präsentieren	actual	präsentieren	actual	V;NFIN	ADJ
präsentieren	presente	präsentieren	presente	V;NFIN	ADJ
präsentieren	presentes	präsentieren	presente	V;NFIN	ADJ
präsentieren	agasallo	präsentieren	agasallo	V;NFIN	N
konsequenz	consecuencia	konsequenz	consecuencia	ADV	N
globalen	de	global	de	ADJ	ADP
verzicht	rendédevos	verzichen	rendédevo	V;IND;SG;3;FIN	N
lächerlich	ridícula	lächerlich	ridícula	ADJ	N
lächerlich	ridículo	lächerlich	ridículo	ADJ	N
friedens	paz	friedens	paz		N
friedens	a	friedens	o		DET
reale	de	real	de	ADJ;NOM;FEM;PL	ADP
reale	verdade	real	verdade	ADJ;NOM;FEM;PL	N
wandern	pola	wandern	pola	V;NFIN	N
wandern	polas	wandern	pola	V;NFIN	N
vorgelegt	a	vorlegen	o	V;V.PTCP	DET
anmelden	rexistro	anmelden	rexistro	V;NFIN	N
hmm	hmm	hmm	hmm		PROPN
investitionen	investimento	investitionen	investimento	V;NFIN	N
normaler	normais	normal	normal	ADJ	N
bureau	despacho	bureau	despacho	PROPN;NOM;SG	N
bestrebungen	aspiracións	bestrebungen	aspiración	V;NFIN	N
hypothese	hipótese	hypothese	hipótese		N
killer	asasinos	kill	asasino	PROPN	N
killer	asasino	kill	asasino	PROPN	N
killer	do	kill	do	PROPN	PROPN
margarethe	margaret	margarethe	margaret	ADJ	V
spirit	espírito	spirit	espírito	PROPN;NOM;SG	N
spirit	o	spirit	o	PROPN;NOM;SG	DET
spirit	déixate	spirit	déixate	PROPN;NOM;SG	V
keines	ningunha	kein	ningún	ADV	DET
keines	nada	kein	nada	ADV	PRO
keines	ningún	kein	ningún	ADV	DET
keines	non	kein	non	ADV	PART
keines	é	kein	ser	ADV	V
kleinsten	máis	klein	máis	ADJ;PL	ADV
symphony	sinfonía	symphony	sinfonía		N
bein	perna	bein	perna		N
bein	pernas	bein	perna		N
bein	unha	bein	un		DET
bein	pata	bein	pata		N
erklärungen	explicación	erklärung	explicación	V;NFIN	N
verbreiten	a	verbreiten	o	V;NFIN	DET
pyramide	pirámide	pyramide	pirámide		N
gesellschafter	accionistas	gesellschaft	accionista	ADJ	N
gesellschafter	socio	gesellschaft	socio	ADJ	N
geistige	mentais	geistig	mental	ADJ;NOM;FEM;PL	N
fahne	bandeira	fahnen	bandeira		N
logisch	lóxica	logisch	lóxica	ADJ	N
kasten	caixa	kasten	caixa	V;NFIN	N
kasten	palco	kasten	palco	V;NFIN	N
käse	queixo	kassen	queixo		N
ladung	carguen	ladung	carguen	N;SG	V
helfer	voluntarios	helf	voluntario	ADJ	N
gasthaus	inn	gasthaus	inn	PROPN	PROPN
gasthaus	hotel	gasthaus	hotel	PROPN	PROPN
gedichten	poemas	gedicht	poema	V;NFIN	N
kameras	cámaras	kameras	cámara	ADV	N
kameras	cámara	kameras	cámara	ADV	N
kameras	cámaras	kameras	cámara	ADV	N
karibik	caribe	karibik	caribe	PROPN	N
individuell	persoa	individuell	persoa	ADJ	N
individuell	cada	individuell	cada	ADJ	DET
individuell	individuo	individuell	individuo	ADJ	N
individuell	tipo	individuell	tipo	ADJ	N
gloria	gloria	gloria	gloria	PROPN;NOM;SG	N
kranken	enfermo	krank	enfermo	V;NFIN	N
kranken	enfermos	krank	enfermo	V;NFIN	N
kranken	enferma	krank	enferma	V;NFIN	N
kiss	bico	kessen	bico	PROPN;NOM;SG	N
kiss	bícame	kessen	bícame	PROPN;NOM;SG	PROPN
kiss	bicar	kessen	bicar	PROPN;NOM;SG	V
kiss	un	kessen	un	PROPN;NOM;SG	DET
kiss	biquiño	kessen	biquiño	PROPN;NOM;SG	PROPN
sean	sean	sean	sean	PROPN;NOM;MASC;SG	V
ermittlung	investigación	ermittlung	investigación	ADJ	N
fenstern	fiestras	fenstern	fiestra	V;NFIN	N
dankbar	agradecido	dankbar	agradecer	ADJ	V
relation	relación	relation	relación		N
gaststätte	inn	gaststätte	inn	;SG	PROPN
gaststätte	hotel	gaststätte	hotel	;SG	PROPN
gaststätte	bar	gaststätte	bar	;SG	N
gaststätte	restaurante	gaststätte	restaurante	;SG	N
made	fixen	made	facer	PROPN;SG	V
made	fixo	made	facer	PROPN;SG	V
made	feito	made	feito	PROPN;SG	N
geboten	mandamentos	bieten|gebieten	mandamento	V;V.PTCP	N
geboten	poxa	bieten|gebieten	poxa	V;V.PTCP	N
schuldig	culpábeis	schuldig	culpábel	ADJ	N
kiefer	mandíbula	kiefer	mandíbula		N
zar	tsar	zar	tsar		N
mechanischen	mecánica	mechanisch	mecánica	ADJ	N
mechanischen	mecánico	mechanisch	mecánico	ADJ	N
füße	metros	füß	metro		N
füße	os	füß	o		DET
füße	pés	füß	pés		N
füße	pé	füß	pé		N
schmal	delgado	schmal	delgar	ADJ	N
schmal	fraca	schmal	fracar	ADJ	N
schmal	estreito	schmal	estreito	ADJ	N
schmal	slim	schmal	slim	ADJ	PROPN
eugene	eugene	eugen	eugener		PROPN
kompetenzen	habilidades	kompetenz	habilidade	V;NFIN	N
autorität	autoridade	autorität	autoridade		N
lohnt	a	lohnen	o	V;IND;SG;3;PRS;FIN	DET
lohnt	pena	lohnen	pena	V;IND;SG;3;PRS;FIN	N
lohnt	valor	lohnen	valor	V;IND;SG;3;PRS;FIN	N
definitionen	definicións	definition	definición	V;NFIN	N
definitionen	definición	definition	definición	V;NFIN	N
definitionen	de	definition	de	V;NFIN	ADP
nerven	nervios	nerven	nervio		N
nerven	os	nerven	o		DET
nerven	nerviosa	nerven	nervioso		ADJ
nerven	nervioso	nerven	nervioso		ADJ
nerven	nerviosos	nerven	nervioso		ADJ
nerven	nervios	nerven	nervio		N
nerven	nerviosas	nerven	nervioso		ADJ
anonym	anónimos	anonym	anónir		N
wiederholung	repite	wiederholung	repetar	N;NOM;FEM;SG	V
wiederholung	anda	wiederholung	anda	N;NOM;FEM;SG	V
wiederholung	di	wiederholung	dicir	N;NOM;FEM;SG	V
wiederholung	repita	wiederholung	repitir	N;NOM;FEM;SG	V
wiederholung	repito	wiederholung	repito	N;NOM;FEM;SG	V
wiederholung	dígoche	wiederholung	dígoche	N;NOM;FEM;SG	V
kunde	cliente	kund	cliente		N
kunde	cliente	kund	cliente		N
liebt	me	lieben	me	V;IND;SG;3;PRS;FIN	PRO
liebt	quéreme	lieben	quéreme	V;IND;SG;3;PRS;FIN	PROPN
liebt	ama	lieben	ama	V;IND;SG;3;PRS;FIN	N
liebt	quérete	lieben	quérete	V;IND;SG;3;PRS;FIN	PROPN
beschwerden	denuncia	beschwerden	denuncia	V;NFIN	N
gleichgewicht	equilibrio	leichwechen	equilibrio	ADJ	N
gleichgewicht	balance	leichwechen	balance	ADJ	N
gleichgewicht	o	leichwechen	o	ADJ	DET
globale	de	global	de	ADJ;NOM;FEM;PL	ADP
steigerung	incremento	steigerung	incremento	ADJ;NOM;FEM;SG	N
steigerung	aumento	steigerung	aumento	ADJ;NOM;FEM;SG	N
steigerung	a	steigerung	o	ADJ;NOM;FEM;SG	DET
steigerung	incrementar	steigerung	incrementar	ADJ;NOM;FEM;SG	V
steigerung	aumenta	steigerung	aumentar	ADJ;NOM;FEM;SG	V
steigerung	aumentar	steigerung	aumentar	ADJ;NOM;FEM;SG	V
gebrochen	roto	brechen	roto	V;V.PTCP	N
gebrochen	a	brechen	o	V;V.PTCP	DET
gebrochen	rompín	brechen	rompon	V;V.PTCP	PROPN
fahrrad	bicicleta	Fahrrad	bicicleta	ADJ	N
fahrrad	en	Fahrrad	en	ADJ	ADP
fahrrad	moto	Fahrrad	moto	ADJ	PROPN
fahrrad	bici	Fahrrad	bici	ADJ	PROPN
fahrrad	bicicleta	Fahrrad	bicicleta	ADJ	N
fahrrad	en	Fahrrad	en	ADJ	ADP
küsten	costeira	küsten	costeiro	N;PL	ADJ
einsicht	percepción	einsechen	percepción		N
tafeln	mesas	tafeln	mesa		N
abgelegt	toneladas	ablegen	tonelada	V;V.PTCP	N
feature	característica	featur	característica		N
feature	a	featur	o		DET
bomber	bomber	bomber	bomber	PROPN	PROPN
strömung	fluxo	strömung	fluxo	ADJ	N
strömung	transmisión	strömung	transmisión	ADJ	N
empfehle	que	empfehlen	que	V;IND;SG;3;PRS;FIN	PRO
befestigung	arranxar	Befestigung	arranxar	ADJ	V
weltweite	mundo	weltweit	mundo	ADJ;NOM;FEM;PL	N
weltweite	no	weltweit	no	ADJ;NOM;FEM;PL	V
weltweite	de	weltweit	de	ADJ;NOM;FEM;PL	ADP
schwieriger	máis	schwierig	máis	ADJ	ADV
nintendo	nintendo	nintendo	ninter	ADJ	V
grafiken	gráficos	grafik	gráfico	V;NFIN	ADJ
goldenes	de	golden	de	ADJ;NOM;NEUT;SG	ADP
goldenes	ouro	golden	ouro	ADJ;NOM;NEUT;SG	N
bernstein	bernstein	bernstein	bernstein		PROPN
she	ela	she	el	PROPN	PRO
she	que	she	que	PROPN	PRO
wings	as	wings	o	PROPN;NOM;SG	DET
wings	ás	wings	á	PROPN;NOM;SG	N
rekorde	discos	rekord	disco		N
champagne	champaña	champagne	champaña	PROPN;NOM;SG	N
champagne	champán	champagne	champán	PROPN;NOM;SG	PROPN
versprechen	promesa	versprechen	promesar	V;NFIN	N
versprechen	prométolle	versprechen	prométolle	V;NFIN	PROPN
versprechen	prométocho	versprechen	prométocho	V;NFIN	N
innenhof	patio	innenhof	patio	ADV	N
sichere	salvo	sicher	salvo	ADJ;NOM;FEM;PL	ADP
sichere	seguro	sicher	seguro	ADJ;NOM;FEM;PL	N
sichere	seguros	sicher	seguro	ADJ;NOM;FEM;PL	N
sichere	a	sicher	o	ADJ;NOM;FEM;PL	DET
franziskus	francis	franziskus	francis	PROPN;NOM;SG	PROPN
hunt	cazar	hunt	cazar	PROPN	V
träume	soño	träumen	soño	ADJ;NOM	N
träume	soños	träumen	soño	ADJ;NOM	N
träume	con	träumen	con	ADJ;NOM	ADP
träume	soños	träumen	soño	ADJ;NOM	N
träume	de	träumen	de	ADJ;NOM	ADP
