được	okey	được	okey	V	
một	one	một	one	NUM	
năm	cinc	năm	cinc	N	NUM;PL
các	tu	các	tu	DET	PRO;SG;1
các	vostè	các	tu	DET	PRO;SG;2;FORM
này	això	này	això	PROPN	PRO;SG
này	aquesta	này	aquest	PROPN	DET;FEM;SG
này	aquest	này	aquest	PROPN	DET;MASC;SG
này	ei	này	ei	PROPN	
thích	agradat	thích	agradar	V	ADJ;MASC;SG;V.PTCP
thích	com	thích	com	V	CONJ
thích	like	thích	like	V	
chú	tiet	chú	tiet	N	
học	estudi	học	estudi	V	N;MASC;SG
học	escola	học	escola	V	N;FEM;SG
học	aprenentatge	học	aprenentatge	V	N;MASC;SG
học	apreneu	học	aprendre	V	
người	man	người	man	N	
thực	real	thực	real	V	ADJ;SG
thực	autèntica	thực	autèntic	V	ADJ;FEM;SG
thực	autèntics	thực	autèntic	V	ADJ;MASC;PL
thực	realment	thực	realment	V	ADV
liên	lien	liên	eli		
tham	conjunta	tham	conjunt	V	ADJ;FEM;SG
tham	tham	tham	tham	V	PROPN
kết	final	kết	final	N	ADJ;SG
đầu	head	đầu	head	N	
đầu	primer	đầu	primer	N	ADJ;MASC;SG
đầu	primera	đầu	primer	N	ADJ;FEM;SG
đầu	primers	đầu	primer	N	ADJ;MASC;PL
thành	cheng	thành	cheng	V	PROPN
thành	ciutadella	thành	ciutadella	V	N;FEM;SG
khoa	ciència	khoa	ciència		N;FEM;SG
khoa	ciències	khoa	ciència		N;FEM;PL
khoa	facultat	khoa	facultat		N;FEM;SG
cho	cho	cho	cho	V	
cho	per	cho	per	V	ADP
không	no	không	no	;NEG	ADV;NEG
hoa	flor	hoa	flor	N	
nam	masculí	nam	masculí	N	ADJ;MASC;SG
nam	mascle	nam	mascle	N	
nam	nan	nam	nan	N	
nam	nam	nam	nam	N	PROPN
công	públic	công	públic	N	ADJ;MASC;SG
công	públics	công	públic	N	ADJ;MASC;PL
công	public	công	public	N	
công	públiques	công	públic	N	ADJ;FEM;PL
quốc	país	quốc	país	N	
chính	inclús	chính	inclús	PART	
chính	propi	chính	propi	PART	ADJ;MASC;SG
chính	propis	chính	propi	PART	ADJ;MASC;PL
chính	primària	chính	primària	PART	
chính	primari	chính	primari	PART	ADJ;MASC;SG
chính	main	chính	main	PART	
chính	principals	chính	principal	PART	ADJ;PL
chính	principal	chính	principal	PART	ADJ;SG
động	dinàmic	động	dinàmic	V	ADJ;MASC;SG
động	dinàmica	động	dinàmica	V	N;FEM;SG
động	automàtic	động	automàtic	V	ADJ;MASC;SG
động	automàtica	động	automàtic	V	ADJ;FEM;SG
