philippe	philippe	philippa	phili	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;SG
ľad	jää	ľad	jäädä	N;INAN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
ľad	jäitä	ľad	jää	N;INAN;NOM;MASC;SG	N;PRT;PL
ľad	jäät	ľad	jää	N;INAN;NOM;MASC;SG	N;NOM;PL
ľad	jäätä	ľad	jää	N;INAN;NOM;MASC;SG	N;PRT;SG
lese	metsää	les	metsä	N;INAN;ESS;MASC;SG	N;PRT;SG
lese	metsään	les	metsä	N;INAN;ESS;MASC;SG	N;IN+ALL;SG
lese	metsä	les	metsä	N;INAN;ESS;MASC;SG	N;NOM;SG
lese	woods	les	woods	N;INAN;ESS;MASC;SG	PROPN;NOM;SG
lese	metsät	les	metsä	N;INAN;ESS;MASC;SG	N;NOM;PL
mostov	sillat	most	silla	N;INAN;GEN;MASC;PL	N;NOM;PL
mostov	siltoja	most	silta	N;INAN;GEN;MASC;PL	N;PRT;PL
jadrovej	ydinvoima	jadrový	ydin#voima	ADJ;GEN;FEM;SG	N;NOM;SG
výraznejšie	terävämpi	výrazne	terävä	ADV;CMPR	ADJ;NOM;CMPR;SG
odolnosť	vastarinnan	odolnosť	vasta#rinta	N;NOM;FEM;SG	N;GEN;SG
odolnosť	vastarintaa	odolnosť	vastarinta	N;NOM;FEM;SG	N;PRT;SG
odolnosť	sietokyvyn	odolnosť	sieto#kyky	N;NOM;FEM;SG	N;GEN;SG
jay	jay	jay	jay	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;SG
podobnú	samanlaisia	podobný	samanlainen	ADJ;ACC;FEM;SG	ADJ;PRT;PL
podobnú	samankaltaiset	podobný	samankaltainen	ADJ;ACC;FEM;SG	ADJ;NOM;PL
podobnú	samankaltaista	podobný	samankaltainen	ADJ;ACC;FEM;SG	ADJ;PRT;SG
podobnú	samanlaiset	podobný	samanlainen	ADJ;ACC;FEM;SG	ADJ;NOM;PL
podobnú	samanlainen	podobný	samanlainen	ADJ;ACC;FEM;SG	ADJ;NOM;SG
podobnú	samankaltainen	podobný	samankaltainen	ADJ;ACC;FEM;SG	ADJ;NOM;SG
teórií	teorioita	teória	teoria	N;GEN;FEM;PL	N;PRT;PL
čou	zhou	čo	zhou	PROPN;NOM;FEM;SG	PROPN;NOM;SG
záhreb	zagrebin	záhreb	zagreb	PROPN;INAN;NOM;MASC;SG	PROPN;GEN;SG
sľuby	lupauksia	sľub	lupaus	N;INAN;NOM;MASC;PL	N;PRT;PL
sľuby	lupauksia	sľub	lupaus	N;INAN;NOM;MASC;PL	N;PRT;PL
súčet	summaa	súčet	summa	N;INAN;NOM;MASC;SG	N;PRT;SG
umiestnenia	sijoittelu	umiestnenie	sijoittelu	N;NOM;NEUT;PL	N;NOM;SG
umiestnenia	sijainti	umiestnenie	sijainti	N;NOM;NEUT;PL	N;NOM;SG
formátu	muodossa	formát	muoto	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
formátu	muoto	formát	muoto	N;INAN;GEN;MASC;SG	N;NOM;SG
záhrade	puutarha	záhrada	puu#tarha	N;DAT;FEM;SG	N;NOM;SG
záujmov	edut	záujem	etu	N;INAN;GEN;MASC;PL	N;NOM;PL
derby	derby	derba	derby	N;INAN;NOM;MASC;PL	N;NOM;SG
teréne	maastossa	terén	maasto	N;INAN;ESS;MASC;SG	N;IN+ESS;SG
teréne	maasto	terén	maasto	N;INAN;ESS;MASC;SG	N;NOM;SG
zubov	hampaita	zub	hammas	N;INAN;GEN;MASC;PL	N;PRT;PL
zubov	hampaat	zub	hammas	N;INAN;GEN;MASC;PL	N;NOM;PL
bela	bela	belo	bela	N;NOM;FEM;SG	PROPN;NOM;SG
prusko	preussin	prusko	preussi	N;NOM;NEUT;SG	N;GEN;SG
portugalský	portugalia	portugalský	portugali	ADJ;ANIM;NOM;MASC;SG	N;PRT;SG
portugalský	portugali	portugalský	portugali	ADJ;ANIM;NOM;MASC;SG	N;NOM;SG
portugalský	portugalin	portugalský	portugali	ADJ;ANIM;NOM;MASC;SG	N;GEN;SG
case	tapauksessa	cas	tapaus	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
vlakov	junia	vlak	juna	N;INAN;GEN;MASC;PL	N;PRT;PL
vlakov	junat	vlak	juna	N;INAN;GEN;MASC;PL	N;NOM;PL
soľ	suolan	soľ	suola	N;NOM;FEM;SG	N;GEN;SG
soľ	salt	soľ	salt	N;NOM;FEM;SG	
soľ	suolaa	soľ	suola	N;NOM;FEM;SG	N;PRT;SG
miestni	paikalliset	miesto	paikallinen	N;ANIM;NOM;MASC;PL	ADJ;NOM;PL
miestni	paikallisia	miesto	paikallinen	N;ANIM;NOM;MASC;PL	ADJ;PRT;PL
castle	linnaan	castľa	linnaan	PROPN;ANIM;NOM;MASC;SG	N;IN+ALL;SG
castle	linna	castľa	linna	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
castle	linnaa	castľa	linna	PROPN;ANIM;NOM;MASC;SG	N;PRT;SG
zjednotenie	yhdistymisen	zjednotenie	yhdistyminen	N;NOM;NEUT;SG	N;GEN;SG
zjednotenie	yhdistävä	zjednotenie	yhdistää	N;NOM;NEUT;SG	V;NOM;SG;V.PTCP;ACT
väzba	sitoa	väzba	sitoa	N;NOM;FEM;SG	V;SG;NFIN;ACT
väzba	sido	väzba	sitoa	N;NOM;FEM;SG	V;IMP;SG;2;FIN;ACT
väzba	sitovia	väzba	sitova	N;NOM;FEM;SG	ADJ;PRT;PL
väzba	sitovaa	väzba	sitova	N;NOM;FEM;SG	ADJ;PRT;SG
väzba	sitova	väzba	sitova	N;NOM;FEM;SG	V;NOM;SG;V.PTCP;ACT
väzba	sitovat	väzba	sitoa	N;NOM;FEM;SG	V;IND;PL;3;PRS;FIN;ACT
väzba	huoltajuuden	väzba	huoltajuus	N;NOM;FEM;SG	N;GEN;SG
väzba	bondin	väzba	bond	N;NOM;FEM;SG	N;GEN;SG
tradícia	perinteitä	tradícia	perinne	N;NOM;FEM;SG	N;PRT;PL
tradícia	perinteet	tradícia	perinne	N;NOM;FEM;SG	N;NOM;PL
povesti	huhuja	povesť	huhu	N;NOM;FEM;PL	N;PRT;PL
nástupcu	seuraaja	nástupca	seuraaja	N;ANIM;ACC;MASC;SG	N;NOM;SG
aktuálny	tämänhetkiset	aktuálny	tämänhetkinen	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;PL
aktuálny	nykyiset	aktuálny	nykyinen	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;PL
nelson	nelson	nelson	nelson	PROPN;ANIM;NOM;MASC;SG	
rastú	kasva	rastý	kasva	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IMP;SG;2;FIN;ACT
rastú	kasvaa	rastý	kasvaa	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
rastú	kasvata	rastý	kasvattaa	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IMP;SG;2;FIN;ACT
rastú	kasvattaa	rastý	kasvattaa	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
výklad	tulkintaa	výklad	tulkinta	N;INAN;NOM;MASC;SG	N;PRT;SG
výklad	tulkita	výklad	tulkita	N;INAN;NOM;MASC;SG	V;SG;NFIN;ACT
pozemné	maanpäällisen	pozemný	maan#päällinen	ADJ;NOM;NEUT;SG	ADJ;GEN;SG
pozemné	maahan	pozemný	maa	ADJ;NOM;NEUT;SG	N;IN+ALL;SG
pohľady	nähtävyyksiä	pohľad	nähtävyys	N;INAN;NOM;MASC;PL	N;PRT;PL
pohľady	näkemyksiä	pohľad	näkemys	N;INAN;NOM;MASC;PL	N;PRT;PL
cestná	tie	cestný	tie	ADJ;NOM;FEM;SG	N;NOM;SG
cestná	tien	cestný	tie	ADJ;NOM;FEM;SG	N;GEN;SG
cestná	maantie	cestný	maantie	ADJ;NOM;FEM;SG	N;NOM;SG
cestná	road	cestný	road	ADJ;NOM;FEM;SG	N;NOM;SG
zásah	häiriöitä	zásah	häiriö	N;INAN;NOM;MASC;SG	N;PRT;PL
zásah	häiriöt	zásah	häiriö	N;INAN;NOM;MASC;SG	N;NOM;PL
zásah	väliintuloa	zásah	väliintulo	N;INAN;NOM;MASC;SG	N;PRT;SG
warner	warner	warner	warner		PROPN;NOM;SG
zdravotné	lääketieteelliset	zdravotný	lääke#tieteellinen	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
zdravotné	lääketieteen	zdravotný	lääke#tiede	ADJ;NOM;NEUT;SG	N;GEN;SG
zdravotné	terveyttä	zdravotný	terveys	ADJ;NOM;NEUT;SG	N;PRT;SG
zdravotné	terveys	zdravotný	terveys	ADJ;NOM;NEUT;SG	N;NOM;SG
chybu	erehdys	chyba	erehdys	N;ACC;FEM;SG	N;NOM;SG
založiť	tukikohta	založiť	tuki#kohta	V;PFV;POS;NFIN	N;NOM;SG
založiť	pohja	založiť	pohja	V;PFV;POS;NFIN	N;NOM;SG
založiť	perusta	založiť	perusta	V;PFV;POS;NFIN	N;NOM;SG
jules	jules	jules	jules	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
prúdov	virrat	prúd	virra	N;INAN;GEN;MASC;PL	N;NOM;PL
kresťanov	kristityt	kresťan	kristityt	N;ANIM;ACC;MASC;PL	N;NOM;PL
kresťanov	kristittyjen	kresťan	kristitty	N;ANIM;ACC;MASC;PL	N;GEN;PL
kresťanov	kristittyjä	kresťan	kristitty	N;ANIM;ACC;MASC;PL	N;PRT;PL
angel	angel	angel	angel	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;SG
angel	enkeli	angel	enkeli	PROPN;ANIM;NOM;MASC;SG	N;NOM;SG
továrne	tehtaiden	továrne	tehdas	ADV	N;GEN;PL
továrne	tehtaat	továrne	tehdas	ADV	N;NOM;PL
továrne	tehtaita	továrne	tehdas	ADV	N;PRT;PL
faktor	tekijää	faktor	tekijä	N;INAN;NOM;MASC;SG	N;PRT;SG
litva	liettuan	litvo	liettu	N;INAN;NOM;MASC;SG	N;GEN;SG
zavraždený	murhattu	zavraždený	murhata	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
zavraždený	murhasi	zavraždený	murhata	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN;ACT
zavraždený	murhattiin	zavraždený	murhata	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	V;IND;PST;FIN;PASS
phil	phil	phila	phil	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;SG
phil	philin	phila	philin	PROPN;ANIM;NOM;MASC;SG	N;GEN;SG
rob	rob	rob	rob	PROPN;ANIM;VOC;MASC;SG	PROPN;NOM;SG
rob	ryöstää	rob	ryöstää	PROPN;ANIM;VOC;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
zastúpené	edustettuina	zastúpený	edustaa	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FRML;PL;V.PTCP;PASS
spôsobujú	aiheuttaa	spôsobovať	aiheuttaa	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
výkonný	toimeenpano	výkonný	toimeen#pano	ADJ;ANIM;NOM;MASC;SG	N;NOM;SG
výkonný	toimeenpaneva	výkonný	toimeen#pane	ADJ;ANIM;NOM;MASC;SG	N;NOM;SG
výkonný	executive	výkonný	executive	ADJ;ANIM;NOM;MASC;SG	N;NOM;SG
ponúkol	tarjotaan	ponúknuť	tarjota	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PRS;FIN;PASS
presun	siirrä	presun	siirtä	N;INAN;NOM;MASC;SG	V;IMP;SG;2;FIN;ACT
presun	siirrettävä	presun	siirtää	N;INAN;NOM;MASC;SG	V;NOM;SG;V.PTCP;PASS
presun	siirrot	presun	siirto	N;INAN;NOM;MASC;SG	N;NOM;PL
presun	siirrä	presun	siirtä	N;INAN;NOM;MASC;SG	V;IMP;SG;2;FIN;ACT
presun	siirry	presun	siirtyä	N;INAN;NOM;MASC;SG	V;IMP;SG;2;FIN;ACT
presun	liikkeellä	presun	liike	N;INAN;NOM;MASC;SG	N;AT+ESS
;SG
presun	liikkuvat	presun	liikkua	N;INAN;NOM;MASC;SG	V;IND;PL;3;PRS;FIN;ACT
presun	liikkuu	presun	liikkua	N;INAN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
presun	liikkuvuuden	presun	liikkuvuus	N;INAN;NOM;MASC;SG	N;GEN;SG
carter	carter	carter	carter	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;SG
poistenie	vakuutuksen	poistenie	vakuutus	N;NOM;NEUT;SG	N;GEN;SG
poistenie	vakuutukset	poistenie	vakuutus	N;NOM;NEUT;SG	N;NOM;PL
kroky	vaiheita	krok	vaihe	N;INAN;NOM;MASC;PL	N;PRT;PL
kroky	askelia	krok	askel	N;INAN;NOM;MASC;PL	N;PRT;PL
kroky	askeleita	krok	askel	N;INAN;NOM;MASC;PL	N;PRT;PL
kroky	jalanjälkiä	krok	jalan#jälki	N;INAN;NOM;MASC;PL	N;PRT;PL
kroky	askelia	krok	askel	N;INAN;NOM;MASC;PL	N;PRT;PL
bohatý	rikkaita	bohatý	rikas	ADJ;ANIM;NOM;MASC;SG	ADJ;PRT;PL
bohatý	rikkaat	bohatý	rikas	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;PL
bohatý	rich	bohatý	rich	ADJ;ANIM;NOM;MASC;SG	PROPN;NOM;SG
erich	erich	erich	erich	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;SG
informatiky	tietotekniikka	informatika	tieto#tekniikka	N;NOM;FEM;PL	N;NOM;SG
informatiky	tietotekniikan	informatika	tieto#tekniikka	N;NOM;FEM;PL	N;GEN;SG
suchá	kuivaa	sucho	kuiva	N;NOM;FEM;SG	ADJ;PRT;SG
suchá	kuivat	sucho	kuiva	N;NOM;FEM;SG	ADJ;NOM;PL
suchá	kuiva	sucho	kuiva	N;NOM;FEM;SG	ADJ;NOM;SG
slnečná	auringon	slnečný	aurinko	ADJ;NOM;FEM;SG	N;GEN;SG
slnečná	aurinko	slnečný	aurinko	ADJ;NOM;FEM;SG	N;NOM;SG
infraštruktúra	infrastruktuurin	infraštruktúra	infrastruktuuri	N;NOM;FEM;SG	N;GEN;SG
infraštruktúra	infrastruktuuria	infraštruktúra	infrastruktuuri	N;NOM;FEM;SG	N;PRT;SG
svetom	maailmassa	svet	maailma	N;INAN;INS;MASC;SG	N;IN+ESS;SG
svetom	maailma	svet	maailma	N;INAN;INS;MASC;SG	N;NOM;SG
svetom	maailmaa	svet	maailma	N;INAN;INS;MASC;SG	N;PRT;SG
svetom	maailman	svet	maailma	N;INAN;INS;MASC;SG	N;GEN;SG
