til	لاجل	til	لاجل	ADV	
den	th	den	th	PRO;ACC;MASC+FEM;SG;3	
den	ال	den	اَل	PRO;ACC;MASC+FEM;SG;3	PART
for	لاجل	for	لاجل	ADP	
med	w	med	!	ADV	
med	مع	med	مَعَ	ADV	ADP;ACC
blev	بقى	blive	بَقِي	V;IND;PST;FIN;ACT	
han	هان	han	هان	PRO;NOM;MASC+FEM;SG;3	
fra	من	fra	مِن	ADV	ADP
fra	f	fra	!	ADV	
har	عندي	have	عُندِيّ	V;IND;PRS;FIN;ACT	
ved	اعلم	vide	أَعلَم	V;IND;PRS;FIN;ACT	
ved	اعرف	vide	اعرف	V;IND;PRS;FIN;ACT	
ved	تعرف	vide	عَرَف	V;IND;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;PASS
ikke	ليس	ikke	لَيس	ADV	V;PFV;MASC;SG;3;ACT
ikke	لا	ikke	لَا	ADV	PART
ikke	وليس	ikke	وليس	ADV	
ikke	مش	ikke	مش	ADV	
men	لكن	men	لكن	CONJ	
men	بس	men	بِسّ	CONJ	
men	ولكن	men	ولكن	CONJ	
også	كمان	også	كَمَان	ADV	
efter	بعدما	efter	بَعدَمَا	ADV	CONJ
efter	بعد	efter	بَعدَ	ADV	ADP;NOM
sig	قل	sig	قَلّ	PRO;ACC;3;REFL	
sig	نقول	sig	قَال	PRO;ACC;3;REFL	V;IPFV;MASC;IND;PL;1;FIN;ACT
sig	قولي	sig	قَولِيّ	PRO;ACC;3;REFL	
sig	قول	sig	قَول	PRO;ACC;3;REFL	N;NOM;INDF;SG
sig	اقول	sig	قَاوَل	PRO;ACC;3;REFL	
kan	قد	kunne	قَد	V;IND;PRS;FIN;ACT	PART
kan	ماي	kunne	مَاي	V;IND;PRS;FIN;ACT	
kan	مايو	kunne	مَايُو	V;IND;PRS;FIN;ACT	N;GEN;INDF;SG
kan	ايار	kunne	أَيَّار	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
kan	يم	kunne	يم	V;IND;PRS;FIN;ACT	
score	النتيجة	score	نَتِيجَة	V;NFIN;ACT	N;NOM;DEF;SG
hvor	اين	hvor	أَينَ	ADV	DET
hvor	حيث	hvor	حَيثُ	ADV	CONJ
under	تحت	under	تَحتَ	ADV	ADP;ACC
under	ادناه	under	ادناه	ADV	N;NOM;INDF;SG
under	تحت	under	تَحتَ	ADV	ADP;ACC
hans	هانز	hans	هانز	DET;3	
hans	هانس	hans	هانس	DET;3	
hans	ده	hans	دٰهٰ	DET;3	
over	اعلاه	over	إِعلَاه	ADV	
henvisninger	المراجع	henvisning	المراجع	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
dansk	الدانمرك	dansk	الدانمرك	ADJ;INDF;SG	
dansk	الدانمركية	dansk	دَانَمِركِيّ	ADJ;INDF;SG	
dansk	الدنماركية	dansk	دَنِمَارِكِيّ	ADJ;INDF;SG	N;NOM;DEF;SG
dansk	dans	dansk	ثَاحِد	ADJ;INDF;SG	
mod	الشجاعة	mod	شَجَاعَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
mod	ضد	mod	ضِدَّ	N;INDF;NEUT;SG	ADP;ACC
mod	mo	mod	فُتّ	N;INDF;NEUT;SG	
hun	انها	hun	انها	PRO;NOM;MASC+FEM;SG;3	
andre	اخرى	anden	آخَر	PRO;PL	ADJ;NOM;INDF;FEM;SG
andre	اخرون	anden	آخَر	PRO;PL	ADJ;NOM;INDF;MASC;PL
andre	اخرين	anden	آخَر	PRO;PL	ADJ;ACC;INDF;MASC;PL
andre	الاخرون	anden	آخَر	PRO;PL	ADJ;NOM;DEF;MASC;PL
denne	هذا	denne	هٰذَا	PRO;MASC+FEM;SG	DET;NOM;MASC;SG
denne	هذه	denne	هٰذَا	PRO;MASC+FEM;SG	DET;NOM;FEM;SG
del	دل	del	دَلّ	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
del	الجزء	del	جُزء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
del	المشاركة	del	مُشَارَكَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
del	شارك	del	شَارَك	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
født	ولد	føde	وَلَد	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
født	مولود	føde	مولود	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
flere	عدة	mange	عِدَّة	ADJ;CMPR;PL	N;NOM;INDF;SG
flere	المتعددة	mange	مُتَعَدِّد	ADJ;CMPR;PL	ADJ;NOM;DEF;FEM;SG
flere	تعدد	mange	عَدَّد	ADJ;CMPR;PL	N;NOM;INDF;SG
flere	متعدد	mange	مُتَعَدِّد	ADJ;CMPR;PL	ADJ;NOM;INDF;MASC;SG
flere	متعددة	mange	مُتَعَدِّد	ADJ;CMPR;PL	ADJ;NOM;INDF;FEM;SG
flere	المزيد	mange	مَزِيد	ADJ;CMPR;PL	N;NOM;DEF;SG
flere	اكتر	mange	أَكتَر	ADJ;CMPR;PL	
flere	اكثر	mange	أَكثَر	ADJ;CMPR;PL	ADJ;NOM;INDF;MASC;SG
flere	مزيد	mange	مَزِيد	ADJ;CMPR;PL	N;NOM;INDF;SG
dette	هذا	denne	هٰذَا	PRO;NEUT;SG	DET;NOM;MASC;SG
