múzeá	muzeele	múzeum	muzeu	N;NOM;NEUT;PL	N;DEF;FEM;PL
kováč	fierarul	kováč	fierar	N;ANIM;NOM;MASC;SG	N;DEF;MASC;SG
šírenie	raspandirea	šírenie	raspandire	N;NOM;NEUT;SG	N;DEF;FEM;SG
šírenie	raspandire	šírenie	raspandire	N;NOM;NEUT;SG	N;INDF;FEM;SG
šírenie	difuzarea	šírenie	difuzare	N;NOM;NEUT;SG	N;DEF;FEM;SG
šírenie	difuzare	šírenie	difuzare	N;NOM;NEUT;SG	N;INDF;FEM;SG
šírenie	diseminarea	šírenie	diseminare	N;NOM;NEUT;SG	N;DEF;FEM;SG
šírenie	raspandirea	šírenie	raspandire	N;NOM;NEUT;SG	N;DEF;FEM;SG
šírenie	raspandire	šírenie	raspandire	N;NOM;NEUT;SG	N;INDF;FEM;SG
šírenie	raspandit	šírenie	raspandi	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
obnovená	reluata	obnovený	reluat	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
obnovená	reinnoite	obnovený	reinnoi	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
obnovená	reinnoita	obnovený	reinnoita	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
obnovená	restaurata	obnovený	restaurata	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
obnovená	restabilita	obnovený	restabilita	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;IND;SG;3;IPFV;FIN
benz	benz	bena	benz	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
phoenix	phoenix	phoenix	phoenix	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
gilmour	gilmour	gilmour	gilmour	N;INS;FEM;SG	PROPN
rozvíjať	evolueze	rozvíjať	evolua	V;IPFV;POS;NFIN	
populárny	populare	populárny	popular	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;FEM;PL
populárny	populara	populárny	populară	ADJ;ANIM;NOM;MASC;SG	N;DEF;FEM;SG
populárny	populara	populárny	populară	ADJ;ANIM;NOM;MASC;SG	N;DEF;FEM;SG
metre	metrou	meter	metrou	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
metre	metroul	meter	metrou	N;INAN;NOM;MASC;PL	N;DEF;MASC;SG
rak	rak	rak	rak	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
rak	cancerul	rak	cancer	PROPN;ANIM;NOM;MASC;SG	N;DEF;MASC;SG
rak	cancer	rak	cancer	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
hovorovo	colocvial	hovorov	colocvial	ADJ;NOM;NEUT;SG	ADV
obavy	temerile	obava	teme	N;NOM;FEM;PL	N;DEF;FEM;PL
obavy	preocuparile	obava	preocuparil	N;NOM;FEM;PL	N;DEF;FEM;PL
obavy	preocuparea	obava	preocupare	N;NOM;FEM;PL	N;DEF;FEM;SG
obavy	ingrijorare	obava	ingrijorare	N;NOM;FEM;PL	N;INDF;FEM;SG
obavy	preocupare	obava	preocupare	N;NOM;FEM;PL	N;INDF;FEM;SG
verlag	verlag	verlag	verlag	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
cit	cit	cit	cit	N;INAN;NOM;MASC;SG	
frekvencia	frecventa	frekvencia	frecventa	N;NOM;FEM;SG	N;DEF;FEM;SG
frekvencia	frecventa	frekvencia	frecventa	N;NOM;FEM;SG	N;DEF;FEM;SG
minútu	minutul	minúta	minut	N;ACC;FEM;SG	N;DEF;MASC;SG
register	inregistreaza	register	inregistra	N;INAN;NOM;MASC;SG	V;IND;SG;3;IPFV;FIN
register	inregistrare	register	inregistrare	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
bosna	bosnia	bosna	bosnie	N;NOM;FEM;SG	PROPN
tvoje	dumneavoastra	tvoj	dumneavoastra	DET;NOM;NEUT;SG;2	
tvoje	ta	tvoj	tău	DET;NOM;NEUT;SG;2	DET;FEM;SG;1
maximum	maxima	maximum	maxim	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
maximum	maxima	maximum	maxim	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
maximum	maxim	maximum	maxim	N;INAN;NOM;MASC;SG	ADJ;INDF;MASC;SG
coa	coa	coa	cola	PROPN;ANIM;NOM;MASC;SG	
cas	cas	cas	cas	INTJ	
cas	cass	cas	cass	INTJ	
prijaté	luata	prijatý	lua	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
prijaté	luate	prijatý	luat	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
prijaté	primit	prijatý	primi	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
prijaté	primite	prijatý	primit	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
prijaté	primita	prijatý	primita	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
prijaté	acceptate	prijatý	accepta	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
prijaté	acceptata	prijatý	acceptată	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
prijaté	acceptata	prijatý	acceptată	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
prijaté	admisa	prijatý	admisa	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	N;DEF;FEM;SG
prijaté	admise	prijatý	admite	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
prijaté	adoptata	prijatý	adopta	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	N;DEF;FEM;SG
voz	caruta	voz	carut	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
dôstojníkov	ofiterii	dôstojník	ofiteriu	N;ANIM;ACC;MASC;PL	N;DEF;MASC;PL
američania	americanilor	američan	american	N;ANIM;NOM;MASC;PL	N;DEF;MASC;PL
američania	americanii	američan	american	N;ANIM;NOM;MASC;PL	N;DEF;MASC;PL
američania	americani	američan	american	N;ANIM;NOM;MASC;PL	ADJ;INDF;MASC;PL
frederick	frederic	frederick	frederic	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
frederick	frederick	frederick	frederick	PROPN;ANIM;NOM;MASC;SG	N;INDF;MASC;SG
oheň	focul	oheň	foc	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
garcía	garcía	garcí	garcha	N;ANIM;NOM;MASC;SG	PROPN
zrážky	coliziunea	zrážok	coliziune	N;NOM;FEM;PL	N;DEF;FEM;SG
zrážky	ciocnire	zrážok	ciocnire	N;NOM;FEM;PL	N;INDF;FEM;SG
zrážky	coliziune	zrážok	coliziune	N;NOM;FEM;PL	N;INDF;FEM;SG
zrážky	precipitare	zrážok	precipitar	N;NOM;FEM;PL	N;INDF;FEM;SG
alberto	alberto	alberto	alberto	PROPN;ANIM;NOM;MASC;SG	PROPN
russell	russel	russell	russel	PROPN;ANIM;NOM;MASC;SG	PROPN
russell	russell	russell	russell	PROPN;ANIM;NOM;MASC;SG	PROPN
kopca	colina	kopec	colină	N;INAN;GEN;MASC;SG	N;DEF;FEM;SG
kopca	dealul	kopec	deal	N;INAN;GEN;MASC;SG	N;DEF;MASC;SG
kopca	hill	kopec	hill	N;INAN;GEN;MASC;SG	PROPN
kritici	criticilor	kritica	critică	N;ANIM;NOM;MASC;PL	N;DEF;MASC;PL
kritici	criticii	kritica	critică	N;ANIM;NOM;MASC;PL	N;DEF;MASC;PL
demokracia	democratie	demokracia	democratie	N;NOM;FEM;SG	N;INDF;FEM;SG
