категория	kategori	категория	kategori	N;INAN;NOM;FEM;SG	
что	ne	что	ne	PRO;NOM	
для	icin	для	icin	ADP	
для	için	для	için	ADP	
как	nasil	как	nasil	CONJ	
как	nası	как	nası	CONJ	
как	nasıl	как	nasıl	CONJ	
как	like	как	like	CONJ	
как	beğen	как	beğen	CONJ	
как	gibi	как	gibi	CONJ	
его	onunki	он	onunki	PRO;ACC;MASC;SG;3	
его	onun	он	o	PRO;ACC;MASC;SG;3	PRO;GEN;SG;3
также	ayrica	также	ayrica	ADV	
также	ayrıca	также	ayrıca	ADV	
это	bu	это	bu	PRO;INAN;NOM;NEUT;SG	
это	bunu	это	bu	PRO;INAN;NOM;NEUT;SG	PRO;ACC;SG;3
это	bu	это	bu	PRO;INAN;NOM;NEUT;SG	
это	bunu	это	bu	PRO;INAN;NOM;NEUT;SG	PRO;ACC;SG;3
после	sonrası	после	sonra	ADP	
после	ardından	после	ardından	ADP	ADV
после	sonrasında	после	sonra	ADP	N;ESS;SG;3
после	sonra	после	sonra	ADP	ADV
области	alanları	область	alan	N;INAN;NOM;FEM;PL	N;ACC;PL;3
год	yıl	год	yıl	N;INAN;NOM;MASC;SG	
год	yılı	год	yıl	N;INAN;NOM;MASC;SG	
год	sene	год	sene	N;INAN;NOM;MASC;SG	
время	vakit	время	vakit	N;INAN;NOM;NEUT;SG	
время	time	время	tim	N;INAN;NOM;NEUT;SG	
место	nokta	место	nokta	N;INAN;NOM;NEUT;SG	
место	spot	место	spot	N;INAN;NOM;NEUT;SG	
место	konumu	место	konum	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
место	yeri	место	yer	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
район	mahalle	район	mahal	N;INAN;NOM;MASC;SG	
район	bölge	район	bölge	N;INAN;NOM;MASC;SG	
район	bahşı	район	bahşı	N;INAN;NOM;MASC;SG	
район	ilçe	район	ilçe	N;INAN;NOM;MASC;SG	
район	bölge	район	bölge	N;INAN;NOM;MASC;SG	
район	alan	район	al	N;INAN;NOM;MASC;SG	V;PFV;IND;POS;PRS;V.PTCP
вид	tür	вид	tür	N;INAN;NOM;MASC;SG	
вид	türler	вид	tür	N;INAN;NOM;MASC;SG	N;NOM;PL;3
вид	gör	вид	gör	N;INAN;NOM;MASC;SG	V;PFV;IMP;SG;2;POS;PRS
под	altında	под	alt	ADP	ADJ;ESS;SG;3
под	altinda	под	alt	ADP	ADJ;ESS;SG;3
под	altına	под	alt	ADP	ADJ;DAT;SG;3
только	yalnızca	только	yalnızca	PART	ADV
только	sadece	только	sadece	PART	ADV
только	sadece	только	sadece	PART	ADV
только	just	только	just	PART	
язык	dil	язык	dil	N;INAN;NOM;MASC;SG	
язык	dili	язык	dili	N;INAN;NOM;MASC;SG	
язык	dil	язык	dil	N;INAN;NOM;MASC;SG	
язык	dile	язык	dile	N;INAN;NOM;MASC;SG	
язык	dili	язык	dili	N;INAN;NOM;MASC;SG	
язык	lisan	язык	lisan	N;INAN;NOM;MASC;SG	
ссср	sscb	ссср	sscb	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
районе	semt	район	semt	N;INAN;ESS;MASC;SG	N;NOM;SG;3
районе	komşuluk	район	komşuluk	N;INAN;ESS;MASC;SG	N;NOM;SG;3
районе	mahalle	район	mahal	N;INAN;ESS;MASC;SG	
код	kodu	код	kodu	N;INAN;NOM;MASC;SG	
код	kod	код	kod	N;INAN;NOM;MASC;SG	
более	devamı	более	devam	ADV;CMPR	
более	more	более	more	ADV;CMPR	
мая	may	май	may	N;INAN;GEN;MASC;SG	
мая	mayis	май	mayis	N;INAN;GEN;MASC;SG	
мая	mayıs	май	mayıs	N;INAN;GEN;MASC;SG	
дата	tarihi	дата	tarih	N;INAN;NOM;FEM;SG	
дата	flört	дата	flört	N;INAN;NOM;FEM;SG	
дата	buluşma	дата	buluş	N;INAN;NOM;FEM;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
ноября	kasım	ноябрь	kasım	N;INAN;GEN;MASC;SG	
деревня	köyü	деревня	köy	N;INAN;NOM;FEM;SG	
деревня	köy	деревня	köy	N;INAN;NOM;FEM;SG	
где	nereye	где	nere	ADV	PRO;DAT;SG;3
где	nerde	где	nere	ADV	
где	nere	где	nere	ADV	
где	nerede	где	nere	ADV	PRO;ESS;SG;3
января	ocak	январь	ocak	N;INAN;GEN;MASC;SG	
марта	marta	март	marta	N;INAN;GEN;MASC;SG	
марта	martha	март	martha	N;INAN;GEN;MASC;SG	
марта	mart	март	mart	N;INAN;GEN;MASC;SG	
марта	marş	март	marş	N;INAN;GEN;MASC;SG	
марта	yürüyüş	март	yürüyüş	N;INAN;GEN;MASC;SG	
все	herşey	все	herşey	PRO;INAN;NOM;NEUT;SG	
все	herşeyi	все	herşey	PRO;INAN;NOM;NEUT;SG	N;ACC;SG;3
все	hersey	все	hersey	PRO;INAN;NOM;NEUT;SG	
все	all	все	all	PRO;INAN;NOM;NEUT;SG	
все	hepsini	все	hepsi	PRO;INAN;NOM;NEUT;SG	PRO;ACC;PL;3
все	tamamı	все	tamam	PRO;INAN;NOM;NEUT;SG	
все	hepsi	все	hepsi	PRO;INAN;NOM;NEUT;SG	PRO;NOM;PL;3
все	tümü	все	tümü	PRO;INAN;NOM;NEUT;SG	
все	herkeze	все	herkez	PRO;INAN;NOM;NEUT;SG	N;DAT;SG;3
все	herkese	все	herkes	PRO;INAN;NOM;NEUT;SG	N;DAT;SG;3
все	herkes	все	herkes	PRO;INAN;NOM;NEUT;SG	N;NOM;SG;3
все	herkez	все	herkez	PRO;INAN;NOM;NEUT;SG	
августа	ağustos	август	ağustos	N;INAN;GEN;MASC;SG	
августа	august	август	august	N;INAN;GEN;MASC;SG	
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	PROPN;NOM;SG;3
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	
октября	ekim	октябрь	ekim	N;INAN;GEN;MASC;SG	
октября	ekim	октябрь	ekim	N;INAN;GEN;MASC;SG	
сентября	eylül	сентябрь	eylül	N;INAN;GEN;MASC;SG	
статьи	makale	статья	makale	N;INAN;NOM;FEM;PL	N;NOM;SG;3
уже	çoktan	уже	çok	ADV	ADJ;AT+ABL;SG;3
июня	june	июнь	ju	N;INAN;GEN;MASC;SG	
июня	haziran	июнь	haziran	N;INAN;GEN;MASC;SG	
апреля	nişan	апрель	nişan	N;INAN;GEN;MASC;SG	
апреля	nisan	апрель	nisan	N;INAN;GEN;MASC;SG	
сша	amerika	сшать	amerik	N;INAN;NOM;PL	
сша	abd	сшать	abd	N;INAN;NOM;PL	
сша	usa	сшать	us	N;INAN;NOM;PL	
который	hangi	который	hangi	PRO;NOM	ADJ
который	hangisi	который	hangi	PRO;NOM	
название	adın	название	ad	N;INAN;NOM;NEUT;SG	
название	başlık	название	başlık	N;INAN;NOM;NEUT;SG	
название	unvan	название	unvan	N;INAN;NOM;NEUT;SG	
название	ünvan	название	ünvan	N;INAN;NOM;NEUT;SG	
поселение	yerleşim	поселение	yerleş	N;INAN;NOM;NEUT;SG	
человек	şahıs	человек	şahıs	N;ANIM;NOM;MASC;SG	
человек	kişiye	человек	kişi	N;ANIM;NOM;MASC;SG	N;DAT;SG;3
человек	kisi	человек	kisi	N;ANIM;NOM;MASC;SG	
человек	insani	человек	insani	N;ANIM;NOM;MASC;SG	
человек	man	человек	man	N;ANIM;NOM;MASC;SG	
человек	erkek	человек	erkek	N;ANIM;NOM;MASC;SG	
смерти	ölümlerin	смерть	ölüm	N;INAN;GEN;FEM;SG	N;GEN;PL;3
смерти	ölümleri	смерть	ölüm	N;INAN;GEN;FEM;SG	N;ACC;PL;3
смерти	ölümler	смерть	ölüm	N;INAN;GEN;FEM;SG	N;NOM;PL;3
лет	yıllarca	год	yıllarca	N;INAN;GEN;MASC;PL	ADV
лет	yıllardır	год	yıl	N;INAN;GEN;MASC;PL	V;IPFV;IND;PL;3;POS
лет	yıllar	год	yıl	N;INAN;GEN;MASC;PL	N;NOM;PL;3
лет	seneler	год	sene	N;INAN;GEN;MASC;PL	
февраля	şubat	февраль	şubat	N;INAN;GEN;MASC;SG	
