hän	انها	hän	انها	PRO;NOM;SG;3	
vuonna	عام	vuosi	عَام	N;FRML;SG	N;NOM;INDF;SG
vuonna	العام	vuosi	عَام	N;FRML;SG	N;NOM;DEF;SG
vuonna	السنه	vuosi	سَنه	N;FRML;SG	N;NOM;DEF;SG
vuonna	سنة	vuosi	سَنَة	N;FRML;SG	N;NOM;INDF;SG
vuonna	سنه	vuosi	سنه	N;FRML;SG	N;NOM;INDF;SG
vuonna	السنة	vuosi	سَنَة	N;FRML;SG	N;NOM;DEF;SG
myös	كمان	myös	كَمَان	ADV	
joka	من	joka	مِن	PRO;NOM;SG	ADP
joka	اللي	joka	لَيّ	PRO;NOM;SG	
joka	ايهما	joka	ايهما	PRO;NOM;SG	
joka	الذي	joka	اَلَّذِي	PRO;NOM;SG	DET;NOM;MASC;SG
joka	والذي	joka	والذي	PRO;NOM;SG	N;NOM;DEF;SG
kello	شاهد	kello	شَاهَد	N;NOM;SG	
kello	راقب	kello	رَاقِب	N;NOM;SG	
että	هذا	että	هٰذَا	CONJ	DET;NOM;MASC;SG
että	ذلك	että	ذلك	CONJ	
mutta	لكن	mutta	لكن	CONJ	
mutta	بس	mutta	بِسّ	CONJ	
mutta	ولكن	mutta	ولكن	CONJ	
kanssa	w	kanssa	!	ADV	
kanssa	مع	kanssa	مَعَ	ADV	ADP;ACC
hänen	ده	hän	دٰهٰ	PRO;GEN;SG;3	
hänen	لها	hän	لها	PRO;GEN;SG;3	
hänen	هي	hän	هُوَ	PRO;GEN;SG;3	PRO;NOM;FEM;SG;3
jälkeen	بعدما	jälkeen	بَعدَمَا	ADV	CONJ
jälkeen	بعد	jälkeen	بَعدَ	ADV	ADP;NOM
suomen	الفنلندي	suomi	فِنلَندِيّ	N;GEN;SG	ADJ;NOM;DEF;MASC;SG
suomen	الفنلندية	suomi	فِنلَندِيّ	N;GEN;SG	ADJ;NOM;DEF;FEM;SG
vuoden	عام	vuosi	عَام	N;GEN;SG	N;NOM;INDF;SG
vuoden	العام	vuosi	عَام	N;GEN;SG	N;NOM;DEF;SG
vuoden	السنه	vuosi	سَنه	N;GEN;SG	N;NOM;DEF;SG
vuoden	سنة	vuosi	سَنَة	N;GEN;SG	N;NOM;INDF;SG
vuoden	سنه	vuosi	سنه	N;GEN;SG	N;NOM;INDF;SG
vuoden	السنة	vuosi	سَنَة	N;GEN;SG	N;NOM;DEF;SG
kun	حين	kun	حِينَ	CONJ	ADP;ACC
kun	عندما	kun	عِندَمَا	CONJ	CONJ
kun	متى	kun	مَتَى	CONJ	DET
kuin	مثل	kuin	مِثلَ	CONJ	ADP;NOM
kuin	لايك	kuin	لَايك	CONJ	
ole	اولي	olla	أَوَّلِيّ	V;IMP;SG;2;FIN;ACT	
mukaan	w	mukaan	!	ADV	
mukaan	مع	mukaan	مَعَ	ADV	ADP;ACC
jonka	ايهما	joka	ايهما	PRO;GEN;SG	
jonka	الذي	joka	اَلَّذِي	PRO;GEN;SG	DET;NOM;MASC;SG
jonka	والذي	joka	والذي	PRO;GEN;SG	N;NOM;DEF;SG
jossa	اين	joka	أَينَ	PRO;IN+ESS;SG	DET
jossa	حيث	joka	حَيثُ	PRO;IN+ESS;SG	CONJ
voi	قد	voi	قَد	INTJ	PART
voi	ماي	voi	مَاي	INTJ	
voi	مايو	voi	مَايُو	INTJ	N;GEN;INDF;SG
voi	ايار	voi	أَيَّار	INTJ	N;NOM;INDF;SG
voi	يستطيع	voi	اِستَطَاع	INTJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
voi	يمكن	voi	أَمكَن	INTJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
voi	يم	voi	يم	INTJ	
noin	حول	noin	حَولَ	ADV	ADP;ACC
noin	بشان	noin	بشان	ADV	N;NOM;INDF;SG
noin	بخصوص	noin	بخصوص	ADV	N;NOM;INDF;SG
noin	عن	noin	عَن	ADV	ADP
eli	الاي	eli	اَلَّذِي	CONJ	N;NOM;DEF;SG
sai	حصلت	saada	حَصَل	V;IND;SG;0;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
vain	مجرد	vain	مُجَرَّد	ADV	N;NOM;INDF;SG
lisäksi	كمان	lisäksi	كَمَان	ADV	
lisäksi	زايد	lisäksi	زايد	ADV	
lisäksi	زائد	lisäksi	زَائِد	ADV	ADJ;NOM;INDF;MASC;SG
lisäksi	بالاضافة	lisäksi	بالاضافة	ADV	N;NOM;DEF;SG
jotka	ايهما	joka	ايهما	PRO;NOM;PL	
jotka	الذي	joka	اَلَّذِي	PRO;NOM;PL	DET;NOM;MASC;SG
jotka	والذي	joka	والذي	PRO;NOM;PL	N;NOM;DEF;SG
tavua	المقاطع	tavuta	مَقطَع	N;PRT;SG	N;NOM;DEF;PL
tavua	مقاطع	tavuta	مَقطَعَة	N;PRT;SG	N;NOM;INDF;PL
tavua	بايت	tavuta	بَاي	N;PRT;SG	
kaksi	اثنان	kaksi	اِثنَان	NUM;NOM;SG	N;NOM;INDF;SG
aikana	اثناء	aika	أَثنَاءَ	N;FRML;SG	ADP;ACC
aikana	خلال	aika	خِلَالَ	N;FRML;SG	ADP;ACC
hänet	له	hän	هُوَ	PRO;ACC;SG;3	
hänet	هو	hän	هُوَ	PRO;ACC;SG;3	PRO;NOM;MASC;SG;3
tuli	النار	tulla	نَار	V;IND;SG;0;PST;FIN;ACT	N;NOM;DEF;SG
tuli	نار	tulla	نَار	V;IND;SG;0;PST;FIN;ACT	N;NOM;INDF;SG
tuli	حريق	tulla	حَرِيق	V;IND;SG;0;PST;FIN;ACT	N;NOM;INDF;SG
tuli	جيت	tulla	جيت	V;IND;SG;0;PST;FIN;ACT	
tuli	جاء	tulla	جَاء	V;IND;SG;0;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
yksi	احد	yksi	أَحَد	NUM;NOM;SG	N;NOM;INDF;SG
yksi	واحدة	yksi	وَاحِد	NUM;NOM;SG	ADJ;NOM;INDF;FEM;SG
yksi	واحد	yksi	وَاحِد	NUM;NOM;SG	ADJ;NOM;INDF;MASC;SG
yksi	واحده	yksi	واحده	NUM;NOM;SG	PRO;NOM;MASC;SG;3
voitti	وون	voittaa	وون	V;IND;SG;3;PST;FIN;ACT	
tulos	النتائج	tulos	نَتِيجَة	N;NOM;SG	N;NOM;DEF;PL
tulos	نتائج	tulos	نَتِيجَة	N;NOM;SG	N;NOM;INDF;PL
tulos	نتيجة	tulos	نَتِيجَة	N;NOM;SG	N;ACC;INDF;SG
suomalainen	فين	suomalainen	فِين	ADJ;NOM;SG	
kuten	مثل	kuten	مِثلَ	CONJ	ADP;NOM
kuten	لايك	kuten	لَايك	CONJ	
myöhemmin	لاحقا	myöhemmin	لَاحِق	ADV	ADJ;ACC;INDF;MASC;SG
myöhemmin	لاحق	myöhemmin	لَاحِق	ADV	ADJ;NOM;INDF;MASC;SG
toimi	اكشن	toimia	اكشن	V;IMP;SG;2;FIN;ACT	
toimi	العمل	toimia	عَمَل	V;IMP;SG;2;FIN;ACT	N;NOM;DEF;SG
toimi	الاجراء	toimia	إِجرَاء	V;IMP;SG;2;FIN;ACT	N;NOM;DEF;SG
toimi	اجراء	toimia	إِجرَاء	V;IMP;SG;2;FIN;ACT	N;NOM;INDF;SG
toimi	الحركة	toimia	حَرَكَة	V;IMP;SG;2;FIN;ACT	N;NOM;DEF;SG
toimi	التصرف	toimia	تَصَرُّف	V;IMP;SG;2;FIN;ACT	N;NOM;DEF;SG
toimi	الفعل	toimia	فِعل	V;IMP;SG;2;FIN;ACT	N;NOM;DEF;SG
toimi	التمثيل	toimia	تَمثِيل	V;IMP;SG;2;FIN;ACT	N;NOM;DEF;SG
ensimmäinen	اولا	ensimmäinen	أَوَّل	ADJ;NOM;SG	ADJ;ACC;INDF;MASC;SG
ennen	قبل	ennen	قَبلَ	ADV	ADP;ACC
tämä	هذا	tämä	هٰذَا	PRO;NOM;SG	DET;NOM;MASC;SG
tämä	هذه	tämä	هٰذَا	PRO;NOM;SG	DET;NOM;FEM;SG
tämän	هذا	tämä	هٰذَا	PRO;GEN;SG	DET;NOM;MASC;SG
tämän	هذه	tämä	هٰذَا	PRO;GEN;SG	DET;NOM;FEM;SG
tammikuuta	يناير	tammikuu	يَنَايِر	N;PRT;SG	N;GEN;INDF;SG
yhteensä	مجموع	yhteensä	مَجمُوع	ADV	ADJ;NOM;INDF;MASC;SG
yhteensä	المجموع	yhteensä	مَجمُوع	ADV	N;NOM;DEF;SG
yhteensä	اجمالي	yhteensä	إِجمَالِيّ	ADV	N;NOM;INDF;SG
yhteensä	الاجمالي	yhteensä	إِجمَالِيّ	ADV	ADJ;NOM;DEF;MASC;SG
syyskuuta	ايلول	syyskuu	أَيلُول	N;PRT;SG	N;NOM;INDF;SG
syyskuuta	سبتمبر	syyskuu	سِبتَمبِر	N;PRT;SG	N;GEN;INDF;SG
vastaan	ضد	vastaan	ضِدَّ	ADV	ADP;ACC
keskustelu	النقاش	keskustelu	النقاش	N;NOM;SG	
keskustelu	مناقشات	keskustelu	مُنَاقَشَة	N;NOM;SG	N;NOM;INDF;PL
keskustelu	المناقشات	keskustelu	مُنَاقَشَة	N;NOM;SG	N;NOM;DEF;PL
keskustelu	النقاش	keskustelu	النقاش	N;NOM;SG	
