august	аугуст	august	аугуст	N;MASC;SG	PROPN;INDF;MASC;SG
bizantinos	византийски	bizantino	византийски	N;MASC;PL	ADJ;INDF;MASC;SG
qualificação	допустими	qualificação	допустим	N;FEM;SG	ADJ;INDF;PL
qualificação	квалификации	qualificação	квалификация	N;FEM;SG	N;INDF;FEM;PL
deep	дълбока	deep	дълбок	N;MASC;SG	ADJ;INDF;FEM;SG
deep	дълбок	deep	дълбок	N;MASC;SG	ADJ;INDF;MASC;SG
deep	дълбоки	deep	дълбок	N;MASC;SG	ADJ;INDF;PL
deep	дълбоко	deep	дълбоко	N;MASC;SG	ADV
concluído	завършени	concluir	завърша	V;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
robinson	робинсън	robinson	робинсън	N;MASC;SG	PROPN;INDF;MASC;SG
pátio	ярд	pátio	ярд	N;MASC;SG	PROPN;INDF;MASC;SG
western	западна	western	западна	N;MASC;SG	ADJ;INDF;FEM;SG
western	западни	western	западен	N;MASC;SG	ADJ;INDF;PL
western	западен	western	западя-(се)	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
western	западните	western	западен	N;MASC;SG	ADJ;DEF;PL
zool	zool	zool	zool	N;MASC;SG	PROPN;INDF;MASC;SG
kurt	кърт	kurt	кърт	PROPN;MASC;SG	PROPN;INDF;MASC;SG
kurt	курт	kurt	курт	PROPN;MASC;SG	N;INDF;MASC;SG
mina	мина	mina	мина-(се)	N;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
mina	моите	mina	мой	N;FEM;SG	DET;DEF;PL;1
mina	мой	mina	мой	N;FEM;SG	DET;INDF;MASC;SG;1
mina	моята	mina	мой	N;FEM;SG	DET;DEF;FEM;SG;1
mina	мое	mina	мой	N;FEM;SG	DET;INDF;NEUT;SG;1
mina	моя	mina	мой	N;FEM;SG	DET;INDF;FEM;SG;1
mina	моят	mina	мой	N;FEM;SG	DET;DEF;MASC;SG;1
pietro	пиетро	pietro	пиетро	N;MASC;SG	PROPN;INDF;MASC;SG
circunstâncias	обстоятелство	circunstância	обстоятелство	N;FEM;PL	N;INDF;NEUT;SG
orange	оранжева	orange	оранжева	N;MASC;SG	ADJ;INDF;FEM;SG
orange	оранжево	orange	оранжево	N;MASC;SG	ADV
orange	оранжеви	orange	оранжев	N;MASC;SG	ADJ;INDF;PL
xxi	xxi	xxi	xxi	N;MASC;SG	ADJ;INDF;MASC;SG
abastecimento	доставки	abastecimento	доставка	N;MASC;SG	N;INDF;FEM;PL
residentes	специализант	residente	специализант	N;MASC;PL	N;INDF;MASC;SG
residentes	жител	residente	жител	N;MASC;PL	N;INDF;MASC;SG
residentes	обитател	residente	обитател	N;MASC;PL	N;INDF;MASC;SG
