emma	emma	emma	emma	PROPN	N;NOM;FEM;SG
persana	persiešu	persană	persietas	N;DEF;FEM;SG	N;GEN;MASC;PL
persana	persijas	persană	persija	N;DEF;FEM;SG	N;NOM;FEM;PL
doyle	doyle	doylu	doyle	PROPN	
efectuarea	padarot	efectuare	padarīt	N;DEF;FEM;SG	V;V.CVB
organe	orgānu	organ	orgāns	N;INDF;FEM;PL	N;ACC;MASC;SG
organe	orgānu	organ	orgāns	N;INDF;FEM;PL	N;ACC;MASC;SG
organe	orgāns	organ	orgāns	N;INDF;FEM;PL	N;NOM;MASC;SG
goethe	gētes	goethe	gēte	PROPN	N;NOM;FEM;PL
cazimir	kazimirs	cazimir	kazimirs	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
bobby	bobijs	bobby	bobijs	PROPN	N;NOM;MASC;SG
sever	smagas	sever	smaga	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
sever	smagi	sever	smags	ADJ;INDF;MASC;SG	ADV
pielea	ādas	piele	āda	N;DEF;FEM;SG	N;NOM;FEM;PL
pielea	ādu	piele	āda	N;DEF;FEM;SG	N;ACC;FEM;SG
pielea	āda	piele	āda	N;DEF;FEM;SG	N;NOM;FEM;SG
abordare	pieeja	abordare	pieeja	N;INDF;FEM;SG	N;NOM;FEM;SG
abordare	pieeju	abordare	pieiet	N;INDF;FEM;SG	V;FH;IND;SG;1;POS;PRS;FIN;ACT
vorbind	uzstāšanās	vorbi	uzstāšanās	V;V.MSDR	N;NOM;FEM;SG
bretagne	bretagne	bretagnu	bretagne	PROPN	
mina	mīna	mină	mīns	N;DEF;FEM;SG	N;NOM;FEM;SG
mina	roku	mină	roka	N;DEF;FEM;SG	N;ACC;FEM;SG
mina	roka	mină	roka	N;DEF;FEM;SG	N;NOM;FEM;SG
pactului	pakta	pact	pakts	N;DEF;MASC;SG	N;NOM;MASC;SG
pactului	pakts	pact	pakts	N;DEF;MASC;SG	N;NOM;MASC;SG
cameron	cameron	cameron	cameron	PROPN	
revistele	žurnālus	revistă	žurnāls	N;DEF;FEM;PL	N;ACC;MASC;PL
revistele	žurnāli	revistă	žurnāls	N;DEF;FEM;PL	N;NOM;MASC;PL
decisiv	izšķiroša	decisiv	izšķiroša	ADJ;INDF;MASC;SG	V;IPFV;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
decisiv	izšķirošā	decisiv	izšķiroša	ADJ;INDF;MASC;SG	V;IPFV;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
decisiv	izšķirošs	decisiv	izšķirošs	ADJ;INDF;MASC;SG	V;IPFV;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
decisiv	izšķirošais	decisiv	izšķirošs	ADJ;INDF;MASC;SG	V;IPFV;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
salbatice	wild	salbatic	wildēt	ADJ;INDF;FEM;PL	
salbatice	savvaļas	salbatic	savvaļa	ADJ;INDF;FEM;PL	N;NOM;FEM;PL
salbatice	savvaļā	salbatic	savvaļa	ADJ;INDF;FEM;PL	N;ESS;FEM;SG
definitia	definēšana	definitie	definēšana	N;DEF;FEM;SG	N;NOM;FEM;SG
definitia	definīcija	definitie	definīcija	N;DEF;FEM;SG	N;NOM;FEM;SG
averea	bagātības	avere	bagātība	N;DEF;FEM;SG	N;NOM;FEM;PL
averea	bagātība	avere	bagātība	N;DEF;FEM;SG	N;NOM;FEM;SG
dati	iedot	da	iedot		V;POS;NFIN
dati	dod	da	dot		V;FH;IND;3;POS;PRS;FIN;ACT
dati	dot	da	dot		V;POS;NFIN
dati	dodiet	da	dot		V;IMP;PL;2;POS;FIN;ACT
tinta	mērķa	tinta	mērķis	N;DEF;FEM;SG	N;GEN;MASC;SG
tinta	target	tinta	target	N;DEF;FEM;SG	
tinta	mērķis	tinta	mērķis	N;DEF;FEM;SG	N;NOM;MASC;SG
tinta	mērķa	tinta	mērķis	N;DEF;FEM;SG	N;GEN;MASC;SG
tinta	target	tinta	target	N;DEF;FEM;SG	
tinta	mērķis	tinta	mērķis	N;DEF;FEM;SG	N;NOM;MASC;SG
comunitatile	kopienas	comunitate	kopiena	N;DEF;FEM;PL	N;NOM;FEM;PL
nenumarate	neskaitāmas	nenumarat	neskaitīt	ADJ;INDF;FEM;PL	V;NOM;INDF;FEM;PL;PRS;V.PTCP;PASS
nenumarate	neskaitāmi	nenumarat	neskaitāms	ADJ;INDF;FEM;PL	ADV
nenumarate	neskaitāmas	nenumarat	neskaitīt	ADJ;INDF;FEM;PL	V;NOM;INDF;FEM;PL;PRS;V.PTCP;PASS
nenumarate	neskaitāmi	nenumarat	neskaitāms	ADJ;INDF;FEM;PL	ADV
vanzare	izpārdošana	vanzare	izpārdošana	N;INDF;FEM;SG	N;NOM;FEM;SG
vanzare	pārdošana	vanzare	pārdošana	N;INDF;FEM;SG	N;NOM;FEM;SG
vanzare	izpārdošana	vanzare	izpārdošana	N;INDF;FEM;SG	N;NOM;FEM;SG
vanzare	pārdošana	vanzare	pārdošana	N;INDF;FEM;SG	N;NOM;FEM;SG
cunostinta	paziņa	cunostinta	paziņa	N;DEF;FEM;SG	N;NOM;MASC;SG
cunostinta	paziņa	cunostinta	paziņa	N;DEF;FEM;SG	N;NOM;MASC;SG
varul	brālēns	var	brālēns	N;DEF;MASC;SG	N;NOM;MASC;SG
varul	māsīca	var	māsīca	N;DEF;MASC;SG	N;NOM;FEM;SG
mer	mer	mer	mērt		
automata	automātiska	automată	automātiska	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
automata	automātiskā	automată	automātisks	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
automata	automātiski	automată	automātiski	N;DEF;FEM;SG	ADV
