que	той	que	той	CONJ	DET;NOM;MASC;SG
del	дель	del	дель	ADP;MASC;SG	
del	del	del	del	ADP;MASC;SG	
los	на	él	на	PRO;ACC;MASC;PL;3	ADP;ACC
las	на	él	на	PRO;ACC;FEM;PL;3	ADP;ACC
una	одна	uno	один	DET;INDF;FEM;SG	NUM;NOM;FEM
una	one	uno	one	DET;INDF;FEM;SG	
una	одне	uno	один	DET;INDF;FEM;SG	DET;NOM;NEUT;SG
una	один	uno	один	DET;INDF;FEM;SG	NUM;NOM;MASC
como	подобається	como	подобатися	CONJ	V;IPFV;IND;SG;3;PRS;FIN
como	зразок	como	зразок	CONJ	N;INAN;NOM;MASC;SG
como	like	como	like	CONJ	
fue	був	ser	бути	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
fue	була	ser	бути	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
fue	було	ser	бути	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
sus	їхньому	su	їхній	DET;PL;3	PRO;DAT;SG;3
sus	їхнє	su	їхній	DET;PL;3	DET;NOM;NEUT;SG;3
sus	його	su	він	DET;PL;3	PRO;ACC;MASC;SG;3
sus	твій	su	твій	DET;PL;3	DET;NOM;MASC;SG;2
sus	твоя	su	твій	DET;PL;3	DET;NOM;FEM;SG;2
sus	твої	su	твій	DET;PL;3	DET;NOM;PL;2
sus	твоє	su	твій	DET;PL;3	DET;ACC;NEUT;SG;2
sus	ваша	su	ваш	DET;PL;3	DET;NOM;FEM;SG;2
sus	ваші	su	ваш	DET;PL;3	DET;NOM;PL;2
sus	його	su	він	DET;PL;3	PRO;ACC;MASC;SG;3
entre	ентре	entre	ентре	ADP	
entre	поміж	entre	поміж	ADP	
este	цей	este	цей	PRO;MASC;SG	DET;NOM;MASC;SG
este	ця	este	цей	PRO;MASC;SG	DET;NOM;FEM;SG
este	схід	este	схід	PRO;MASC;SG	N;INAN;NOM;MASC;SG
dos	dos	dos	dos	NUM;PL	
dos	дос	dos	дос	NUM;PL	
dos	двійка	dos	двійка	NUM;PL	N;INAN;NOM;FEM;SG
son	надаються	ser	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
sobre	приблизно	sobre	приблизно	ADP	ADV
sobre	інфо	sobre	інфо	ADP	
sobre	конвертів	sobre	конверт	ADP	N;INAN;GEN;MASC;PL
sobre	конверт	sobre	конверт	ADP	N;INAN;NOM;MASC;SG
desde	відтоді	desde	відтоді	ADP	ADV
desde	відколи	desde	відколи	ADP	
esta	цей	este	цей	PRO;FEM;SG	DET;NOM;MASC;SG
esta	ця	este	цей	PRO;FEM;SG	DET;NOM;FEM;SG
hasta	навіть	hasta	навіть	ADP	PART
hasta	даже	hasta	даже	ADP	
hasta	доки	hasta	доки	ADP	ADV
hasta	поки	hasta	поки	ADP	ADV
externos	зовнішнє	externo	зовнішній	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
externos	зовнішній	externo	зовнішній	ADJ;MASC;PL	ADJ;NOM;MASC;SG
externos	зовнішня	externo	зовнішній	ADJ;MASC;PL	ADJ;NOM;FEM;SG
ciudad	сьюдад	ciudad	сьюдад	N;FEM;SG	
ser	проводиться	ser	проводитися	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
ser	будучи	ser	бути	V;NFIN	V;IPFV;PRS;V.CVB
ser	буття	ser	буття	V;NFIN	N;INAN;NOM;NEUT;SG
ser	сір	ser	сір	V;NFIN	
parte	вечірки	parte	вечірка	N;FEM;SG	N;INAN;NOM;FEM;PL
parte	party	parte	party	N;FEM;SG	
durante	підчас	durante	підчи	ADP	
sin	гріхом	sin	гріх	ADP	N;INAN;INS;MASC;SG
sin	гріха	sin	гріх	ADP	N;INAN;GEN;MASC;SG
sin	гріх	sin	гріх	ADP	N;INAN;NOM;MASC;SG
donde	звідки	donde	звідки	PRO	ADV
donde	де	donde	де	PRO	ADV
donde	where	donde	where	PRO	
donde	куди	donde	куди	PRO	ADV
san	сан	san	сан	N;MASC;SG	
san	святий	san	святий	N;MASC;SG	ADJ;NOM;MASC;SG
san	saint	san	saint	N;MASC;SG	
san	сен	san	сен	N;MASC;SG	
era	був	ser	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
era	була	ser	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN
